"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"CMS-084","Scheduling — Page appears at start date, disappears at end date","Scheduling","High","BL-CMS-007",,"Page exists in Draft; current date/time known","Test page; StartDate=past; EndDate=future","[NAV] Open page blade in PageBuilder shell
[ACT] Expand Scheduling section
[ACT] Set Start date to yesterday using datepicker
[ACT] Set End date to tomorrow using datepicker
[ACT] Click Save and Publish
[NAV] Navigate to ${FRONT_URL}/<permalink> — verify page loads (within date range)
[ACT] Go back to page blade, change End date to yesterday
[ACT] Click Save
[NAV] Navigate to ${FRONT_URL}/<permalink> — verify page returns 404 (past end date)","Page accessible within scheduled date range; page returns 404 when current date is outside the range; Scheduled badge appears in grid","ADMIN: Page appears in Active tab when within range; moves to Archived tab when past EndDate","Datepicker not opening; dates not saving; page accessible outside date range; page not accessible within valid range; Scheduled badge missing","none","Coverage Gap Analysis COV-2026-03-25-1630","generated"
"CMS-085","Scheduling — Pending page with future start date","Scheduling","Medium","BL-CMS-008",,"Admin logged in; PageBuilder shell open","Test page; StartDate set to next week","[ACT] Create or open a draft page
[ACT] Set Start date to 7 days from now
[ACT] Leave End date empty
[ACT] Save and Publish
[ASSERT] Verify page appears in Pending tab (not Active)
[NAV] Navigate to ${FRONT_URL}/<permalink> — verify page returns 404
[ACT] Check Pending counter badge in sidebar shows the page","Published page with future StartDate appears in Pending tab, not Active; storefront returns 404 before start date; Pending counter reflects the page","ADMIN: Page in Pending tab with Scheduled badge; not in Active tab","Page in Active tab instead of Pending; page accessible before start date; Pending counter not updating","none","Coverage Gap Analysis COV-2026-03-25-1630","generated"
"CMS-086","Page blade — All configuration fields","Page Configuration","High",,,"Draft page exists in PageBuilder shell","Test page with all fields","[NAV] Navigate to PageBuilder shell and open a draft page blade
[ASSERT] Verify Basic info section shows: Name (text input), Permalink (text input)
[ASSERT] Verify Language is displayed
[ACT] Expand Scheduling section — verify Start date and End date datepickers
[ACT] Expand Personalization section — verify: Visibility toggle, User groups dropdown, Organization dropdown
[ACT] Edit Name to a new value and click Save
[ASSERT] Verify the name updates in the page list
[ACT] Edit Permalink and click Save
[ASSERT] Verify new permalink is reflected","All page blade fields are present and editable: Name, Permalink, Language (read-only after creation), Start/End dates, Visibility, User groups, Organization; changes persist after Save",,"Missing fields in blade; fields not editable; Save not persisting changes; Permalink change not updating in list","none","Coverage Gap Analysis COV-2026-03-25-1630","generated"
"CMS-087","Error handling — Duplicate permalink","Error Handling","Medium",,"ECL-2.3","Admin logged in; a page exists with permalink '/existing-page'","Existing permalink /existing-page","[NAV] Navigate to PageBuilder shell Draft tab
[ACT] Click Add to create new page
[ACT] Enter a name and set permalink to '/existing-page' (already taken by another page in same language)
[ACT] Click Save
[ASSERT] Verify an error message is displayed about duplicate permalink","System prevents creation of page with duplicate permalink in same language; error message clearly indicates the permalink is already in use",,"No error shown; duplicate page created; system crashes; vague error message","none","Coverage Gap Analysis COV-2026-03-25-1630","generated"
"CMS-088","Error handling — Empty required fields on page creation","Error Handling","Medium",,"ECL-2.1","Admin logged in; PageBuilder shell open","Empty form","[NAV] Navigate to PageBuilder shell Draft tab
[ACT] Click Add to create new page
[ACT] Leave Name field empty
[ACT] Leave Permalink field empty
[ACT] Attempt to click Save
[ASSERT] Verify validation errors appear for required fields","Save is disabled or validation errors shown for empty Name and Permalink fields; page is not created without required fields",,"Page created with empty name/permalink; no validation errors; Save succeeds with missing data","none","Coverage Gap Analysis COV-2026-03-25-1630","generated"
"CMS-089","Error handling — Special characters in permalink","Error Handling","Medium",,"ECL-2.2","Admin logged in; PageBuilder shell open","Special characters: spaces, &, ?, #, unicode","[ACT] Create new page with permalink containing spaces: '/my page test'
[ASSERT] Verify system sanitizes or rejects the input
[ACT] Create page with permalink containing special characters: '/page&test?q=1#anchor'
[ASSERT] Verify system sanitizes or rejects
[ACT] Create page with permalink containing unicode: '/страница-тест'
[ASSERT] Verify behavior","System either sanitizes permalinks (removes/replaces invalid characters) or shows clear validation error; no server errors; pages with sanitized permalinks are accessible on storefront",,"Server error 500; permalink accepted with invalid characters causing routing issues; storefront crash on special character URL","none","Coverage Gap Analysis COV-2026-03-25-1630","generated"
"CMS-090","Edge case — Page with maximum sections","Edge Cases","Low",,"ECL-13.1","Admin logged in; test page in designer","Draft test page","[NAV] Open a draft page in the designer
[ACT] Add blocks repeatedly (e.g. Title blocks) until you have 20+ sections
[ASSERT] Verify the sections panel scrolls properly
[ASSERT] Verify the live preview renders all sections
[ACT] Click Save — verify no timeout or error
[ACT] Reopen the page — verify all sections persisted","Designer handles many sections without performance degradation; sections panel scrolls; preview renders all; Save completes within reasonable time; all sections persist",,"Designer freezes or becomes unresponsive; sections disappearing; Save timeout; preview blank with many sections","Delete test sections after test","Coverage Gap Analysis COV-2026-03-25-1630","generated"
"CMS-091","Designer — Page types (Pages vs Blog vs Product template)","Designer Core","Medium",,,"Designer open with Pages dropdown accessible","Multiple page types","[NAV] Open the designer
[ACT] Click the Pages dropdown in the top toolbar
[ASSERT] Verify available page types are listed (e.g. Pages, Blog, Product template)
[ACT] Select 'Blog' page type
[ASSERT] Verify the designer loads blog-specific content and sections
[ACT] Select 'Product template' (if available)
[ASSERT] Verify the designer loads product template layout
[ACT] Switch back to 'Pages'
[ASSERT] Verify the correct page list loads","Pages dropdown shows different page types; switching between types loads the correct content and section configurations; each type has appropriate blocks",,"Dropdown not showing all page types; switching types causes error; wrong content loading for selected type","none","Coverage Gap Analysis COV-2026-03-25-1630","generated"
"CMS-092","Designer — Preview mode navigation","Designer Core","Medium",,,"Page open in designer with content blocks","Page with published content","[NAV] Open a page in the designer with at least 2 blocks
[ACT] Click Preview button in the top toolbar
[ASSERT] Verify the preview opens (full-screen or new tab/mode)
[ACT] Interact with the preview — scroll, click links
[ASSERT] Verify the storefront renders correctly with all blocks
[ACT] Exit preview mode (click back or close)
[ASSERT] Verify you return to the designer editing mode","Preview mode shows full storefront rendering with all blocks; interactive (scrollable, links clickable); exiting returns to designer without losing unsaved changes",,"Preview button disabled; preview blank or showing error; cannot exit preview; unsaved changes lost after preview","none","Coverage Gap Analysis COV-2026-03-25-1630","generated"
"CMS-093","API — Page search with lifecycle filter","API Layer","High","BL-CMS-009",,"Admin authenticated via OAuth2 password grant (no client_id); PageBuilder module deployed","storeId=@td(STORE_PRIMARY.id)","[ACT] [AUTH] Obtain Bearer token via POST {{BACK_URL}}/connect/token (OAuth2 password grant)
[ACT] [HTTP] POST {{BACK_URL}}/api/page-builder-pages/search with body {storeId: '@td(STORE_PRIMARY.id)', lifecycle: 'drafts', take: 10} and Bearer token
[ACT] [STATUS] Verify HTTP 200
[ACT] [BODY] Verify results[] only includes groups where at least one page has status=Draft (lifecycle matches ANY page in the group, not the group's single top-level status field)
[ACT] [HTTP] POST {{BACK_URL}}/api/page-builder-pages/search with body {storeId: '@td(STORE_PRIMARY.id)', lifecycle: 'active', take: 10}
[ACT] [STATUS] Verify HTTP 200
[ACT] [BODY] Verify results[] only includes groups with a Published page whose StartDate/EndDate window includes now
[ACT] [HTTP] POST {{BACK_URL}}/api/page-builder-pages/search with body {storeId: '@td(STORE_PRIMARY.id)', lifecycle: 'archived', take: 10}
[ACT] [STATUS] Verify HTTP 200
[ACT] [BODY] Verify results[] only includes groups where every page is Archived, or the group's EndDate has passed
[ACT] [HTTP] POST {{BACK_URL}}/api/page-builder-pages/search with body {storeId: '@td(STORE_PRIMARY.id)', lifecycle: 'pending', take: 10}
[ACT] [STATUS] Verify HTTP 200
[ACT] [BODY] Verify results[] only includes groups with a Published page whose StartDate is in the future","Each lifecycle value ('drafts'|'active'|'archived'|'pending' — lowercase, case-sensitive; the filter is a C# switch on the exact string, unmatched/mismatched values fall through to the unfiltered default) returns HTTP 200 with results[] matching its grouped-page semantics (ApplyLifecycleFilter in GroupedPageSearchService); response includes totalCount and results[] with page metadata (name, permalink, status, startDate, endDate, cultureName)",,"404 on POST /api/page-builder-pages/search (endpoint contract regressed back to a removed path); a capitalized or mismatched lifecycle value (e.g. 'Drafts','Active') silently returns the unfiltered set instead of erroring — no HTTP error, but zero filtering applied; 500 on a valid lowercase lifecycle value; pagination broken","none","Coverage Gap Analysis COV-2026-03-25-1630; endpoint verified live + against VirtoCommerce.PageBuilderModule Swagger and vc-module-pagebuilder source (GroupedPageSearchService.ApplyLifecycleQuery, ModuleConstants.PageLifecycleFilters) 2026-07-21 — was calling a nonexistent GET /api/page-builder/grouped-pages/search","generated"
