"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"NOTIF-004","Add default recipient for notification","Notification Recipients","High",,,"Admin logged in",,"1. Navigate to Notifications
2. Select a notification type
3. Add default recipient email
4. Save",,,,,"C207584",
"NOTIF-005","Notification added to feed","Notification Feed","High",,,"Notification feed enabled",,"1. Trigger a notification event (e.g. new order)
2. Navigate to Notification feed",,,,,"C207585",
"NOTIF-011","Registration notification template","Account Notifications","Critical",,,"Platform configured with registration notification",,"1. Register a new user on storefront
2. Check email inbox",,,,,"C207386",
"NOTIF-012","Registration invitation notification","Account Notifications","High",,,"Invitation feature enabled",,"1. Send registration invitation from Admin
2. Check recipient email inbox",,,,,"C207600",
"NOTIF-013","Password reset notification","Account Notifications","High",,,"User account exists",,"1. Request password reset on storefront
2. Check email inbox",,,,,"C207610",
"NOTIF-014","Password reset limit enforcement","Account Notifications","High",,,"User account exists",,"1. Request password reset multiple times exceeding limit
2. Attempt another reset",,,,,"C307517",
"NOTIF-015","Email confirmation notification","Account Notifications","High",,,"Email verification enabled",,"1. Register new user or change email
2. Check inbox for confirmation email",,,,,"C340946",
"NOTIF-016","Two-factor authentication email","Account Notifications","High",,,"2FA via email configured",,"1. Login with 2FA-enabled account
2. Check email for verification code",,,,,"C254245",
"NOTIF-017","Organization registration notification","Account Notifications","High",,,"Organization registration enabled",,"1. Register a new organization on storefront
2. Check admin/email notifications",,,,,"C340947",
"NOTIF-018","Enable abandoned cart notifications (global)","Abandoned Cart","High",,,"Admin logged in; notifications module",,"1. Navigate to Settings > Notifications
2. Enable abandoned cart notifications globally
3. Save",,,,,"C394634",
"NOTIF-019","Trigger abandoned cart email after default time","Abandoned Cart","High",,,"Abandoned cart notifications enabled; cart exists",,"1. Create a cart with items
2. Wait for default reminder time (5 days or configured)
3. Check email",,,,,"C394637",
"NOTIF-020","Custom reminder time for abandoned cart","Abandoned Cart","Medium",,,"Admin logged in",,"1. Navigate to abandoned cart settings
2. Set custom reminder time
3. Save and trigger",,,,,"C394638",
"NOTIF-021","Create order notification","Order Notifications","Critical",,,"Order notification template configured",,"1. Create a new order
2. Check email for order confirmation",,,,,"C208255",
"NOTIF-022","Cancel order notification","Order Notifications","High",,,"Order exists; cancellation template configured",,"1. Cancel an existing order
2. Check email for cancellation notification",,,,,"C208256",
"NOTIF-023","Order paid notification","Order Notifications","High",,,"Payment notification template configured",,"1. Mark order payment as Paid
2. Check email",,,,,"C208259",
"NOTIF-024","Order sent notification","Order Notifications","High",,,"Shipment notification template configured",,"1. Change shipment status to Sent
2. Check email",,,,,"C208260",
"NOTIF-025","Invoice notification for customer","Order Notifications","High",,,"Invoice template configured",,"1. Generate invoice for an order
2. Check customer email",,,,,"C208262",
"NOTIF-026","Shipment status change notification - PickPack","Order Status Notifications","Medium",,,"Shipment status notification template set",,"1. Change shipment document status to PickPack
2. Check notification",,,,,"C357104",
"NOTIF-027","Shipment status change notification - Sent","Order Status Notifications","Medium",,,"Shipment status notification template set",,"1. Change shipment document status to Sent
2. Check notification",,,,,"C357107",
"NOTIF-028","Payment status change notification - Paid","Order Status Notifications","Medium",,,"Payment status notification template set",,"1. Change payment document status to Paid
2. Check notification",,,,,"C357116",
"NOTIF-029","Payment status change notification - Refunded","Order Status Notifications","Medium",,,"Payment status notification template set",,"1. Change payment document status to Refunded
2. Check notification",,,,,"C357109",
"NOTIF-030","SMS notification - phone number change","SMS Notifications","High",,,"SMS gateway configured",,"1. Configure SMS notification gateway
2. Trigger phone number change event
3. Check SMS delivery",,,,,"C207563",
"NOTIF-031","SMS notification - two-factor authentication","SMS Notifications","High",,,"SMS 2FA configured",,"1. Configure SMS as 2FA method
2. Login with 2FA-enabled account
3. Check SMS",,,,,"C251791",
"NOTIF-046","Predefined notification - edit and restore","Predefined Notifications","High","","ECL-10.2","Admin signed in at {{BACK_URL}} with notification management permissions; notification type 'InvoiceEmailNotification' ships a predefined template, so its Templates grid carries a predefined-badged row for that language; if that row is already badged 'Edited', restore it first so the case starts from the un-edited baseline; module version is the PR #202 build or later. The predefined and edited flags are synthesized in the templates-list and blade controllers for display only, so assert them in the UI and never against the API","back_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/#!/workspace/notifications
[WAIT] Notifications list blade loaded
[GRID] search the list for 'InvoiceEmailNotification'
[ACT] click the row matching 'InvoiceEmailNotification'
[WAIT] the '...: Details' blade opens with the Templates grid
[GRID] note the badges on the predefined template row
[ACT] click the predefined template row
[WAIT] the '...: Template' blade opens
[ACT] append a distinct marker to 'Subject'
[SAVE] click 'Save' in the blade toolbar
[WAIT] the save settles and the Templates grid refreshes
[ACT] click the same template row again
[WAIT] the '...: Template' blade reopens
[ACT] click 'Restore' in the blade toolbar
[WAIT] the restore settles","[DOM] a note is visible while the predefined-sourced template is edited, warning that saving replaces the predefined version and that the original can be restored {DOC}
[GRID] after the save the template row is badged both 'Predefined' and 'Edited' {DOC}
[DOM] 'Restore' is present in the blade toolbar exactly while the row is both predefined and edited {DOC}
[FORM] after 'Restore' the subject and body match the shipped default and the appended marker is absent {DOC}
[GRID] after the restore the 'Edited' badge is absent from the template row {DOC}
[DOM] verify whether 'Restore' persists immediately or needs a further Save before the shipped default is stored {HYPOTHESIS}","[NETWORK] the save issues PUT /api/notifications/{type} and returns 2xx (VCST-5607: the drill-down path issues no PUT today)
[API] GET /api/notifications/InvoiceEmailNotification returns the override content after the save and the shipped default content after the restore
[CONSOLE] no JS errors during the edit, the save or the restore","No warning note while the predefined-sourced template is edited; Restore missing from the toolbar after an override was saved; appended marker still present after Restore; Edited badge retained after Restore; no PUT issued on Save","Restore the template to its shipped default and confirm through the API that no override marker remains","C255756 C255757 VCST-5557 VCST-5606 - editability of a predefined template is documented override behaviour (PlatformUserGuide, Notification Templates), not a defect; Synced: VCST-5557 / PR #202 (2026-07-29)",""
"NOTIF-047","Send edited predefined template","Predefined Notifications","Medium","BL-NOTIF-002","ECL-14.7","state from NOTIF-046 (an override of the shipped default exists for that language, so the Templates grid row is badged both 'Predefined' and 'Edited', and the '...: Template' blade is open on it); outbound mail transport configured for the environment","back_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[ACT] click 'Send test email' in the blade toolbar
[WAIT] the recipient prompt is shown
[ACT] fill 'Email': {{ADMIN_EMAIL}}
[ACT] click 'Send'
[WAIT] a notification about the send result appears","[DOM] 'Preview' and 'Send test email' are enabled on a predefined-sourced template {SPEC}
[TOAST] a notification reports the send was accepted and no error dialog is present {SPEC}
[EMAIL] the delivered message carries the edited override content and the shipped default content is absent {DOC}","[NETWORK] the send request returns 2xx with no 4xx/5xx
[EMAIL] exactly one message arrives at {{ADMIN_EMAIL}} within 60s
[CONSOLE] no JS errors during the send","'Send test email' disabled on a predefined-sourced template; shipped default content delivered instead of the override; 4xx/5xx on send; no message within 60s","Close the Template and Details blades without saving, leaving the override exactly as NOTIF-046 left it","C255758 VCST-5557 VCST-5606 Synced: VCST-5557 / PR #202 (2026-07-29)",""
"NOTIF-053","Notification Attachment — No Attachment","Notification Attachments","High",,,"Admin logged in to Backend
Notification template exists without attachments",,"1. Navigate to ${BACK_URL}/notifications
2. Select a notification type that has no attachments configured
3. Open the notification template details blade
4. Verify the Attachments widget or section is visible
5. Verify the attachment list is empty
6. Verify the UI indicates the no-attachment state clearly (e.g., empty state message)
7. Send a test notification from this template
8. Verify the received email has no file attachments",,,,,"C342062",
