ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
GQL-001,xCatalog - Search Products Query,GraphQL > xCatalog,Critical,BL-GQL-002,ECL-2.1; ECL-8.1,"BROWSER-ONLY: All tests MUST execute in GraphiQL UI via browser (playwright-edge). Do NOT use curl/API calls. Follow graphiql-interaction.md for CodeMirror interaction. GraphiQL UI accessible at {{BACK_URL}}/ui/graphiql; products in catalog","storeId={{STORE_ID}}; query=""laptop""; cultureName=""en-US""; currencyCode=""USD""","[NAV] {{BACK_URL}}/ui/graphiql
[WAIT] GraphiQL editor loaded
[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type query: query { products(storeId: ""{{STORE_ID}}"" query: ""laptop"") { totalCount items { id name code imgSrc } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response from response panel","[RESPONSE] Response panel shows data without error banner
[DATA] data.products object present in response
[DATA] totalCount > 0 for valid query term
[DATA] items[] non-empty; each item contains id, name, code
[DATA] imgSrc is a valid URL or null
[ERRORS] No errors[] in response","[CONSOLE] No JS errors in GraphiQL
[ROUNDTRIP] Re-execute same query → same results returned","errors[] non-empty in response panel; totalCount = 0 for known query term; missing id/name/code on items; GraphiQL shows error banner",none,xAPI,Automated
GQL-002,xCatalog - Get Product Detail Query,GraphQL > xCatalog,Critical,BL-GQL-002; BL-GQL-003,ECL-2.1,"Product ID known from GQL-001; GraphiQL UI loaded","storeId={{STORE_ID}}; productId from GQL-001 result; currencyCode=""USD""","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type query: query { product(storeId: ""{{STORE_ID}}"" id: ""<PRODUCT_ID>"") { id name descriptions { content } prices { list { amount } sale { amount } } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response from response panel","[RESPONSE] Response panel shows data without error banner
[DATA] product object returned with correct id
[DATA] descriptions[] non-empty; content populated
[MATH] prices.list.amount > 0
[DATA] prices.sale present (may be null if no sale active)
[ERRORS] No errors[] in response","[ROUNDTRIP] Re-execute query → same product returned
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; product null; descriptions empty; prices missing list amount",none,xAPI,Automated
GQL-003,xCatalog - Category Tree Query,GraphQL > xCatalog,High,BL-GQL-002,ECL-2.1,"Categories configured in store; GraphiQL UI loaded","storeId={{STORE_ID}}; cultureName=""en-US""","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type query: query { categories(storeId: ""{{STORE_ID}}"" cultureName: ""en-US"") { totalCount items { id name slug childCategories { id name } } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response from response panel","[RESPONSE] Response panel shows data without error banner
[DATA] Root categories returned; totalCount > 0
[DATA] childCategories nested correctly under parent
[DATA] Each category has slug (non-empty string suitable for URL)
[MATH] totalCount matches actual items[] length
[ERRORS] No errors[] in response","[ROUNDTRIP] Re-execute query → same category tree
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; totalCount = 0; slug null or empty; childCategories missing on known parent categories",none,xAPI,Automated
GQL-004,xCatalog - Product Facets/Filters Query,GraphQL > xCatalog,High,BL-GQL-002,ECL-2.1; ECL-8.1,"Products with properties configured; GraphiQL UI loaded","storeId={{STORE_ID}}; facet includes brand/price range; filter combinations","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type query: query { products(storeId: ""{{STORE_ID}}"" facet: ""brand"") { totalCount items { id name } term_facets { name label terms { term label count isSelected } } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — note facet values
[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type filtered query with term facet applied
[GQL] Click Execute (▶) or Ctrl+Enter
[READ] Read response — compare filtered vs unfiltered results","[RESPONSE] Response panel shows data without error banner
[DATA] term_facets[] non-empty; at minimum brand facet present
[DATA] Each facet value has label and count > 0
[DATA] Filtered result set is smaller than unfiltered set
[DATA] Combining two filters uses AND logic (result set narrows further)
[ERRORS] No errors[] in response","[ROUNDTRIP] Filter counts match product count in filtered response
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; term_facets[] empty when facet-enabled properties exist; filter does not narrow results; facet count mismatches",none,xAPI,Automated
GQL-005,xCart - Get or Create Cart via Query,GraphQL > xCart,Critical,BL-GQL-001; BL-GQL-004,ECL-14.1; ECL-2.1,"User authenticated with valid token; store configured; GraphiQL UI accessible at {{BACK_URL}}/ui/graphiql","storeId={{STORE_ID}}; currencyCode=""USD""; cultureName=""en-US""; user_email={{USER_EMAIL}}; user_password={{USER_PASSWORD}}","[AUTH] POST {{BACK_URL}}/connect/token grant_type=password&scope=offline_access&username={{USER_EMAIL}}&password={{USER_PASSWORD}}&storeId={{STORE_ID}} → save bearer token
[NAV] {{BACK_URL}}/ui/graphiql
[WAIT] GraphiQL editor loaded
[ACT] Click Headers tab → clear (Ctrl+A, Backspace) → type: {""Authorization"": ""Bearer {{TOKEN}}""}
[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type query: query { cart(storeId: ""{{STORE_ID}}"" currencyCode: ""USD"" cultureName: ""en-US"") { id name itemsCount items { id productId quantity } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — save cart id","[RESPONSE] Response panel shows data without error banner
[DATA] data.cart object returned (auto-created if none existed)
[DATA] data.cart.id is non-empty string
[DATA] Cart id matches UUID format
[ERRORS] No errors[] in response","[ROUNDTRIP] Clear editor → type same cart query → execute → same cart returned
[ADMIN] Cart appears in Admin order management
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; data.cart null; cart id empty; subsequent cart query returns different cart; GraphiQL shows auth error (missing/invalid token)","delete cart via removeCart mutation",xAPI,Automated
GQL-006,xCart - Add Item to Cart Mutation,GraphQL > xCart,Critical,BL-GQL-001; BL-GQL-003; BL-GQL-004,ECL-14.1; ECL-2.1,"Cart created from GQL-005; product ID known; auth header set in GraphiQL","cartId from GQL-005; productId={{TEST_SKU}}; quantity=2","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type mutation: mutation { addItem(command: { cartId: ""<CART_ID>"" productId: ""{{TEST_SKU}}"" quantity: 2 }) { id itemsCount items { id productId quantity listPrice { amount } } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — verify item added","[RESPONSE] Response panel shows data without error banner
[ERRORS] errors[] present and empty (BL-GQL-001)
[DATA] itemsCount = 1 (or incremented by 1 if cart had items)
[DATA] items[] contains entry with productId = {{TEST_SKU}}
[DATA] items[0].quantity = 2
[MATH] items[0].listPrice.amount > 0","[ROUNDTRIP] Clear editor → type cart query → execute → item present
[ADMIN] Line item visible in Admin cart view
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; itemsCount not incremented; quantity wrong; listPrice.amount = 0 or null; productId mismatch","remove item from cart via removeCartItem mutation in GraphiQL",xAPI,Automated
GQL-007,xCart - Update Cart Item Quantity,GraphQL > xCart,High,BL-GQL-001; BL-GQL-004,ECL-14.1; ECL-2.1,"Cart with items from GQL-006; lineItemId known; auth header set in GraphiQL","cartId from GQL-005; lineItemId from GQL-006; newQuantity=5","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type mutation: mutation { changeCartItemQuantity(command: { cartId: ""<CART_ID>"" lineItemId: ""<LINE_ITEM_ID>"" quantity: 5 }) { id items { id quantity } subTotal { amount } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — verify quantity and totals","[RESPONSE] Response panel shows data without error banner
[ERRORS] errors[] present and empty (BL-GQL-001)
[DATA] items[0].quantity = 5
[MATH] subTotal.amount = items[0].listPrice.amount × 5 (within rounding tolerance)","[ROUNDTRIP] Clear editor → type cart query → execute → quantity = 5
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; quantity still 2; subtotal not recalculated; GraphiQL shows auth error","remove item or delete cart",xAPI,Automated
GQL-008,xCart - Remove Item from Cart,GraphQL > xCart,High,BL-GQL-001; BL-GQL-004,ECL-14.1; ECL-2.1,"Cart with items; lineItemId known; auth header set in GraphiQL","cartId; lineItemId","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type mutation: mutation { removeCartItem(command: { cartId: ""<CART_ID>"" lineItemId: ""<LINE_ITEM_ID>"" }) { id itemsCount items { id } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — verify item removed","[RESPONSE] Response panel shows data without error banner
[ERRORS] errors[] present and empty (BL-GQL-001)
[DATA] itemsCount decremented by 1
[DATA] Removed item id no longer in items[]
[DATA] Cart remains valid (id still present)
[MATH] Totals recalculated (subTotal lower if items remain)","[ROUNDTRIP] Clear editor → type cart query → execute → item absent
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; itemsCount unchanged; removed item still in items[]; cart becomes null after removal","delete cart if empty",xAPI,Automated
GQL-009,xCart - Set Shipping Address,GraphQL > xCart,Critical,BL-GQL-001; BL-GQL-004,ECL-14.1; ECL-2.1; ECL-8.1,"Cart with items; valid address available; auth header set in GraphiQL","cartId; address: city=""@td(ADDR_NY.city)"" state=""@td(ADDR_NY.state)"" zip=""@td(ADDR_NY.zip)"" country=""US""","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type mutation: addOrUpdateCartShipment with full address object
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — verify address saved
[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type cart query to confirm shipping info
[GQL] Click Execute (▶) or Ctrl+Enter
[READ] Read response — verify address fields on shipment","[RESPONSE] Response panel shows data without error banner
[ERRORS] errors[] present and empty (BL-GQL-001)
[DATA] Shipping address saved on cart shipment
[DATA] City, state, zip, country populated and match input
[DATA] No validation errors for valid address
[DATA] Cart ready for shipping method selection (availableShippingMethods non-empty)","[ROUNDTRIP] Cart query confirms shipment with address fields populated
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; address fields null after mutation; validationErrors on shipment; availableShippingMethods empty after address set","delete cart after test",xAPI,Automated
GQL-010,xCart - Apply Coupon Mutation,GraphQL > xCart,High,BL-GQL-001; BL-GQL-004,ECL-14.1; ECL-2.1,"Cart with items; valid coupon code ""TESTCOUPON"" configured; auth header set in GraphiQL","cartId; couponCode=""TESTCOUPON""; invalidCoupon=""BADCODE999""","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type mutation: mutation { addCoupon(command: { cartId: ""<CART_ID>"" couponCode: ""TESTCOUPON"" }) { id coupons { code isAppliedSuccessfully } discountTotal { amount } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — verify coupon applied
[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type mutation with invalid coupon: mutation { addCoupon(command: { cartId: ""<CART_ID>"" couponCode: ""BADCODE999"" }) { id coupons { code isAppliedSuccessfully } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[READ] Read response — verify appropriate error","[RESPONSE] Response panel shows data without error banner
[ERRORS] errors[] present and empty (BL-GQL-001)
[DATA] coupons[] contains entry with code=""TESTCOUPON""
[DATA] isAppliedSuccessfully = true
[MATH] discountTotal.amount > 0
[DATA] Invalid coupon returns structured error or isAppliedSuccessfully = false (not a 500)","[ROUNDTRIP] Clear editor → type cart query → execute → coupon still applied
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty on valid coupon; isAppliedSuccessfully = false for valid code; discountTotal = 0 after successful apply; GraphiQL shows error banner on invalid coupon","remove coupon from cart via removeCoupon mutation in GraphiQL; delete cart",xAPI,Automated
