"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"SR-ADM-001","Admin Embedded App Loads — Sales Reps Tab Renders with Columns","Backend > Sales Rep > Admin > App","Critical","PROPOSED-BL-SR-ADMIN-GRID","","Admin logged in to Backend at {{BACK_URL}} as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. SalesRep module installed with the embedded micro-frontend registered (iframe app at /apps/vc-sales-rep, workspace route /#!/workspace/embedded-app/vc-sales-rep). SR_REP_PRIMARY and SR_REP_BLOCKED already exist as seeded reps so the grid renders non-empty on first load.","back_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[WAIT] embedded app iframe loads, Sales Reps tab active by default
[WAIT] grid finishes loading (no spinner)","[DOM] tab strip shows Dashboard, Sales Reps, Blocked Sales Reps, Not assigned Sales Reps, Organizations, Not assigned Organizations {OBSERVED}
[GRID] Sales Reps grid columns are Name, Email, Organizations (count), Blocked {OBSERVED}
[GRID] toolbar shows Refresh, Add, Delete, a search input, and a Show/Hide Columns control {OBSERVED}
[GRID] at least 1 row is visible (seeded reps exist) {OBSERVED}","[CONSOLE] no JS errors in the Admin SPA or the embedded iframe console
[NETWORK] no 4xx/5xx loading the embedded app or its list request","iframe fails to load / blank workspace panel; grid stuck loading >5s; a documented tab or column is missing; console TypeError","none (read-only)","VCST-5304","Draft"
"SR-ADM-002","Create New Sales Rep (Add → Save) Appears in the Sales Reps List","Backend > Sales Rep > Admin > Sales Reps > CRUD","Critical","PROPOSED-BL-SR-ADMIN-CRUD, PROPOSED-BL-SR-ADMIN-ROLE","","Admin logged in to Backend at {{BACK_URL}} as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. No prior AGENT-TEST-SR-Admin-{{RUN_ID}} rep exists.","back_url={{BACK_URL}}, email=AGENT-TEST-SR-Admin-{{RUN_ID}}@yopmail.com, password={{TEST_USER_PASSWORD}}, first_name=AGENT-TEST-SR-Admin, last_name={{RUN_ID}}","[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[WAIT] Sales Reps tab active, grid loaded
[ACT] click 'Add' in the toolbar
[BLADE] new rep detail blade opens on the Account tab
[ACT] fill 'Email': {{email}}
[ACT] fill 'Password': {{password}}
[ACT] select 'Sales Rep role': Sales Representative
[SAVE] click 'Save'
[WAIT] blade closes / success notification shown","[TOAST] a success notification confirms the rep was created {OBSERVED}
[GRID] Sales Reps grid, after Refresh, contains a row with Email = {{email}} {SPEC}
[GRID] that row's Organizations count = 0 and Blocked = not blocked (new rep serves no orgs yet) {SPEC}","[API] the new rep is resolvable — GET the created security account/member by {{email}} returns 200 (mirrors the contact shape in 050m SR-GQL-001)
[CONSOLE] no JS errors during Save","Save appears to succeed but no toast shown; new row absent after Refresh; 4xx/5xx on the create request","Delete the AGENT-TEST-SR-Admin-{{RUN_ID}} rep via the grid's Delete action (select row > Delete > confirm)","VCST-5304","Draft"
"SR-ADM-003","Save Is Blocked Without a Sales Rep Role Selected (Required-Field Validation)","Backend > Sales Rep > Admin > Sales Reps > CRUD","Critical","PROPOSED-BL-SR-ADMIN-ROLE","","Admin logged in to Backend at {{BACK_URL}} as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}.","back_url={{BACK_URL}}, email=AGENT-TEST-SR-Admin-Val-{{RUN_ID}}@yopmail.com, password={{TEST_USER_PASSWORD}}","[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click 'Add' in the toolbar
[BLADE] new rep detail blade opens on the Account tab
[ACT] fill 'Email': {{email}}
[ACT] fill 'Password': {{password}}
[ACT] leave 'Sales Rep role' unselected
[SAVE] click 'Save'","[FORM] Save is blocked — a validation error indicates the Sales Rep role is required {SPEC}
[BLADE] the blade remains open (no navigation away, no success toast) {OBSERVED}","[NETWORK] no create request is sent while validation is failing, or the request is sent and rejected — either is acceptable, but no rep is persisted
[CONSOLE] no unhandled JS error accompanies the validation failure","Save succeeds and creates a rep with no role; blade closes despite the missing role; no visible validation feedback at all","If a rep was unexpectedly created, delete it via the grid's Delete action","VCST-5304","Draft"
"SR-ADM-004","Email Login Is Required and Must Be Unique","Backend > Sales Rep > Admin > Sales Reps > CRUD","Critical","PROPOSED-BL-SR-ADMIN-CRUD","","Admin logged in to Backend at {{BACK_URL}} as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. @td(SR_REP_PRIMARY.email) already exists as a seeded rep's login — reused here only to prove the uniqueness check, never mutated.","back_url={{BACK_URL}}, existing_email=@td(SR_REP_PRIMARY.email), password={{TEST_USER_PASSWORD}}","[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click 'Add'
[BLADE] new rep detail blade opens
[ACT] leave 'Email' blank
[ACT] select 'Sales Rep role': Sales Representative
[SAVE] click 'Save'
[WAIT] validation error observed
[ACT] fill 'Email': {{existing_email}}
[ACT] fill 'Password': {{password}}
[SAVE] click 'Save' again","[FORM] with a blank Email, Save is blocked with a required-field error {SPEC}
[FORM] with Email = {{existing_email}} (already in use by SR_REP_PRIMARY), Save is blocked with a duplicate/already-in-use error {SPEC}
[BLADE] no second account is created for {{existing_email}} {SPEC}","[API] no duplicate security account is created for {{existing_email}} (rep count for that email stays 1)
[CONSOLE] no unhandled JS error","blank-email Save succeeds; a duplicate account is created for an already-used email; SR_REP_PRIMARY's own account is altered by this attempt","none — no persisted mutation expected; if a duplicate was created, delete it via the grid's Delete action","VCST-5304","Draft"
"SR-ADM-005","Assign Served Organization → Storefront Buyer /company/sales-reps Reflects the New Rep","Backend > Sales Rep > Admin > Sales Reps > Served Organizations","Critical","PROPOSED-BL-SR-ADMIN-ASSIGN, PROPOSED-BL-SR-SCOPE","ECL-14.3","Admin logged in to Backend as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. A throwaway rep AGENT-TEST-SR-Admin-Assign-{{RUN_ID}} is created fresh in Steps (does not reuse a seeded SR_REP_* fixture) and is not currently served by any organization. ACME_BUYER is a corporate member of @td(ORG_ACME.id) — mirrors 090 SR-FE-MSR-001/004.","back_url={{BACK_URL}}, front_url={{FRONT_URL}}, email=AGENT-TEST-SR-Admin-Assign-{{RUN_ID}}@yopmail.com, password={{TEST_USER_PASSWORD}}, org=@td(ORG_ACME.name)","--- ADMIN ---
[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click 'Add' > fill 'Email': {{email}} > fill 'Password': {{password}} > select 'Sales Rep role': Sales Representative
[SAVE] click 'Save'
[ACT] reopen the new rep's detail blade > go to 'Served organizations'
[ACT] add {{org}} to the served-organizations multi-select
[SAVE] click 'Save'
--- STOREFRONT ---
[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ACME_BUYER]
[NAV] {{FRONT_URL}}/company/sales-reps
[WAIT] table rows loaded","[GRID] (Admin) the rep's Organizations count reads 1 after Save {OBSERVED}
[DOM] (Storefront) a row for AGENT-TEST-SR-Admin-Assign-{{RUN_ID}} is visible in ACME_BUYER's Sales Reps table (mirrors 090 SR-FE-MSR-004) {SPEC}","[STOREFRONT] the admin-side served-organization assignment is the write path that 090's customerSalesReps read already proves is org-scoped (SR-FE-MSR-005/006, SR-GQL-001) — this case is the missing write-side half
[API] customerSalesReps for ACME_BUYER includes the new rep's id after the assignment (mirrors 050m SR-GQL-001)
[CONSOLE] no JS errors on either layer","Organizations count stays 0 after Save; the new rep never appears on the storefront buyer list; search-index lag beyond 60s (ECL-14.2) before it appears","--- ADMIN --- Delete the AGENT-TEST-SR-Admin-Assign-{{RUN_ID}} rep via the grid's Delete action (removes the org assignment with it)","VCST-5409, VCST-5304, VCST-5293","Draft"
"SR-ADM-006","Unassign Served Organization → Rep's My-Customers Count and Buyer List Drop It","Backend > Sales Rep > Admin > Sales Reps > Served Organizations","Critical","PROPOSED-BL-SR-ADMIN-ASSIGN, PROPOSED-BL-SR-SCOPE","ECL-14.3","Admin logged in to Backend as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. A throwaway rep AGENT-TEST-SR-Admin-Unassign-{{RUN_ID}} is created fresh in Steps and assigned to serve @td(ORG_ACME.id) before the unassign action under test — does not touch seeded SR_REP_* fixtures.","back_url={{BACK_URL}}, front_url={{FRONT_URL}}, email=AGENT-TEST-SR-Admin-Unassign-{{RUN_ID}}@yopmail.com, password={{TEST_USER_PASSWORD}}, org=@td(ORG_ACME.name)","--- ADMIN (setup) ---
[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click 'Add' > fill 'Email': {{email}} > fill 'Password': {{password}} > select 'Sales Rep role': Sales Representative > add {{org}} to Served organizations
[SAVE] click 'Save'
[GRID] confirm the new rep's Organizations count = 1
--- ADMIN (action under test) ---
[ACT] reopen the rep's detail blade > 'Served organizations' > remove {{org}} from the multi-select
[SAVE] click 'Save'
--- STOREFRONT ---
[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ACME_BUYER]
[NAV] {{FRONT_URL}}/company/sales-reps
[WAIT] table rows loaded","[GRID] (Admin) the rep's Organizations count reads 0 after Save {OBSERVED}
[DOM] (Storefront) no row for AGENT-TEST-SR-Admin-Unassign-{{RUN_ID}} appears in ACME_BUYER's Sales Reps table {SPEC}","[API] customerSalesReps for ACME_BUYER no longer includes the throwaway rep's id (mirrors 050m SR-GQL-012)
[API] salesRepCustomers for the unassigned rep returns totalCount=0 for @td(ORG_ACME.id) once the served-org is removed (the rep-side My-Customers/badge drop this drives — see 089 SR-FE-013/021 for the rendered empty-state contract)
[CONSOLE] no JS errors","Organizations count stays 1 after Save; the rep still appears in ACME_BUYER's list; the rep's own My Customers still shows ORG_ACME","--- ADMIN --- Delete the AGENT-TEST-SR-Admin-Unassign-{{RUN_ID}} rep via the grid's Delete action","VCST-5409, VCST-5304, VCST-5293, VCST-5469","Draft"
"SR-ADM-007","Block Rep → Moves to Blocked Tab and Is Excluded from the Buyer's Sales Reps List","Backend > Sales Rep > Admin > Sales Reps > Block","Critical","PROPOSED-BL-SR-ADMIN-BLOCK, PROPOSED-BL-SR-STATE","ECL-14.3","Admin logged in as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. A throwaway rep AGENT-TEST-SR-Admin-Block-{{RUN_ID}} is created fresh in Steps, assigned to serve @td(ORG_ACME.id) — mirrors 090 SR-FE-MSR-006's fixture role (SR_REP_BLOCKED) without touching that seeded fixture.","back_url={{BACK_URL}}, front_url={{FRONT_URL}}, email=AGENT-TEST-SR-Admin-Block-{{RUN_ID}}@yopmail.com, password={{TEST_USER_PASSWORD}}, org=@td(ORG_ACME.name)","--- ADMIN (setup) ---
[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click 'Add' > fill 'Email': {{email}} > fill 'Password': {{password}} > select 'Sales Rep role': Sales Representative > add {{org}} to Served organizations
[SAVE] click 'Save'
--- ADMIN (action under test) ---
[ACT] reopen the rep's detail blade
[ACT] click 'Block'
[WAIT] confirmation shown / blade reflects blocked state
--- STOREFRONT ---
[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ACME_BUYER]
[NAV] {{FRONT_URL}}/company/sales-reps
[WAIT] table rows loaded","[DOM] (Admin) the rep's row now appears under the Blocked Sales Reps tab {OBSERVED}
[GRID] (Admin) the Sales Reps tab's Blocked column/indicator for this rep now shows blocked {OBSERVED}
[DOM] (Storefront) no row for AGENT-TEST-SR-Admin-Block-{{RUN_ID}} appears in ACME_BUYER's Sales Reps table {SPEC}","[API] customerSalesReps for ACME_BUYER excludes the now-blocked rep's id (mirrors 050m SR-GQL-007, already proven read-side — this is the missing write-trigger proof) and 090 SR-FE-MSR-006
[CONSOLE] no JS errors on either layer","rep still appears in ACME_BUYER's list after blocking; Block action has no visible effect; rep is fully deleted instead of blocked","--- ADMIN --- Delete the AGENT-TEST-SR-Admin-Block-{{RUN_ID}} rep via the grid's Delete action (from the Blocked Sales Reps tab if needed)","VCST-5409, VCST-5304, VCST-5293","Draft"
"SR-ADM-008","Unblock Rep → Returns to Active and Reappears in the Buyer's List","Backend > Sales Rep > Admin > Sales Reps > Block","High","PROPOSED-BL-SR-ADMIN-BLOCK","","Admin logged in as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. This case creates and blocks its own throwaway rep AGENT-TEST-SR-Admin-Unblock-{{RUN_ID}} in Steps (setup block), independent of any other case's fixture, so it can run in isolation.","back_url={{BACK_URL}}, front_url={{FRONT_URL}}, email=AGENT-TEST-SR-Admin-Unblock-{{RUN_ID}}@yopmail.com, password={{TEST_USER_PASSWORD}}, org=@td(ORG_ACME.name)","--- ADMIN (setup: create, assign, block) ---
[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click 'Add' > fill 'Email': {{email}} > fill 'Password': {{password}} > select 'Sales Rep role': Sales Representative > add {{org}} to Served organizations
[SAVE] click 'Save'
[ACT] reopen the rep's detail blade > click 'Block'
[WAIT] rep moves to Blocked Sales Reps tab
--- ADMIN (action under test) ---
[NAV] Blocked Sales Reps tab
[ACT] reopen the rep's detail blade > click 'Block' again to toggle it off (unblock)
[WAIT] confirmation shown
--- STOREFRONT ---
[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ACME_BUYER]
[NAV] {{FRONT_URL}}/company/sales-reps
[WAIT] table rows loaded","[DOM] (Admin) the rep no longer appears under Blocked Sales Reps and is back on the active Sales Reps tab {OBSERVED}
[DOM] (Storefront) a row for AGENT-TEST-SR-Admin-Unblock-{{RUN_ID}} is visible again in ACME_BUYER's Sales Reps table {SPEC}","[API] customerSalesReps for ACME_BUYER includes the rep's id again after unblocking
[CONSOLE] no JS errors","rep stays on the Blocked tab after the toggle; rep does not reappear on the buyer's storefront list","--- ADMIN --- Delete the AGENT-TEST-SR-Admin-Unblock-{{RUN_ID}} rep via the grid's Delete action","VCST-5409, VCST-5304","Draft"
"SR-ADM-009","Blocked Sales Reps Tab Shows Only Blocked Reps","Backend > Sales Rep > Admin > Tabs","High","PROPOSED-BL-SR-ADMIN-TABS","","Admin logged in as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. SR_REP_BLOCKED is seeded and blocked; SR_REP_PRIMARY is seeded and active — positive control.","back_url={{BACK_URL}}, blocked_name=@td(SR_REP_BLOCKED.fullName), active_name=@td(SR_REP_PRIMARY.fullName)","[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[NAV] Blocked Sales Reps tab
[WAIT] grid loaded","[GRID] every row shown is a blocked rep, including {{blocked_name}} {OBSERVED}
[GRID] {{active_name}} (an active rep) does NOT appear on this tab {OBSERVED}","none","an active (non-blocked) rep appears on the Blocked tab; the known blocked rep is missing from it","none (read-only)","VCST-5304","Draft"
"SR-ADM-010","Not Assigned Sales Reps Tab Shows Zero-Org Reps","Backend > Sales Rep > Admin > Tabs","High","PROPOSED-BL-SR-ADMIN-TABS","","Admin logged in as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. SR_REP_NOCUSTOMERS is seeded holding sales-rep:access but serving zero orgs. SR_REP_PRIMARY (4 served orgs) is the positive control.","back_url={{BACK_URL}}, unassigned_name=@td(SR_REP_NOCUSTOMERS.fullName), assigned_name=@td(SR_REP_PRIMARY.fullName)","[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[NAV] Not assigned Sales Reps tab
[WAIT] grid loaded","[GRID] {{unassigned_name}} (0 served orgs) appears on this tab {OBSERVED}
[GRID] {{assigned_name}} (4 served orgs) does NOT appear on this tab {OBSERVED}","none","a rep with >=1 served org appears on this tab; the known zero-org rep is missing from it","none (read-only)","VCST-5304","Draft"
