ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
BSM-010,Admin SPA — Customers Contacts Blade Opens,Backend Smoke > Customers Admin,Critical,BL-CROSS-006,ECL-6.1,"Admin logged in as {{ADMIN}} (suite setup)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/customerDetails
[WAIT] Customers module blade loads
[ASSERT] contacts list visible","[BLADE] Contacts blade or Members list visible
[GRID] grid renders with Name, Email, Organization columns
[GRID] at least 1 contact row visible
[DOM] search input and 'Add' button present","[API] GET {{BACK_URL}}/api/members/search?memberType=Contact&take=10 → 200 with results.items array
[BODY] API item count > 0; count matches grid visible row count","Contacts blade shows empty grid when contacts exist, API 500 on member search, blade fails to load (Angular crash), search input non-interactive",none,"Suite 026 (Customer Contacts)",Automated
BSM-044,Admin SPA — Notification Templates Blade Opens,Backend Smoke > Notifications Admin,High,BL-CROSS-011,ECL-10.3,"Admin logged in as {{ADMIN}} (suite setup)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/notifications
[WAIT] Notifications module blade loads
[ASSERT] notification types/templates list visible","[BLADE] Notifications blade title visible (e.g., 'Notification Templates' or 'Notifications')
[GRID] list renders with notification type entries (e.g., 'OrderCreateEmailNotification', 'PasswordResetEmailNotification')
[GRID] at least 3 built-in notification template types present
[DOM] click on a template entry opens detail blade with Subject and Body fields","[API] GET {{BACK_URL}}/api/notification/templates?take=20 → 200 with non-empty array
[BODY] entries include 'type', 'kind' (Email/SMS), 'tenantId' fields","Notifications blade fails to open (404 or Angular crash), template list empty, API returns 500, clicking template does not open detail blade",none,"Suite 057 (Notifications Templates)",Automated
BSM-045,Admin SPA — Notification Logs (Sent History) Accessible,Backend Smoke > Notifications Admin,Medium,BL-CROSS-011,ECL-10.3,"Admin logged in as {{ADMIN}} (suite setup)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/notifications
[WAIT] Notifications blade loaded
[ACT] navigate to 'Notification Log' or 'Send History' tab/section
[WAIT] notification log list renders","[BLADE] Notification Log section visible
[GRID] list renders with columns: Notification Type, Sent Date, Recipient, Status (Success/Error)
[DOM] 'Retry' button or action available for failed notifications (if any failed entries)","[API] GET {{BACK_URL}}/api/notification/journal?take=10 → 200 with 'totalCount' >= 0 and 'notifications' array","Notification log section absent, API returns 500 on journal endpoint, log grid throws Angular error, failed entries show no retry option",none,"Suite 057 (Notifications Templates), Suite 058 (Notifications Triggers)",Automated
BSM-046,Admin SPA — CMS Pages Blade Opens and Lists Pages,Backend Smoke > CMS Admin,High,BL-CROSS-011,ECL-10.3,"Admin logged in as {{ADMIN}} (suite setup)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/cms
[WAIT] CMS module blade loads
[ACT] click 'Pages' section or tab
[WAIT] pages list renders","[BLADE] CMS blade visible with 'Pages' section accessible
[GRID] pages list grid renders with columns: Title, URL, Status (Published/Draft)
[GRID] at least 1 page entry visible
[DOM] 'Add Page' and 'Delete' toolbar buttons present","[API] GET {{BACK_URL}}/api/cms/pages/search?storeId={{STORE_ID}}&take=5 → 200 with 'totalCount' >= 0 and results array","CMS module fails to open (404 or Angular crash), pages blade not accessible from CMS navigation, API returns 404 (CMS module not installed), grid shows Angular error",none,"Suite 059 (CMS Page Management)",Automated
BSM-047,Admin SPA — CMS Menus Blade Opens,Backend Smoke > CMS Admin,Medium,BL-CROSS-011,ECL-10.3,"Admin logged in, CMS accessible (BSM-046 passed)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/cms
[WAIT] CMS module blade loads
[ACT] click 'Menus' or 'Navigation Menus' section
[WAIT] menus list renders","[BLADE] Menus section visible
[GRID] menu list renders (may be empty) with columns: Name, Outline/Path
[DOM] 'Add Menu' button present
[DOM] clicking a menu entry opens menu detail with menu items","[API] GET {{BACK_URL}}/api/cms/menu/<store_id> → 200 with array (may be empty)","CMS Menus section not accessible, API returns 404, clicking menu entry causes Angular error, 'Add Menu' button absent",none,"Suite 060 (CMS Design & Content)",Automated
BSM-053,Admin SPA — Assets Module Blade Opens,Backend Smoke > Assets Admin,High,BL-CROSS-011,ECL-10.3,"Admin logged in as {{ADMIN}} (suite setup)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/assets
[WAIT] Assets blade loads
[ASSERT] assets list or folder tree visible","[BLADE] Assets blade title visible (e.g., 'Assets' or 'File Manager')
[DOM] folder tree or root folders visible in left panel
[DOM] file/asset listing in right panel (may be empty for root)
[DOM] 'Upload', 'New Folder', 'Delete' toolbar controls present","[API] GET {{BACK_URL}}/api/assets?folderUrl=/ → 200 with items array (may be empty for root)
[BODY] no 500 or 403 errors on root assets endpoint","Assets blade returns 404 (module not installed), blade opens but file list throws Angular error, Upload button absent, API returns 403 on root folder",none,"Suite 064 (Assets)",Automated
BSM-054,Admin SPA — Asset Upload and List Verification,Backend Smoke > Assets Admin,Medium,BL-CROSS-011,ECL-10.3,"Admin logged in, Assets blade accessible (BSM-053 passed)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/assets
[WAIT] Assets blade loaded
[ACT] click 'New Folder' button
[WAIT] folder name input appears
[ACT] enter folder name 'bsm-smoke-test'
[ACT] confirm creation
[WAIT] new folder appears in tree
[ACT] click into the new folder
[ACT] click 'Upload' button and select a small test image file (1x1 pixel PNG)
[WAIT] upload completes","[TOAST] success notification on folder create
[DOM] 'bsm-smoke-test' folder visible in assets tree
[TOAST] upload success notification
[DOM] uploaded file appears in the folder listing with file name and size","[API] GET {{BACK_URL}}/api/assets?folderUrl=/bsm-smoke-test/ → 200 with uploaded file in items array","Folder creation fails, upload returns 500, file not visible in list after upload, folder absent from tree after creation","DELETE folder and file after test via Assets API.","Suite 064 (Assets)",Automated
BSM-057,Admin SPA — SEO URL Slugs Visible on Product Detail,Backend Smoke > SEO Admin,Medium,BL-CROSS-011,ECL-10.3,"Admin logged in, product detail accessible",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/catalog
[WAIT] Catalog blade loaded
[ACT] click first catalog, then first product row
[WAIT] product detail blade opens
[ACT] click 'SEO' tab within the product detail blade
[WAIT] SEO section renders","[DOM] SEO tab/section accessible in product detail blade
[DOM] URL slug field visible and non-empty for the product
[DOM] SEO title, meta description, and image alt text fields present
[DOM] per-language SEO entries visible if multi-language store configured","[API] GET {{BACK_URL}}/api/catalog/products/<product_id> → 200 with 'seoInfos' array containing at least 1 entry with 'semanticUrl' field","SEO tab absent from product detail, seoInfos array empty for existing products, slug field empty causing storefront 404, API does not return seoInfos field",none,"Suite 066 (SEO)",Automated
BSM-058,Platform REST API — Sitemap Schema Endpoint,Backend Smoke > SEO Admin,Medium,BL-CROSS-011,ECL-10.3,"Admin Bearer token obtained from {{BACK_URL}}/connect/token (suite setup), SEO module installed",back_url={{BACK_URL}}; bearer_token=<admin token from suite setup>; store_id={{STORE_ID}},"[HTTP] GET {{BACK_URL}}/api/sitemaps/schema?storeId={{STORE_ID}}
[SETUP] Authorization: Bearer {{bearer_token}}","[STATUS] HTTP 200 OK (or 404 if SEO module not installed — SKIP)
[BODY] response contains sitemap configuration entries
[BODY] at least 1 sitemap location defined (products, categories, or custom pages)","[STOREFRONT] GET {{FRONT_URL}}/sitemap.xml returns 200 with valid XML containing <loc> entries","HTTP 500 (module installed but broken), empty schema when store has products, storefront sitemap.xml returns 404 or malformed XML",none,"Suite 066 (SEO)",Automated
BSM-060,Admin SPA — White Labeling Settings Blade Opens,Backend Smoke > White Labeling Admin,High,"BL-B2B-006, BL-CROSS-011",ECL-10.3,"Admin logged in as {{ADMIN}} (suite setup)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/white-labeling
[WAIT] White Labeling blade loads
[ASSERT] white labeling settings visible","[BLADE] White Labeling blade title visible
[DOM] settings sections visible: Logo URL, Theme Preset, Primary Color (or similar branding fields)
[DOM] 'Organization Overrides' section or tab accessible
[DOM] 'Save Changes' button present","[API] GET {{BACK_URL}}/api/whitelabeling/settings → 200 with settings object containing branding fields
[BODY] object has at least 'logoUrl' or 'themePreset' fields","White Labeling blade returns 404 (module not installed), blade opens but settings section throws Angular error, API returns 500, 'Save Changes' button absent",none,"Suite 067 (White Labeling Admin), Suite 070 (White Labeling Storefront)",Automated
