ID,Title,Section,Type,Priority,Estimate,Preconditions,Steps,Expected Result,References,Automation Status
SEO-001,Detect broken link on SEO slug miss,Broken Pages,Functional,Critical,3m,SEO module installed (v3.802.0+),"1. Create a product with SEO slug
2. Delete or change the slug
3. Visit old URL","Broken page detected; entry created in Broken Pages list",C406874,Not Automated
SEO-002,Broken Page widget in dashboard,Broken Pages,Functional,High,2m,Broken pages exist,"1. Navigate to Admin Dashboard
2. Locate Broken Page widget","Widget displays count of broken pages",C407390,Not Automated
SEO-003,Widget opens scoped Broken Page grid,Broken Pages,Functional,High,2m,Broken Page widget visible,"1. Click on Broken Page widget","Grid opens showing all broken pages with columns: URL, status, redirect, hits",C407391 C406880,Not Automated
SEO-004,Broken page status - Active,Status Management,Functional,High,2m,Broken pages exist,"1. Navigate to Broken Pages grid
2. Filter by Active status","Active broken pages displayed",C406877,Not Automated
SEO-005,Broken page status - Resolved,Status Management,Functional,High,3m,Active broken page exists,"1. Open active broken page
2. Enter redirect URL
3. Mark as Resolved","Status transitions to Resolved; redirect URL saved",C406878 C406884,Not Automated
SEO-006,Broken page status - Accepted,Status Management,Functional,Medium,2m,Active broken page exists,"1. Open active broken page
2. Accept without redirect","Status transitions to Accepted",C406879 C406890,Not Automated
SEO-007,Display correct columns in broken page row,Grid Display,Functional,Medium,2m,Broken pages exist,"1. Navigate to Broken Pages grid
2. Verify column data","Each row shows URL, status, redirect URL, hit count, description",C406880,Not Automated
SEO-008,Open row for redirect edit,Redirect Management,Functional,High,2m,Broken page exists,"1. Click on broken page row","Redirect edit blade opens with URL and status fields",C406883,Not Automated
SEO-009,Save redirect URL and resolve,Redirect Management,Functional,Critical,3m,Broken page in Active status,"1. Open broken page row
2. Enter redirect URL
3. Save and set status to Resolved","Redirect URL saved; status changed to Resolved",C406884,Not Automated
SEO-010,Display target description,Redirect Management,Functional,Medium,2m,Broken page with redirect configured,"1. Open resolved broken page","Target description displayed for redirect URL",C406885,Not Automated
SEO-011,Update redirect after resolution,Redirect Management,Functional,Medium,2m,Resolved broken page exists,"1. Open resolved broken page
2. Change redirect URL
3. Save","Redirect URL updated successfully",C406886,Not Automated
SEO-012,Reject empty or invalid redirect,Redirect Management,Negative,Medium,2m,Broken page open,"1. Leave redirect URL empty
2. Attempt to resolve
3. Enter invalid URL format
4. Attempt to resolve","Validation error; empty/invalid redirect rejected",C406887,Not Automated
SEO-013,Frontend redirect for broken page,Storefront Verification,E2E,High,3m,Broken page resolved with redirect URL,"1. Visit broken page URL on frontend","User redirected to configured redirect URL",C406888 C407399,Not Automated
SEO-014,Frontend 404 for unresolved broken page,Storefront Verification,E2E,High,3m,Broken page without redirect,"1. Visit broken page URL on frontend","404 page displayed",C406889 C407398,Not Automated
SEO-015,Column sorting functionality,Grid Operations,Functional,Medium,2m,Multiple broken pages exist,"1. Click column headers to sort
2. Verify sort order","Columns sort correctly (ascending/descending)",C407393,Not Automated
SEO-016,Search functionality in broken pages,Grid Operations,Functional,Medium,2m,Multiple broken pages exist,"1. Enter search term in search field
2. Verify filtered results","Broken pages filtered by search term",C407394,Not Automated
SEO-017,Status filtering and management,Grid Operations,Functional,Medium,3m,Broken pages in various statuses,"1. Filter by Active status
2. Filter by Resolved status
3. Filter by Accepted status","Status filter works correctly for each status type",C407395,Not Automated
SEO-018,Bulk operations management,Grid Operations,Functional,Medium,3m,Multiple broken pages exist,"1. Select multiple broken pages
2. Perform bulk resolve/accept/delete","Bulk operations applied to all selected items",C407397,Not Automated
SEO-019,Complete redirect workflow validation,Workflow,E2E,High,5m,SEO module installed,"1. Create product with SEO slug
2. Change slug to break old URL
3. Detect broken page in admin
4. Set redirect URL and resolve
5. Visit old URL on frontend","End-to-end redirect workflow: detection > resolution > frontend redirect",C407400,Not Automated
SEO-020,Hit count tracking validation,Analytics,Functional,Medium,3m,Broken page exists,"1. Visit broken URL multiple times
2. Check hit count in admin","Hit count increments with each visit",C407401,Not Automated
