"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"C410416","Registration form > PERSONAL> general view","","","Medium","Registration  (Desktop+Mobile)","0","","Registration  (Desktop+Mobile)","","Step Description:
1. Click the link  from the header Registration
Expected Result:
1. User redirect to the registration page 
2. Registration form opens","","1. User redirect to the registration page 
2. Registration form opens","","1. Click the link  from the header Registration","Automated"
"","","","","","","","","","","
Step Description:
1. Open home page.
2. On sigh in form click button Register
Expected Result:
1. User redirect to the registration page 
2. Registration form opens","","1. User redirect to the registration page 
2. Registration form opens","","1. Open home page.
2. On sigh in form click button Register",""
"","","","","","","","","","","
Step Description:
1. Open the Sign-in page from the header.
2. On sigh in form click button Register
Expected Result:
1. User redirect to the registration page 
2. Registration form opens","","1. User redirect to the registration page 
2. Registration form opens","","1. Open the Sign-in page from the header.
2. On sigh in form click button Register",""
"","","","","","","","","","","
Step Description:
1. Check the register form page.
Expected Result:
1. Next elements are presented:
- Header is the same as on usual pages for Anonymous User.
- Footer is the same as on usual pages.
- Registration form



","","1. Next elements are presented:
- Header is the same as on usual pages for Anonymous User.
- Footer is the same as on usual pages.
- Registration form



","","1. Check the register form page.",""
"","","","","","","","","","","
Step Description:
1. Check the Registration form
Expected Result:
1. The title Registration
2. Switcher between  Personal and Organization( selected by default) accounts 
3. Registration form contains next fields:
- First name (required) 
- Last name (required)  
- Email (required) 
- Password (required) with eye icon
- Confirm password (required) with eye icon
4. Button Register 
5. Tips for creating a strong password 


 





","","1. The title Registration
2. Switcher between  Personal and Organization( selected by default) accounts 
3. Registration form contains next fields:
- First name (required) 
- Last name (required)  
- Email (required) 
- Password (required) with eye icon
- Confirm password (required) with eye icon
4. Button Register 
5. Tips for creating a strong password 


 





","","1. Check the Registration form",""
"C410417","Create account > PERSONAL user","","","Medium","Registration  (Desktop+Mobile)","0","","Registration  (Desktop+Mobile)","","Step Description:
1. Enter necessary information:
- First name
- Last name
- Email  
- Password
- Confirm password
2. Click the button Sign up (enabled by default)


Expected Result:
1. The page with the text """"Registration successfully completed""""
2. """"Home page"""" button","","1. The page with the text ""Registration successfully completed""
2. ""Home page"" button","","1. Enter necessary information:
- First name
- Last name
- Email  
- Password
- Confirm password
2. Click the button Sign up (enabled by default)

","Automated"
"","","","","","","","","","","
Step Description:
1. Click on the button Home page 
Expected Result:
1. Home page opens.","","1. Home page opens.","","1. Click on the button Home page ",""
"","","","","","","","","","","
Step Description:
1.  Check the mail
Expected Result:
1. Mail that Registration was success received","","1. Mail that Registration was success received","","1.  Check the mail",""
"","","","","","","","","","","
Step Description:
1. Try to log in as User_1 using email
Expected Result:
1.  User_1 logged in store","","1.  User_1 logged in store","","1. Try to log in as User_1 using email",""
"","","","","","","","","","","
Step Description:
1. Go to Admin Environment &gt; Contacts
2. Check the Contact_1
Expected Result:
1. Contact_1 created","","1. Contact_1 created","","1. Go to Admin Environment &gt; Contacts
2. Check the Contact_1",""
