"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"CAT-001","Category Navigation - Main Menu","Catalog > Navigation","High","BL-CAT-001",,"User logged in; catalog populated","url={{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}
[ACT] click the main-menu 'All products' entry
[WAIT] wait for the mega-menu panel to render
[ACT] click a top-level category in the mega-menu panel
[WAIT] wait for the category page to load","[DOM] main menu exposes the catalog entry point ('All products') as a flat mega-menu — there is NO per-item hover flyout in this theme {OBSERVED}
[DOM] every top-level category in the opened 'All products' panel is present as a link with non-empty label text and an href {OBSERVED}
[NAV] category page loads with a URL slug matching the clicked category {OBSERVED}
[DOM] the category page 'h1' heading text equals the label of the clicked category entry {OBSERVED}","[NETWORK] GET category page returns HTTP 200
[CONSOLE] no TypeError or JS errors","Spinner >5s; mega-menu panel not rendering on click; category page returns 4xx; category heading does not match the clicked entry; console TypeError","none","regression-qa-theme-26.csv","Automated"
"CAT-002","Category Page - Product Grid View","Catalog > Display","High","BL-CAT-001",,"Category with products exists","url={{FRONT_URL}}","[NAV] Navigate to any category page on {{FRONT_URL}}
[ACT] Click 'Grid view' icon
[WAIT] Wait for layout to update
[ASSERT] Verify product cards display in grid","[DOM] Products shown in multi-column grid layout
[DOM] Each card shows image, name, and price
[DOM] Quantity stepper (+) present on each card","[NETWORK] no 4xx/5xx on category page request
[CONSOLE] no TypeError or JS errors","Products not displaying; grid layout broken; images not loading; console TypeError","none","regression-qa-theme-26.csv","Automated"
"CAT-003","Category Page - Product List View","Catalog > Display","High","BL-CAT-001",,"Category with products exists","url={{FRONT_URL}}","[NAV] Navigate to any category page on {{FRONT_URL}}
[ACT] Click 'List view' icon
[WAIT] Wait for layout to update
[ASSERT] Verify list layout renders","[DOM] Products shown in single-column list format
[DOM] More detail visible per product compared to grid
[DOM] Quantity stepper (+) accessible in list view","[NETWORK] no 4xx/5xx on layout toggle request
[CONSOLE] no TypeError or JS errors","List layout not switching; products missing in list view; actions inaccessible; console TypeError","none","regression-qa-theme-26.csv","Automated"
"CAT-007","Category - Sorting Options (API-driven sortings)","Catalog > Sorting","Medium","BL-CAT-005",,"Category with multiple products; storefront uses vc-frontend theme 2.52+ which builds sort dropdown from API sortings","url={{FRONT_URL}}","[NAV] Navigate to a category page on {{FRONT_URL}}
[WAIT] Wait for sort dropdown to render
[ASSERT] Snapshot the sort dropdown — capture all visible option labels (live-discover from DOM; do NOT assume specific label text)
[ASSERT] Verify at least 2 sort options are present
[ASSERT] Identify the price-ascending option by code match (code: price-ascending); note its live label as {price_asc_label}
[ASSERT] Capture first product card ID before sorting → {first_id_default}
[ACT] Click the combobox to open the sort dropdown (VcSelect: click the combobox to open, then click the option by accessible name — do NOT use native select-option)
[ACT] Click the {price_asc_label} option by accessible name
[WAIT] Wait for products to reorder; verify ?sort=price-ascending in URL
[ASSERT] Verify combobox accessible name = {price_asc_label} (selection reflected)
[ASSERT] Capture first product card ID → {first_id_asc}
[ACT] Click the combobox and select the price-descending option (code: price-descending) by its live label
[WAIT] Wait for products to reorder; verify ?sort=price-descending in URL
[ASSERT] Verify combobox accessible name = price-descending label
[ASSERT] Capture first product card ID → {first_id_desc}
[ASSERT] Verify {first_id_asc} != {first_id_desc} (ascending and descending produce different first items — server-authoritative direction oracle; do NOT assert monotonic price order — indexed price diverges from pack/variation-resolved price.actual)
[ACT] Scroll to the bottom of the product grid to trigger infinite-scroll load-more (storefront uses infinite scroll on category pages — no numbered pager)
[WAIT] Wait for the next batch to append
[ASSERT] Verify combobox accessible name still = price-descending label after scroll-load (sort persists)
[ASSERT] Verify URL still contains ?sort=price-descending after scroll (no ?page param)","[DOM] Sort dropdown combobox visible with options sourced from API sortings (at least 2 options; no hardcoded label assumptions)
[STATE] Combobox accessible name reflects the selected option after each selection
[STATE] {first_id_asc} != {first_id_desc} — sort direction has observable effect on result order (server-authoritative oracle; no monotonic-price assertion)
[STATE] Sort combobox accessible name persists after infinite-scroll load-more
[NAV] URL contains ?sort=<code> for non-default selections; no ?page param (infinite scroll)","[NETWORK] no 4xx/5xx on sort change request
[NETWORK] POST /graphql (products) includes sort parameter in request; scroll fires continuation with same sort code
[CONSOLE] no TypeError or JS errors","Sort dropdown combobox not rendering; native select-option failing on VcSelect; combobox accessible name not updating on selection; {first_id_asc} == {first_id_desc} (sort direction not applied); combobox name resetting after infinite-scroll load-more; console TypeError","none","VCST-5177; regression-qa-theme-26.csv; Synced: VCST-5177 (2026-06-26); Corrected: VcSelect combobox + infinite-scroll + no-monotonic-price oracle (2026-06-26)","synced"
"CAT-035","Brands Page Loads","Catalog > Brands","Medium","BL-CAT-001",,"Store has brand data configured; brands page enabled","url={{FRONT_URL}}/Brands","[NAV] Navigate to {{FRONT_URL}}/Brands
[WAIT] Wait for page to load completely
[ASSERT] Verify brand list or grid is displayed
[ASSERT] Check browser console for JavaScript errors","[NAV] /Brands page loads without errors (HTTP 200)
[DOM] Brand list or grid displayed
[DOM] Each brand entry shows brand name (and logo/image if configured)
[DOM] Page title or heading confirms Brands context","[NETWORK] GET /Brands returns HTTP 200
[CONSOLE] no TypeError or JS errors","Brands page returns 4xx/5xx; brand list empty when brands exist; brand images failing to load; console TypeError","none","Coverage Gap Analysis","Draft"
"CAT-036","Brand Navigation","Catalog > Brands","Medium","BL-CAT-001",,"Brands page loaded; at least one brand with products exists","url={{FRONT_URL}}/Brands","[NAV] Navigate to {{FRONT_URL}}/Brands
[ASSERT] Verify at least one brand entry is visible
[ACT] Click on a brand entry
[WAIT] Wait for brand product listing page to load
[ASSERT] Verify page heading or breadcrumb shows selected brand name
[ASSERT] Verify all listed products belong to the selected brand","[NAV] Clicking brand navigates to a brand-filtered product listing page
[DOM] Page heading or breadcrumb shows selected brand name
[STATE] All displayed products associated with the selected brand
[DOM] Facet filters available on brand result page
[STATE] URL reflects brand filter context","[NETWORK] GET brand listing page returns HTTP 200
[CONSOLE] no TypeError or JS errors","Brand entry not clickable; brand listing page returns 4xx; non-brand products appearing in brand listing; console TypeError","none","Coverage Gap Analysis","Draft"
"CAT-037","Brand Link Navigates to Filtered Product Listing","Catalog > Brands","Medium","BL-CAT-001",,"Brands page loaded; at least one brand entry is visible","url={{FRONT_URL}}/Brands","[NAV] Navigate to {{FRONT_URL}}/Brands
[ASSERT] Locate a brand link in the A-Z brand name index
[ACT] Click on that brand link
[WAIT] Wait for brand product listing page
[ASSERT] Verify the listing page displays product cards filtered to the selected brand
[ASSERT] Verify the URL or active filter/breadcrumb reflects the selected brand","[DOM] Selected brand link navigates to a listing page showing product cards filtered by that brand
[STATE] Listing page URL or active filter/breadcrumb reflects the selected brand","[NETWORK] GET brand listing returns HTTP 200
[CONSOLE] no TypeError or JS errors","Brand link does not navigate to a filtered listing; listing shows unfiltered/all products; console TypeError","none","Coverage Gap Analysis","Draft"
"CAT-040","PDP SEO - Meta Tags and Open Graph Tags","Catalog > SEO","Medium","BL-CAT-006",,"Any product with SEO info configured (meta title and description set in admin) exists in the B2B virtual catalog","url={{FRONT_URL}}","[NAV] Navigate to any product detail page on {{FRONT_URL}} (resolve any in-stock product slug at runtime)
[WAIT] Wait for PDP to fully render
[ACT] Open browser DevTools Elements panel
[ASSERT] Inspect <head> section for meta tags
[ASSERT] Verify meta title tag is present and non-empty
[ASSERT] Verify meta description tag is present and non-empty
[ASSERT] Verify canonical URL tag is present and points to correct PDP URL
[ASSERT] Verify og:title, og:description, og:image, og:url tags are present
[ASSERT] Verify og:image points to a valid product image URL","[DOM] <title> or meta[name=title] is present and non-empty
[DOM] meta[name=description] is present with meaningful content (not empty or placeholder)
[DOM] link[rel=canonical] present with href matching current PDP URL (no query params)
[DOM] meta[property=og:title] present and non-empty
[DOM] meta[property=og:description] present and non-empty
[DOM] meta[property=og:image] present with non-empty image URL
[DOM] meta[property=og:url] present and matches canonical URL","[NETWORK] og:image URL returns HTTP 200 (image is accessible)
[CONSOLE] no TypeError or JS errors","Meta title missing or showing generic site title; meta description empty; canonical URL absent or pointing to wrong page; og:tags missing; og:image returning 404; console TypeError","none","Checklist #4 SEO, GAP-CS-02","Draft"
"CAT-041","Category Page SEO - JSON-LD BreadcrumbList and Canonical URL","Catalog > SEO","Medium","BL-CAT-001, BL-CAT-006",,"Category page with at least one level of subcategory hierarchy exists","url={{FRONT_URL}}","[NAV] Navigate to any subcategory page on {{FRONT_URL}} (a category with parent > child structure)
[WAIT] Wait for page to fully render
[ACT] Open browser DevTools Elements panel
[ASSERT] Inspect <head> for canonical URL
[ASSERT] Search for <script type=application/ld+json> in page source
[ASSERT] Verify JSON-LD contains @type: BreadcrumbList
[ASSERT] Verify breadcrumb items match the visible breadcrumb trail on page
[ASSERT] Verify each breadcrumb item has name and item (URL) properties","[DOM] link[rel=canonical] present with href matching current category URL
[DOM] JSON-LD script tag present with @type: BreadcrumbList
[DOM] BreadcrumbList itemListElement array has correct number of items matching visible breadcrumbs
[DOM] Each itemListElement has @type: ListItem, position (integer), name, and item (URL)
[DOM] Breadcrumb positions are sequential starting from 1
[FORMAT] JSON-LD is valid JSON (no parse errors)","[NETWORK] GET category page returns HTTP 200
[CONSOLE] no JSON parse errors from structured data
[CONSOLE] no TypeError or JS errors","Canonical URL missing or pointing to wrong category; JSON-LD absent from page; BreadcrumbList items not matching visible breadcrumbs; JSON-LD parse errors; console TypeError","none","Checklist #4 SEO, GAP-CS-02","Draft"
"CAT-042","Multi-Level Category Navigation with Breadcrumbs","Catalog > Navigation","Medium","BL-CAT-001",,"Category hierarchy exists with at least 3 levels (top-level > subcategory > sub-subcategory)","url={{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}} main catalog page
[ACT] Click on a top-level category in the navigation menu
[WAIT] Wait for top-level category page to load
[ASSERT] Verify breadcrumb shows: Home > [Top-Level Category]
[ASSERT] Verify URL slug matches category name
[ACT] Click on a subcategory within the top-level category
[WAIT] Wait for subcategory page to load
[ASSERT] Verify breadcrumb shows: Home > [Top-Level] > [Subcategory]
[ASSERT] Verify URL updates to include subcategory slug
[ACT] Click on a sub-subcategory if available
[WAIT] Wait for sub-subcategory page to load
[ASSERT] Verify breadcrumb shows: Home > [Top-Level] > [Sub] > [Sub-Sub]
[ACT] Click the top-level breadcrumb link
[WAIT] Wait for navigation
[ASSERT] Verify navigation back to top-level category page","[DOM] Breadcrumb trail updates correctly at each navigation level
[NAV] URL slug updates to reflect current category hierarchy at each level
[DOM] Category heading matches the currently selected category at each level
[DOM] Each breadcrumb item is a clickable link (except the current page)
[NAV] Clicking a breadcrumb ancestor navigates to that level
[DOM] Products displayed are relevant to the current category level","[NETWORK] GET each category page returns HTTP 200
[CONSOLE] no TypeError or JS errors","Breadcrumbs not updating at deeper levels; URL not reflecting category hierarchy; breadcrumb links not navigable; heading mismatching current category; console TypeError","none","Checklist #3, GAP-CS-03","Draft"
