"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"GA-001","Login Event - User Authentication","GA Events > Login","Medium","BL-GA4-004","ECL-14.3","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
Valid user account; DevTools Console open","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] navigate to {{FRONT_URL}}/sign-in
[ACT] fill email field with {{USER_EMAIL}}
[ACT] fill password field with {{USER_PASSWORD}}
[ACT] click Sign In button
[WAIT] wait for homepage to load
[ASSERT] execute window.dataLayer in console and inspect config event","[STATE] gtm.load event present in dataLayer
[STATE] user_id set in GA config object
[FORMAT] currency field present in GA config
[FORMAT] language field present in GA config","[CONSOLE] no JS errors during login flow
[NETWORK] no 4xx/5xx on auth API requests
[API] login GraphQL mutation returns valid userId","GA config event absent from dataLayer; user_id missing or null after login; currency/language fields missing from config","Navigate away or close session","google-analytics","Automated"
"GA-002","view_item_list - Category Page","GA Events > Catalog","High","BL-GA4-001","ECL-14.3","[PRE:SIGNIN_AS:USER_DEFAULT]
User logged in; DevTools Console open","url={{FRONT_URL}}/snacks
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] navigate to {{FRONT_URL}}/snacks
[WAIT] wait for product grid to load
[ASSERT] execute window.dataLayer.filter(e => e[1] === 'view_item_list') in console
[ASSERT] inspect returned event object","[STATE] event name = view_item_list present in dataLayer
[DOM] item_list_id field is non-empty string
[DOM] item_list_name includes category name
[FORMAT] items_skus is CSV string of product SKUs
[MATH] items_count matches number of visible products on page","[CONSOLE] no JS errors on category page load
[NETWORK] no 4xx/5xx on catalog API requests
[API] GraphQL category query returns products array","view_item_list absent from dataLayer; items_count mismatches visible product count; items_skus empty or malformed","Navigate away from category page","google-analytics","Automated"
"GA-003","view_item - Product Detail Page","GA Events > Product","High","BL-GA4-001","ECL-14.3","[PRE:SIGNIN_AS:USER_DEFAULT]
User logged in; DevTools open","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] navigate to any product detail page on {{FRONT_URL}}
[WAIT] wait for product name and price to render
[ASSERT] execute window.dataLayer.filter(e => e[1] === 'view_item') in console
[ASSERT] inspect returned event object and items[0]","[STATE] event name = view_item present in dataLayer
[FORMAT] currency = USD
[MATH] value equals displayed product price
[DOM] items[0].item_id equals product SKU
[DOM] items[0].item_name equals product name
[MATH] items[0].price matches displayed price
[DOM] item_category hierarchy up to 5 levels present","[CONSOLE] no JS errors on product page load
[NETWORK] no 4xx/5xx on product detail API
[API] GraphQL product query returns price and category data","view_item absent from dataLayer; value mismatches page price; item_category hierarchy missing or truncated","Navigate away from PDP","google-analytics","Automated"
"GA-004","select_item - Product Click from List","GA Events > Catalog","Medium","BL-GA4-001","ECL-14.3","[PRE:SIGNIN_AS:USER_DEFAULT]
User on category page","url={{FRONT_URL}}/snacks
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] navigate to {{FRONT_URL}}/snacks
[WAIT] wait for product grid to load
[ACT] click on a product title link
[ASSERT] before navigation completes execute window.dataLayer.filter(e => e[1] === 'select_item') in console","[STATE] event name = select_item present in dataLayer
[DOM] item_list_id field is non-empty
[DOM] item_list_name field is non-empty
[DOM] items array contains clicked product details","[CONSOLE] no JS errors on product card click
[NETWORK] no 4xx/5xx during navigation
[API] no GraphQL errors","select_item absent from dataLayer; item_list_id or item_list_name missing; items array empty after click","Navigate back to category","google-analytics","Automated"
"GA-005","add_to_cart - Add Product","GA Events > Cart","Critical","BL-GA4-002","ECL-14.3","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
User on product page; DevTools open","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] navigate to any product detail page on {{FRONT_URL}}
[WAIT] wait for Add to Cart button to be enabled
[ACT] click Add to Cart button
[WAIT] wait for cart badge to update
[ASSERT] execute window.dataLayer.filter(e => e[1] === 'add_to_cart') in console","[STATE] event name = add_to_cart present in dataLayer
[DOM] source_route matches current page URL
[FORMAT] currency = USD
[MATH] value equals product price
[DOM] items array contains added product","[CONSOLE] no JS errors after add-to-cart click
[NETWORK] no 4xx/5xx on cart addItem mutation
[API] addItem GraphQL mutation errors[] is empty","add_to_cart absent from dataLayer; source_route missing or wrong; value mismatches product price","Remove added item from cart","google-analytics","Automated"
"GA-006","view_cart - Cart Page Load","GA Events > Cart","High","BL-GA4-002","ECL-14.3","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Products already in cart","url={{FRONT_URL}}/cart
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] navigate to {{FRONT_URL}}/cart
[WAIT] wait for cart line items to render
[ASSERT] execute window.dataLayer.filter(e => e[1] === 'view_cart') in console
[ASSERT] inspect returned event object","[STATE] event name = view_cart present in dataLayer
[FORMAT] currency = USD
[MATH] value equals displayed cart subtotal
[DOM] items array contains all cart line items
[MATH] items_count matches number of distinct line items","[CONSOLE] no JS errors on cart page load
[NETWORK] no 4xx/5xx on cart query
[API] GraphQL cart query returns correct line items","view_cart absent from dataLayer; value mismatches cart total; items_count wrong","No cleanup needed — read-only","google-analytics","Automated"
"GA-007","update_cart_item - Quantity Change","GA Events > Cart","Medium","BL-GA4-002","ECL-7.1, ECL-14.3","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Product in cart; on cart page","url={{FRONT_URL}}/cart
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] navigate to {{FRONT_URL}}/cart
[WAIT] wait for line items to render
[ACT] increase quantity of first line item using quantity stepper
[WAIT] wait for cart total to update
[ASSERT] execute window.dataLayer.filter(e => e[1] === 'update_cart_item') in console","[STATE] event name = update_cart_item present in dataLayer
[DOM] item_id equals updated product SKU
[MATH] new_quantity equals the updated quantity value
[MATH] previous_quantity equals the original quantity before change","[CONSOLE] no JS errors on quantity update
[NETWORK] no 4xx/5xx on cart changeItem mutation
[API] changeItem GraphQL mutation errors[] is empty","update_cart_item absent from dataLayer; new_quantity or previous_quantity wrong; stale quantity values in event","Restore original quantity or remove item","google-analytics","Automated"
"GA-008","remove_from_cart - Remove Item","GA Events > Cart","Medium","BL-GA4-002","ECL-7.1, ECL-14.3","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Product in cart; on cart page","url={{FRONT_URL}}/cart
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] navigate to {{FRONT_URL}}/cart
[WAIT] wait for line items to render
[ACT] click Remove button on first line item
[WAIT] wait for item to disappear from cart
[ASSERT] execute window.dataLayer.filter(e => e[1] === 'remove_from_cart') in console","[STATE] event name = remove_from_cart present in dataLayer
[FORMAT] currency = USD
[MATH] value equals removed item price × quantity
[DOM] items array contains the removed product","[CONSOLE] no JS errors on item removal
[NETWORK] no 4xx/5xx on cart removeItem mutation
[API] removeItem GraphQL mutation errors[] is empty","remove_from_cart absent from dataLayer; value does not match removed item total; items array empty or wrong product","No cleanup — item already removed","google-analytics","Automated"
"GA-009","clear_cart - Clear All Items","GA Events > Cart","Low","BL-GA4-002","ECL-14.3","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Cart will be seeded with multiple items inside the test (RESET_CART empties it first)","url={{FRONT_URL}}/cart
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[ACT] Ensure the cart has 2+ line items — if empty after RESET_CART, add 2 distinct in-stock products from the catalog
[NAV] navigate to {{FRONT_URL}}/cart
[WAIT] wait for the line items to render
[ACT] Record the pre-clear cart total and the number of line items (for comparison)
[ACT] click Clear Cart button
[ACT] confirm the clear action in dialog
[WAIT] wait for cart to show empty state
[ASSERT] execute window.dataLayer.filter(e => e[1] === 'clear_cart') in console and read its params (entry[2])","[STATE] A clear_cart event is present (entry e[1]==='clear_cart')
[FORMAT] params currency = USD
[MATH] params value equals the cart total recorded BEFORE clearing (a positive amount > 0) — clear_cart reports the value of the cart that was cleared, NOT 0
[DOM] params items[] is NON-EMPTY and lists the line items that were in the cart at clear time (each with item_id, item_name, price, quantity)
[MATH] params items_count equals the number of line items that were in the cart before clearing (> 0)
[STATE] By GA4 convention this event documents WHAT WAS CLEARED — do NOT expect value=0 or an empty items array","[CONSOLE] no JS errors during cart clear
[NETWORK] no 4xx/5xx on clear cart mutation
[API] clearCart GraphQL mutation errors[] is empty","clear_cart absent from dataLayer; value is 0 or items[] empty (would mean it failed to report the cleared cart contents); items_count does not match the number of items that were cleared","Re-add test items to cart if needed for subsequent tests","google-analytics; vc-frontend google-analytics/events.ts (clearCart) + cart.vue (analytics clearCart on empty)","Automated"
"GA-010","begin_checkout - Start Checkout","GA Events > Checkout","Critical","BL-GA4-003","ECL-14.3","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Products in cart; on cart page","url={{FRONT_URL}}/cart
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] navigate to {{FRONT_URL}}/cart
[WAIT] wait for cart page to fully load with all line items
[ASSERT] execute window.dataLayer.filter(e => e[1] === 'begin_checkout') in console
[ASSERT] inspect returned event object","[STATE] event name = begin_checkout present in dataLayer
[FORMAT] currency = USD
[MATH] value equals displayed cart total
[DOM] items array contains all cart line items
[MATH] items_count matches number of distinct line items","[CONSOLE] no JS errors on cart page load
[NETWORK] no 4xx/5xx on cart query
[API] GraphQL cart query returns correct items and total","begin_checkout absent from dataLayer; value mismatches cart total; items_count wrong","No cleanup needed","google-analytics","Automated"
