"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"B2C-SHIP-001","Ship To - View Saved Addresses","B2C Features > Ship To","Critical","BL-B2C-003","","User logged in, saved addresses exist on personal account (/account/addresses is personal-only; org users see address management via /company/info)","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","1. [NAV] Navigate to {{FRONT_URL}}/account/addresses
2. [WAIT] Page loads — verify address list section visible
3. [ASSERT] Verify address list displays saved addresses
4. [ASSERT] Verify each address shows: Name, Street, City, State, ZIP, Phone
5. [ASSERT] Verify default address is marked
6. [ASSERT] Verify search/filter controls visible if page has search capability (backed by currentCustomerAddresses query)","[DOM] Address list displays all saved addresses
[DOM] Each address shows full details (Name, Street, City, State, ZIP, Phone)
[DOM] Default address has 'Default' badge
[DOM] Edit and Delete options visible per address
[DOM] If search/keyword input present: input is accessible and functional
[DOM] If facet filters present (Country/State/City): dropdowns are rendered and selectable","[API] currentCustomerAddresses query called on page load; errors[] is empty; totalCount matches visible item count
[CONSOLE] no uncaught JS errors","Address list empty when addresses exist; default badge missing; address details incomplete; currentCustomerAddresses errors[] non-empty on page load","none","VCST-4575; Synced TLC-2026-04-23-1700 (currentCustomerAddresses backing + UI controls)","Automated"
"B2C-SHIP-002","Ship To - Add New Address","B2C Features > Ship To","Critical","BL-B2C-003","ECL-5.1","User logged in on personal account. Address form backed by updateMemberAddresses mutation. If checkDuplicateAddress is called before submit, a warning is shown for duplicate; unique address should save without warning.","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","1. [NAV] Navigate to {{FRONT_URL}}/account/addresses
2. [ACT] Click 'Add New Address'
3. [ACT] Fill form: First Name: Jane, Last Name: Doe, Address: 456 New St, City: Springfield, State: IL, ZIP: 62701, Phone: 555-987-6543
4. [ACT] Optionally check 'Set as default'
5. [ACT] Click Save
6. [WAIT] Page/form response
7. [ASSERT] Verify address saved and appears in list","[DOM] Add address button visible
[DOM] Form displays all required fields
[DOM] State dropdown populated based on country
[DOM] Success message: 'Address added' or equivalent toast
[DOM] New address appears in list
[DOM] Default badge shown if set as default
[DOM] If checkDuplicateAddress is wired to the form: no duplicate warning for a genuinely new address","[API] updateMemberAddresses mutation returns HTTP 200; errors[] is empty
[API] If checkDuplicateAddress called before submit: isDuplicated = false for the new unique address; errors[] empty
[CONSOLE] no uncaught JS errors","Add address button missing; form missing required fields; address not appearing in list after save; validation not applied to ZIP or phone; duplicate warning shown for a new unique address (false positive)","none","VCST-4575; VCST-4710 (checkDuplicateAddress wired to add-address form); Synced TLC-2026-04-23-1700","Automated"
"B2C-SHIP-003","Ship To - Edit Address","B2C Features > Ship To","High","BL-B2C-003","","Saved address exists","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","1. [NAV] Navigate to Addresses
2. [ACT] Click Edit on an address
3. [ACT] Modify street to '456 New St Apt 2B'
4. [ACT] Modify phone number
5. [ACT] Click Save
6. [ASSERT] Verify address updated in list","[DOM] Edit button or link available per address
[STATE] Form pre-filled with current address data
[DOM] Updated address displays new street and phone
[DOM] Historical orders using this address are unaffected","[CONSOLE] no uncaught JS errors","Edit button missing; form not pre-filled; updates not saving; historical orders show incorrect updated address","none","VCST-4575","Automated"
"B2C-SHIP-004","Ship To - Delete Address","B2C Features > Ship To","High","BL-B2C-003","","Non-default address exists","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","1. [NAV] Navigate to Addresses
2. [ACT] Click Delete on a non-default address
3. [ASSERT] Verify confirmation prompt
4. [ACT] Confirm deletion
5. [ASSERT] Verify address removed from list","[DOM] Delete option available (not shown for default address)
[DOM] Confirmation prompt: 'Delete this address?'
[DOM] Address removed from list after confirmation
[DOM] Cannot delete default address (UI prevents it)","[CONSOLE] no uncaught JS errors","Delete available for default address; no confirmation prompt; address not removed after deletion","none","VCST-4575","Automated"
"B2C-SHIP-005","Ship To - Set Default Address","B2C Features > Ship To","High","BL-B2C-003","","Multiple addresses exist","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","1. [NAV] Navigate to Addresses
2. [ACT] Click 'Set as Default' on a non-default address
3. [ASSERT] Verify default badge moves to new address
4. [ASSERT] Verify only one default address exists","[STATE] Only one address has 'Default' badge at any time
[DOM] Previous default loses badge; new default gains badge
[DOM] New default appears first in address list
[DOM] Default pre-selected in checkout","[CONSOLE] no uncaught JS errors","Multiple addresses showing Default badge simultaneously; badge not updating; new default not used in checkout","none","VCST-4575","Automated"
"B2C-SHIP-006","Ship To - Select Address in Checkout","B2C Features > Ship To","Critical","BL-B2C-003","","Multiple saved addresses, in checkout","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","1. [NAV] Proceed to checkout
2. [ASSERT] Verify default address pre-selected
3. [ACT] Click 'Change' or open address selector
4. [ASSERT] Verify address list displays all saved addresses
5. [ACT] Select a different address
6. [ASSERT] Verify shipping address updates in checkout","[STATE] Default address pre-selected on checkout load
[DOM] All saved addresses listed in selector
[DOM] Selecting updates shipping address in order summary
[FORMAT] Shipping costs may update based on selected address","[CONSOLE] no uncaught JS errors","Default address not pre-selected; address selector not showing all addresses; shipping cost not updating after address change","none","VCST-4575","Automated"
"B2C-SHIP-007","Ship To - Header Selector/Dropdown","B2C Features > Ship To","High","BL-B2C-003","","User logged in, multiple addresses","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","1. [NAV] Locate Ship To selector in header
2. [ACT] Click Ship To selector
3. [ASSERT] Verify dropdown shows addresses
4. [ACT] Select a different address
5. [ASSERT] Verify selection updates
6. [ASSERT] Verify context switches (pricing may update for region)","[DOM] Ship To selector visible in header (near account menu)
[DOM] Shows current default address (truncated)
[DOM] Clicking opens dropdown with all addresses
[STATE] Selection updates immediately
[DOM] Pricing, availability, or shipping context switches after selection","[CONSOLE] no uncaught JS errors","Ship To selector missing from header; dropdown not opening; context not switching after address selection","none","VCST-4575","Manual"
"B2C-SHIP-008","Ship To - Add Address During Checkout","B2C Features > Ship To","High","BL-B2C-003","","User in checkout","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","1. [NAV] Navigate to checkout
2. [ACT] Click 'Add New Address' in shipping section
3. [ACT] Fill address form
4. [ACT] Check 'Save for future' (optional)
5. [ACT] Click 'Use This Address'
6. [ASSERT] Verify address used in checkout
7. [ACT] Complete order
8. [NAV] Navigate to Addresses page
9. [ASSERT] Verify address saved if checkbox was selected","[DOM] Add new address option available inline in checkout
[STATE] Address used immediately for the current order
[DOM] If 'Save for future' checked: address appears in Addresses list after order
[DOM] If not saved: address used for order only","[CONSOLE] no uncaught JS errors","Add address option missing in checkout; address not used for current order; address not persisted when save option checked","none","VCST-4575","Automated"
"B2C-SHIP-009","Ship To - Address Validation","B2C Features > Ship To","High","BL-B2C-003","","User adding or editing address","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","1. [NAV] Navigate to Add Address
2. [ACT] Enter invalid ZIP: '999'
3. [ACT] Attempt to save
4. [ASSERT] Verify validation error: 'Invalid ZIP code'
5. [ACT] Enter valid ZIP: 90210
6. [ACT] Enter invalid phone: '123'
7. [ASSERT] Verify error: 'Phone must be 10 digits'
8. [ACT] Fix phone to 555-123-4567
9. [ACT] Save
10. [ASSERT] Verify address saves successfully","[DOM] ZIP code validated: 5 or 9 digits for US
[DOM] Phone number validated: 10 digits
[DOM] Error messages clear and specific per field
[STATE] Cannot save address with invalid fields
[DOM] Formatting hints shown (e.g., ZIP: 12345 or 12345-6789)","[CONSOLE] no uncaught JS errors","Invalid ZIP or phone accepted without error; error messages not specific enough; validation only on submit (not real-time)","none","VCST-4575","Manual"
"B2C-SHIP-010","Ship To - Mobile Address Management","B2C Features > Ship To","High","BL-B2C-003","","Mobile device (375x667), logged in","url={{FRONT_URL}};viewport=375x667;user={{USER_EMAIL}};password={{USER_PASSWORD}}","1. [NAV] Navigate to Addresses on mobile viewport
2. [ASSERT] Verify address list is mobile-optimized (stacked layout)
3. [ACT] Tap Add New Address
4. [ACT] Fill address form on mobile
5. [ACT] Use native picker for State
6. [ACT] Save address
7. [ASSERT] Verify responsive design","[DOM] Address list stacks vertically on mobile
[DOM] Cards or list items are tap-friendly
[DOM] Form fields are full-width
[DOM] Native select used for State field (better UX)
[DOM] Phone keyboard type used for phone field
[DOM] No horizontal scrolling","[CONSOLE] no uncaught JS errors","Horizontal scrolling present; touch targets too small; form fields not full-width; native pickers not used","none","VCST-4575","Manual"
