ID,Title,Section,Type,Priority,Estimate,Preconditions,Steps,Expected Result,References,Automation Status
CONT-001,Create New Contract,Contracts > CRUD,CRUD,Critical,5m,"Admin logged in, Contracts module installed and accessible","1. Navigate to More > Contracts
2. Click Add button in toolbar
3. Fill in Name field (e.g. 'Test Contract Alpha')
4. Select Status from dropdown (Draft)
5. Optionally fill Description field
6. Set Start date and End date
7. Select Vendor from dropdown
8. Verify Store is locked to @td(STORE_PRIMARY.id)
9. Click Save","- Contracts list blade opens with Add button visible
- New contract blade opens with empty fields
- Code field is auto-generated and read-only
- Store field is pre-filled with @td(STORE_PRIMARY.id) and not editable
- Vendor dropdown shows available vendors
- Status dropdown shows Active and Draft options
- Save button persists the contract
- New contract appears in the contracts list",,None
CONT-002,View Contract Details,Contracts > CRUD,CRUD,Critical,3m,"Admin logged in, At least one contract exists","1. Navigate to More > Contracts
2. Click on an existing contract in the list","- Contract details blade opens
- All fields displayed: Name, Code, Status, Description, Start date, End date, Vendor, Store
- Widgets visible: Attachments (count), Customers (count), Dynamic properties (count), Prices (count)
- All data matches what was saved",,None
CONT-003,Edit Existing Contract,Contracts > CRUD,CRUD,Critical,5m,"Admin logged in, At least one contract exists","1. Navigate to More > Contracts
2. Click on an existing contract
3. Modify Name field
4. Change Status from Draft to Active
5. Update Description
6. Modify Start date and End date
7. Click Save
8. Close blade and reopen the contract","- All fields are editable (except Code and Store)
- Changes are accepted in the form
- Save button commits changes
- Reopening the contract shows persisted updated values",,None
CONT-004,Delete Contract,Contracts > CRUD,CRUD,Critical,3m,"Admin logged in, At least one deletable contract exists","1. Navigate to More > Contracts
2. Select a contract using checkbox
3. Click Delete button in toolbar
4. Confirm deletion in dialog","- Delete button becomes active when a contract is selected
- Confirmation dialog appears before deletion
- Contract is removed from the list after confirmation
- Deleted contract no longer accessible via direct navigation",,None
CONT-005,Search and Filter Contracts,Contracts > CRUD,CRUD,Critical,3m,"Admin logged in, Multiple contracts exist (at least 3)","1. Navigate to More > Contracts
2. Type a known contract name into the search field
3. Verify filtered results
4. Clear search field
5. Click Refresh button","- Search field filters contracts list in real-time or on submit
- Only matching contracts are displayed
- Clearing search restores full list
- Refresh button reloads the contracts list without stale data",,None
CONT-006,Toggle Contract Status Active and Draft,Contracts > Status & Dates,Functional,High,3m,"Admin logged in, Contract exists with Status = Draft","1. Navigate to More > Contracts
2. Open a contract with Status = Draft
3. Change Status dropdown to Active
4. Click Save
5. Reopen the contract
6. Change Status back to Draft
7. Click Save","- Status dropdown allows switching between Active and Draft
- Saved status persists after blade close and reopen
- No validation errors when toggling status",,None
CONT-007,Start Date Must Be Before End Date,Contracts > Status & Dates,Validation,High,3m,"Admin logged in, Contract blade open for editing","1. Navigate to More > Contracts
2. Open an existing contract or create new
3. Set Start date to 2026-06-01
4. Set End date to 2026-05-01 (before start date)
5. Click Save","- System validates date range on save
- Error message displayed indicating End date must be after Start date
- Contract is not saved with invalid date range",,None
CONT-008,Expired Contract Behavior,Contracts > Status & Dates,Functional,High,5m,"Admin logged in, Contract exists with End date in the past","1. Navigate to More > Contracts
2. Open a contract with End date in the past
3. Verify displayed status and field states
4. Attempt to edit fields and save","- Expired contract is visible in the list
- Contract details are viewable
- System either prevents editing or allows edit with a warning about expired dates
- Status reflects the contract's expired state appropriately",,None
CONT-009,Auto-Generated Code Format,Contracts > Status & Dates,Functional,High,3m,"Admin logged in","1. Navigate to More > Contracts
2. Click Add button
3. Fill required fields (Name, Status)
4. Observe the Code field before saving
5. Click Save
6. Create a second contract and observe its Code","- Code field is auto-populated and read-only
- Code follows a consistent format pattern
- Each new contract receives a unique code
- Code does not change after save",,None
CONT-010,Add Attachment to Contract,Contracts > Widgets,Functional,High,5m,"Admin logged in, Contract exists","1. Navigate to More > Contracts
2. Open an existing contract
3. Click on Attachments widget
4. Upload a file (e.g. PDF or image)
5. Save the contract
6. Reopen the contract and check Attachments widget","- Attachments widget opens a blade for file management
- File upload completes successfully
- Attachment count increments after upload
- Attachment persists after save and reopen
- Uploaded file is listed with correct name",,None
