ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
BSM-005,Admin SPA — Catalog Module Blade Opens,Backend Smoke > Catalog Admin,Critical,BL-CROSS-001,ECL-1.1,"Admin logged in to {{BACK_URL}} as {{ADMIN}} (suite setup)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/catalog
[WAIT] Catalog blade loads (catalog list visible)
[ASSERT] at least one catalog item visible in the grid","[BLADE] Catalog blade title shown (e.g., 'Catalogs')
[GRID] catalog grid renders with columns (Name, Type, etc.)
[GRID] at least 1 catalog row visible
[DOM] toolbar buttons present: 'Add', 'Delete' (or equivalent)","[API] GET {{BACK_URL}}/api/catalog/catalogs → 200 with non-empty 'catalogs' array
[BODY] API catalog count matches grid row count (±1 for pagination)","Catalog blade fails to open (404 route, spinner stuck >15s), grid empty when catalogs should exist, API returns 500, catalog count mismatch between API and UI",none,"Suite 051 (Catalog Admin Products), Suite 053 (Catalog Admin Categories)",Automated
BSM-006,Admin SPA — Products Blade Opens and Lists Products,Backend Smoke > Catalog Admin,Critical,BL-CROSS-001,ECL-1.1,"Catalog blade accessible (BSM-005 passed), at least one catalog with products exists",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/catalog
[WAIT] Catalog blade loaded
[ACT] click first catalog in the list
[WAIT] catalog detail blade opens
[ACT] click 'Items' or 'Products' tab/section
[WAIT] products grid loads","[BLADE] products list blade visible with product rows
[GRID] grid renders columns (Name, SKU, Is Active, etc.)
[GRID] at least 1 product row visible
[DOM] toolbar shows 'Add Item', 'Delete', search input","[API] GET {{BACK_URL}}/api/catalog/search/products?catalogId=<first_catalog_id>&take=10 → 200 with items array
[BODY] API items array non-empty; product count from API visible in UI pagination","Products blade spinner stuck >15s, grid renders with 0 rows when products exist in the catalog, API 500 on search, product blade crashes with Angular error",none,"Suite 051 (Catalog Admin Products)",Automated
BSM-007,Admin SPA — Categories Blade Opens,Backend Smoke > Catalog Admin,Critical,BL-CROSS-001,ECL-1.1,"Catalog accessible (BSM-005 passed)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/catalog
[WAIT] Catalog blade loaded
[ACT] click first catalog in the list
[WAIT] catalog detail blade opens with 'Categories' section or tab
[ACT] navigate to Categories view","[BLADE] categories list visible with at least 1 category
[GRID] category grid renders with Name column
[DOM] 'Add Category' button present in toolbar","[API] GET {{BACK_URL}}/api/catalog/categories?catalogId=<first_catalog_id> → 200 with non-empty categories array","Categories view shows empty grid when categories exist in catalog, API 404 or 500 for categories endpoint, blade fails to open",none,"Suite 053 (Catalog Admin Categories)",Automated
BSM-012,Admin SPA — Pricing Price Lists Blade Opens,Backend Smoke > Pricing Admin,Critical,"BL-PRICE-001, BL-PRICE-007",ECL-5.1,"Admin logged in as {{ADMIN}} (suite setup)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/pricing
[WAIT] Pricing module blade loads
[ASSERT] price lists grid renders","[BLADE] Pricing blade title visible (e.g., 'Price Lists')
[GRID] grid renders with columns: Name, Currency, Assigned Catalogs (or similar)
[GRID] at least 1 price list row visible
[DOM] 'Add', 'Delete', 'Export' toolbar buttons present","[API] GET {{BACK_URL}}/api/pricing/pricelists?take=10 → 200 with non-empty array
[BODY] API price list count matches grid row count (±pagination)","Pricing blade fails to open (404 or Angular crash), grid empty when price lists exist, API returns 500, toolbar buttons absent",none,"Suite 054 (Pricing Logic), Suite 055 (Pricing Management)",Automated
BSM-013,Admin SPA — Inventory Fulfillment Centers Blade Opens,Backend Smoke > Inventory Admin,Critical,BL-CROSS-002,ECL-2.1,"Admin logged in as {{ADMIN}} (suite setup)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/inventory
[WAIT] Inventory module blade loads
[ASSERT] fulfillment centers list visible","[BLADE] Inventory blade visible with fulfillment centers list
[GRID] at least 1 fulfillment center row visible
[GRID] columns include: Name, Code, Address (or similar)
[DOM] 'Add', 'Delete' toolbar controls present","[API] GET {{BACK_URL}}/api/inventory/fulfillmentcenters → 200 with non-empty array
[BODY] fulfillment center count in API matches grid row count","Inventory blade fails to open, grid empty when fulfillment centers exist, API returns 500, blade crashes with Angular error on open",none,"Suite 056 (Inventory)",Automated
BSM-022,Search Indexing — Index Status Check,Backend Smoke > Search Admin,Critical,BL-CROSS-003,ECL-9.1,"Admin logged in as {{ADMIN}} (suite setup)",back_url={{BACK_URL}}; bearer_token=<admin token from suite setup>,"[HTTP] GET {{BACK_URL}}/api/search/indexes
[SETUP] Authorization: Bearer {{bearer_token}}
[ASSERT] response received","[STATUS] HTTP 200 OK
[BODY] response contains index entries for core entity types: 'Product', 'Category', 'Member', 'CustomerOrder' (or similar index document types)
[BODY] each index entry has 'documentType' and status fields
[BODY] no index entry shows an error or failed state","[ADMIN] navigate to {{BACK_URL}}/ui#/search-index — search index status blade shows same index document types as API response
[BLADE] no red error indicators on any index entry","HTTP 500 on indexes endpoint, 'Product' or 'Category' index missing (xAPI catalog search would be broken), any index shows 'error' status, Admin blade crashes on search index page",none,"Suite 061 (Search Indexing Admin)",Automated
BSM-026,Admin SPA — User Account Blade Opens and Lists Users,Backend Smoke > Platform Admin,High,BL-AUTH-005,ECL-4.1,"Admin logged in as {{ADMIN}} (suite setup)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/security/users
[WAIT] Users blade loads
[ASSERT] users list grid renders","[BLADE] Users blade title visible (e.g., 'Users')
[GRID] grid renders with columns: Login, Email, Account Type, Status
[GRID] at least 1 user row visible (the admin account itself)
[DOM] 'New User', 'Delete' toolbar buttons present","[API] GET {{BACK_URL}}/api/platform/security/users?take=10 → 200 with non-empty items array
[BODY] current admin user appears in items array","Users blade fails to open (404, Angular crash), grid empty when users exist, 'New User' button absent for Administrator role, API returns 403 or 500",none,"Suite 020 (Platform Users), Suite 049 (Platform API)",Automated
BSM-030,Admin SPA — Create Product (Basic) and Verify in API,Backend Smoke > Catalog Admin,High,"BL-CAT-005, BL-CROSS-001",ECL-1.2,"Admin logged in, at least 1 catalog exists (BSM-005 passed)",back_url={{BACK_URL}}; test_sku=BSM-TEST-{{TIMESTAMP}},"[NAV] {{BACK_URL}}/ui#/catalog
[WAIT] Catalog blade loaded
[ACT] click first catalog row
[WAIT] catalog detail blade opens
[ACT] click 'Add Item' or 'New Product' button
[WAIT] product creation form opens
[ACT] fill product name: 'BSM Smoke Test Product'
[ACT] fill SKU/Code: {{test_sku}}
[ACT] click 'Save' or 'Create'
[WAIT] product saved (toast notification appears)","[TOAST] success notification displayed
[BLADE] product detail blade opens for the newly created product
[DOM] product name 'BSM Smoke Test Product' visible in blade title or header
[DOM] SKU field shows {{test_sku}}","[API] GET {{BACK_URL}}/api/catalog/products?searchPhrase={{test_sku}} → 200 with items containing the new product
[BODY] new product 'id' field is non-empty UUID","Product creation form does not open, 'Save' returns validation error on valid input, product not visible in API after save, Angular error on blade open, toast absent after save","DELETE product via API after test — [HTTP] DELETE {{BACK_URL}}/api/catalog/products?ids=<new_product_id>","Suite 051 (Catalog Admin Products)",Automated
BSM-031,Admin SPA — Category Create and Delete,Backend Smoke > Catalog Admin,Medium,BL-CAT-004,ECL-1.2,"Admin logged in, catalog accessible (BSM-005 passed)",back_url={{BACK_URL}}; test_cat_name=BSM-Cat-{{TIMESTAMP}},"[NAV] {{BACK_URL}}/ui#/catalog
[WAIT] Catalog blade loaded
[ACT] click first catalog row
[WAIT] catalog detail blade opens
[ACT] navigate to Categories view
[ACT] click 'Add Category' button
[WAIT] category creation form opens
[ACT] fill Name: {{test_cat_name}}
[ACT] click 'Save'
[WAIT] success toast appears
[ACT] select the newly created category row
[ACT] click 'Delete' button and confirm deletion","[TOAST] success toast on create
[GRID] new category row appears in grid after save
[TOAST] success toast on delete
[GRID] deleted category no longer appears in grid","[API] GET {{BACK_URL}}/api/catalog/categories?searchPhrase={{test_cat_name}} after create → returns item
[API] same endpoint after delete → returns empty array","Category form fails to open, save returns 400, deleted category still shows in grid, API returns 500 on category create",none,"Suite 053 (Catalog Admin Categories)",Automated
BSM-036,Admin SPA — Price List Entry CRUD,Backend Smoke > Pricing Admin,High,"BL-PRICE-001, BL-PRICE-007",ECL-5.2,"Admin logged in, at least 1 price list exists (BSM-012 passed)",back_url={{BACK_URL}},"[NAV] {{BACK_URL}}/ui#/pricing
[WAIT] Pricing blade loaded
[ACT] click first price list row
[WAIT] price list detail blade opens
[ACT] click 'Add Price' or 'Add Item' button
[WAIT] product picker or SKU input appears
[ASSERT] user can select or enter a product SKU","[BLADE] price list detail blade visible with 'Prices' section
[DOM] 'Add Price' button present and clickable
[DOM] product picker or SKU input opens on button click
[DOM] existing price entries visible in grid with List Price, Sale Price, Min Quantity columns","[API] GET {{BACK_URL}}/api/pricing/pricelists/<first_pricelist_id>/prices?take=5 → 200 with items array (may be empty if new list)","Price list detail blade fails to open, 'Add Price' button absent, product picker unresponsive, API returns 500 for price list detail endpoint",none,"Suite 054 (Pricing Logic), Suite 055 (Pricing Management)",Automated
