ID,Title,Section,Type,Priority,Estimate,Preconditions,Steps,Expected Result,References,Automation Status
SRCH-001,Search by full product name (Elastic),Elastic Search,Functional,Critical,3m,Elastic search configured; products indexed,"1. Navigate to Admin > Search
2. Search by full product name","Product found and displayed in results",C139043,Not Automated
SRCH-002,Search by partial input (few symbols),Elastic Search,Functional,High,3m,Elastic search configured; products indexed including a product named 'Bolt'; admin logged into ${BACK_URL},"1. Navigate to ${BACK_URL} > Search
2. Select the Products index tab or entity type
3. Enter the first 3 characters 'Bol' in the search field
4. Click Search or press Enter
5. Inspect the returned results list
6. Verify the result count displayed above the results
7. Click on a result to confirm it is a product whose name contains 'Bol'","- Search field accepts partial text 'Bol' without errors
- Results list is returned within 3 seconds
- Results contain at least one product with name matching 'Bolt' or starting with 'Bol'
- Result count is greater than 0
- No full-name match is required; prefix/partial match is sufficient
- Results do not include products with completely unrelated names",C139044,Not Automated
SRCH-003,Search by multiple words,Elastic Search,Functional,High,3m,Elastic search configured; products indexed including a product described with 'stainless steel bolt'; admin logged into ${BACK_URL},"1. Navigate to ${BACK_URL} > Search
2. Select the Products index tab or entity type
3. Enter the multi-word query 'stainless steel bolt' in the search field
4. Click Search or press Enter
5. Review the returned results list
6. Verify that results contain products relevant to all or most of the entered words
7. Check that result ranking places the closest matches at the top","- Search accepts the multi-word input 'stainless steel bolt' without errors
- Results are returned within 3 seconds
- At least one result is relevant to the query (e.g. product name or description contains 'stainless', 'steel', or 'bolt')
- Results are ranked by relevance — products matching more words appear higher
- No error or empty state is shown when multiple words are entered
- Irrelevant products that share no keywords with the query are not returned",C139046,Not Automated
SRCH-004,Search with incorrect value - no results,Elastic Search,Negative,Medium,3m,Elastic search configured; products indexed; no product exists with the search term used; admin logged into ${BACK_URL},"1. Navigate to ${BACK_URL} > Search
2. Select the Products index tab or entity type
3. Enter the nonsensical search term 'xyznonexistent12345' in the search field
4. Click Search or press Enter
5. Observe the results area for returned items
6. Check for a zero-results count or empty state message
7. Verify no error page or application crash occurs","- Search accepts the nonsensical input without errors
- Results list returns zero items
- Result count displays 0 or equivalent (e.g. 'No results found')
- An appropriate empty state message is shown to indicate no matches
- No application error, exception stack trace, or crash is shown
- UI remains fully functional and a new search can be initiated after the empty result",C139045,Not Automated
SRCH-005,Lucene search by full product name,Lucene Search,Functional,Medium,3m,Lucene search provider configured,"1. Configure Lucene search provider
2. Search by full product name","Product found using Lucene search",C180636,Not Automated
SRCH-006,Lucene search by partial input,Lucene Search,Functional,Medium,3m,Lucene search provider configured and set as active; products indexed including a product named 'Bolt'; admin logged into ${BACK_URL},"1. Navigate to ${BACK_URL} > Search
2. Verify that Lucene is the active search provider (check Settings > Search if needed)
3. Select the Products index tab or entity type in the Lucene search view
4. Enter the partial text 'Bol' in the search field
5. Click Search or press Enter
6. Inspect the returned results list
7. Verify result count and relevance of returned products","- Lucene search provider is confirmed active before executing the search
- Search field accepts partial input 'Bol' without errors
- Results are returned within 3 seconds
- At least one product with name starting with or containing 'Bol' (e.g. 'Bolt') is present in results
- Result count is greater than 0
- Lucene-specific partial text matching is applied (wildcard or prefix matching)
- Results are consistent with what Elastic Search returns for the same partial input",C180637,Not Automated
SRCH-007,Run index build,Index Management,Functional,Critical,5m,Search module installed; products exist,"1. Navigate to Search > Index
2. Click Build/Run Index
3. Wait for completion","Index built successfully; status shows completed",C327396,Katalon
SRCH-008,Rebuild index - both indices built,Index Management,Functional,High,5m,Blue-green indexing enabled,"1. Navigate to Search Index
2. Click Rebuild
3. Verify both active and inactive indices built","Both indices built successfully; statuses updated",C327397,Not Automated
SRCH-009,Rebuild index - only active index built,Index Management,Functional,Medium,3m,Blue-green indexing enabled,"1. Build only the active index
2. Verify status","Active index built; inactive index remains unchanged",C329242,Not Automated
SRCH-010,Swap indexes (blue-green),Index Management,Functional,High,3m,Both indices built,"1. Navigate to Search Index
2. Click Swap Indexes
3. Verify swap completed","Active and inactive indices swapped successfully",C327398,Not Automated
