ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
TASK-001,Create Task — All Fields Populated,Admin > Tasks > Create,Critical,,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ADMIN]
Admin session active at {{BACK_URL}}; Task Management module v3.1002.0-pr-28 installed; at least one task type exists in Settings","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] Navigate to {{BACK_URL}}/apps/tasks (or main menu — Tasks)
[BLADE] Wait for 'All tasks' view to load
[ACT] Click 'Add' or 'Create' button to open new-task blade
[BLADE] Wait for create-task blade to open
[ACT] Select a task type from the 'Type' dropdown
[ACT] Fill 'Summary' field with 'AGENT-TEST-create-all-fields'
[ACT] Fill 'Description' field with 'Automated test task — all fields'
[ACT] Select 'High' from the 'Priority' dropdown
[ACT] Set 'Due' date to a future date (today + 7 days)
[ACT] Click the 'Assignee' field and search for {{ADMIN_EMAIL}}; select the result
[SAVE] Click 'Save' and wait for success notification","[TOAST] Success notification appears (e.g. 'Saved' or 'Task created')
[BLADE] Create-task blade closes or shows the created task detail
[FORM] Task record displays Summary = 'AGENT-TEST-create-all-fields'
[FORM] Priority field shows 'High'
[FORM] Assignee field shows the selected user name
[FORM] Due date is populated with the future date","[API] POST /api/task-management/search with name filter returns the new task record
[API] Returned record has non-empty id and name = 'AGENT-TEST-create-all-fields'
[CONSOLE] No JS errors in Admin SPA during create flow
[NETWORK] No 4xx/5xx on task-management API calls during create",Blade does not open; 'Save' button disabled after filling fields; 500 on POST /api/task-management; spinner visible >5s; toast shows error message; Assignee search returns no results,Delete the created task via Admin UI or DELETE /api/task-management with ids=[captured task id],module VirtoCommerce.TaskManagement v3.1002.0-pr-28; surface live-verified vcptcore-qa; contracts live-verified vcptcore-qa 2026-06-10,validated
TASK-002,Create Task — Missing Required Fields Shows Validation Error,Admin > Tasks > Create,High,,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ADMIN]
Admin session active; Task Management module installed","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] Navigate to {{BACK_URL}}/apps/tasks
[BLADE] Wait for 'All tasks' view to load
[ACT] Click 'Add' or 'Create' button to open new-task blade
[BLADE] Wait for create-task blade to open
[ACT] Leave 'Summary' field empty
[SAVE] Click 'Save' without filling required fields","[FORM] Validation error message displayed on the 'Summary' or other required field(s)
[BLADE] Blade remains open (not dismissed)
[FORM] Save action does not persist a new task","[API] No POST /api/task-management request fired (or request returns 4xx validation error)
[CONSOLE] No unhandled JS exceptions
[NETWORK] No 201 response for task creation",Form submits without validation; blade closes with no task created; no inline error shown; spinner visible with no resolution,none — no task was created,module VirtoCommerce.TaskManagement v3.1002.0-pr-28; surface live-verified vcptcore-qa; contracts live-verified vcptcore-qa 2026-06-10,validated
TASK-003,Assign Task to User — Assignee Receives Email Notification,Admin > Tasks > Assign,High,,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ADMIN]
Admin session active; a valid member user exists searchable by {{USER_EMAIL}}; notification toggle enabled in Settings — Task management — Notifications; Hangfire dashboard accessible","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}, assignee_email={{USER_EMAIL}}","[NAV] Navigate to {{BACK_URL}}/apps/tasks
[BLADE] Wait for 'All tasks' view to load
[ACT] Click 'Add' / 'Create' to open new-task blade
[ACT] Fill 'Summary' with 'AGENT-TEST-assign-notification'
[ACT] Select any task type from 'Type' dropdown
[ACT] Set 'Due' date to a future date (today + 7 days)
[ACT] Click 'Assignee' field; search for {{USER_EMAIL}}; select the matching member (Assignee is required -- Save is disabled without it)
[SAVE] Click 'Save' and wait for success notification
[WAIT] Wait 10s for notification job to be queued","[TOAST] Task saved successfully
[FORM] Assignee field shows the display name for {{USER_EMAIL}}
[EMAIL] Hangfire dashboard shows task-assignment notification job enqueued or succeeded within 30s","[API] GET /api/task-management/search returns task with responsibleName matching the selected member
[EMAIL] Check {{BACK_URL}}/hangfire — task-assignment job status is Succeeded
[CONSOLE] No JS errors
[NETWORK] No 4xx/5xx on task-management or notification API calls",Assignee field does not accept the member; Save button remains disabled (Assignee is mandatory); Save fails; Hangfire job not created; notification job fails; spinner >5s,DELETE /api/task-management with captured task id; restore notification toggle state if changed,module VirtoCommerce.TaskManagement v3.1002.0-pr-28; surface live-verified vcptcore-qa; contracts live-verified vcptcore-qa 2026-06-10,needs-review
TASK-004,Create Task — All Five Priority Values Persist Correctly,Admin > Tasks > Create,Medium,,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ADMIN]
Admin session active; at least one task type exists; GET {{BACK_URL}}/api/task-management/tasks/types returns non-empty list; POST {{BACK_URL}}/api/task-management/members/search (body {take:1}) returns at least one member","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] Navigate to {{BACK_URL}}/apps/tasks
[ACT] Click 'Add' / 'Create'; fill 'Summary' with 'AGENT-TEST-priority-lowest'; select 'Lowest' from 'Priority'; set 'Due' date to a future date; click 'Assignee' field and select any member (Assignee is required); click 'Save'
[WAIT] Wait for success; note task id
[ACT] Click 'Add' / 'Create'; fill 'Summary' with 'AGENT-TEST-priority-normal'; select 'Normal' from 'Priority'; set 'Due' date to a future date; select any member as Assignee; click 'Save'
[WAIT] Wait for success
[ACT] Click 'Add' / 'Create'; fill 'Summary' with 'AGENT-TEST-priority-highest'; select 'Highest' from 'Priority'; set 'Due' date to a future date; select any member as Assignee; click 'Save'
[WAIT] Wait for success
[ACT] Re-open each created task and verify Priority label shown","[FORM] 'AGENT-TEST-priority-lowest' blade shows Priority = 'Lowest'
[FORM] 'AGENT-TEST-priority-normal' blade shows Priority = 'Normal'
[FORM] 'AGENT-TEST-priority-highest' blade shows Priority = 'Highest'","[API] GET /api/task-management/search for each task name; verify priority field value matches label selected in UI
[CONSOLE] No JS errors
[NETWORK] No 4xx/5xx on any save",Priority dropdown missing one of the five options; priority reverts to default after save; API priority value does not match UI label; Save button disabled (Assignee not filled),Delete all three AGENT-TEST-priority-* tasks via DELETE /api/task-management,module VirtoCommerce.TaskManagement v3.1002.0-pr-28; surface live-verified vcptcore-qa; contracts live-verified vcptcore-qa 2026-06-10,validated
TASK-005,Complete Task — Status Becomes Done and Task Moves to Archive,Admin > Tasks > Complete,Critical,,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ADMIN]
Admin session active; an active task named 'AGENT-TEST-complete-done' exists in 'All tasks' (create it first via the create flow if not present)","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] Navigate to {{BACK_URL}}/apps/tasks
[BLADE] Wait for 'All tasks' view
[GRID] Locate task 'AGENT-TEST-complete-done' in the grid; click to open its blade
[BLADE] Wait for task detail blade to load
[ACT] Click 'Complete' action button
[WAIT] Wait for success confirmation or blade close
[NAV] Click 'Archive tasks' view in the left navigation panel
[GRID] Search for 'AGENT-TEST-complete-done' in the archive grid","[TOAST] Completion success notification shown
[GRID] Task 'AGENT-TEST-complete-done' is no longer listed in 'All tasks'
[GRID] Task appears in 'Archive tasks' view
[FORM] Task status shows 'Done' in the archive detail blade","[API] GET /api/task-management/{id} returns status = 'Done' and isActive = false
[CONSOLE] No JS errors
[NETWORK] No 4xx/5xx on POST /api/task-management/finish",Task does not disappear from 'All tasks' after Complete; task not found in archive; status remains unchanged; 'Complete' button absent; spinner >5s,Task is already archived in Done state — no additional cleanup needed,module VirtoCommerce.TaskManagement v3.1002.0-pr-28; surface live-verified vcptcore-qa; contracts live-verified vcptcore-qa 2026-06-10,validated
TASK-006,Reject Task — Status Becomes Canceled and Task Moves to Archive,Admin > Tasks > Reject,Critical,,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ADMIN]
Admin session active; an active task named 'AGENT-TEST-reject-canceled' exists in 'All tasks' (create it first via the create flow if not present)","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] Navigate to {{BACK_URL}}/apps/tasks
[BLADE] Wait for 'All tasks' view
[GRID] Locate task 'AGENT-TEST-reject-canceled'; click to open its blade
[BLADE] Wait for task detail blade
[ACT] Click 'Reject' action button
[WAIT] Wait for success confirmation
[NAV] Click 'Archive tasks' view in the left navigation panel
[GRID] Search for 'AGENT-TEST-reject-canceled'","[TOAST] Rejection success notification shown
[GRID] Task removed from 'All tasks'
[GRID] Task appears in 'Archive tasks'
[FORM] Task status shows 'Canceled' in archive detail blade","[API] GET /api/task-management/{id} returns status = 'Canceled' and isActive = false
[CONSOLE] No JS errors
[NETWORK] No 4xx/5xx on POST /api/task-management/finish",Task does not disappear from 'All tasks' after Reject; status not 'Canceled'; task not found in archive; 'Reject' button absent,Task is already archived — no additional cleanup needed,module VirtoCommerce.TaskManagement v3.1002.0-pr-28; surface live-verified vcptcore-qa; contracts live-verified vcptcore-qa 2026-06-10,validated
TASK-007,Reset Task — Unsaved Edits Are Discarded,Admin > Tasks > Reset,Medium,,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ADMIN]
Admin session active; an active task with a known Summary value exists in 'All tasks'","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] Navigate to {{BACK_URL}}/apps/tasks
[GRID] Locate an existing active task; click to open its blade
[BLADE] Wait for task detail blade
[ACT] Note the current 'Summary' value (original)
[ACT] Change the 'Summary' field to append ' MODIFIED'
[ACT] Click 'Reset' action button (without saving)
[WAIT] Wait for blade to refresh","[FORM] 'Summary' field reverts to the original pre-edit value after Reset
[FORM] No unsaved modification indicator remains in the blade","[API] GET /api/task-management/{id} returns name equal to the original value (not the modified one)
[CONSOLE] No JS errors
[NETWORK] No PUT /api/task-management request fired during Reset",Reset does not revert the field; 'Reset' button triggers save instead; edited value persists after Reset; no Reset button visible,none — Reset is a discard action with no server side effect,module VirtoCommerce.TaskManagement v3.1002.0-pr-28; surface live-verified vcptcore-qa; contracts live-verified vcptcore-qa 2026-06-10,validated
TASK-008,Edit and Save Existing Task — Changes Persisted,Admin > Tasks > Edit,High,,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ADMIN]
Admin session active; an active task named 'AGENT-TEST-edit-save' exists in 'All tasks' (to create it: POST {{BACK_URL}}/api/task-management/members/search body {take:1} to get a member id; then POST {{BACK_URL}}/api/task-management with name, type from GET /tasks/types, responsibleId, dueDate)","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] Navigate to {{BACK_URL}}/apps/tasks
[GRID] Locate task 'AGENT-TEST-edit-save'; click to open its blade
[BLADE] Wait for task detail blade
[ACT] Change the 'Priority' field to 'Low'
[ACT] Change the 'Description' field to 'Updated by automation test'
[SAVE] Click 'Save' and wait for success notification
[BLADE] Close and re-open the same task blade","[TOAST] Save success notification shown
[FORM] Reopened task shows Priority = 'Low'
[FORM] Reopened task shows Description = 'Updated by automation test'","[API] GET /api/task-management/{id} returns priority matching 'Low' and description = 'Updated by automation test'
[CONSOLE] No JS errors
[NETWORK] No 4xx/5xx on PUT /api/task-management",Save button not responsive; toast shows error; values revert on reopen; 4xx on PUT,Delete 'AGENT-TEST-edit-save' task or restore original priority and description via PUT,module VirtoCommerce.TaskManagement v3.1002.0-pr-28; surface live-verified vcptcore-qa; contracts live-verified vcptcore-qa 2026-06-10,validated
TASK-009,Delete Task — Task Removed from All Views,Admin > Tasks > Delete,High,,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ADMIN]
Admin session active; an active task named 'AGENT-TEST-delete-me' exists in 'All tasks'","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] Navigate to {{BACK_URL}}/apps/tasks
[GRID] Locate task 'AGENT-TEST-delete-me'; click to open its blade
[BLADE] Wait for task detail blade
[ACT] Click 'Delete' action button
[WAIT] Wait for confirmation dialog if shown
[ACT] Confirm deletion in the dialog
[WAIT] Wait for blade to close and grid to refresh
[GRID] Confirm task is gone from 'All tasks'","[BLADE] Delete confirmation dialog shown (if applicable) and accepted
[GRID] Task 'AGENT-TEST-delete-me' is absent from 'All tasks' after deletion
[TOAST] Deletion success notification shown
[NOTE] API DELETE /api/task-management returns 204 but does NOT reliably remove the task record (hard-delete support unconfirmed -- verified 2026-06-10); assert UI absence only","[API] POST /api/task-management/search with name = 'AGENT-TEST-delete-me' returns totalCount = 0
[CONSOLE] No JS errors
[NETWORK] DELETE /api/task-management returns 200 or 204",No confirmation dialog shown; task remains in grid after confirmation; 4xx/5xx on DELETE; grid does not refresh. NOTE: single-task delete = DELETE /api/task-management with the bare task id as a JSON string body (the UI Delete path) -> 204 and the task IS removed; bulk delete (array body / ?ids=) is not exposed in the UI (by design),none — task has been deleted,module VirtoCommerce.TaskManagement v3.1002.0-pr-28; surface live-verified vcptcore-qa; contracts live-verified vcptcore-qa 2026-06-10; single-task delete verified working (JSON-string-id body / UI path) vcptcore-qa 2026-06-10; bulk delete not a UI feature,validated
TASK-010,Filter Tasks by Type — Grid Shows Only Matching Tasks,Admin > Tasks > Filters,Medium,,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ADMIN]
Admin session active; at least 2 different task types exist; tasks of different types are present in 'All tasks'","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] Navigate to {{BACK_URL}}/apps/tasks
[BLADE] Wait for 'All tasks' view
[ACT] Open the filter panel
[ACT] Select a specific task 'Type' filter value
[ACT] Click 'Apply'
[WAIT] Wait for grid to refresh
[GRID] Inspect all visible task rows","[GRID] All visible rows have the type matching the selected filter
[GRID] Rows with other task types are not visible","[API] POST /api/task-management/search with type filter returns count consistent with grid row count
[CONSOLE] No JS errors
[NETWORK] No 4xx/5xx on filter search request",Filter has no effect on grid; rows of other types still shown; spinner never resolves; 4xx on search,Clear Type filter after test,module VirtoCommerce.TaskManagement v3.1002.0-pr-28; surface live-verified vcptcore-qa; contracts live-verified vcptcore-qa 2026-06-10,validated
