"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"SR-FE-001","Sales Rep Sees My Customers Page & Hub (Happy Path Gating)","Storefront > Sales Rep > Gating","Critical","BL-SR-011","ECL-4.2","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SR_REP_PRIMARY]
Store setting SalesRep.Enabled=true on {{STORE_ID}}. SR_REP_PRIMARY (new fixture, test-data/sales-rep/sales-reps.csv) holds permission sales-rep:access and serves >=1 org with orders.","front_url={{FRONT_URL}}, email=@td(SR_REP_PRIMARY.email), password={{TEST_USER_PASSWORD}}","[NAV] {{FRONT_URL}}/account
[WAIT] account dashboard loaded, left rail rendered
[ASSERT] ""Sales Rep hub"" section visible in the account left rail
[ACT] click ""My customers"" link under ""Sales Rep hub""
[WAIT] page navigates to /company/my-customers
[WAIT] page heading and table visible","[NAV] URL is {{FRONT_URL}}/company/my-customers {OBSERVED}
[DOM] page heading reads ""My customers"" {DOC}
[DOM] ""Sales Rep hub"" section is visible in the account left rail {DOC}
[DOM] ""My customers"" table renders with ""Customer"" and ""My last order"" column headers {DOC}
[STATE] at least one row shows an organization SR_REP_PRIMARY serves (e.g. @td(ORG_ACME.name)) {OBSERVED}","[API] salesRepCustomers query returns HTTP 200, errors[] empty (mirrors SR-GQL-009 in 050m)
[CONSOLE] no console errors on page load
[NETWORK] no 4xx/5xx on /graphql during page load","Hub section absent for a rep holding sales-rep:access; 404 or redirect away from /company/my-customers; table stuck loading >5s; errors[] non-empty; console TypeError","none (read-only)","VCST-5469; Audited: 2026-09-04 (TCA-2026-09-04); Source: vc-frontend/client-app/modules/sales-rep/index.ts (registerAccountSection isVisible gate); Docs: StorefrontUserGuide §account/sales-rep-hub","Draft"
"SR-FE-002","Non-Rep Direct URL Hit Redirects to Dashboard","Storefront > Sales Rep > Gating","Critical","BL-SR-011","ECL-4.2, ECL-14.3","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ACME_BUYER]
ACME_BUYER is a regular B2B buyer with NO sales-rep:access permission.","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/company/my-customers
[WAIT] route guard resolves and navigation settles","[NAV] final URL is the Dashboard route, NOT /company/my-customers {SPEC}
[DOM] ""Sales Rep hub"" section and ""My customers"" link are absent from the account left rail for ACME_BUYER {DOC}
[STATE] no salesRepCustomers/salesRepOrders data rendered anywhere on the page {SPEC}","[NETWORK] no /graphql request for salesRepCustomers is issued for this session
[CONSOLE] no console errors from the blocked navigation attempt","Page renders the My Customers table/columns for a non-rep; URL stays at /company/my-customers instead of redirecting; hub visible for ACME_BUYER","none (read-only)","VCST-5469; Audited: 2026-09-04 (TCA-2026-09-04); Source: vc-frontend/client-app/modules/sales-rep/routes.ts (guardSalesRep); Docs: StorefrontUserGuide §account/sales-rep-hub","Draft"
"SR-FE-003","Module Disabled: Hub and Route Absent Even for a Permissioned Account","Storefront > Sales Rep > Gating","High","BL-SR-011","","[PRE:CLEAR_SESSION]
Requires an admin toggle of the store setting SalesRep.Enabled to false on {{STORE_ID}}, then signing in as an account that DOES hold sales-rep:access (e.g. SR_REP_PRIMARY). Disruptive to other concurrent testers on {{STORE_ID}} — run in an isolated window or accept as a one-off manual check, then restore SalesRep.Enabled=true immediately after.","front_url={{FRONT_URL}}","[ADMIN] set store setting SalesRep.Enabled = false on {{STORE_ID}}
[PRE:SIGNIN_AS:SR_REP_PRIMARY]
[NAV] {{FRONT_URL}}/account
[WAIT] account dashboard loaded
[NAV] {{FRONT_URL}}/company/my-customers
[WAIT] navigation settles","[DOM] ""Sales Rep hub"" section is absent from the left rail while the setting is disabled {DOC}
[NAV] /company/my-customers does not render the My Customers table (route not added — init() returns early per source) {DOC}","none","Hub or route remains reachable while SalesRep.Enabled=false — gating checks module state client-side only, not the actual setting","[ADMIN] restore SalesRep.Enabled=true on {{STORE_ID}} before ending the session","VCST-5469","Draft"
"SR-FE-004","My Customers Table — Column Rendering: Org Name + Last Order Date & Number","Storefront > Sales Rep > My Customers > Table","Critical","PROPOSED-BL-SR-UI-TABLE","","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SR_REP_PRIMARY]
SR_REP_PRIMARY serves @td(ORG_ACME.id), which has >=1 order with a known createdDate and number. ATTRIBUTION NOTE (VCST-5304/5469 sync, 2026-07-17): per the finalized 'Last order = My (current sales rep) last order' semantic, the rendered Last order date+number must be SR_REP_PRIMARY's OWN most-recent order for ORG_ACME (not the org's globally most-recent order across all actors) — mirrors BE case SR-GQL-011. HEADER SYNC (TLC Phase-2, 2026-07-17): column header text confirmed live as ""My last order"" (was ""Last order"") — matches the rep-attribution semantic.","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/company/my-customers
[WAIT] table rows loaded
[ASSERT] row for @td(ORG_ACME.name) is visible","[DOM] the ORG_ACME row's ""Customer"" cell shows the organization name @td(ORG_ACME.name) {OBSERVED}
[DOM] the ORG_ACME row's ""My last order"" cell shows a formatted date {DOC}
[DOM] the ""My last order"" cell shows a link reading ""#{number}"" for the order {DOC}
[FORMAT] the date format matches the locale's short date format (no raw ISO timestamp) {DOC}
[STATE] the rendered date+#number corresponds to SR_REP_PRIMARY's own last order for ORG_ACME, not merely the org's globally most-recent order across all actors (mirrors BE attribution in SR-GQL-011) {SPEC}","[API] salesRepCustomers items[].organizationName and items[].lastOrder match the rendered row (cross-check against 050m SR-GQL-009/011 contract); the rendered lastOrder date+number is SR_REP_PRIMARY's OWN most-recent order for ORG_ACME per the 'Last order = My last order' semantic (VCST-5304 sync, 2026-07-17; mirrors SR-GQL-011 attribution)
[CONSOLE] no console errors","Org name column blank or shows a raw GUID instead of the name; last-order date rendered as a raw ISO string; order number missing the # prefix; the rendered last-order date+number belongs to a different actor's/admin-seeded order rather than SR_REP_PRIMARY's own (attribution violation, mirrors SR-GQL-011)","none (read-only)","VCST-5469, VCST-5304 (attribution sync 2026-07-17); Audited: 2026-09-04 (TCA-2026-09-04); Source: vc-module-sales-rep/src/VirtoCommerce.SalesRep.ExperienceApi/Schemas/SalesRepCustomerType.cs:36-54; Docs: N/A — implementation-detail: date-locale formatting and rep-attribution granularity are not narrated in the user guide","Draft"
"SR-FE-005","Last Order Column Shows ""—"" When Org Has No Orders","Storefront > Sales Rep > My Customers > Table","High","PROPOSED-BL-SR-UI-TABLE","ECL-3.1","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SR_REP_PAGING]
SR_REP_PAGING (seeded) serves 12 AGENT-TEST-SR-Paging-NN orgs, NONE with orders — every row's My last order cell must render the ""—"" placeholder while the Customer cell still shows the org name (re-pointed off SR_REP_PRIMARY, which keeps exactly 4 order-bearing orgs for the badge cases). HEADER SYNC (TLC Phase-2, 2026-07-17): column header text confirmed live as ""My last order"" (was ""Last order"").","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/company/my-customers
[WAIT] table rows loaded
[ASSERT] row for the zero-order org is visible","[DOM] the zero-order org's ""My last order"" cell renders the literal placeholder ""—"" (no date, no link, no crash) {DOC}
[DOM] the same row's ""Customer"" cell still shows the organization name normally (only the My last order cell is affected) {DOC}","[API] salesRepCustomers item for that org has lastOrder = null (mirrors backend null-lastOrder shape)","cell renders blank/undefined instead of ""—""; cell throws a rendering error (null lastOrder not guarded)","none (read-only)","VCST-5469; Audited: 2026-09-04 (TCA-2026-09-04); Source: vc-frontend/client-app/modules/sales-rep/pages/my-customers.vue (lastOrder column literal em-dash fallback); Docs: N/A — implementation-detail: zero-state cell rendering","Draft"
"SR-FE-006","Last Order Link Opens Order Details in a New Tab","Storefront > Sales Rep > My Customers > Order Link","Critical","PROPOSED-BL-SR-UI-ORDERLINK","","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SR_REP_PRIMARY]
SR_REP_PRIMARY serves @td(ORG_ACME.id) which has a lastOrder. Per source (pages/my-customers.vue), the link carries target=""_blank"" rel=""noopener noreferrer"" — manually verify live; also note the PR's documented ordering-asymmetry/403 concern (a rep opening an order they do not directly own).","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/company/my-customers
[WAIT] table rows loaded
[ACT] click the ""#{number}"" last-order link on the @td(ORG_ACME.name) row
[WAIT] new browser tab/window opens","[DOM] the last-order link element carries attributes target=""_blank"" and rel=""noopener noreferrer"" (inspect element attributes, not just click outcome) {DOC}
[STATE] clicking the link results in exactly 2 browser tabs open (original /company/my-customers tab still on the same URL; new tab holds the order) {OBSERVED}
[NAV] the new tab's URL matches the OrderDetails route pattern for that order id {DOC}
[STATE] the new tab renders the order successfully — full order details (line items / status / totals / addresses) with no 403 or permission wall — for a rep viewing their own last order for a served customer {OBSERVED}","[NETWORK] no 4xx/5xx loading the order details page in the new tab
[CONSOLE] no console errors in either tab","link navigates in the SAME tab instead of opening a new one; new tab shows a 403/permission-denied page (would confirm the PR's noted ordering-asymmetry concern); new tab shows a 404","Close the newly opened order-details tab","VCST-5469; Audited: 2026-09-04 (TCA-2026-09-04); Source: vc-frontend/client-app/modules/sales-rep/pages/my-customers.vue (target=_blank rel=noopener noreferrer); Docs: N/A — implementation-detail: new-tab link mechanics","Draft"
"SR-FE-007","Search — Apply on Enter Key","Storefront > Sales Rep > My Customers > Search","High","PROPOSED-BL-SR-UI-SEARCH","ECL-3.2","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SR_REP_PRIMARY]
SR_REP_PRIMARY serves >=2 distinctly-named orgs including @td(ORG_ACME.id). PLACEHOLDER SYNC (TLC Phase-2, 2026-07-17): search is NAME-ONLY on the live-verified build (pr-2380) — placeholder text confirmed as ""Search by name"" (was ""Search by name or account ID""); see SR-FE-009 rewrite.","front_url={{FRONT_URL}}, keyword=@td(ORG_ACME.name)","[NAV] {{FRONT_URL}}/company/my-customers
[WAIT] table rows loaded (unfiltered, >=2 rows)
[ACT] fill search input (placeholder ""Search by name""): {{keyword}}
[KEY] press Enter
[WAIT] table refreshes","[DOM] table shows only rows matching {{keyword}} (ORG_ACME's row present, other served orgs' rows absent) {DOC}
[STATE] result set is narrowed compared to the unfiltered load {OBSERVED}","[API] salesRepCustomers(keyword) query fired with the typed value, errors[] empty","table does not refresh until an unrelated action; typing alone (no Enter) live-filters the table (contradicts apply-on-commit design); errors[] non-empty","[ACT] clear the search input and reset","VCST-5469; Audited: 2026-09-04 (TCA-2026-09-04); Source: vc-frontend/client-app/modules/sales-rep/pages/my-customers.vue (@keydown.enter applyKeyword; page reset to 1); Docs: N/A — implementation-detail: search-commit mechanics","Draft"
"SR-FE-008","Search — Apply via Search Button","Storefront > Sales Rep > My Customers > Search","High","PROPOSED-BL-SR-UI-SEARCH","ECL-3.2","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SR_REP_PRIMARY]
SR_REP_PRIMARY serves >=2 distinctly-named orgs including @td(ORG_ACME.id).","front_url={{FRONT_URL}}, keyword=@td(ORG_ACME.name)","[NAV] {{FRONT_URL}}/company/my-customers
[WAIT] table rows loaded
[ACT] fill search input: {{keyword}}
[ACT] click the search button (aria-label ""Search customers"")
[WAIT] table refreshes","[DOM] table rows are limited to entries whose ""Customer"" cell text contains {{keyword}} (case-insensitive substring) {DOC}
[DOM] search button element is present with aria-label ""Search customers"" {DOC}","[API] salesRepCustomers(keyword) query fired, errors[] empty","clicking the button has no effect; button lacks the documented aria-label","[ACT] clear the search input and reset","VCST-5469; Audited: 2026-09-04 (TCA-2026-09-04); Source: vc-frontend/client-app/modules/sales-rep/pages/my-customers.vue (append-slot VcButton search_aria) + locales/en.json; Docs: N/A — implementation-detail: search-button affordance","Draft"
"SR-FE-009","Search — Account ID (Organization GUID) Returns No Match (Name-Only Search)","Storefront > Sales Rep > My Customers > Search","Medium","PROPOSED-BL-SR-UI-SEARCH","ECL-3.2","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SR_REP_PRIMARY]
SR_REP_PRIMARY serves @td(ORG_ACME.id). REWRITTEN (TLC Phase-2 sync, 2026-07-17): the ORIGINAL case asserted account-ID/GUID search worked, per a placeholder that read ""Search by name or account ID"" — live verification on the deployed build (theme pr-2380) confirmed the placeholder now reads ""Search by name"" and account-ID/GUID search returns ZERO results (name-only search). This case is rewritten as a NEGATIVE/documentation guard for the actual behavior rather than deprecated outright, since ""does account-ID search silently fail or error"" is itself worth regression-guarding.","front_url={{FRONT_URL}}, account_id=@td(ORG_ACME.id)","[NAV] {{FRONT_URL}}/company/my-customers
[WAIT] table rows loaded (unfiltered, >=1 row)
[ACT] fill search input (placeholder ""Search by name""): {{account_id}}
[KEY] press Enter
[WAIT] table refreshes","[DOM] table shows the ""No customers match your search"" empty-search view (0 rows) after searching by the raw organization GUID {{account_id}} {OBSERVED}
[COUNT] result row count is exactly 0 (search is name-only; the GUID does not match any organizationName) {OBSERVED}","[API] salesRepCustomers(keyword) query fired with the GUID value, totalCount=0, errors[] empty (no server error on an unmatched keyword)","searching by the raw account-ID GUID returns >0 rows (would mean account-ID search was silently reintroduced without updating the placeholder/this guard); errors[] non-empty; page crashes instead of showing the empty-search view","[ACT] clear the search input and reset","VCST-5469; Synced: TLC Phase-2 2026-07-17 (placeholder/behavior drift — rewritten from a positive to a negative case)","Draft"
"SR-FE-010","Search — No Match Shows ""No customers match your search"" + Reset","Storefront > Sales Rep > My Customers > Search","High","BL-SR-012","ECL-3.1","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SR_REP_PRIMARY]","front_url={{FRONT_URL}}, keyword={{RANDOM_NOMATCH_STRING}}","[NAV] {{FRONT_URL}}/company/my-customers
[ACT] fill search input with a keyword guaranteed not to match any served org: {{keyword}}
[KEY] press Enter
[WAIT] table refreshes to empty state","[DOM] empty view shows text ""No customers match your search"" {DOC}
[DOM] empty view shows a ""Reset search"" button {DOC}
[DOM] the generic ""No customers found"" (no-keyword) empty text is NOT shown instead {DOC}","[API] salesRepCustomers(keyword) query returns totalCount=0, errors[] empty","the no-match search shows the plain ""No customers found"" empty view instead of the ""search"" variant; no Reset search button offered","none (read-only)","VCST-5469; Audited: 2026-09-04 (TCA-2026-09-04); Source: vc-frontend/client-app/modules/sales-rep/pages/my-customers.vue (VcEmptyView keyword branch) + locales/en.json no_results; Docs: N/A — implementation-detail: empty-state microcopy","Draft"
