"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"CFG-PDP-001","Configurable Product PDP Renders Configuration Widget Correctly","Configurable Products > PDP Rendering","Critical","BL-CAT-006; BL-PRICE-001","ECL-7.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Storefront accessible at {{FRONT_URL}}. Product @td(CFG_BIKE.name) exists at @td(CFG_BIKE.url)","url={{FRONT_URL}}@td(CFG_BIKE.url), base_price=$350.00","[NAV] Navigate to {{FRONT_URL}}@td(CFG_BIKE.url); [WAIT] Wait for Configure text to appear; [ASSERT] Observe product name at top of page; [ASSERT] Observe base product price; [ASSERT] Observe the Configure the parameters widget; [ASSERT] Observe accordion section label Select one; [ASSERT] Observe subtitle Personalize your selection further (optional); [ASSERT] Observe accordion is open (expanded) by default; [ASSERT] Verify 5 radio options visible: Rear wheel 26 double-wall rim motorized; 200CC 250CC 4-Stroke Engine Motor; Seat; Pedals; None; [ASSERT] Verify None is selected by default; [ASSERT] Verify dedicated Add to cart button is visible (no quantity stepper for configurable products); [ASSERT] Verify no CountInCart badge shown in fresh state (no lineItemId in URL)","[DOM] Product name @td(CFG_BIKE.name) visible in h1 or product title element; [DOM] Base price $350.00 displayed in price element; [DOM] Configure the parameters widget header visible; [DOM] Accordion label reads Select one with subtitle Personalize your selection further (optional); [DOM] All 5 radio options present with None selected by default; [STATE] Dedicated Add to cart button visible (not a quantity stepper — configurable products use a single action button per VCST-3902); [STATE] No CountInCart badge displayed when no lineItemId query param in URL; [DOM] In stock badge visible","[CONSOLE] No JavaScript errors on page load; [NETWORK] Product detail GraphQL query returns 200 with configurable sections in response","Quantity stepper shown instead of dedicated button; CountInCart badge visible without lineItemId; price element missing or showing wrong value; widget not rendered; fewer than 5 radio options visible; None not pre-selected","none","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-PDP-002","Selecting Radio Option Updates Total Price Immediately","Configurable Products > Option Selection","Critical","BL-CAT-006; BL-PRICE-001","ECL-7.1","Storefront accessible. @td(CFG_BIKE.name) PDP loaded. None selected by default. Base price $350.00 visible.","url={{FRONT_URL}}@td(CFG_BIKE.url), base_price=$350.00, seat_total=$365.00, pedals_total=$364.00, engine_total=$575.00, rearwheel_total=$526.00","[NAV] Navigate to @td(CFG_BIKE.name) PDP; [WAIT] Wait for Configure widget; [ASSERT] Note base price $350.00 (None selected); [ACT] Click radio button for Seat option; [ASSERT] Observe total price update to $365.00; [ACT] Click radio button for Pedals option; [ASSERT] Observe total price update to $364.00; [ACT] Click radio button for 200CC 250CC 4-Stroke Engine Motor option; [ASSERT] Observe total price update to $575.00; [ACT] Click radio button for Rear wheel 26 double-wall rim motorized option; [ASSERT] Observe total price update to $526.00; [ACT] Click None radio button; [ASSERT] Observe total price returns to $350.00","[MATH] Seat total=$365.00 ($350 base + $15 x1); [MATH] Pedals total=$364.00 ($350 base + $14 x1); [MATH] Engine total=$575.00 ($350 base + $225 x1); [MATH] Rear wheel total=$526.00 ($350 base + $88 x2=$176); [MATH] None total=$350.00; [STATE] Only one radio selectable at a time; [STATE] Price updates are immediate with no page reload; [DOM] Accordion subtitle updates to show selected option name","[CONSOLE] No JavaScript errors on option selection; [NETWORK] No full page reload triggered on radio click","Price does not update on radio click; multiple radios appear selected simultaneously; price update requires page reload; wrong total for any option (especially Rear wheel which is $88 x2 not x1)","none","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-PDP-003","Each Option Row Displays Unit Price Quantity and Extended Price","Configurable Products > Price Display","High","BL-CAT-006","ECL-7.1","@td(CFG_BIKE.name) PDP loaded. Accordion open showing all option rows.","url={{FRONT_URL}}@td(CFG_BIKE.url), rearwheel_unit=$88.00, rearwheel_list=$126.00, rearwheel_qty=2; rearwheel_extended=$176.00, engine_unit=$225.00, seat_unit=$15.00, pedals_unit=$14.00","[NAV] Navigate to @td(CFG_BIKE.name) PDP and wait for Configure text; [ASSERT] Observe Rear wheel 26 double-wall rim motorized row: read unit price quantity and extended price; [ASSERT] Observe 200CC 250CC 4-Stroke Engine Motor row: read unit price quantity and extended price; [ASSERT] Observe Seat row: read unit price quantity and extended price; [ASSERT] Observe Pedals row: read unit price quantity and extended price; [ASSERT] Observe None row: verify no price shown; [ASSERT] Verify extended price = unit price x quantity for each option","[FORMAT] Rear wheel: unit $88.00 (salePrice) with $126.00 strikethrough (listPrice); qty 2; extended $176.00; [MATH] Engine: unit $225.00; qty 1; extended $225.00; [MATH] Seat: unit $15.00; qty 1; extended $15.00; [MATH] Pedals: unit $14.00; qty 1; extended $14.00; [DOM] None row shows no price; [MATH] Extended price = unit price x quantity for all options with prices","[CONSOLE] No rendering errors; [NETWORK] Price data returned in product GraphQL response matches displayed values","Any option showing list price as primary price instead of sale price; extended price not matching unit x qty; None row showing a price; Rear wheel extended showing $88 instead of $176 (missed qty=2)","none","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-PDP-004","Sale Price Shown as Primary Price with List Price Strikethrough","Configurable Products > Price Display","High","BL-CAT-006","ECL-7.1; ECL-14.1","@td(CFG_BIKE.name) PDP loaded. Rear wheel option has salePrice $88.00 and listPrice $126.00.","url={{FRONT_URL}}@td(CFG_BIKE.url), rearwheel_sale=$88.00, rearwheel_list=$126.00, rearwheel_extended=$176.00, rearwheel_total=$526.00","[NAV] Navigate to @td(CFG_BIKE.name) PDP; [WAIT] Wait for Configure widget; [ASSERT] Locate Rear wheel 26 double-wall rim motorized option row; [ASSERT] Observe the price display on that option row; [ACT] Click the Rear wheel radio button; [ASSERT] Observe the total product price update","[FORMAT] Rear wheel option shows $88.00 as the primary/sale price; [FORMAT] $126.00 appears with strikethrough CSS (text-decoration:line-through) as the list price; [MATH] Selecting Rear wheel: total updates to $526.00 (base $350 + extended $176 using salePrice $88 x2); [STATE] List price $126.00 is NOT used in price calculations; [FORMAT] Visual hierarchy: sale price prominent; list price secondary","[CONSOLE] No errors; [NETWORK] GraphQL response contains both salePrice and listPrice fields for Rear wheel option","List price $126 used in total instead of sale price $88; total showing $602 ($350+$126x2) instead of $526; strikethrough not applied to list price; sale price not visually prominent; total not updating on radio click","none","TP_CONFIGURABLE_PRODUCTS_001 VCST-4586","Manual"
"CFG-PDP-005","Configurable Product Uses Dedicated Add to Cart Button (No Quantity Stepper)","Configurable Products > Add to Cart Button","Critical","BL-CAT-006","ECL-7.1; VCST-3902","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
@td(CFG_BIKE.name) PDP loaded. Page in fresh state. No lineItemId in URL.","url={{FRONT_URL}}@td(CFG_BIKE.url)","[NAV] Navigate to @td(CFG_BIKE.name) PDP; [WAIT] Configure widget visible; [ASSERT] Verify NO quantity stepper is shown for the configurable product (stepper replaced by dedicated button per VCST-3902); [ASSERT] Verify a single Add to cart button is visible with outline variant; [ACT] Click Add to cart without selecting any option (None selected by default); [WAIT] Observe validation behavior; [ACT] Select Seat option; [ASSERT] Verify Add to cart button remains visible with outline variant (no item in cart yet); [ACT] Click Add to cart; [WAIT] Success notification or cart update; [ASSERT] Button changes to solid variant and text changes to Update cart; [ASSERT] CountInCart badge now visible showing qty 1","[STATE] No QuantityControl stepper rendered for configurable products — only a VcButton; [DOM] Button text reads Add to cart in fresh state (outline variant); [STATE] After successful add: button text changes to Update cart (solid variant); [DOM] CountInCart badge appears after add showing quantity 1; [STATE] lineItemId query param added to URL after successful add","[CONSOLE] No JavaScript errors; [NETWORK] addItem mutation fires exactly once on button click; [API] addItem returns cart with new line item containing configurationItems[]","Quantity stepper visible instead of dedicated button; button text not changing after add; CountInCart badge not appearing; lineItemId not written to URL; multiple addItem calls on single click","none","TP_CONFIGURABLE_PRODUCTS_001 VCST-3902","Manual"
"CFG-PDP-006","Add Configured Product to Cart with Option Selected (Happy Path)","Configurable Products > Add to Cart","Critical","BL-CAT-006; BL-CART-007","ECL-7.1; ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
@td(CFG_BIKE.name) PDP loaded. User is authenticated (logged in as {{USER_EMAIL}}). Cart is empty.","url={{FRONT_URL}}@td(CFG_BIKE.url), user={{USER_EMAIL}}, password={{USER_PASSWORD}}, seat_total=$365.00","[ACT] Click radio button for Seat option ($15.00; qty 1); [ASSERT] Verify total price=$365.00; [ACT] Click Add to cart button (dedicated button for configurable products — no stepper interaction needed); [ASSERT] Observe success notification; [ASSERT] Observe cart icon update in header; [ASSERT] Observe button text changes from Add to cart to Update cart; [ASSERT] Observe lineItemId query param appears in URL; [NAV] Navigate to cart page at {{FRONT_URL}}/cart; [ASSERT] Locate @td(CFG_BIKE.name) in cart; [ASSERT] Observe configuration detail in cart line item; [ASSERT] Observe cart item price; [ASSERT] Observe cart subtotal; [ASSERT] Observe quantity=1 (minQty added automatically)","[STATE] Seat radio selected; total price=$365.00; [DOM] Add to cart button visible and clickable (no qty stepper needed); [DOM] Success notification shown (Product added to cart or equivalent); [DOM] Cart icon updates to show 1 item; [STATE] Button text changes to Update cart after successful add; [STATE] URL now contains lineItemId query param; [DOM] Cart page shows @td(CFG_BIKE.name) as a line item; [DOM] Cart line item shows Seat as the selected configuration option; [MATH] Cart item price=$365.00; [MATH] Cart subtotal=$365.00; [MATH] Quantity=1 (system adds minQty automatically for configurable products)","[API] addItem mutation returns 200 with cart item including configurationItems[]; [CONSOLE] No errors during add-to-cart; [NETWORK] Cart API response includes configuredGroupCode or equivalent option identifier","Success notification not shown; cart icon count not updated; Seat configuration detail missing from cart line item; cart price showing $350 (base) instead of $365; add-to-cart silently fails; button text not changing to Update cart; lineItemId missing from URL","Remove @td(CFG_BIKE.name) from cart after test","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-PDP-007","Add Configured Product to Cart with None Selected (Optional Section)","Configurable Products > Add to Cart","High","BL-CAT-006","ECL-7.1; ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
@td(CFG_BIKE.name) PDP loaded. None selected by default. User authenticated.","url={{FRONT_URL}}@td(CFG_BIKE.url), user={{USER_EMAIL}}, password={{USER_PASSWORD}}, base_price=$350.00","[ASSERT] Verify None radio is selected by default; [ASSERT] Verify accordion subtitle reads Personalize your selection further (optional); [ACT] Click + to set quantity to 1; [ASSERT] Observe Add to cart button is enabled; [ACT] Click Add to cart; [ASSERT] Verify no validation error about unselected required option; [NAV] Navigate to cart; [ASSERT] Verify @td(CFG_BIKE.name) appears at base price $350.00; [ASSERT] Verify no configuration error state shown","[STATE] Optional section allows add-to-cart with None selected; [STATE] No blocking validation error shown; [DOM] Success notification appears; [MATH] Cart shows @td(CFG_BIKE.name) at base price $350.00; [DOM] Cart may show None or no configuration detail without error","[API] Add to cart POST returns 200; [CONSOLE] No validation or permission errors; [NETWORK] Cart item created with base price","Validation error incorrectly blocking optional None selection; cart showing wrong price; add-to-cart failing with unselected required field error when section is optional","Remove item from cart after test","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-PDP-008","Accordion Expands and Collapses Correctly","Configurable Products > UI Interaction","Medium","BL-PRICE-001","ECL-7.1","@td(CFG_BIKE.name) PDP loaded. Accordion is open by default.","url={{FRONT_URL}}@td(CFG_BIKE.url)","[ASSERT] Verify accordion starts expanded (all 5 radio options visible); [ACT] Click the accordion header Select one to collapse; [ASSERT] Verify radio options hidden; header still visible; [ACT] Click accordion header again to expand; [ASSERT] Verify radio options visible again; [ACT] Select Seat option; [ACT] Collapse accordion; [ASSERT] Observe accordion subtitle when collapsed with Seat selected; [ACT] Expand accordion; [ASSERT] Verify Seat is still selected","[STATE] Accordion starts in open/expanded state; [DOM] Clicking header collapses and hides radio options; [DOM] Clicking header again expands and shows radio options; [DOM] When collapsed with Seat selected: subtitle updates to show Seat; [STATE] Re-expanding: Seat remains selected; [STATE] Selection state preserved through collapse/expand cycles","[CONSOLE] No errors on accordion toggle; [NETWORK] No API calls triggered by accordion toggle alone","Accordion does not collapse on click; radio options still visible when collapsed; selection lost after collapse/expand cycle; subtitle not updating to show selected option name","none","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-PDP-009","Accordion Subtitle Updates to Show Selected Option Name","Configurable Products > UI Interaction","High","BL-PRICE-001","ECL-7.1","@td(CFG_BIKE.name) PDP loaded. Accordion open. None selected.","url={{FRONT_URL}}@td(CFG_BIKE.url)","[ASSERT] Observe initial accordion subtitle: Personalize your selection further (optional); [ACT] Click Seat radio button; [ASSERT] Observe accordion subtitle updates to Seat; [ACT] Click Pedals radio button; [ASSERT] Observe accordion subtitle updates to Pedals; [ACT] Click 200CC 250CC 4-Stroke Engine Motor option; [ASSERT] Observe accordion subtitle updates to engine name; [ACT] Click None radio button; [ASSERT] Observe accordion subtitle reverts to default","[DOM] Initial subtitle: Personalize your selection further (optional); [DOM] After selecting Seat: subtitle updates to Seat; [DOM] After selecting Pedals: subtitle updates to Pedals; [DOM] After selecting Engine: subtitle updates to engine name (full or truncated); [DOM] After selecting None: subtitle reverts to Personalize your selection further (optional)","[CONSOLE] No errors on subtitle update; [NETWORK] No API call triggered by subtitle update","Subtitle not updating on radio selection; subtitle showing wrong option name; subtitle not reverting to default on None selection; subtitle update causing layout shift or scroll jump","none","TP_CONFIGURABLE_PRODUCTS_001 VCST-4612","Manual"
"CFG-PDP-010","No Auto-Scroll on Radio Button Click (VCST-4612 Regression)","Configurable Products > UI Interaction","High","BL-PRICE-001","ECL-7.1","@td(CFG_BIKE.name) PDP loaded. Scroll position at the Configure the parameters widget. None selected.","url={{FRONT_URL}}@td(CFG_BIKE.url)","[SCROLL] Scroll to configure widget; note current scroll position (scrollY via JS evaluate); [ACT] Click radio for 200CC 250CC 4-Stroke Engine Motor (very long name causing 2-line subtitle); [ASSERT] Verify scroll position unchanged via window.scrollY; [ACT] Click radio for Seat (short name; 1-line subtitle); [ASSERT] Verify scroll position unchanged; [ACT] Click radio for Pedals; [ASSERT] Verify scroll position unchanged; [ACT] Alternate between Engine and Seat several times; [ASSERT] Verify no scroll occurs on any radio click","[STATE] Clicking any radio button does NOT change page scroll position; [STATE] scrollY remains constant across all radio button transitions; [STATE] No auto-scroll on subtitle line count change (2 lines to 1 line or vice versa); [STATE] Regression check for VCST-4612 fix","[CONSOLE] No scroll-related JavaScript errors; evaluate window.scrollY before and after each click to confirm no change","Page scrolls up or down on radio click; scrollY changes between option selections; longer option names cause layout reflow that shifts scroll position","none","TP_CONFIGURABLE_PRODUCTS_001 VCST-4612","Manual"
