"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"CHK-031","B2B Checkout - PO Number Entry","Checkout > B2B","High","BL-CHK-004","","Logged in as B2B org user ({{ORG_USER_EMAIL}}), cart has items","url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_pass={{ORG_USER_PASSWORD}}, admin={{ADMIN_URL}}","[NAV] Log in as {{ORG_USER_EMAIL}} and navigate to {{FRONT_URL}}/cart
[ACT] click 'Checkout' or 'Proceed to Checkout'
[ASSERT] Verify PO Number field visible (B2B org user context)
[ACT] Enter PO number 'PO-2026-001' in PO Number field
[ACT] Complete remaining checkout steps (address, shipping, payment)
[ACT] click 'Place Order'
[WAIT] Wait for confirmation page
[ASSERT] Verify order number displayed on confirmation page
[NAV] Navigate to {{FRONT_URL}}/account/orders and open order detail page
[ASSERT] Verify PO number 'PO-2026-001' shown on order detail page (NOT expected on confirmation page — PO number appears on order detail, not /checkout/completed)","[DOM] PO Number field visible during checkout for org user
[DOM] PO number accepts alphanumeric input
[DOM] Confirmation page shows order number (PO number assertion is on order detail page, not confirmation)
[DOM] PO number shown on account order detail page
[ADMIN] PO number stored and visible in {{ADMIN_URL}}/orders","[API] createOrderFromCart mutation response errors[] is empty
[API] verify org context is non-null (me.organization)
[ADMIN] Order in {{ADMIN_URL}}/orders shows PO number = PO-2026-001
[CONSOLE] No errors submitting B2B order","PO Number field not visible for B2B user; PO number not shown on order detail page; PO number field missing from checkout form","Cancel order via {{ADMIN_URL}}/orders","Coverage Gap Analysis","Manual — Rewritten 2026-04-21: corrected assertion — PO number displays on order detail page, NOT on /checkout/completed confirmation page. Removed incorrect assertion 'PO number shown on confirmation page'."
"CHK-032","B2B Checkout - Net 30 Payment Terms","Checkout > B2B > Payment","High","BL-CHK-004","","SEED REQUIRED: Net 30 / On Account payment method must be configured for the B2B organization assigned to {{ORG_USER_EMAIL}}. Provision via Admin > Customers > Organizations > [Org] > Payment terms = Net 30, AND Admin > Stores > Payment methods > enable 'On Account' or 'Pay Later' method. Net 30 is not configured in QA by default.","url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_pass={{ORG_USER_PASSWORD}}","[NAV] Log in as {{ORG_USER_EMAIL}} and navigate to cart with items
[ACT] click 'Checkout'
[ACT] Complete shipping address and method steps
[WAIT] Wait for payment method step
[ASSERT] Verify 'Net 30' or 'On Account' payment option available
[ACT] select 'Net 30' or 'On Account' payment method
[ASSERT] Verify no credit card entry required
[ACT] click 'Place Order'
[WAIT] Wait for confirmation page
[ASSERT] Verify order placed with appropriate status (Pending Approval or On Account)","[DOM] Net 30 / On Account option listed in payment methods
[STATE] No credit card form shown when Net 30 selected
[STATE] Order placed with On Account or Pending status
[DOM] Confirmation page shows Net 30 payment method","[API] createOrderFromCart mutation response errors[] is empty
[API] verify org context is non-null (me.organization)
[ADMIN] Order in {{ADMIN_URL}}/orders shows Net 30 payment method
[CONSOLE] No errors on Net 30 order placement","Net 30 option not available for eligible org; credit card required even after selecting Net 30; {{ORG_USER_EMAIL}} org has no Net 30 configured (seed not provisioned)","Cancel order via {{ADMIN_URL}}/orders","Coverage Gap Analysis","Manual — BLOCKED pending seed: Net 30 / On Account payment terms not configured for org in QA. Provision via Admin > Customers > Organizations + Admin > Stores > Payment methods. SEED verdict 2026-04-21."
"CHK-033","B2B Checkout - Approval Workflow","Checkout > B2B > Approval","Critical","BL-CHK-003","ECL-14.3","SEED REQUIRED: B2B organization must have approval workflow enabled with purchase limit configured (e.g. buyer limit = $100, orders above = require approval). Provision via Admin > Customers > Organizations > [Org] > Order approval settings. ALSO REQUIRED: Buyer role user ({{ORG_USER_EMAIL}}) with purchase limit below order total. This workflow is not enabled in QA by default.","url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_pass={{ORG_USER_PASSWORD}}, admin={{ADMIN_URL}}, admin_user={{ADMIN_EMAIL}}, admin_pass={{ADMIN_PASSWORD}}","[NAV] Log in as Buyer role user ({{ORG_USER_EMAIL}}) in storefront
[ACT] Add items to cart with total exceeding buyer purchase limit
[ACT] click 'Checkout' and proceed through all steps (address, shipping, payment)
[ACT] click 'Place Order'
[WAIT] Wait for order submission
[ASSERT] Verify order status is 'Pending Approval' (not Processing)
[ASSERT] Verify buyer sees notification that order requires approval
[NAV] Log in as Admin/Approver in {{ADMIN_URL}}
[NAV] Navigate to pending orders or approval queue in admin
[ASSERT] Verify order appears in approval queue
[ACT] Approve the order in admin
[NAV] Return to storefront as Buyer and view order
[ASSERT] Verify order status updated to 'Processing' after approval","[STATE] Order status = Pending Approval immediately after buyer places order
[DOM] Buyer sees approval pending notification
[ADMIN] Order visible in approval queue for admin/approver
[STATE] After admin approval order transitions to Processing
[DOM] Buyer sees Processing status after admin approves","[API] createOrderFromCart mutation response errors[] is empty
[API] verify org context is non-null (me.organization)
[API] Order status API returns pendingApproval before admin action
[ADMIN] Approval queue shows order after placement
[CONSOLE] No errors during approval workflow","Order placed directly as Processing bypassing approval; approval queue not showing order for admin; approval workflow not available (seed not provisioned)","Cancel or complete order via {{ADMIN_URL}}/orders","Coverage Gap Analysis","Manual — BLOCKED pending seed: approval workflow not enabled for org in QA. Provision via Admin > Customers > Organizations > Order approval settings. SEED verdict 2026-04-21."
"CHK-034","B2B Checkout - Buyer Cannot Bypass Approval","Checkout > B2B > Security","Critical","BL-CHK-003, BL-CHK-004","ECL-14.3","SEED REQUIRED: Same as CHK-033 — B2B org must have approval workflow enabled with buyer purchase limit configured. DEPENDENCY: CHK-033 must be runnable (workflow seeded). Run AFTER CHK-033 confirms 'Pending Approval' status is reachable.","url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_pass={{ORG_USER_PASSWORD}}, back={{BACK_URL}}","[NAV] Log in as Buyer ({{ORG_USER_EMAIL}}) subject to approval workflow
[ACT] Add items exceeding purchase limit to cart
[ACT] Proceed through checkout normally (address, shipping, payment)
[ACT] click 'Place Order'
[ASSERT] Verify order status = Pending Approval (not Processing)
[ACT] Note order ID from storefront
[ACT] Attempt to send direct API request to {{BACK_URL}}/api/order/orders/{orderId}/status to transition to Processing using buyer credentials
[ASSERT] Verify API returns 403 or error response (not 200)
[ASSERT] Verify order status remains Pending Approval in storefront after bypass attempt","[STATE] Order placed with Pending Approval status by buyer
[STATE] Direct API attempt to bypass approval returns 403 or error
[STATE] Order status unchanged after bypass attempt
[STATE] Approval requirement enforced server-side","[API] createOrderFromCart mutation response errors[] is empty
[API] verify org context is non-null (me.organization)
[API] Status transition API call by buyer returns 403/unauthorized
[API] Platform enforces approval server-side (not just frontend)
[CONSOLE] No client-side bypass possible via DevTools manipulation","Buyer can place order directly as Processing bypassing approval; server accepts unauthorized status transition; 403 not returned on bypass attempt","Cancel order via {{ADMIN_URL}}/orders","Coverage Gap Analysis","Manual — BLOCKED pending seed: same approval workflow seed as CHK-033 required. SEED verdict 2026-04-21."
"CHK-035","B2B Checkout - Organization Shipping Address","Checkout > B2B > Shipping","High","BL-CHK-004","","Logged in as B2B org user, org has at least one configured shipping address","url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_pass={{ORG_USER_PASSWORD}}","[NAV] Log in as {{ORG_USER_EMAIL}} and add items to cart
[ACT] click 'Checkout'
[WAIT] Wait for shipping address step
[ASSERT] Verify org shipping addresses listed as distinct group or clearly labeled
[ASSERT] Verify personal user addresses also available but differentiated from org addresses
[ACT] select an organization shipping address
[ASSERT] Verify org address populates shipping fields
[ACT] Proceed to shipping method step
[ASSERT] Verify org address carried through to order summary","[DOM] Org addresses shown in separate group or with org label
[DOM] Personal addresses differentiated from org addresses
[STATE] Org address selection populates shipping form fields
[STATE] Selected org address shown in order summary","[API] verify org context is non-null (me.organization)
[API] currentOrganizationAddresses query executed; response items scoped to the user's organization (not personal); org-scope enforced by resolver (403 if user queries a different org). Standard GraphQL errors array is empty.
[CONSOLE] No errors loading org address list","Org addresses not shown; personal and org addresses not differentiated; org address selection fails","none","Coverage Gap Analysis, Synced: VCST-4710 (2026-04-23)","synced"
"CHK-036","B2B Checkout - Contract Pricing Applied","Checkout > B2B > Pricing","Critical","BL-CHK-004","ECL-4.1, ECL-14.1","B2B org with contract/tier pricing configured, products have org-specific prices in system","url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_pass={{ORG_USER_PASSWORD}}, sku={{TEST_SKU}}","[NAV] Log in as {{ORG_USER_EMAIL}}
[NAV] Navigate to product page for {{TEST_SKU}} with org-specific contract price
[ASSERT] Verify contract/negotiated price shown on PDP (not standard catalog price)
[ACT] click 'Add to Cart'
[NAV] Navigate to {{FRONT_URL}}/cart
[ASSERT] Verify cart shows contract price for item
[ACT] click 'Checkout'
[ASSERT] Verify order summary at checkout shows contract price
[ACT] click 'Place Order'
[ASSERT] Verify confirmation shows contract price in totals","[DOM] Contract price shown on PDP (lower than or different from catalog price)
[DOM] Cart line item shows contract price
[MATH] Checkout order summary totals use contract price
[DOM] Confirmation page totals reflect contract pricing","[API] createOrderFromCart mutation response errors[] is empty
[API] verify org context is non-null (me.organization)
[API] Order payload shows contract/org price not catalog price
[ADMIN] Order in admin shows contract pricing applied
[CONSOLE] No pricing calculation errors","Standard catalog price shown instead of contract price; price changes to catalog price at checkout step","Cancel order via {{ADMIN_URL}}/orders","Coverage Gap Analysis","Generated"
"CHK-037","B2B Checkout - Coupon on Top of Contract Price","Checkout > B2B > Promotions","High","BL-CHK-004","ECL-4.1, ECL-14.1","SEED REQUIRED: Valid coupon code applicable to B2B org users must exist in system ({{VALID_COUPON_CODE}}). Provision via Admin > Marketing > Promotions > create promotion with coupon code, applicable to B2B users and stackable with contract pricing. Also requires: product with contract/org-specific pricing configured for {{ORG_USER_EMAIL}} org.","url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_pass={{ORG_USER_PASSWORD}}, sku={{TEST_SKU}}, coupon={{VALID_COUPON_CODE}}","[NAV] Log in as {{ORG_USER_EMAIL}}
[ACT] Add product with contract pricing to cart
[NAV] Navigate to {{FRONT_URL}}/cart and proceed to checkout
[ASSERT] Verify contract price shown in cart
[ACT] Locate coupon code field
[ACT] Enter {{VALID_COUPON_CODE}} in coupon field
[ACT] click 'Apply'
[WAIT] Wait for discount to apply
[ASSERT] Verify discount applied per configured stacking rules
[ASSERT] Verify cart total = contract price - coupon discount + shipping + tax
[ACT] click 'Place Order'
[ASSERT] Verify confirmation shows coupon as separate discount line","[DOM] Coupon field accessible for B2B users
[STATE] Valid coupon accepted
[MATH] Total = contract price - coupon discount + shipping + tax (no double-discounting)
[DOM] Coupon discount shown as separate line item
[DOM] Confirmation page shows coupon discount","[API] createOrderFromCart mutation response errors[] is empty
[API] verify org context is non-null (me.organization)
[ADMIN] Order in admin shows coupon and contract price as separate line items
[CONSOLE] No pricing errors with coupon + contract price combination","Coupon not accepted for B2B user; double discounting applied; coupon absent from confirmation; {{VALID_COUPON_CODE}} rejected (seed not provisioned)","Cancel order via {{ADMIN_URL}}/orders","Coverage Gap Analysis","Manual — BLOCKED pending seed: valid coupon code for B2B users ({{VALID_COUPON_CODE}}) not provisioned in QA. SEED verdict 2026-04-21."
"CHK-038","B2B Checkout - PO Number Validation","Checkout > B2B > Validation","High","BL-CHK-004","","Logged in as B2B org user at checkout, PO Number field visible. SPEC NOTE: PO Number field is OPTIONAL (required=false) in current implementation — no 'PO Number is required' error is expected on empty submit. No maximum character length cap is enforced. Assertions for required-field error and length-cap validation are REMOVED from this case — they reflect a spec that does not match current behavior.","url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_pass={{ORG_USER_PASSWORD}}","[NAV] Log in as {{ORG_USER_EMAIL}} and navigate to checkout
[ASSERT] Verify PO Number field visible in checkout form
[ACT] Leave PO Number empty and click 'Place Order' (or advance to next step)
[ASSERT] Verify checkout proceeds without 'PO Number is required' error (field is optional)
[ACT] Enter valid PO number 'PO-TEST-001' in PO Number field
[ACT] Complete checkout (address, shipping, payment)
[ACT] click 'Place Order'
[WAIT] Wait for order confirmation
[ASSERT] Verify order placed successfully
[NAV] Navigate to order detail page
[ASSERT] Verify PO number 'PO-TEST-001' shown on order detail","[DOM] PO Number field visible at checkout for B2B org user
[STATE] Checkout proceeds without error when PO field left empty (field is optional)
[STATE] Checkout proceeds successfully when PO field filled
[DOM] PO number shown on order detail page
[STATE] No required-field validation error on empty PO field (field is optional)","[API] verify org context is non-null (me.organization)
[API] createOrderFromCart succeeds with empty/null purchaseOrderNumber
[CONSOLE] No unhandled exceptions during PO validation","PO field blocks checkout when left empty (field should be optional); PO number not saved on order detail; unexpected validation error on optional PO field","none","Coverage Gap Analysis","Manual — Rewritten 2026-04-21: PO Number field is optional (required=false), no length cap. Removed incorrect assertions for required-field error and length-cap validation. Rewritten to test optional behavior and order-detail persistence."
"CHK-069","B2B Checkout - PO Number Field Visible and Saved","Checkout > B2B > PO Number","High","BL-CHK-001","ECL-7.1, BL-ORD-001","User logged in as B2B org buyer; items in cart; PO number field configured for the store","url={{FRONT_URL}}
user={{ORG_USER_EMAIL}}
password={{ORG_USER_PASSWORD}}","[NAV] navigate to {{FRONT_URL}} and log in as B2B buyer {{ORG_USER_EMAIL}}
[ACT] add product to cart
[NAV] navigate to {{FRONT_URL}}/cart
[ACT] proceed to checkout
[ASSERT] verify PO Number field is visible in checkout form
[ACT] enter PO number 'PO-TEST-12345'
[ACT] complete checkout (address + shipping + payment)
[WAIT] wait for order confirmation
[ASSERT] verify PO number 'PO-TEST-12345' displayed on order confirmation page
[NAV] navigate to order details in account
[ASSERT] verify PO number shown in order details","[DOM] PO Number input field visible at checkout
[DOM] PO number displayed on confirmation page
[STATE] PO number persisted and visible in order details","[API] createOrderFromCart includes purchaseOrderNumber field
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx","PO Number field missing for B2B buyer; PO number not saved with order; PO number not shown on confirmation; field shown for non-B2B users","Cancel test order via admin","Coverage Gap Analysis","Manual"
"CHK-070","B2B Checkout - PO Number Optional (Proceeds Without)","Checkout > B2B > PO Number","Medium","BL-CHK-001","ECL-7.1","User logged in as B2B org buyer; PO number field is optional","url={{FRONT_URL}}
user={{ORG_USER_EMAIL}}
password={{ORG_USER_PASSWORD}}","[NAV] navigate to {{FRONT_URL}} and log in as B2B buyer
[ACT] add product to cart and proceed to checkout
[ASSERT] verify PO Number field is visible but not marked as required
[ACT] leave PO Number field empty
[ACT] complete checkout
[WAIT] wait for order confirmation
[ASSERT] verify order placed successfully without PO number
[ASSERT] verify no validation error for empty PO field","[STATE] checkout completes without PO number when field is optional
[DOM] no validation error on empty PO field
[DOM] order confirmation reached","[API] createOrderFromCart succeeds with empty/null purchaseOrderNumber
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx","checkout blocked without PO number; validation error on optional field; order fails to create","Cancel test order via admin","Coverage Gap Analysis","Manual"
