ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
CFG-PDP-015,"Cross-Browser: Configuration Widget on Firefox","Configurable Products > Cross-Browser",High,"BL-CAT-006; BL-PRICE-001","ECL-7.1; ECL-13.1","Firefox browser available. Bike with options PDP URL accessible.","url={{FRONT_URL}}/products-with-options/configurations/@td(CFG_BIKE.slug); browser=firefox","[NAV] Open Bike with options PDP in Firefox browser; [WAIT] Wait for Configure text to appear; [ASSERT] Observe widget renders with correct layout; [ASSERT] Observe radio buttons display correctly; [ACT] Click radio options; verify price updates correctly; [ACT] Set quantity to 1; [ACT] Click Add to cart; [ASSERT] Verify cart add succeeds; [ASSERT] Check browser console for Firefox-specific errors","[DOM] Widget renders with correct layout in Firefox; [DOM] Radio buttons display correctly (no broken styling); [MATH] Price updates correctly on option selection; [STATE] Add to cart succeeds; [DOM] Cart shows configured product with correct details; [CONSOLE] No Firefox-specific JavaScript errors","[CONSOLE] Check Firefox console for CSS/JS compatibility errors; [NETWORK] All API calls succeed in Firefox","Widget not rendering in Firefox; radio buttons visually broken; price not updating; add-to-cart failing with browser-specific JS error",Remove cart item after test,TP_CONFIGURABLE_PRODUCTS_001,Manual
CFG-GQL-001,"GraphQL productConfiguration Query Returns Product Section Type with Options","Configurable Products > GraphQL xAPI > Product Section",Critical,BL-CAT-006,ECL-7.1,"User authenticated with Bearer token. Configurable Hat product exists at {{FRONT_URL}}/products-with-options/configurable-caps-shirts/@td(CFG_HAT.slug) with Product-type configuration sections.","store_id={{STORE_ID}}; back_url={{BACK_URL}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}; product_slug=@td(CFG_HAT.slug)","[AUTH] Obtain Bearer token via POST {{BACK_URL}}/connect/token with {{USER_EMAIL}}/{{USER_PASSWORD}}; [GQL] POST {{BACK_URL}}/graphql with query { productConfiguration(configurableProductId: ""configurable-hat-product-id"" storeId: {{STORE_ID}}) { configurationSections { id name description type isRequired options { id quantity listPrice { amount } salePrice { amount } extendedPrice { amount } product { id name code } } } } }; [VAR] Extract configurationSections array from response","[ERRORS] errors[] is empty in response; [DATA] configurationSections[] contains at least one section with type=Product; [DATA] Product section options[] each contain id; quantity; salePrice.amount; extendedPrice.amount; [DATA] options[].product contains id; name; code (non-null); [NULL] response.data.productConfiguration is not null","[ROUNDTRIP] Query result matches admin configuration setup; [CONSOLE] No errors if queried via browser GraphiQL","errors[] non-empty despite HTTP 200; type field missing or null; options[] empty; product.name null for Product section options",none,GAP-CFG-001,Automated
CFG-GQL-003,"GraphQL productConfiguration Query Returns File Section Type","Configurable Products > GraphQL xAPI > File Section",Critical,BL-CAT-006,ECL-7.1,"User authenticated. Hoodie Base (File optional) product exists at slug physical with File-type section.","store_id={{STORE_ID}}; back_url={{BACK_URL}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}; product_slug=physical","[AUTH] Obtain Bearer token via POST {{BACK_URL}}/connect/token; [GQL] POST {{BACK_URL}}/graphql with query { productConfiguration(configurableProductId: ""physical-product-id"" storeId: {{STORE_ID}}) { configurationSections { id name type isRequired options { id } } } }; [VAR] Extract File-type section from response","[ERRORS] errors[] is empty; [DATA] configurationSections[] contains at least one section with type=File; [DATA] File section isRequired=false for Hoodie Base (File optional); [NULL] response.data.productConfiguration is not null","[ROUNDTRIP] File section type matches admin setup; [ADMIN] File section visible in admin Configuration tab","errors[] non-empty; type=File not found; isRequired value incorrect; response null",none,GAP-CFG-001,Automated
CFG-GQL-006,"updateConfigurationItem Mutation Changes Product Section Selection","Configurable Products > GraphQL xAPI > Update Product Section",High,BL-PRICE-001,ECL-7.1,"User authenticated. Cart contains configurable product with Product section (option A selected). Second option ID known.","store_id={{STORE_ID}}; back_url={{BACK_URL}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}","[AUTH] Obtain Bearer token; [SETUP] Add configurable product with Product section option A to cart; [VAR] Note lineItemId; [GQL] POST {{BACK_URL}}/graphql with mutation updateConfigurationItem changing Product section to option B; [VAR] Extract updated configurationItems","[ERRORS] updateConfigurationItem errors[] is empty; [DATA] configurationItems[].optionId matches option B (not option A); [MATH] Cart item price updated to reflect option B extendedPrice; [COUNT] Cart item count unchanged (no duplicate)","[ROUNDTRIP] Cart query confirms option B in configurationItems; [STOREFRONT] Cart page reflects updated option; [CONSOLE] No errors","errors[] non-empty; option A still shown after update; duplicate line item created; price unchanged",Remove cart item after test,GAP-CFG-001,Automated
CFG-GQL-008,"GraphQL Error Handling for Invalid configurationId and Missing Required Sections","Configurable Products > GraphQL xAPI > Error Handling",High,BL-CAT-006,"ECL-7.1; ECL-14.1","User authenticated. Valid configurable product ID and section IDs known.","store_id={{STORE_ID}}; back_url={{BACK_URL}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}","[AUTH] Obtain Bearer token; [GQL] POST {{BACK_URL}}/graphql with addItem using non-existent configurableProductId (00000000-0000-0000-0000-000000000000); [VAR] Capture errors[] from response; [GQL] POST {{BACK_URL}}/graphql with addItem for valid configurable product but omit required section from configurationSections; [VAR] Capture errors[] from second response","[ERRORS] Non-existent configurationId: errors[] is non-empty with descriptive error code; [ERRORS] Missing required section: errors[] is non-empty indicating required section not provided; [DATA] No cart item created for either invalid request; [NULL] No null pointer exceptions in response","[ROUNDTRIP] Cart query confirms no items added from invalid requests; [CONSOLE] No unhandled 500 errors — controlled 4xx/validation errors expected","HTTP 500 instead of controlled error; errors[] empty for invalid input; cart item silently created with invalid config; null pointer in response",none,GAP-CFG-001,Automated
CFG-PROMO-001,"Coupon Code Applied to Cart with Configured Product","Configurable Products > Promotions > Coupon on Configured Product",Critical,BL-PRICE-001,"ECL-7.1; ECL-14.1","User logged in. Configurable Hat product available (base $15). A valid coupon code exists in the system. Cart is empty.","user={{USER_EMAIL}}; password={{USER_PASSWORD}}; front_url={{FRONT_URL}}; product_url=/products-with-options/configurable-caps-shirts/@td(CFG_HAT.slug)","[NAV] Navigate to {{FRONT_URL}}/products-with-options/configurable-caps-shirts/@td(CFG_HAT.slug); [WAIT] Configure widget visible; [ACT] Select a Product section option (note the total price including configuration); [ACT] Click Add to cart; [WAIT] Success notification; [NAV] Navigate to {{FRONT_URL}}/cart; [ASSERT] Line item with configured product and total price visible; [ACT] Enter coupon code in promo code field; [ACT] Click Apply; [WAIT] Coupon applied notification or discount line visible","[DOM] Coupon code accepted and discount amount displayed; [MATH] Discount applied to configured product total (base + option surcharge); not just base price alone; [MATH] Cart total = configured total - discount amount; [FORMAT] Discount and total display with 2 decimal places; [STATE] Coupon badge or label visible on cart","[API] applyCoupon mutation errors[] is empty; [API] Cart response shows coupon discount in discounts[] or promotions[]; [CONSOLE] No JS errors; [NETWORK] No 4xx/5xx on coupon apply","Coupon rejected for configured product; discount calculated on base price only ignoring surcharge; cart total incorrect; 500 error on apply","Remove coupon and cart item after test",GAP-CFG-003,Manual
CFG-PROMO-002,"Promotional Discount on Configured Product Total","Configurable Products > Promotions > Auto Discount",High,BL-PRICE-001,ECL-7.1,"User logged in. An automatic promotion applies to the configurable product category. Configured product with option selected. Cart empty.","user={{USER_EMAIL}}; password={{USER_PASSWORD}}; front_url={{FRONT_URL}}","[NAV] Navigate to Configurable Hat PDP at {{FRONT_URL}}/products-with-options/configurable-caps-shirts/@td(CFG_HAT.slug); [WAIT] Configure widget; [ACT] Select an option; note total price; [ACT] Click Add to cart; [NAV] Navigate to cart; [ASSERT] Check if automatic promotional discount is applied to the configured product line item","[MATH] If promotion active: discount applies to the full configured total (base + option); not only to base; [STATE] Promotional discount visible on cart line or in subtotal breakdown; [FORMAT] Prices with 2 decimal places","[API] Cart response includes promotional reward/discount data; [CONSOLE] No JS errors; [NETWORK] No 4xx/5xx","Promotion not applying to configured product; discount only on base price; cart total wrong",Remove cart item after test,GAP-CFG-003,Manual
CFG-PROMO-003,"Discount Stacking: Sale Price Option + Coupon (BL-PRICE-001)","Configurable Products > Promotions > Discount Stacking",Critical,"BL-PRICE-001; BL-PRICE-004","ECL-7.1; ECL-14.1","User logged in. Bike with options product has Rear wheel option with salePrice $88 (listPrice $126). A valid coupon code exists. Cart empty.","user={{USER_EMAIL}}; password={{USER_PASSWORD}}; front_url={{FRONT_URL}}; product_url=/products-with-options/configurations/@td(CFG_BIKE.slug)","[NAV] Navigate to Bike with options PDP; [WAIT] Configure widget; [ACT] Select Rear wheel option (sale price $88 x2 = $176 extended); [ASSERT] Total = $526 ($350 base + $176); [ACT] Click Add to cart; [NAV] Navigate to cart; [ASSERT] Line item at $526; [ACT] Enter coupon code; click Apply; [WAIT] Coupon applied","[MATH] Coupon discount calculated on $526 (post-sale-price total); NOT on $602 (list price total $350 + $126x2); [MATH] BL-PRICE-001: coupon applies to already-discounted amount; never to original list price; [STATE] Final total = $526 - coupon discount; [FORMAT] All prices 2 decimal places","[API] applyCoupon errors[] empty; [API] Cart discounts[] shows discount based on sale-price total; [CONSOLE] No JS errors; [NETWORK] No 4xx/5xx","Coupon calculating on list price $602 instead of sale price $526; discount amount wrong; errors[] non-empty; cart total incorrect","Remove coupon and cart item after test",GAP-CFG-003 BL-PRICE-001,Manual
CFG-A11Y-002,"Enter/Space to Select Radio Option","Configurable Products > Accessibility > Keyboard Selection",Medium,,ECL-7.1,"Desktop viewport. Configurable product PDP loaded. Keyboard at radio option focus.",front_url={{FRONT_URL}},"[NAV] Navigate to Bike with options PDP; [WAIT] Configure widget visible; [KEY] Tab to first radio option; [KEY] Press Space or Enter to select; [WAIT] Price updates; [KEY] Tab to next radio option; [KEY] Press Enter to select; [WAIT] Price updates","[DOM] Space key selects the focused radio option; [DOM] Enter key selects the focused radio option; [STATE] Price updates on keyboard selection same as on mouse click; [DOM] Selected radio shows checked state; [DOM] aria-checked=true on selected radio","[CONSOLE] No JS errors on keyboard selection","Space/Enter not selecting radio; price not updating on keyboard select; no visual checked state; aria-checked not updating",none,GAP-CFG-005,Manual
CFG-A11Y-003,"ARIA Attributes on Accordion (aria-expanded and aria-controls)","Configurable Products > Accessibility > ARIA Roles",Medium,,ECL-7.1,"Desktop viewport. Configurable product PDP with accordion sections loaded.",front_url={{FRONT_URL}},"[NAV] Navigate to Bike with options PDP; [WAIT] Configure widget visible; [ASSERT] Inspect accordion header element for ARIA attributes; [ACT] Click accordion header to collapse; [ASSERT] Inspect ARIA attributes after collapse; [ACT] Click to expand again; [ASSERT] Inspect ARIA attributes after expand","[DOM] Accordion header has role=button or is a button element; [DOM] aria-expanded=true when section is open; [DOM] aria-expanded=false when section is closed; [DOM] aria-controls attribute references the content panel id; [DOM] Content panel has role=region or appropriate landmark; [DOM] aria-labelledby on panel references the header","[CONSOLE] No JS errors; [NETWORK] No issues","aria-expanded missing or not toggling; aria-controls missing; no role on accordion header; content panel not properly labeled",none,GAP-CFG-005,Manual
