"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"MSN-E2E-008","Cancelling an order after its mission reward has been granted — expected behavior is REVERSAL (PROPOSED-BL-LOY), held red-by-design at Draft — RECONCILE against the live 083d suite's already-landed MSN-E2E-008, which frames the same hypothesis neutrally","Loyalty > Missions > E2E Journey","High",,"ECL-13.3","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:LOYALTY_VIP_USER]
[PRE:RESET_CART]
SEED FIRST: npm run seed:missions-e2e mints a fresh per-run MSN_E2E_* mission set; guard npm run td:validate:missions-e2e must report clean before dispatch. @td(MSN_E2E_ORDERVALUE.name) Published, public, OrderValueGoal target=@td(MSN_E2E_ORDERVALUE.goal_target) reward=@td(MSN_E2E_ORDERVALUE.reward). SHARED-RESOURCE CAVEAT (per the live suite's own finding): this mission is a SINGLE per-run entity, cumulative and frozen once Completed, shared across the live suite's MSN-E2E-003/005/006/008 for LOYALTY_VIP_USER — at most one of {this case, 003, 006} can be the order that completes it in one seed cycle; self-diagnose BLOCKED:PRECONDITION_UNMET if it is already Completed at case start. TWO FIXES from the round-2 version: (1) it INVERTED the assertion to certify 'no reversal' as the expected result — corrected here to assert reversal per PROPOSED-BL-LOY (P0-revenue), held red-by-design, never promoted while red; (2) it referenced the shared, now-consumed MSN_ORDERVALUE fixture — repointed to MSN_E2E_ORDERVALUE. RECONCILIATION FLAG: the live 083d-loyalty-missions-e2e.csv already carries an MSN-E2E-008 for this exact hypothesis, framed NEUTRALLY ('this case exists to make the ACTUAL behavior visible and repeatable, not to assert which behavior is correct'). This staged row is the coordinator-directed alternative (assert the invariant, let it be red) — the two framings are both internally consistent but incompatible as a single case; present both to the coordinator to settle which lands, do not silently pick one.","front_url={{FRONT_URL}}; store_id={{STORE_ID}}; back_url={{BACK_URL}}","--- SCREEN: points-history (before) ---
[NAV] {{FRONT_URL}}/account/points-history
[WAIT] points-history page rendered
[ACT] record the page-level Balance as BAL_0
--- SCREEN: catalog + cart + checkout (L1, qualifying order — crosses the OrderValueGoal target directly) ---
[NAV] {{FRONT_URL}}/catalog
[WAIT] catalog grid rendered
[ACT] add product(s) to cart until the running subtotal exceeds @td(MSN_E2E_ORDERVALUE.goal_target)
[NAV] {{FRONT_URL}}/cart
[WAIT] cart loaded
[ACT] select an available Fixed Rate delivery method
[ACT] proceed to checkout / place order
[WAIT] order confirmation loads with an order number; record it as ORDER_NUMBER
--- SCREEN: missions + points-history (L5, confirm the grant landed) ---
[NAV] {{FRONT_URL}}/account/missions
[WAIT] mission card for @td(MSN_E2E_ORDERVALUE.name) shows 'Completed'; reload up to 3 times over 60s before concluding
[NAV] {{FRONT_URL}}/account/points-history
[WAIT] Balance increased from BAL_0; reload up to 3 times over 60s
[ACT] record the Balance as BAL_1
--- SCREEN: admin (cancel the order) ---
[NAV] {{BACK_URL}}/#!/workspace/orders
[WAIT] orders grid loaded
[ACT] locate ORDER_NUMBER and set its status to Cancelled
[WAIT] status change saved
--- SCREEN: missions + points-history (after cancellation) ---
[NAV] {{FRONT_URL}}/account/missions
[WAIT] mission card re-rendered
[NAV] {{FRONT_URL}}/account/points-history
[WAIT] points-history re-rendered
[ACT] record the Balance as BAL_2","[MATH] BAL_2 = BAL_1 - @td(MSN_E2E_ORDERVALUE.reward) — the balance reverses by exactly the granted reward once the order is cancelled {HYPOTHESIS} PROPOSED-BL-LOY (reversal, P0-revenue) — EXPECTED TO FAIL on the current build: no Cancelled/Reversed operation type exists in ModuleConstants, and LoyaltyMissionHandler filters EntryState.Added only (a status change is a Modified entry, observed by nothing). Deliberately RED BY DESIGN; do not silently correct this assertion to match a permanent balance
[DOM] the mission card returns to its pre-completion state (no 'Completed' chip, percent below 100) after cancellation {HYPOTHESIS} PROPOSED-BL-LOY (reversal) — same red-by-design status
[DOM] a Cancelled or Reversed points-history entry offsetting the earlier Earned row is visible {HYPOTHESIS} PROPOSED-BL-LOY (reversal) — same red-by-design status","[ADMIN] order status shows Cancelled in the Orders grid
[CONSOLE] no unhandled JS errors on the Admin cancel action","This case is EXPECTED to fail (per the model's own confirmed-absent mechanism) — that FAIL is not itself news. What WOULD be news: the balance/state DOES reverse (a confirmed fix — promote this case and retire the neutral-framing sibling), or the cancellation throws an unhandled error or corrupts unrelated state (a NEW, more severe defect, report separately from this hypothesis)","Leave the cancelled order as-is; sign out","VCST-5320; SBTM-loyalty-missions-2026-08-28 finding #4; BA report reports/ba/Loyalty&Mixed cart/missions-design-gaps-2026-08-28.md Theme B; Test Model scenario #13 + fixture-lifecycle hazard note (2026-08-28 patch); PROPOSED-BL-LOY (reversal, P0-revenue); held at Draft, RED BY DESIGN, never promote while red; RECONCILE against the live 083d suite's neutral-framing MSN-E2E-008 — coordinator to settle which framing is canonical; Archetype:LIFECYCLE Technique:ST","Draft"
"MSN-STATUS-001","A cancelled-before-settlement order should NOT complete its mission — expected behavior per PROPOSED-BL-LOY (status-gate), held red-by-design; BLOCKED ON DATA pending its own dedicated per-run fixture","Loyalty > Missions > E2E Journey","High",,"ECL-13.3, ECL-14.7","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:LOYALTY_VIP_USER]
[PRE:RESET_CART]
BLOCKED ON DATA — needs a NEW, dedicated per-run OrderCountGoal mission (target=1), tentatively @td(MSN_E2E_STATUSGATE.name), minted the same way seed:missions-e2e mints MSN_E2E_ORDERCOUNT/MSN_E2E_ORDERVALUE/MSN_E2E_PERSKU. It must NOT reuse @td(MSN_E2E_ORDERCOUNT.name) (exclusively owned by MSN-E2E-001 per the live suite's own 'used by ONLY this case, no cross-case sharing risk' design principle) or the shared @td(MSN_ORDERCOUNT.name) (permanently consumed/frozen at 2 of 2, per the live suite's finding — see Test Model fixture-lifecycle hazard note). Route this fixture request to test-data-engineer before this case can run; do not seed it inline here. TWO FIXES from the round-2 version: (1) it was INVERTED — the assertion certified 'the job completes regardless of cancellation' as an expected, non-remarkable outcome; corrected here to assert the gate SHOULD hold (no accrual), per the model's own PROPOSED-BL-LOY (status-gate) and the wire-up-gap finding (the mission condition tree offers no OrderStatusCondition, unlike its sibling); (2) fixture reference corrected to flag the needed dedicated alias rather than the collision-prone shared/exclusively-owned ones.","front_url={{FRONT_URL}}; store_id={{STORE_ID}}; back_url={{BACK_URL}}","--- SCREEN: missions (before) ---
[NAV] {{FRONT_URL}}/account/missions
[WAIT] mission card grid rendered
[ACT] record the percent for @td(MSN_E2E_STATUSGATE.name) as PERCENT_0
--- SCREEN: catalog + cart + checkout (place, then cancel immediately) ---
[NAV] {{FRONT_URL}}/catalog
[WAIT] catalog grid rendered
[ACT] add the first product to cart at quantity 1
[NAV] {{FRONT_URL}}/cart
[WAIT] cart loaded
[ACT] select an available Fixed Rate delivery method
[ACT] proceed to checkout / place order
[WAIT] order confirmation loads with an order number; record it as ORDER_NUMBER
[NAV] {{BACK_URL}}/#!/workspace/orders
[WAIT] orders grid loaded
[ACT] locate ORDER_NUMBER and set its status to Cancelled AS FAST AS POSSIBLE — the goal is to cancel before the Hangfire job (async window, length not in source) has run
--- SCREEN: missions (after settlement) ---
[NAV] {{FRONT_URL}}/account/missions
[WAIT] mission card re-rendered; reload up to 3 times over 60s to allow the job to run regardless of the cancellation race
[ACT] record the percent for @td(MSN_E2E_STATUSGATE.name) as PERCENT_1","[REL] PERCENT_1 = PERCENT_0 — a cancelled-before-settlement order does NOT advance the mission {HYPOTHESIS} PROPOSED-BL-LOY (status-gate) — EXPECTED TO FAIL on the current build: the accrual job runs on EntryState.Added alone and does not re-check order status downstream, and the mission's own condition tree cannot even express a status gate (no OrderStatusCondition offered, unlike the sibling program tree). Deliberately RED BY DESIGN; do not silently correct this assertion to match the job completing regardless
[STATE] record whether the race was actually won (cancellation applied before settlement) — if the cancellation lands AFTER settlement instead, this run is INCONCLUSIVE for the gate question and should be re-attempted, not scored as a pass or fail on the gate itself {HYPOTHESIS}","[ADMIN] order status shows Cancelled
[API] loyaltyMissionProgress for this mission/user reflects PERCENT_1 consistently with the storefront read
[CONSOLE] no unhandled JS errors on the Admin cancel action","This case is EXPECTED to fail (per the model's own confirmed wire-up gap) — that FAIL is not itself news. What WOULD be news: the gate DOES hold (PERCENT_1 = PERCENT_0, a confirmed fix — promote this case), or the cancellation race could not be won in 3 attempts (INCONCLUSIVE, not a verdict either way)","Leave the order Cancelled; sign out","VCST-5320; SBTM-loyalty-missions-2026-08-28 finding #5 (corrected: module-wide, not mission-specific — see Test Model); BA report Theme B; Test Model scenario #14 + fixture-lifecycle hazard note; PROPOSED-BL-LOY (status-gate); BLOCKED ON DATA — see Preconditions; held at Draft, RED BY DESIGN once unblocked, never promote while red; Archetype:RACE Technique:EG","Draft"
"MSN-015","Published mission with public=false is returned by the customer-facing query identically to a public one — intent UNRESOLVED (three plausible readings in the open bug); this case RECORDS the observation and asserts neither direction, held Manual","GraphQL > Loyalty Missions > Privacy > public flag","High",,,"[AUTH role=ORG_USER]
@td(MSN_PUBLISHED_PRIVATE.name) Published, public=false, condition=AnyUserGroupCondition. REVISED from the round-2 version, which used a {DOC} tag to assert presence as though it were the confirmed-correct behavior — that certifies one of three still-open readings as settled, which reports/bugs/open/BUG-loyalty-mission-public-flag-has-no-effect.md explicitly says is NOT resolved: (1) a customer-visibility gate — this reading treats presence as a bug; (2) a listing/publishing hint with no eligibility meaning — this reading treats presence as correct; (3) vestigial — the flag should not exist at all. Disposition (b): hold as Manual. This case OBSERVES and RECORDS the current behavior without certifying it as either a defect or a specification; a human decides which of the three readings governs before this can become an automated pass/fail gate.","user_id={{USER_ID}}; store_id={{STORE_ID}}","[GQL-OP setup_me]
  query { me { id } }
[GQL-EXEC setup_me]
[GQL-CAPTURE setup_me.data.me.id → USER_ID]
[GQL-OP progress]
  query { loyaltyMissionProgress(storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" cultureName: ""en-US"" first: 100) { items { missionId name status } } }
[GQL-EXEC progress]","[ERRORS label=progress] errors[] empty
[STATE] record whether data.loyaltyMissionProgress.items contains @td(MSN_PUBLISHED_PRIVATE.id) — either presence or absence is recorded as a fact, neither is asserted as pass or fail, because the product's intended behavior for public=false is not yet decided {HYPOTHESIS} — route the recorded result to a human for triage against the three readings in the open bug, not to an automated verdict","[ADMIN] the same mission IS visible in the Admin missions grid search (MSNA-003) — this half IS settled (admin-visibility is unaffected regardless of which of the three readings governs) and may be asserted normally there, unlike the customer-facing half here","The GraphQL query itself errors or times out (an infrastructure failure, unrelated to the open question)","none — read-only query","VCST-5319; C17; reports/bugs/open/BUG-loyalty-mission-public-flag-has-no-effect.md (three unresolved readings — DO NOT assert a specific one); run as a triple with MSN-011 (MSN_GROUP_VIP) and MSN_GROUP_VIP_PRIVATE per the fixture's own purpose comment (the targeting-isolation half is settled; only the flag's PURPOSE is not); Archetype:CONFIG Technique:EG","Manual"
"MSNF-053","Days-left label pluralises correctly — merged BVA pair: plural (>1 day) and the singular boundary (exactly 1 day) in one case, replacing the separately-filed MSNF-070","Loyalty > Missions > Internationalisation","Medium",,,"State from MSNF-017 (danger-badge case) — @td(MSN_ENDING_SOON.name) card visible (5 days, plural branch). A second read on a mission ending in exactly 1 day (singular boundary) — same fixture family as MSNF-056's ends-today case, one day further out. Merge of the prior MSNF-053 (plural) and MSNF-070 (singular=1): both tested the SAME pluralisation rule at two points on the same rendering path; kept as one case with the boundary as the discriminating value, per the redistribution review.","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account/missions
[WAIT] the mission card grid has rendered at least one card and no loading skeleton is visible
[ACT] read the days-left label on the card for @td(MSN_ENDING_SOON.name)
[ACT] read the days-left label on a mission ending in exactly 1 day","[MATH] on @td(MSN_ENDING_SOON.name) (daysRemaining greater than 1) the label uses the plural form, and the number in it = the daysRemaining the response returned {SPEC}
[DOM] with exactly 1 day remaining the singular label '1 day left' is visible, and '1 days left' is absent {SPEC}
[DOM] the plural/singular form comes from the translation layer's pluralisation rules, not a hardcoded string concatenation, so switching language keeps both forms grammatical {SPEC}",,"Plural and singular forms read identically (would mean pluralisation is not wired at all — the more severe version of the finding this case exists to catch)","none — read-only","VCST-5346; merges the prior MSNF-053 + MSNF-070 (same rule, two boundary points) per coordinator review 2026-08-28; Archetype:RENDER Technique:BVA","Draft"
"MSNF-054","Zero-target mission renders without a divide-by-zero artefact — card AND order-goal modal, plus the reward-line fixture-crosstalk guard absorbed from MSNF-066","Loyalty > Missions > Boundaries & Pagination","High",,,"@td(MSN_ZEROTARGET.name) seeded, Published, OrderCountGoal target=0. Merge of the prior MSNF-054 (card+modal div-by-zero) and MSNF-066 (order-goal-modal div-by-zero, same fixture, same modal, near-total assertion overlap) — kept as one case; MSNF-066's one distinct property (the reward line reads THIS fixture's own reward, not the zero-REWARD fixture's) is folded in as a fixture-crosstalk guard.","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account/missions
[WAIT] the mission card grid has rendered at least one card and no loading skeleton is visible
[ACT] read the percent, the progress note, the progress bar on the card for @td(MSN_ZEROTARGET.name)
[ACT] click the open-mission control on that card
[WAIT] the order-goal modal has rendered its target block
[ACT] read the modal's target block wording verbatim
[ACT] read the modal's progress bar fill and percent label
[ACT] read the modal's reward line","[MATH] the percent on the card = 0 {OBSERVED}
[DOM] the literals 'NaN', 'Infinity' and 'undefined' are absent everywhere a computed value appears — card percent, progress note, modal target block, modal percent {BL}
[DOM] the progress bar fill (card and modal) is fully visible inside its track and does not overflow it, even though the current value is above the target {BL}
[DOM] a 'Completed' chip is absent on the card, because the backend keeps this mission in progress {OBSERVED}
[MATH] the modal reward line = @td(MSN_ZEROTARGET.reward), the zero-TARGET fixture's own reward, and NOT the zero-REWARD fixture's — a fixture-crosstalk guard {OBSERVED}",,"A division artefact (NaN/Infinity/undefined) appears anywhere; the modal fails to open; the reward line reads the wrong fixture's value (fixture-selector bug, not a zero-math bug)","none — read-only","VCST-5346; merges the prior MSNF-054 + MSNF-066 (same fixture, same modal, near-total overlap) per coordinator review 2026-08-28; Archetype:BOUNDARY Technique:BVA","Draft"
"MSNF-024","Card exposes the numeric mission goal for order-count and featured-SKU types — the order-value card's own gap (SBTM #8) is CUT from this case, no oracle, tracked as a finding only","Loyalty > Missions > Mission Card","Medium",,,"@td(MSN_ORDERCOUNT.name) and @td(MSN_PERSKU_ALL.name) visible on the missions page. REVISED from the round-2 version, which INVERTED a false {SPEC} into a true-but-worthless {OBSERVED} asserting the order-value card's target is absent — that is the same defect in the other direction (turning a bug into the spec). Correct disposition per SBTM finding #8 (Oracle ref: NONE — no design source declares the order-value card must show its target): (c) CUT the order-value claim entirely; it is a finding for a bug report, not a suite assertion either way. The order-count and featured-SKU assertions below are UNCHANGED from the original case and are not implicated — no live evidence contradicts them.","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account/missions
[WAIT] the mission card grid has rendered at least one card and no loading skeleton is visible
[ACT] read every text element on the card for @td(MSN_ORDERCOUNT.name)
[ACT] read every text element on the card for @td(MSN_PERSKU_ALL.name)","[DOM] the order-count card's numeric target is visible on the card {SPEC}
[DOM] the featured-SKU card's SKU-slot target is visible on the card as a number, and a bare 'Featured SKUs' type label with no target is absent {SPEC}
[DOM] the raw goal-type flag 'PerSkuAll' is absent from wherever that target renders {BL}
[DOM] the goal is visible as a target and is visually distinct from the progress note describing what has been achieved {SPEC}",,"Either target is absent from its card (a genuine regression on a property this case DOES assert)","none — read-only","VCST-5346; the order-value target-visibility question (SBTM finding #8, Oracle ref: NONE) is deliberately NOT asserted here in either direction — see SBTM-loyalty-missions-2026-08-28 and BA report Theme C for the finding as a bug-report-track item; Archetype:PARITY Technique:EG","Draft"
"MSNF-044","Order-goal modal offers the Redeem-products action the design specifies (Frames 1/2) — RED BY DESIGN: the locale key is confirmed dead (filed bug F3), held at Draft, never promoted until the CTA is wired","Loyalty > Missions > Order Goal Modal","Medium",,,"@td(MSN_ORDERVALUE.name) visible on the missions page. REVISED from the round-2 version, which INVERTED the case to assert the CTA's absence — that turns a bug into the spec (Step 1e's own rule: '{OBSERVED} is a baseline, not an oracle'). Correct disposition: (a) — the Claude Design project ('E-commerce missions feature', id e3742011-b4ef-4cd0-a419-722e09833d37, Frames 1 and 2) IS the oracle; it explicitly declares this action (per reports/bugs/open/BUG-loyalty-missions-design-drift-three-surfaces.md's own note: 'design Frames 1/2 declare both' the Redeem-products CTA and the Catalog link). The case therefore asserts the DESIGNED behavior, is EXPECTED TO FAIL on the current build (F3: the redeem_products locale key ships in all 13 locales, referenced by zero .vue files), stays at Draft, and is never promoted until the CTA ships.","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account/missions
[WAIT] the mission card grid has rendered at least one card and no loading skeleton is visible
[ACT] click the open-mission control on the card for @td(MSN_ORDERVALUE.name)
[WAIT] the order-goal modal has rendered its action row
[ACT] read every action control in the modal footer
[ACT] click the redeem-products action in the modal footer
[WAIT] navigation settles on its destination","[DOM] a primary 'Redeem products' action is present in the modal footer alongside Close {DOC} Claude Design project e3742011-b4ef-4cd0-a419-722e09833d37, Frames 1/2 — EXPECTED TO FAIL today (F3: dead locale key, zero .vue references); do not silently correct this assertion to match the current absence
[NAV] activating it navigates to the redeem catalogue where earned points can be spent {DOC} same design source
[DOM] the action's label is resolved copy, and no dotted translation key is present in it {SPEC}",,"This case is EXPECTED to fail on the current build (F3) — that FAIL is not itself news. What WOULD be news: the action IS now present (report as a confirmed fix, promote this case), or the modal throws an error when the (currently nonexistent) action is sought (a different, more severe defect)","none — read-only unless the CTA is present, in which case: none, no mutation performed","VCST-5346; reports/bugs/open/BUG-loyalty-missions-design-drift-three-surfaces.md F3; Claude Design project e3742011-b4ef-4cd0-a419-722e09833d37 Frames 1/2 (oracle); held at Draft, RED BY DESIGN, never promote until F3 ships; Archetype:FALLBACK Technique:EG","Draft"
"MSNF-UIP-BACK-001","Browser Back after closing a featured-SKU modal that wrote to the cart — the modal is not a route (MSNF-041's own finding), so Back navigates the underlying page history while the cart mutation already committed","Loyalty > Missions > Interaction Probes","Medium",,"ECL-14.7","[PRE:SIGNIN_AS:LOYALTY_VIP_USER]
[PRE:RESET_CART]
@td(MSN_PERSKU_ALL.name) visible. Came from account dashboard (so Back has a real prior page to return to, not the browser's own history boundary).","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account
[NAV] {{FRONT_URL}}/account/missions
[WAIT] the mission card grid has rendered
[ACT] click the open-mission control on the card for @td(MSN_PERSKU_ALL.name)
[WAIT] the featured-SKU modal has rendered
[ACT] set one product row's stepper to its target quantity and click 'Add to cart'
[WAIT] the write completes and a result notification is visible
[ACT] click the modal's Close control
[WAIT] the modal has been dismissed
[ACT] press the browser Back button
[WAIT] navigation settles on its destination","[NAV] Back lands on {{FRONT_URL}}/account (the page visited before missions), not a broken or blank intermediate state {SPEC}
[STATE] the cart still holds the line written by the modal — the committed mutation is not rolled back by a client-side history navigation {BL}
[NAV] navigating forward again from {{FRONT_URL}}/account back to /account/missions renders the page fresh, with no resurrected stale modal open {SPEC}","[CONSOLE] no unhandled JS errors on Back navigation","Back lands on a blank page or throws a router error; the cart line is missing after Back (would mean a client-side navigation is rolling back a server-committed write); the modal resurrects itself open on the destination page","Remove the added cart line; sign out","VCST-5320; UIP-BACK (modern-web-attack-surface.md); the modal is explicitly not a route per MSNF-041's own finding, so Back's target is the underlying page, not modal state — the untested seam; Archetype:STALE Technique:EG","Draft"
"MSNF-UIP-TABS-001","Two tabs both open on /account/missions — one places the qualifying order, the other's already-open poll is read during the exact settlement window where a not-yet-processed read is fabricated identically to a genuine zero — BLOCKED ON DATA pending its own dedicated per-run fixture","Loyalty > Missions > Interaction Probes","High",,"ECL-14.7","[PRE:SIGNIN_AS:LOYALTY_VIP_USER]
[PRE:RESET_CART]
BLOCKED ON DATA — needs a NEW, dedicated per-run OrderCountGoal mission (target=1), tentatively @td(MSN_E2E_TABS.name), minted the same way seed:missions-e2e mints MSN_E2E_ORDERCOUNT/MSN_E2E_ORDERVALUE/MSN_E2E_PERSKU. Reconciliation finding (2026-08-28): the round-2 version of this case referenced the shared @td(MSN_ORDERCOUNT.name), which the live 083d suite's own investigation found permanently consumed/frozen at 2 of 2 Completed — a Completed mission never re-advances, so this case would have been the same one-shot defect its own hypothesis is designed to catch. It must not reuse @td(MSN_E2E_ORDERCOUNT.name) either (exclusively owned by MSN-E2E-001, per the live suite's own design principle) or the also-frozen @td(MSN_ORDERVALUE.name). Route this fixture request to test-data-engineer before this case can run; do not seed it inline here. Two browser tabs, same authenticated session. This is the sharpest test of the Test Model's own documented hazard (CreateTransientProgress fabricates a transient 0% in memory before the Hangfire job runs — indistinguishable from a genuine zero) — Tab A is the customer watching, Tab B is the customer acting, which is exactly how the read and the write become concurrent in production.","front_url={{FRONT_URL}}","[ACT] open Tab A at {{FRONT_URL}}/account/missions
[WAIT] Tab A's mission card grid has rendered; record the percent for @td(MSN_E2E_TABS.name) as PERCENT_A0
[ACT] open Tab B, navigate to {{FRONT_URL}}/catalog
[WAIT] Tab B's catalog grid has rendered
[ACT] in Tab B, add the first product to cart and complete checkout (Fixed Rate delivery, DefaultManualPaymentMethod or the matching sandbox card)
[WAIT] Tab B's order confirmation loads with an order number
[ACT] immediately switch to Tab A (no reload) and read the percent for @td(MSN_E2E_TABS.name) as PERCENT_A1
[ACT] reload Tab A and read the percent again as PERCENT_A2, retrying up to 3 times over 60s if it still reads PERCENT_A0","[STATE] PERCENT_A1 (the stale, un-reloaded Tab A) is read and recorded honestly as whatever it shows — a SPA with no push mechanism is not expected to update without a refetch, so PERCENT_A1 = PERCENT_A0 is NOT itself a failure {HYPOTHESIS}
[REL] PERCENT_A2 (reloaded, within the 60s settle window) is greater than PERCENT_A0 once settlement completes — Tab A's own reload triggers a fresh poll, independent of Tab B's write {SPEC}
[DOM] at no point does Tab A render a Completed chip while PERCENT_A2 is still below 100 — the two tabs never show a state their own single poll did not return {BL}","[CONSOLE] no unhandled JS errors in either tab across the whole sequence","Tab A crashes or shows a stale error state on reload; Tab A's reload never reflects the Tab-B-placed order within the 60s settle window; Tab A briefly shows an internally-inconsistent state such as a Completed chip with a sub-100 percent","Cancel the created order via Admin if the store does not auto-clear it; close both tabs; sign out","VCST-5320; UIP-TABS (modern-web-attack-surface.md); directly stress-tests the fabricated-0%-in-memory hazard the Test Model documents; BLOCKED ON DATA — see Preconditions; Archetype:STALE Technique:EG","Draft"
"MSNF-UIP-EXPIRE-001","Session expires while the missions page is open — a polled, revisit-heavy surface (L6 crossed twice per journey) is more exposed to sit-idle-then-expire than a typical transactional page","Loyalty > Missions > Interaction Probes","Medium",,,"[PRE:SIGNIN_AS:LOYALTY_VIP_USER]
Session/token TTL can be forced to expire (via a short-TTL test session or a manually revoked token) without reloading the page.","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account/missions
[WAIT] the mission card grid has rendered at least one card
[ACT] force the session token to expire or be revoked, without reloading the page
[ACT] click the open-mission control on any card, triggering a fresh authenticated request
[WAIT] the page settles into its response to the failed request","[DOM] a graceful re-authentication prompt or a redirect to sign-in is visible, and the raw unhandled 401, a blank white page, and a permanently spinning modal are all absent {BL}
[DOM] no raw GraphQL error object, stack frame or HTTP status code is visible to the customer {BL}
[NAV] after re-authenticating, the customer lands back on /account/missions rather than a generic dashboard, matching MSNF-003's established returnUrl contract for this route {SPEC}","[CONSOLE] no unhandled JS errors on the expired request","The page white-screens or throws an unhandled promise rejection on the expired request; the re-auth flow does not return the customer to /account/missions","Sign out (in a fresh session, since the tested one is expired)","VCST-5320; UIP-EXPIRE (modern-web-attack-surface.md); this page's own defining hazard is a long-lived, revisited, polled surface, raising its exposure to exactly this probe relative to a one-shot transactional page; Archetype:LIFECYCLE Technique:EG","Draft"
