ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
BGJ-001,Health Endpoint Reports Active Engine,Background Jobs > Engine & Registration,Critical,,,"BackgroundJobs 3.1050.0 + migrated modules (Pricing 3.1006.0-pr-237-c5db, Inventory 3.1005.0-pr-164-5966, Store 3.1007.0-pr-174-26e4, Sitemaps 3.1004.0-pr-92-2e95, Orders 3.1014.0-pr-503-4875, Catalog 3.1041.0-pr-903-e5bf) deployed on {{BACK_URL}} (Platform 3.1058.0); active background-job engine is Hangfire (per VCST-5490)",back_url={{BACK_URL}},"[HTTP] GET {{BACK_URL}}/health (no Authorization header)
[WAIT] 200 response","[STATUS] response status is 200 {OBSERVED}
[BODY] ""Background jobs"" health entry present with Status=""Healthy"" {OBSERVED}
[BODY] ""Background jobs"" Description contains ""Active background-job engine 'Hangfire'."" {OBSERVED}","[EVENT] read-only probe, no platform event expected","5xx on /health, missing ""Background jobs"" key in response",none,VCST-5490,Draft
BGJ-002,Health Endpoint Reports Background-Job Store Provider,Background Jobs > Engine & Registration,High,,,"state from BGJ-001 (BackgroundJobs migration modules deployed on {{BACK_URL}}, Hangfire active)",back_url={{BACK_URL}},[HTTP] GET {{BACK_URL}}/health (no Authorization header),"[STATUS] response status is 200 {OBSERVED}
[BODY] ""Background jobs store"" health entry present with Status=""Healthy"" {OBSERVED}
[BODY] ""Background jobs store"" Description contains ""provider 'Hangfire'"" {OBSERVED}","[EVENT] read-only probe, no platform event expected","""Background jobs store"" key absent, Status != ""Healthy""",none,VCST-5490,Draft
BGJ-003,Health Endpoint Requires No Authentication,Background Jobs > Engine & Registration,Medium,,,"state from BGJ-001 (BackgroundJobs migration modules deployed on {{BACK_URL}}, Hangfire active)",back_url={{BACK_URL}},[HTTP] GET {{BACK_URL}}/health with NO Authorization header and NO cookies,"[STATUS] 200 without any Authorization header present {OBSERVED}
[HEADER] no WWW-Authenticate challenge header on the response {OBSERVED}","[EVENT] read-only probe, no platform event expected","401/403 on an endpoint documented as public, WWW-Authenticate header present",none,VCST-5490,Draft
BGJ-004,Registered-Jobs Endpoint Access Denied Without Authentication,Background Jobs > Engine & Registration,Critical,BL-AUTH-014,,"state from BGJ-001 (BackgroundJobs migration modules deployed on {{BACK_URL}}, Hangfire active)",back_url={{BACK_URL}},[HTTP] GET {{BACK_URL}}/api/background-jobs/registered (no Authorization header),"[STATUS] response status is 401 {OBSERVED}
[HEADER] no Location header on the 401 (direct status code, not a login-page redirect) {BL}",[EVENT] no job list disclosed to an unauthenticated caller,"200 returned without a token, a 302 redirect returned instead of a direct 401",none,VCST-5490,Draft
BGJ-005,Registered-Jobs Endpoint Lists All Migrated + Pre-Existing Handlers,Background Jobs > Engine & Registration,Critical,,,"state from BGJ-001 (BackgroundJobs migration modules deployed on {{BACK_URL}}, Hangfire active)","admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[AUTH] POST {{BACK_URL}}/connect/token with grant_type=password, admin credentials — capture access_token
[HTTP] GET {{BACK_URL}}/api/background-jobs/registered with Bearer token","[STATUS] response status is 200 {OBSERVED}
[SCHEMA] response is a JSON array; each item has name, handlerType, payloadType, triggerable (boolean) {OBSERVED}
[BODY] array length >= 20 {OBSERVED}",[EVENT] no side effect — read-only listing,"Non-200 status, array shorter than 20 items, item missing triggerable field",none,VCST-5490,Draft
BGJ-006,Registered List Marks Every Migrated Handler's Triggerable Flag Correctly,Background Jobs > Engine & Registration,Critical,,,"state from BGJ-001 (BackgroundJobs migration modules deployed on {{BACK_URL}}, Hangfire active)","admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[AUTH] POST {{BACK_URL}}/connect/token admin credentials — capture access_token
[HTTP] GET {{BACK_URL}}/api/background-jobs/registered with Bearer token","[BODY] RecalculateFulfillmentCenterDistanceJobHandler (Inventory) is present with triggerable = true {OBSERVED}
[BODY] SitemapDownloadJobHandler, SitemapExportToAssetsJobHandler, SitemapExportAllToAssetsJobHandler (Sitemaps) are all present with triggerable = true {OBSERVED}
[BODY] UpdateAutomaticLinksJobHandler, DeleteAutomaticLinksJobHandler, UpdateProductsJobHandler (Catalog) are all present with triggerable = true {OBSERVED}
[BODY] AdjustInventoryJobHandler, CancelPaymentJobHandler, RefundChangedJobHandler, LogOrderChangesJobHandler, SendOrderNotificationsJobHandler (Orders) are all present with triggerable = false {OBSERVED}
[BODY] SendUserEmailVerificationJobHandler (Store) is present with triggerable = false {OBSERVED}
[BODY] LogEntityChangesJobHandler is present with triggerable = false {OBSERVED}",[EVENT] no side effect — read-only listing; confirms the security-sensitive handlers (Orders/Store/audit-log) cannot be flipped to on-demand-triggerable by this migration,"Any handler above missing from the list, any Orders/Store/audit-log handler reporting triggerable = true (on-demand-trigger security hole)",none,VCST-5490,Draft
BGJ-007,"Recurring Endpoint Returns the 3 Live Schedules, Sitemap Entry Setting-Driven",Background Jobs > Engine & Registration,High,,,"state from BGJ-001 (BackgroundJobs migration modules deployed on {{BACK_URL}}, Hangfire active)","admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[AUTH] POST {{BACK_URL}}/connect/token admin credentials — capture access_token
[HTTP] GET {{BACK_URL}}/api/background-jobs/recurring with Bearer token","[STATUS] response status is 200 {OBSERVED}
[SCHEMA] each item has id, cron, enabled, settingDriven, timeZone, handlerType, payloadType, lastRunUtc, nextRunUtc {OBSERVED}
[BODY] response contains an item with id=""SitemapExportAllToAssetsJobHandler"" {OBSERVED}
[BODY] that item has settingDriven = true, proving the recurring job registers during Module.cs Initialize rather than being lost if PostInitialize timing regressed {SPEC}",[EVENT] no side effect — read-only listing,"SitemapExportAllToAssetsJobHandler entry absent from recurring list, settingDriven = false (would mean the cron is hardcoded)",none,VCST-5490,Draft
BGJ-008,Enqueue Positive Control — Triggerable Handler Succeeds,Background Jobs > Enqueue Security Gate,Critical,,,"state from BGJ-001 (BackgroundJobs migration modules deployed on {{BACK_URL}}, Hangfire active)","admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[AUTH] POST {{BACK_URL}}/connect/token admin credentials — capture access_token
[HTTP] POST {{BACK_URL}}/api/background-jobs/enqueue with Bearer token, body {""name"":""SitemapDownloadJobHandler"",""payload"":{}} — capture job id
[WAIT] up to 15s, poll [HTTP] GET {{BACK_URL}}/api/platform/jobs/{job_id} until completed=true","[STATUS] response status is 200 {OBSERVED}
[BODY] response body is a non-empty job id (string or number) {OBSERVED}
[BODY] polled job status reaches completed=true, state=""Failed"" — confirmed live (job id 176354 → GET /api/platform/jobs/176354 → {""state"":""Failed"",""completed"":true}): an empty payload leaves StoreId/BaseUrl/LocalTmpFolder/SitemapIds/Notification null, so the handler's own business logic fails even though the ENQUEUE gate accepted it {OBSERVED}","[EVENT] this case proves only that the triggerable/enqueue gate accepts the call — it does NOT prove the handler produces a sitemap file, which needs a real StoreId + Notification payload (not exercised here)","Non-200 status for a documented triggerable handler, empty/absent job id in response, polled status never reaches completed=true within 15s",none — SitemapDownloadJobHandler is idempotent and safe to leave enqueued; the Failed execution leaves no partial file on disk,VCST-5490,Draft
BGJ-009,Enqueue Refused — CancelPaymentJobHandler Is Internal,Background Jobs > Enqueue Security Gate,Critical,,,"state from BGJ-001 (BackgroundJobs migration modules deployed on {{BACK_URL}}, Hangfire active)","admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[AUTH] POST {{BACK_URL}}/connect/token admin credentials — capture access_token
[HTTP] POST {{BACK_URL}}/api/background-jobs/enqueue with Bearer token, body {""name"":""CancelPaymentJobHandler"",""payload"":{}}","[STATUS] response status is 400 {OBSERVED}
[BODY] response body indicates ""CancelPaymentJobHandler"" is internal and cannot be triggered on demand {OBSERVED}",[EVENT] the handler's real side effect (payment/refund/inventory/log/email/notification) does NOT fire,"200 returned for CancelPaymentJobHandler (on-demand-trigger security hole), handler side effect observed despite the 400",none,VCST-5490,Draft
BGJ-010,Enqueue Refused — RefundChangedJobHandler Is Internal,Background Jobs > Enqueue Security Gate,Critical,,,"state from BGJ-001 (BackgroundJobs migration modules deployed on {{BACK_URL}}, Hangfire active)","admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[AUTH] POST {{BACK_URL}}/connect/token admin credentials — capture access_token
[HTTP] POST {{BACK_URL}}/api/background-jobs/enqueue with Bearer token, body {""name"":""RefundChangedJobHandler"",""payload"":{}}","[STATUS] response status is 400 {OBSERVED}
[BODY] response body indicates ""RefundChangedJobHandler"" is internal and cannot be triggered on demand {OBSERVED}",[EVENT] the handler's real side effect (payment/refund/inventory/log/email/notification) does NOT fire,"200 returned for RefundChangedJobHandler (on-demand-trigger security hole), handler side effect observed despite the 400",none,VCST-5490,Draft
