ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
PUSH-001,Draft Management — Save Push Message as Draft,Admin > Push Messages > Draft Management,Critical,BL-NOTIF-003,,Push Messages module installed and accessible at {{BACK_URL}}; admin user authenticated,"admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/push-messages
[BLADE] wait for Push Messages list blade to open
[ACT] click 'Add' or 'Create' button
[BLADE] wait for new message form blade to open
[ACT] fill message title field
[ACT] fill message body/content field
[SAVE] click 'Save as Draft'
[WAIT] success confirmation visible","[TOAST] success notification appears after save
[GRID] draft message appears in message list with status 'Draft'
[FORM] unsaved-changes dialog appears if navigating away without saving","[API] GET /api/platform/pushnotifications returns the saved draft with status=Draft
[NETWORK] no 4xx/5xx on save request
[CONSOLE] no JS errors during save","Spinner visible >10s after save, 4xx/5xx on save API call, console TypeError on save action, blade does not close after save",Delete draft message after test via Admin grid delete action,"C385358 C385359",Not Automated
PUSH-002,Draft Management — Validation on Empty Fields (Negative),Admin > Push Messages > Draft Management,Medium,,,"Push Messages module installed; admin user authenticated; new message form is open","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/push-messages
[BLADE] wait for Push Messages list blade to open
[ACT] click 'Add' or 'Create' button
[BLADE] wait for new message form blade to open
[ACT] leave all required fields empty
[SAVE] click 'Save' or 'Save as Draft'
[WAIT] validation response visible","[FORM] validation error messages appear on required empty fields
[FORM] save operation is prevented — blade remains open
[DOM] error indicator on each empty required field","[NETWORK] no POST request fired to create endpoint (or POST returns 400)
[CONSOLE] no JS errors during validation trigger","Save proceeds with empty fields, no validation error shown, 500 error on save attempt",none,C385366,Not Automated
PUSH-003,Draft Management — Save Draft with Schedule Date,Admin > Push Messages > Draft Management,Medium,,,Push Messages module installed; admin user authenticated; new message form is open,"admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/push-messages
[BLADE] wait for Push Messages list blade to open
[ACT] click 'Add' or 'Create' button
[BLADE] wait for new message form blade to open
[ACT] fill message title field
[ACT] fill message body/content field
[ACT] set schedule date to a future date/time (e.g. tomorrow at 09:00)
[SAVE] click 'Save as Draft'
[WAIT] success confirmation visible","[TOAST] success notification appears
[GRID] draft appears in list with status 'Draft' and the scheduled date displayed
[FORM] scheduled date/time value persists correctly in the saved draft","[API] GET /api/platform/pushnotifications confirms draft saved with scheduledDate matching input
[NETWORK] no 4xx/5xx on save
[CONSOLE] no JS errors","Spinner >10s, schedule date field cleared after save, 4xx/5xx on save, wrong date persisted in response",Delete draft after test,C385368,Not Automated
PUSH-004,Draft Management — Edit Existing Draft Message,Admin > Push Messages > Draft Management,High,,,Push Messages module installed; a draft push message exists in the system; admin user authenticated,"admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/push-messages
[BLADE] wait for Push Messages list blade to open
[GRID] locate existing draft message in list
[ACT] click draft message row to open it
[BLADE] wait for message detail blade to open
[ACT] modify message title or body content
[SAVE] click 'Save'
[WAIT] success confirmation visible","[TOAST] success notification appears after save
[FORM] updated content persists — reopening the draft shows new values
[GRID] updated title/content reflected in list view","[API] GET /api/platform/pushnotifications/{id} returns updated content
[NETWORK] no 4xx/5xx on update request
[CONSOLE] no JS errors during edit","Spinner >10s, original values persist after save, 4xx/5xx on PUT/PATCH, blade does not close",Revert draft to original content or delete test draft,C385360,Not Automated
PUSH-005,Draft Management — Delete Draft Message,Admin > Push Messages > Draft Management,High,,,Push Messages module installed; a draft push message exists; admin user authenticated,"admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/push-messages
[BLADE] wait for Push Messages list blade to open
[GRID] locate existing draft message in list
[ACT] select draft message (checkbox or row)
[ACT] click 'Delete' toolbar button
[WAIT] confirmation dialog appears
[ACT] confirm deletion
[WAIT] list refreshes","[GRID] deleted draft no longer appears in the message list
[TOAST] success/confirmation notification shown after deletion
[DOM] confirmation dialog dismissed after confirm","[API] GET /api/platform/pushnotifications confirms message no longer returned
[NETWORK] DELETE request returns 200 or 204
[CONSOLE] no JS errors during delete","Draft still visible in list after delete, confirmation dialog not shown, 4xx/5xx on DELETE request",none (draft deleted),C385363,Not Automated
PUSH-006,Message List — Search/Filter Messages by Status,Admin > Push Messages > Message List,Medium,,,Push Messages module installed; messages in multiple statuses (Draft / Published / Scheduled) exist; admin user authenticated,"admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/push-messages
[BLADE] wait for Push Messages list blade to open
[GRID] locate status filter control (dropdown or chip filter)
[ACT] select status filter value 'Draft'
[WAIT] grid refreshes with filtered results
[ACT] change filter to 'Published'
[WAIT] grid refreshes","[GRID] only Draft messages shown when 'Draft' filter applied
[GRID] only Published messages shown when 'Published' filter applied
[GRID] filter label/chip shows current active filter value
[GRID] row count changes between filter selections","[NETWORK] filter query includes status parameter in API request
[CONSOLE] no JS errors during filter interaction","All messages shown regardless of filter, grid does not refresh on filter change, 500 on filter request",Clear status filter after test,C385361,Not Automated
PUSH-007,Publishing — Publish Message with Schedule Date,Admin > Push Messages > Publishing,Critical,BL-NOTIF-003,,Push Messages module installed; a draft message exists; admin user authenticated,"admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/push-messages
[BLADE] wait for Push Messages list blade to open
[GRID] locate draft message
[ACT] click draft message to open detail blade
[BLADE] wait for detail blade to open
[ACT] set schedule date to a specific future date/time
[ACT] click 'Publish' or 'Schedule' button
[WAIT] success confirmation visible","[TOAST] success notification confirms publication/scheduling
[GRID] message status changes to 'Scheduled' or 'Published' in list
[FORM] scheduled date/time preserved correctly","[API] GET /api/platform/pushnotifications/{id} returns status='Scheduled' with correct scheduledDate
[NETWORK] no 4xx/5xx on publish request
[CONSOLE] no JS errors","Message remains Draft after publish click, scheduled date lost, 4xx/5xx on publish, status not updated in grid",Delete or revert the scheduled message after test,C385367,Not Automated
PUSH-008,Publishing — Verify Created Date in Store Context,Admin > Push Messages > Publishing,Medium,,,A published/scheduled push message exists with a known scheduled date; admin user authenticated,"admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/push-messages
[BLADE] wait for list blade to open
[GRID] locate published/scheduled message
[ACT] click message to open detail blade
[BLADE] wait for detail blade
[ACT] inspect the 'Created Date' or publish date field in the store context section
[ASSERT] verify date displayed matches the scheduled publish date","[FORM] created/publish date shown in store context matches the date set during scheduling
[FORMAT] date displayed in expected locale format (not raw ISO timestamp)","[API] GET /api/platform/pushnotifications/{id} createdDate or scheduledDate matches UI display
[CONSOLE] no JS errors","Date field blank, date format garbled, date differs from what was set",none,C385362,Not Automated
PUSH-009,Recipient Tracking — New Recipients Receive Message When Enabled,Admin > Push Messages > Recipient Tracking,Medium,,,A published push message exists with 'Track New Recipients' enabled; admin user authenticated; at least one new user exists who joined after publication,"admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/push-messages
[BLADE] wait for list blade to open
[GRID] locate published message with Track New Recipients = ON
[ACT] click message to open detail
[BLADE] wait for detail blade
[ACT] verify 'Track New Recipients' toggle is ON
[ASSERT] confirm at least one new user account was created after message publication
[ACT] check that new user's push message inbox contains this message","[FORM] 'Track New Recipients' toggle shows ON state
[DOM] new user's notification inbox contains the tracked message","[API] GET /api/platform/pushnotifications for new user returns the tracked message
[CONSOLE] no JS errors","New user's inbox does not contain message despite tracking enabled, toggle state not persisted",none,C385364,Not Automated
PUSH-010,Recipient Tracking — New Recipients Do NOT Receive Message When Disabled,Admin > Push Messages > Recipient Tracking,Medium,,,A published push message exists with 'Track New Recipients' disabled; admin user authenticated; a new user account can be created,"admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/push-messages
[BLADE] wait for list blade to open
[GRID] locate published message
[ACT] click message to open detail
[BLADE] wait for detail blade
[ACT] confirm 'Track New Recipients' toggle is OFF
[ASSERT] set toggle to OFF and save if not already
[ACT] create or identify a new user who joined after the message was published
[ACT] check new user's push notification inbox","[FORM] 'Track New Recipients' toggle shows OFF state
[DOM] new user's notification inbox does NOT contain this message","[API] GET /api/platform/pushnotifications for new user returns empty or does not contain this message
[NETWORK] no delivery request for new user after toggle=OFF
[CONSOLE] no JS errors","New user receives message despite tracking disabled, 4xx/5xx on toggle save",Delete test user account if created during test,C385365,Not Automated
PUSH-017,Storefront Notifications Page — List of Received Notifications,Storefront > Notifications,High,BL-NOTIF-001,,User authenticated on storefront; at least 2 push messages have been published and targeted to this user's account or role,"front_url={{FRONT_URL}}, email={{USER_EMAIL}}, password={{USER_PASSWORD}}","[NAV] {{FRONT_URL}}
[WAIT] storefront home page loads
[ACT] sign in as {{USER_EMAIL}} with {{USER_PASSWORD}} if not already signed in
[WAIT] authenticated session established
[NAV] {{FRONT_URL}}/account/notifications
[WAIT] notifications page loads","[NAV] URL is {{FRONT_URL}}/account/notifications
[DOM] notifications list container is visible on the page
[DOM] at least the 2 seeded push messages are shown as notification items
[DOM] each notification item shows title/subject text
[FORMAT] notification items ordered by date (newest first)","[API] GET {{BACK_URL}}/api/platform/pushnotifications returns same messages visible in UI
[NETWORK] no 4xx/5xx on page load or notifications API call
[CONSOLE] no JS errors on notifications page","Blank page at /account/notifications, spinner does not resolve >10s, 401/403 on notifications API, notification items missing from list even though API returns them","Sign out after test; no data mutation",ECL-14.3,Not Automated
