"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"SR-GQL-042","salesRepCustomerCounts — Happy Path Resolves for Caller Rep (Schema-Coverage Smoke)","GraphQL > Sales Rep > Query > salesRepCustomerCounts","High","PROPOSED-BL-SR-DASHBOARD","","Runner-native via [GQL-ENDPOINT /graphql/sales-rep]. GAP-FILL (Sprint26-14 sync, 2026-07-24): `salesRepCustomerCounts(organizationId: String, storeId: String)` appears in the refreshed live schema (`knowledge/api/graphql-schema.md`, 2026-07-24) but has NO existing test coverage in this suite and NO documented return-type field set (only the query signature was captured by the introspection refresh). Likely powers the new Sales Rep hub Dashboard (VCST-5485) and/or the Admin embedded app's default Dashboard tab (092 SR-ADM-001). SCHEMA-COVERAGE EXCEPTION (DV-012 #3): selection is intentionally minimal (`__typename` only) pending a dedicated introspection pass on the return type — do not expand without confirming field names first. Caller is SALES_REP (= SR_REP_PRIMARY, serves 4 orgs per 050m SR-GQL-009).","none","[GQL-ENDPOINT /graphql/sales-rep]
[AUTH role=SALES_REP]
[GQL-OP main]
query { salesRepCustomerCounts { __typename } }
[GQL-EXEC main]","[ERRORS label=main] errors[] empty {SPEC}
[DATA label=main] data.salesRepCustomerCounts is non-null {HYPOTHESIS}","[EVIDENCE] before expanding past __typename, introspect the salesRepCustomerCounts return type (`graphql-runner.ts --query` or a full schema refresh) and add the confirmed field names to this case","errors[] non-empty; HTTP 4xx/5xx; ""Cannot query field"" schema-validation error (would mean the query name/args captured in graphql-schema.md are already stale)","none (read-only)","VCST-5485 (gap-fill, Dashboard data surface); Generated: TLC Sprint26-14 sync 2026-07-24 (new API surface discovered via graphql-schema.md refresh)","Draft"
"SR-GQL-043","salesRepCustomerCounts — Anonymous Returns Authorization Error","GraphQL > Sales Rep > Query > salesRepCustomerCounts","Critical","PROPOSED-BL-SR-AUTH","ECL-14.1","Runner-native via [GQL-ENDPOINT /graphql/sales-rep]. GAP-FILL (Sprint26-14 sync, 2026-07-24). No auth token set. Needs no seeded data — mirrors the anonymous-auth pattern already proven for every other salesRep* query in this suite (SR-GQL-002/010/018/025/034).","none","[GQL-ENDPOINT /graphql/sales-rep]
[GQL-OP anon]
query { salesRepCustomerCounts { __typename } }
[GQL-EXEC anon]","[ERRORS label=anon] errors[] non-empty {SPEC}
[DATA label=anon] errors.0.message matches /anonym/i {SPEC}","none","errors[] empty for an anonymous caller; data.salesRepCustomerCounts returned for an anonymous caller (auth gate not applied to the new Dashboard query surface)","none (read-only)","VCST-5485 (gap-fill); Generated: TLC Sprint26-14 sync 2026-07-24","Draft"
"SR-GQL-044","salesRepTopSellers — Happy Path Resolves for a Served Organization (Schema-Coverage Smoke)","GraphQL > Sales Rep > Query > salesRepTopSellers","High","PROPOSED-BL-SR-DASHBOARD; PROPOSED-BL-SR-SCOPE","ECL-14.3","Runner-native via [GQL-ENDPOINT /graphql/sales-rep]. GAP-FILL (Sprint26-14 sync, 2026-07-24): `salesRepTopSellers(organizationId, storeId, filter, sort, period, take, currencyCode, cultureName)` is new in the refreshed schema, no existing coverage. Caller is SALES_REP (= SR_REP_PRIMARY, serves @td(ORG_ACME.id)). SCHEMA-COVERAGE EXCEPTION (DV-012 #3): minimal selection pending return-type introspection.","org=@td(ORG_ACME.platform_id)","[GQL-ENDPOINT /graphql/sales-rep]
[AUTH role=SALES_REP]
[GQL-OP main]
query { salesRepTopSellers(organizationId: ""{{org}}"", take: 5) { __typename } }
[GQL-EXEC main]","[ERRORS label=main] errors[] empty {SPEC}
[DATA label=main] data.salesRepTopSellers is non-null {HYPOTHESIS}","[EVIDENCE] confirm the return type is a list (per the plural query name) and introspect its item fields before expanding this case; once confirmed, add a companion case proving a non-served org (mirrors SR-GQL-016/023 no-leak pattern) returns null/empty rather than another org's top sellers","errors[] non-empty; HTTP 4xx/5xx; ""Cannot query field"" schema-validation error","none (read-only)","VCST-5485 (gap-fill); Generated: TLC Sprint26-14 sync 2026-07-24","Draft"
"SR-GQL-045","salesRepTopSellers — Anonymous Returns Authorization Error","GraphQL > Sales Rep > Query > salesRepTopSellers","Critical","PROPOSED-BL-SR-AUTH","ECL-14.1","Runner-native via [GQL-ENDPOINT /graphql/sales-rep]. GAP-FILL (Sprint26-14 sync, 2026-07-24). No auth token set.","org=@td(ORG_ACME.platform_id)","[GQL-ENDPOINT /graphql/sales-rep]
[GQL-OP anon]
query { salesRepTopSellers(organizationId: ""{{org}}"") { __typename } }
[GQL-EXEC anon]","[ERRORS label=anon] errors[] non-empty {SPEC}
[DATA label=anon] errors.0.message matches /anonym/i {SPEC}","none","errors[] empty for an anonymous caller; HTTP 4xx/5xx instead of a clean GraphQL error payload","none (read-only)","VCST-5485 (gap-fill); Generated: TLC Sprint26-14 sync 2026-07-24","Draft"
"SR-GQL-046","salesRepCustomerOrderStatistics — Happy Path Resolves With Real Data (Resolves 091 SR-CP-015 Mock-Value Doubt)","GraphQL > Sales Rep > Query > salesRepCustomerOrderStatistics","High","PROPOSED-BL-SR-DASHBOARD; PROPOSED-BL-SR-HYDRATE","","Runner-native via [GQL-ENDPOINT /graphql/sales-rep]. GAP-FILL (Sprint26-14 sync, 2026-07-24): `salesRepCustomerOrderStatistics(organizationId, storeId, currencyCode, cultureName)` is NEW in the schema refreshed on this sync date. 091 SR-CP-015's precondition note (dated 2026-07-17, one build earlier — SalesRep pr-2-8c40) stated ""the scoped schema has NO salesRepCustomerOrderStatistics (or equivalent) query — the 4 KPI widgets render MOCK/placeholder values"". Since this sync's schema refresh (build pr-4-6596) NOW shows this query live, that precondition note is POTENTIALLY STALE — this case is the API-side half of re-confirming whether the storefront Sales Widgets (091 SR-CP-015) now wire to real data. Caller is SALES_REP (= SR_REP_PRIMARY, serves @td(ORG_ACME.id) which has >=2 orders per 050m SR-GQL-011). SCHEMA-COVERAGE EXCEPTION (DV-012 #3): minimal selection pending return-type introspection.","org=@td(ORG_ACME.platform_id)","[GQL-ENDPOINT /graphql/sales-rep]
[AUTH role=SALES_REP]
[GQL-OP main]
query { salesRepCustomerOrderStatistics(organizationId: ""{{org}}"") { __typename } }
[GQL-EXEC main]","[ERRORS label=main] errors[] empty {SPEC}
[DATA label=main] data.salesRepCustomerOrderStatistics is non-null for an org with real orders {HYPOTHESIS}","[EVIDENCE] once the return type's fields are introspected, re-run 091 SR-CP-015 live and confirm whether the Sales Widgets KPI values now match this query's response (would flip SR-CP-015's mock-value note from current to stale) — hand off to qa-testing-expert in the Phase 5 verification pass","errors[] non-empty; HTTP 4xx/5xx; ""Cannot query field"" schema-validation error; data null despite the org having real orders (would mean the query exists but isn't wired to real data yet, confirming SR-CP-015's note still holds)","none (read-only)","VCST-5309, VCST-5308 (Sales Widgets reconciliation); Generated: TLC Sprint26-14 sync 2026-07-24 — supersedes-check for 091 SR-CP-015's 2026-07-17 mock-value note","Draft"
"SR-GQL-047","salesRepCustomerCartStatistics — Happy Path Resolves (Schema-Coverage Smoke)","GraphQL > Sales Rep > Query > salesRepCustomerCartStatistics","Medium","PROPOSED-BL-SR-DASHBOARD","","Runner-native via [GQL-ENDPOINT /graphql/sales-rep]. GAP-FILL (Sprint26-14 sync, 2026-07-24): `salesRepCustomerCartStatistics(organizationId, storeId, currencyCode, cultureName)` is new in the refreshed schema, no existing coverage, no known consuming UI yet identified in this sprint's ticket set — flagged for design confirmation of which surface (Dashboard? Customer Profile widgets?) consumes it. Caller is SALES_REP (= SR_REP_PRIMARY, serves @td(ORG_ACME.id)).","org=@td(ORG_ACME.platform_id)","[GQL-ENDPOINT /graphql/sales-rep]
[AUTH role=SALES_REP]
[GQL-OP main]
query { salesRepCustomerCartStatistics(organizationId: ""{{org}}"") { __typename } }
[GQL-EXEC main]","[ERRORS label=main] errors[] empty {SPEC}
[DATA label=main] data.salesRepCustomerCartStatistics is non-null {HYPOTHESIS}","[EVIDENCE] DESIGN-CONFIRM: identify which UI surface consumes this query before expanding coverage — not yet referenced by any ticket in this sprint's scope","errors[] non-empty; HTTP 4xx/5xx; ""Cannot query field"" schema-validation error","none (read-only)","Generated: TLC Sprint26-14 sync 2026-07-24 (new API surface, consuming UI unconfirmed)","Draft"
"SR-GQL-048","Filter/Sort-Rules Metadata Queries — Happy Path Resolve for an Authenticated Rep (Schema-Coverage Smoke, 7 Operations)","GraphQL > Sales Rep > Query > FilterRules-SortRules","Medium","PROPOSED-BL-SR-DASHBOARD","","Runner-native via [GQL-ENDPOINT /graphql/sales-rep]. GAP-FILL (Sprint26-14 sync, 2026-07-24): the refreshed schema exposes 7 previously-untested metadata queries that likely back the new Dashboard's dynamic filter/sort UI: salesRepCartFilterRules, salesRepOrderFilterRules, salesRepOrderSortRules, salesRepCustomerFilterRules, salesRepCustomerSortRules, salesRepTopSellerFilterRules, salesRepTopSellerSortRules — all share the shape (storeId, cultureName). Consolidated into one schema-coverage case (config/metadata surface, lower scoping risk than the statistics queries) rather than 7 separate cases, to keep this sync pass proportionate; split into per-query cases once a consuming UI ticket exists. Caller is SALES_REP (= SR_REP_PRIMARY).","store={{STORE_ID}}; culture={{CULTURE_NAME}}","[GQL-ENDPOINT /graphql/sales-rep]
[AUTH role=SALES_REP]
[GQL-OP cart_rules]
query { salesRepCartFilterRules(storeId: ""{{store}}"", cultureName: ""{{culture}}"") { __typename } }
[GQL-EXEC cart_rules]
[GQL-OP order_filter_rules]
query { salesRepOrderFilterRules(storeId: ""{{store}}"", cultureName: ""{{culture}}"") { __typename } }
[GQL-EXEC order_filter_rules]
[GQL-OP order_sort_rules]
query { salesRepOrderSortRules(storeId: ""{{store}}"", cultureName: ""{{culture}}"") { __typename } }
[GQL-EXEC order_sort_rules]
[GQL-OP customer_filter_rules]
query { salesRepCustomerFilterRules(storeId: ""{{store}}"", cultureName: ""{{culture}}"") { __typename } }
[GQL-EXEC customer_filter_rules]
[GQL-OP customer_sort_rules]
query { salesRepCustomerSortRules(storeId: ""{{store}}"", cultureName: ""{{culture}}"") { __typename } }
[GQL-EXEC customer_sort_rules]
[GQL-OP topseller_filter_rules]
query { salesRepTopSellerFilterRules(storeId: ""{{store}}"", cultureName: ""{{culture}}"") { __typename } }
[GQL-EXEC topseller_filter_rules]
[GQL-OP topseller_sort_rules]
query { salesRepTopSellerSortRules(storeId: ""{{store}}"", cultureName: ""{{culture}}"") { __typename } }
[GQL-EXEC topseller_sort_rules]","[ERRORS label=cart_rules] errors[] empty {SPEC}
[ERRORS label=order_filter_rules] errors[] empty {SPEC}
[ERRORS label=order_sort_rules] errors[] empty {SPEC}
[ERRORS label=customer_filter_rules] errors[] empty {SPEC}
[ERRORS label=customer_sort_rules] errors[] empty {SPEC}
[ERRORS label=topseller_filter_rules] errors[] empty {SPEC}
[ERRORS label=topseller_sort_rules] errors[] empty {SPEC}","[EVIDENCE] this is a schema-coverage smoke (DV-012 exception #3) proving each of the 7 operations resolves without a schema-validation error; introspect each return type before authoring functional (rule-content) assertions","any of the 7 ops returns a non-empty errors[]; any op rejected with ""Cannot query field"" (would mean the operation signature captured in graphql-schema.md is already stale for this build)","none (read-only)","Generated: TLC Sprint26-14 sync 2026-07-24 (new API surface, consolidated schema-coverage smoke)","Draft"
"SR-GQL-049","Filter/Sort-Rules Metadata Queries — Anonymous Returns Authorization Error (Spot-Check)","GraphQL > Sales Rep > Query > FilterRules-SortRules","High","PROPOSED-BL-SR-AUTH","ECL-14.1","Runner-native via [GQL-ENDPOINT /graphql/sales-rep]. GAP-FILL (Sprint26-14 sync, 2026-07-24). Spot-checks salesRepOrderFilterRules as representative of the 7-query group in SR-GQL-048 — proves the caller-agnostic metadata surface still requires auth (mirrors the established pattern for salesRepOrderStatuses in the prior build, SR-GQL-034). No auth token set.","store={{STORE_ID}}","[GQL-ENDPOINT /graphql/sales-rep]
[GQL-OP anon]
query { salesRepOrderFilterRules(storeId: ""{{store}}"") { __typename } }
[GQL-EXEC anon]","[ERRORS label=anon] errors[] non-empty {SPEC}
[DATA label=anon] errors.0.message matches /anonym/i {SPEC}","none","errors[] empty for an anonymous caller on the caller-agnostic metadata surface; HTTP 4xx/5xx instead of a clean GraphQL error payload","none (read-only)","VCST-5485 (gap-fill); Generated: TLC Sprint26-14 sync 2026-07-24","Draft"
"SR-ADM-023","Admin User Without Sales Rep Role Cannot Access or Act on the Embedded App (VCST-5293 Gap)","Backend > Sales Rep > Admin > RBAC","Critical","PROPOSED-BL-SR-ADMIN-RBAC","ECL-4.2","GAP (Sprint26-14 sync, 2026-07-24): VCST-5293 (""Sales Rep Role in VC-Shell app"") has no existing test coverage in this suite — every case in 092 assumes {{ADMIN_EMAIL}} (a full super-admin) and none exercises role-based gating of the embedded app itself. DESIGN-CONFIRM: this case's premise (a non-Sales-Rep-role admin sees the workspace tile/menu entry but the embedded app blocks read/write, OR the tile itself is hidden) is a HYPOTHESIS pending live confirmation of exactly how VCST-5293's RBAC is enforced (workspace-menu visibility vs in-app 403 vs read-only degrade) — needs an admin account with a role that has platform login but explicitly lacks whatever permission VCST-5293 introduces (e.g. a 'sales-rep:manage' or similar Admin permission) before this can execute; no such fixture currently exists in test-data/ and must be authored (see dataPrep gap below) before this case can run.","back_url={{BACK_URL}}, restricted_admin_email={{RESTRICTED_ADMIN_EMAIL}}, restricted_admin_password={{RESTRICTED_ADMIN_PASSWORD}}","[PRE:SIGNIN_AS:RESTRICTED_ADMIN_NO_SALES_REP_ROLE]
[NAV] {{BACK_URL}}/#!/workspace
[WAIT] workspace dashboard loaded
[ACT] look for the Sales Rep embedded app tile/menu entry
[NAV] if reachable: {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[WAIT] navigation settles","[DOM] verify whether the Sales Rep workspace tile/menu entry is visible at all for an admin lacking the role VCST-5293 introduces {HYPOTHESIS}
[DOM] verify whether, if the tile IS visible and clicked, the embedded app blocks with a permission-denied state rather than rendering live rep/org data {HYPOTHESIS}
[GRID] verify whether any grid data (Sales Reps / Organizations counts) is visible to this restricted admin if the app does render {HYPOTHESIS}","[API] if the embedded app's underlying REST/GraphQL calls fire, confirm they return 401/403 for this restricted admin rather than 200 with real data (data leak)
[CONSOLE] no unhandled JS error from a blocked-render attempt","the restricted admin sees and can act on Sales Reps/Organizations grids identically to a full admin (RBAC not enforced — VCST-5293 not actually gating anything); a 500 (not a clean 401/403) surfaces instead of a graceful permission-denied state","none (read-only) — no fixture mutation attempted","VCST-5293; Generated: TLC Sprint26-14 sync 2026-07-24 (coverage gap — no existing case exercises admin-side RBAC)","Draft"
"SR-FE-031","VCST-5494 Repro — Hub Link Visibility and Click-Through for a Rep With No Org Membership","Storefront > Sales Rep > Gating","Critical","PROPOSED-BL-SR-UI-GATE","ECL-4.2, ECL-14.3","GAP-FILL (Sprint26-14 sync, 2026-07-24): filed bug VCST-5494 states ""'My customers' hub link shown but page redirects to Dashboard"" for a rep with no org membership. 089 SR-FE-013 already proves the redirect-on-direct-URL-navigation half but left the hub LINK's own visibility as an explicit {HYPOTHESIS} (""verify whether the 'Sales Rep hub' link/badge is shown or hidden""); 089 SR-FE-021 separately proves the BADGE is absent at zero count but does not check the LINK TEXT itself. This case is the definitive repro of VCST-5494's exact reported symptom (link shown + click leads to redirect) rather than a direct URL hit, so it can serve as the ticket's acceptance-test once VCST-5494 is resolved either way (hide the link, or land on a dedicated empty state instead of Dashboard). DESIGN-CONFIRM: whether the intended FIX is (a) hide the hub link entirely when the rep serves zero orgs, or (b) keep the link but land on an in-hub empty state instead of a jarring redirect to Dashboard — this case's assertions are phrased as verification questions, not a fixed expected outcome, until VCST-5494's resolution direction is confirmed.
[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SR_REP_NOCUSTOMERS]","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account
[WAIT] left rail loaded
[ASSERT] record whether ""Sales Rep hub"" / ""My customers"" link is present
[ACT] if present: click ""My customers"" link (do not type the URL directly — this is the click-through path VCST-5494 describes, distinct from 089 SR-FE-013's direct-URL-hit repro)
[WAIT] navigation settles","[DOM] verify whether the ""My customers"" hub link is visible in the left rail for SR_REP_NOCUSTOMERS (global sales-rep:access role, zero org memberships) {HYPOTHESIS}
[NAV] IF the link was clicked THEN record the resulting URL (expected redirect target per 089 SR-FE-013 is /account/dashboard) {OBSERVED}
[STATE] verify whether the resulting state is a jarring unexplained redirect (VCST-5494's reported symptom) vs a graceful in-place empty/no-access message (a candidate fix direction) {HYPOTHESIS}","[NETWORK] no salesRepCustomers query needs to succeed before the redirect fires (mirrors 089 SR-FE-013)
[CONSOLE] no console errors during the click-through","the link is shown, clicking it silently redirects with no explanation (confirms VCST-5494 as currently reported/still open); the link is shown but clicking it does nothing (dead link, a different defect)","none (read-only)","VCST-5494, VCST-5469; Generated: TLC Sprint26-14 sync 2026-07-24 — closes the {HYPOTHESIS} left open by 089 SR-FE-013/021 against the filed bug's exact repro path","Draft"
"SR-FE-032","Sales Rep Hub Dashboard Page Loads for a Served Rep (VCST-5485, New Feature — Route Unconfirmed)","Storefront > Sales Rep > Hub > Dashboard","High","PROPOSED-BL-SR-UI-GATE","","GAP (Sprint26-14 sync, 2026-07-24): VCST-5485 (""Sales Rep hub Dashboard"") has ZERO existing coverage in 089/090/091 — none of the three existing storefront suites test a hub-level Dashboard landing page (089's ""My customers"" and 090's ""My Sales Reps"" are the only hub sub-pages tested so far). The exact route is UNCONFIRMED — this case's precondition is a placeholder guess (""/company/sales-rep-dashboard"" or a hub-root landing at ""/company/my-customers"" reorganized to show a dashboard-first view) pending live discovery. DO NOT execute against a hardcoded route without first confirming it against the live left-rail hub link's actual href (inspect the ""Sales Rep hub"" section's own landing link, if any, rather than assuming a URL). Caller is SR_REP_PRIMARY (serves 4 orgs, has orders — see 050m SR-GQL-009/011 fixtures) so any statistics widgets have real backing data to render (mirrors the salesRepCustomerCounts/TopSellers/OrderStatistics/CartStatistics API gap in SR-GQL-042/044/046/047).
[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SR_REP_PRIMARY]","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account
[WAIT] left rail loaded
[ASSERT] locate the ""Sales Rep hub"" section's own landing/root link (distinct from the ""My customers"" sub-link already covered by 089 SR-FE-001) — if no separate Dashboard entry point exists, this case is not yet executable and should be left Draft/blocked pending VCST-5485's actual shipped route
[ACT] click the hub's Dashboard entry point (if one exists)
[WAIT] navigation settles","[NAV] verify the resulting URL for the Sales Rep hub Dashboard page (record it — do not assume a literal path) {HYPOTHESIS}
[DOM] verify whether a distinct Dashboard heading/container element renders that is not the My Customers table already covered by 089 (e.g. a summary-statistics widget region or recent-activity list element) {HYPOTHESIS}
[STATE] verify whether the Dashboard is the DEFAULT landing when clicking the hub section itself (mirrors the Admin embedded app's default-Dashboard-tab behavior confirmed in 092 SR-ADM-001) {HYPOTHESIS}","[CONSOLE] no console errors on page load
[NETWORK] no 4xx/5xx on /graphql during page load (watch specifically for salesRepCustomerCounts / salesRepTopSellers / salesRepCustomerOrderStatistics / salesRepCustomerCartStatistics per the new API surface in SR-GQL-042/044/046/047)","no distinct Dashboard entry point exists at all for the hub section (VCST-5485 not yet shipped on this build — treat as BLOCKED, not FAIL); page 404s if a guessed route is hit directly","none (read-only)","VCST-5485; Generated: TLC Sprint26-14 sync 2026-07-24 — new-feature gap, route pending live confirmation in Phase 5","Draft"
"SR-FE-033","Sales Rep Hub Dashboard — Statistics Widgets Reflect Real Counts (VCST-5485, Cross-Layer, Route Unconfirmed)","Storefront > Sales Rep > Hub > Dashboard","Medium","PROPOSED-BL-SR-DASHBOARD; PROPOSED-BL-SR-HYDRATE","","GAP (Sprint26-14 sync, 2026-07-24). Depends on SR-FE-032 establishing the Dashboard's actual route and layout first — this case is NOT executable until that route is confirmed live (see SR-FE-032's DESIGN-CONFIRM note). Bridges the storefront Dashboard widgets to the new backend statistics queries (SR-GQL-042 salesRepCustomerCounts, SR-GQL-044 salesRepTopSellers, SR-GQL-046 salesRepCustomerOrderStatistics) once their return-type field sets are confirmed. Caller is SR_REP_PRIMARY.
[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SR_REP_PRIMARY]","front_url={{FRONT_URL}}","--- STOREFRONT ---
[NAV] the Sales Rep hub Dashboard route confirmed by SR-FE-032 (placeholder — do not execute until that route is known)
[WAIT] Dashboard widgets rendered
[ASSERT] record any displayed served-customer count / top-seller list / order-statistics values
--- API ---
[GQL] issue salesRepCustomerCounts (and, once confirmed live, salesRepTopSellers / salesRepCustomerOrderStatistics) as SR_REP_PRIMARY and read the response","[DOM] verify whether the Dashboard's served-customer count widget matches salesRepCustomerCounts' response value (mirrors the badge-matches-API pattern already proven in 089 SR-FE-029) {HYPOTHESIS}
[DOM] verify whether any top-seller/order-statistics widget shown is backed by real data rather than a static placeholder (this is the storefront-side counterpart to SR-GQL-046's stale-mock-value re-check) {HYPOTHESIS}","[API] salesRepCustomerCounts/salesRepTopSellers/salesRepCustomerOrderStatistics values match the rendered widgets exactly, no stale cache","widget values diverge from the API response; widgets show static placeholder text regardless of caller (would mean VCST-5309's known mock-value gap persists into the new Dashboard surface too)","none (read-only)","VCST-5485, VCST-5309; Generated: TLC Sprint26-14 sync 2026-07-24 — blocked on SR-FE-032's route confirmation","Draft"
