"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"WL-001","Check White Labeling widget","Dashboard Widget","High","BL-WL-001",,"White Labeling module installed and enabled; Admin access to {{BACK_URL}}","admin={{BACK_URL}}, admin_user={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] 1. Navigate to {{BACK_URL}}
[ACT] 2. Sign in with {{ADMIN_EMAIL}} / {{ADMIN_PASSWORD}}
[NAV] 3. Navigate to Admin Dashboard
[ASSERT] 4. Locate the White Labeling widget on the dashboard","[DOM] White Labeling widget is visible on the dashboard
[DOM] Widget shows a summary of current settings (Enabled state, theme preset name, logo presence)","[CONSOLE] no uncaught JS errors on dashboard load","Widget missing from dashboard; Widget shows stale or blank summary; Console error on dashboard load","none","C384970","Manual"
"WL-002","Set theme presets","Theme","High","BL-WL-001",,"White Labeling module installed; store @td(STORE_PRIMARY.id) accessible in Admin","admin={{BACK_URL}}, admin_user={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}, store_id=@td(STORE_PRIMARY.id)","[NAV] 1. Navigate to Admin > Stores > @td(STORE_PRIMARY.id) > White Labeling settings
[ACT] 2. Select a theme preset from the Theme preset name field (e.g. @td(WL_FASHION.theme))
[ACT] 3. Click 'Save'
[WAIT] 4. Wait for success notification","[FORM] Theme preset field displays the selected value after save
[STATE] Success notification confirms settings saved","[STOREFRONT] storefront reflects the new theme colors on next page load for users without an org override","Save button has no effect; Theme preset reverts on refresh; No success notification","restore store theme preset to original value","C384973","Manual"
"WL-003","Upload custom logo - allowed extensions","Logo","Critical","BL-WL-006",,"White Labeling module enabled; store @td(STORE_PRIMARY.id) accessible in Admin","admin={{BACK_URL}}, admin_user={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}, store_id=@td(STORE_PRIMARY.id)","[NAV] 1. Navigate to Admin > Stores > @td(STORE_PRIMARY.id) > White Labeling settings
[ACT] 2. Click Logo upload widget and select a PNG file
[WAIT] 3. Wait for upload to complete
[ACT] 4. Click 'Save'
[WAIT] 5. Wait for success notification
[ACT] 6. Repeat steps 2-5 with a GIF file
[ACT] 7. Repeat steps 2-5 with an SVG file","[DOM] Logo preview updates to the uploaded image after each upload
[STATE] Save succeeds for PNG, GIF, and SVG without validation error (the logo widget's allowed extension set per en.WhiteLabeling.json — NOT JPG, which is not a valid logo type)","[NETWORK] logo upload request returns HTTP 200
[STOREFRONT] uploaded logo displays in storefront header after save","Upload rejected for a valid extension; Logo preview does not update; 4xx/5xx on upload request","restore store logo to original value","C384971, Source-verified: en.WhiteLabeling.json upload filters (2026-07-02)","Manual"
"WL-004","Upload logo - rejected for invalid extension","Logo","Medium","BL-WL-006",,"White Labeling module enabled; store @td(STORE_PRIMARY.id) accessible in Admin","admin={{BACK_URL}}, admin_user={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}, store_id=@td(STORE_PRIMARY.id)","[NAV] 1. Navigate to Admin > Stores > @td(STORE_PRIMARY.id) > White Labeling settings
[ACT] 2. Click Logo upload widget and attempt to select a file with an extension NOT in the logo's allowed set (e.g. .webp — valid for the favicon widget but NOT the logo widget — or .bmp)","[DOM] Filetype-error dialog appears with title 'Filetype error' and message 'Only PNG, GIF or SVG files are allowed'
[STATE] Logo field remains unchanged (previous logo, or empty, still shown)","[CONSOLE] no uncaught JS error (validation handled, not a crash)","Invalid file silently accepted; No validation message shown; Uncaught JS error on rejected upload; .webp incorrectly accepted by the logo widget","none","C384980, Source-verified: en.WhiteLabeling.json upload filters (2026-07-02)","Manual"
"WL-005","Upload favicon","Favicon","High","BL-WL-006",,"White Labeling module enabled; store @td(STORE_PRIMARY.id) accessible in Admin","admin={{BACK_URL}}, admin_user={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}, store_id=@td(STORE_PRIMARY.id)","[NAV] 1. Navigate to Admin > Stores > @td(STORE_PRIMARY.id) > White Labeling settings
[ACT] 2. Click Favicon upload widget and select a valid favicon file (.png)
[WAIT] 3. Wait for upload to complete
[ACT] 4. Click 'Save'
[WAIT] 5. Wait for success notification
[ACT] 6. Repeat steps 2-5 with a JPG file
[ACT] 7. Repeat steps 2-5 with a WEBP file","[DOM] Favicon preview updates after each upload
[STATE] Save succeeds for PNG, JPG, and WEBP without validation error (the favicon widget's allowed extension set per en.WhiteLabeling.json — distinct from the logo widget's PNG/GIF/SVG set; favicon does NOT accept GIF or SVG)","[NETWORK] favicon upload request returns HTTP 200
[STOREFRONT] uploaded favicon displays in the browser tab on next storefront load","Upload rejected for a valid favicon format; Favicon preview does not update; 4xx/5xx on upload request","restore store favicon to original value","C384972, Source-verified: en.WhiteLabeling.json upload filters (2026-07-02)","Manual"
"WL-006","Reset branding to defaults","Settings","Medium","BL-WL-001",,"Custom branding (logo, favicon, theme) applied to store @td(STORE_PRIMARY.id)","admin={{BACK_URL}}, admin_user={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}, store_id=@td(STORE_PRIMARY.id)","[NAV] 1. Navigate to Admin > Stores > @td(STORE_PRIMARY.id) > White Labeling settings
[ACT] 2. Click 'Reset to defaults'
[WAIT] 3. Wait for confirmation dialog and confirm
[WAIT] 4. Wait for success notification","[FORM] Theme preset, logo, and favicon fields revert to platform default values
[STATE] Success notification confirms reset","[STOREFRONT] storefront shows default branding on next page load","Reset has no effect; Some fields reset but not others; No confirmation dialog before destructive reset","re-apply the original custom branding removed by this test","C384977","Manual"
"WL-007","Clear all custom branding","Settings","Medium","BL-WL-001, BL-WL-004",,"Custom branding applied to store @td(STORE_PRIMARY.id)","admin={{BACK_URL}}, admin_user={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}, store_id=@td(STORE_PRIMARY.id)","[NAV] 1. Navigate to Admin > Stores > @td(STORE_PRIMARY.id) > White Labeling settings
[ACT] 2. Click 'Clear' to remove customization
[WAIT] 3. Wait for confirmation dialog and confirm
[WAIT] 4. Wait for success notification","[FORM] Logo, favicon, theme preset, footer link list, and main menu link list fields are all empty/NULL after clear
[STATE] Success notification confirms clear","[STOREFRONT] storefront shows platform default branding after clear","Clear only removes some fields; No confirmation dialog before destructive clear; Fields repopulate on refresh","re-apply the original custom branding removed by this test","C384978","Manual"
"WL-008","Per-organization footer links - add parent links","Organization Branding","High","BL-WL-004",,"Organization @td(WL_ELECTRONICS.name) exists; White Labeling enabled","admin={{BACK_URL}}, admin_user={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}, org=@td(WL_ELECTRONICS.name), footer_list=@td(WL_ELECTRONICS.footer)","[NAV] 1. Navigate to Admin > Marketing > Link Lists > @td(WL_ELECTRONICS.footer)
[ASSERT] 2. Verify parent footer links exist: Privacy Policy, Terms of Service, Support, Warranty
[NAV] 3. Navigate to Customer > Organizations > @td(WL_ELECTRONICS.name) > White Labeling
[ACT] 4. Set Footer Link List Name: @td(WL_ELECTRONICS.footer)
[ACT] 5. Click 'Save'
[WAIT] 6. Wait for success notification","[FORM] Footer Link List Name field persists @td(WL_ELECTRONICS.footer) after save
[GRID] Link List blade shows 4 parent footer links in priority order","[API] whiteLabelingSettings query for @td(WL_ELECTRONICS.id) returns footerLinks with 4 entries (cross-ref WL-013)","Save fails; Link list shows wrong or missing parent links; Field does not persist after refresh","none (footer-electronics is a shared fixture; do not delete)","C385322","Manual"
"WL-009","Per-organization footer links - add children links","Organization Branding","Medium","BL-WL-004",,"state from WL-008 (@td(WL_ELECTRONICS.name) footer link list @td(WL_ELECTRONICS.footer) assigned)","admin={{BACK_URL}}, admin_user={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}, footer_list=@td(WL_ELECTRONICS.footer)","[NAV] 1. Navigate to Admin > Marketing > Link Lists > @td(WL_ELECTRONICS.footer)
[ASSERT] 2. Verify list is currently a flat list (no children) per fixture design
[ACT] 3. Add a temporary child link under 'Support': 'Contact Us' (url /contacts, priority 1)
[ACT] 4. Click 'Save'
[WAIT] 5. Wait for success notification","[GRID] 'Support' parent link now shows 1 nested child: 'Contact Us'
[FORM] Child link priority and URL persist after save","[API] whiteLabelingSettings footerLinks for @td(WL_ELECTRONICS.id) shows childItems populated under 'Support' (cross-ref WL-013)","Child link not nested under correct parent; Save fails; Child link missing after refresh","remove the temporary 'Contact Us' child link added by this test, restoring @td(WL_ELECTRONICS.footer) to its flat-list fixture state","C385323","Manual"
"WL-010","Footer links and main menu links returned in GraphQL query","GraphQL xAPI","Critical","BL-WL-004","ECL-14.1","Organization @td(WL_ELECTRONICS.name) has both footer (@td(WL_ELECTRONICS.footer)) and main menu (@td(WL_ELECTRONICS.main_menu)) link lists configured; GraphQL endpoint accessible at {{BACK_URL}}/graphql","admin={{BACK_URL}}, admin_user={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}, store_id=@td(STORE_PRIMARY.id)","[NAV] 1. Navigate to GraphQL playground: {{BACK_URL}}/ui/graphiql
[ACT] 2. Execute whiteLabelingSettings query with both footerLinks and mainMenuLinks fields (cultureName is REQUIRED — omitting it returns empty arrays even though configured):
query {
  whiteLabelingSettings(
    organizationId: ""@td(WL_ELECTRONICS.id)""
    storeId: ""@td(STORE_PRIMARY.id)""
    cultureName: ""en-US""
  ) {
    footerLinks { title url priority childItems { title url priority } }
    mainMenuLinks { title url priority childItems { title url priority } }
  }
}
[ASSERT] 3. Verify response structure and hierarchy","[DOM] footerLinks array has 4 entries matching @td(WL_ELECTRONICS.footer): Privacy Policy(1), Terms of Service(2), Support(3), Warranty(4)
[DOM] mainMenuLinks array has 4 top-level entries matching @td(WL_ELECTRONICS.main_menu): Home(1), Brands(2), About Us(3), Support(4)
[DOM] Brands entry's childItems contains Laptops(1), Phones(2), Tablets(3)","[API] whiteLabelingSettings response errors[] is empty","errors[] non-empty; footerLinks or mainMenuLinks missing/null; childItems not returned for Brands; priority order wrong","none","C385324 VCST-4637","Manual"
