"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"CFG-PDP-018","Customers Bought Together Section — Renders Below Configuration Widget","Configurable Products > Related Products","Medium",,"ECL-7.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Storefront accessible. @td(CFG_BIKE.name) PDP loaded. Related products data available in catalog.","front_url={{FRONT_URL}}, bike_url=@td(CFG_BIKE.url)","[NAV] Navigate to {{FRONT_URL}}@td(CFG_BIKE.url); [WAIT] Page fully loaded; [SCROLL] Scroll down past the Configure the parameters widget; [ASSERT] Locate Customers bought together section; [ASSERT] Observe related product cards in the section; [ASSERT] Verify at least one related product shows a price; [ASSERT] Verify at least one related product has an add-to-cart option","[DOM] Customers bought together section heading visible below the configuration widget; [DOM] At least one related product card rendered in the section; [FORMAT] Related product prices shown with 2 decimal places; [DOM] Add-to-cart control (button or link) present on at least one related product card; [STATE] Section does not block or overlap the configuration widget","[CONSOLE] No JavaScript errors on page load; [NETWORK] Related products query returns 200 with product data; [API] GraphQL productAssociations or equivalent query returns associations for this product","Customers bought together section absent entirely; section present but empty (no product cards); related products showing without prices; section overlapping or hiding the configuration widget; console errors on related products query","none","TC-CF-011","Manual"
"CFG-PDP-019","Wishlist control on configurable PDP — disabled/gated for guests, enabled after sign-in","Configurable Products > Wishlist","Medium","BL-AUTH-001","ECL-7.1; ECL-14.1","User is NOT logged in (guest session). Configurable product @td(CFG_BIKE.name) accessible.","front_url={{FRONT_URL}}, bike_url=@td(CFG_BIKE.url), user={{USER_EMAIL}}, password={{USER_PASSWORD}}","[NAV] Ensure logged out: navigate to {{FRONT_URL}} and confirm no user session; [NAV] Navigate to {{FRONT_URL}}@td(CFG_BIKE.url); [WAIT] Page fully loaded, configuration widget visible; [ASSERT] Locate the wishlist/heart control on the PDP; [ASSERT] For a guest the wishlist control is DISABLED (not actionable) and exposes the tooltip ""Wishlists are available only for authenticated users""; [NOTE] Do NOT force-click the disabled control — the disabled state is the intended guest gating (feedback_no_force_disabled_controls), not a click->login-redirect; [ACT] Sign in with {{USER_EMAIL}} / {{USER_PASSWORD}}; [NAV] Return to {{FRONT_URL}}@td(CFG_BIKE.url); [ASSERT] The wishlist control is now ENABLED/actionable for the authenticated user","[DOM] Wishlist/heart control present on the configurable-product PDP; [STATE] For a guest (unauthenticated) the wishlist control is DISABLED with tooltip ""Wishlists are available only for authenticated users"" — gated, NOT a click->login-redirect; [STATE] The disabled control is not forced/clicked; [STATE] After authenticating, the wishlist control is enabled/actionable on the configurable PDP","[CONSOLE] No JavaScript errors on wishlist icon click; [NETWORK] No 4xx/5xx on wishlist mutation after login; [API] addWishlistItem mutation errors[] is empty after authenticated add","Wishlist icon absent on configurable PDP; clicking icon does nothing (no redirect or prompt); login flow does not redirect back to product; product not added to wishlist after login; console TypeError on heart icon click","Sign out after test; remove product from wishlist if added","TC-CF-017","Manual"
"CFG-PDP-020","Breadcrumb Navigation — Configurable Product PDP","Configurable Products > Navigation","Low",,"ECL-7.1","Storefront accessible. @td(CFG_BIKE.name) PDP accessible via its category path.","front_url={{FRONT_URL}}, bike_url=@td(CFG_BIKE.url)","[NAV] Navigate to {{FRONT_URL}}@td(CFG_BIKE.url); [WAIT] Page fully loaded; [ASSERT] Locate breadcrumb navigation at top of page; [ASSERT] Read each breadcrumb segment from left to right; [ACT] Click the immediate parent category segment in breadcrumb (not Home); [WAIT] Category page loads","[DOM] Breadcrumb visible on PDP with at least 3 segments; [DOM] First breadcrumb segment is Home or equivalent root; [DOM] Last breadcrumb segment matches current product name (@td(CFG_BIKE.name) or truncated); [NAV] Clicking a parent breadcrumb segment navigates to the corresponding category page without 404 or error; [DOM] Category page shows products after breadcrumb navigation","[CONSOLE] No JavaScript errors on page load or breadcrumb click; [NETWORK] No 4xx/5xx on breadcrumb navigation; [NAV] URL after breadcrumb click matches the category path segment","Breadcrumb absent on configurable PDP; breadcrumb segments showing incorrect category hierarchy; clicking breadcrumb segment results in 404; last segment showing wrong product name; breadcrumb navigation causing JavaScript error","none","TC-CF-018","Manual"
"CFG-ADM-008","Remove Single Option from Configuration Section — Verify Option Gone on Storefront","Configurable Products > Admin > Delete Option","Medium","BL-CAT-006","ECL-7.1","Admin logged in at {{BACK_URL}}. Configurable product has a section with 2 or more options. Storefront accessible.","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_pass={{ADMIN_PASSWORD}}, front_url={{FRONT_URL}}, bike_url=@td(CFG_BIKE.url)","--- ADMIN --- [NAV] Sign in at {{BACK_URL}}; [BLADE] Navigate to @td(CFG_BIKE.name) product in Catalog; [BLADE] Open Configurable Sections blade; [ACT] Open a section that has 2+ options; [ASSERT] Note option count before deletion; [ASSERT] Note name of option to be deleted (e.g., Pedals); [ACT] Click delete/remove icon on one option (e.g., Pedals); [WAIT] Confirmation dialog if shown; [ACT] Confirm deletion; [SAVE] Save changes; [WAIT] Success notification; --- STOREFRONT --- [NAV] Navigate to {{FRONT_URL}}@td(CFG_BIKE.url); [WAIT] Configure widget visible; [ASSERT] Locate the section the option was deleted from; [ASSERT] Verify deleted option no longer listed","--- ADMIN --- [BLADE] Option count decreases by 1 in admin blade after delete and save; [TOAST] Success notification shown; --- STOREFRONT --- [DOM] Deleted option (e.g., Pedals) not visible in Configure widget accordion on storefront; [DOM] Remaining options still visible and selectable; [STATE] No error state shown for the section after option removal","[STOREFRONT] Storefront reflects deletion within 60s of admin save; [CONSOLE] No JS errors on storefront; [NETWORK] Product GraphQL query does not return deleted option in configurationSections","Deleted option still visible on storefront after 60s; remaining options disappearing (all options lost); section showing error state; console errors on storefront after option deletion; admin Save failing","Re-add the deleted option after test to restore product to original state","TC-CA-008","Manual"
"CFG-ADM-013","View Configured Product Order in Admin Order Management","Configurable Products > Admin > Orders","High","BL-CART-007; BL-ORD-001","ECL-7.1","A configured product order has been placed (by a logged-in user). Order ID is known or can be found in admin. Admin logged in at {{BACK_URL}}.","admin_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_pass={{ADMIN_PASSWORD}}, front_url={{FRONT_URL}}, user={{USER_EMAIL}}, password={{USER_PASSWORD}}","[NAV] Sign in at {{BACK_URL}} as {{ADMIN_EMAIL}}; [BLADE] Navigate to Orders module; [GRID] Locate the order placed for a configured product (search by customer email {{USER_EMAIL}} or recent orders); [BLADE] Open order detail blade; [ASSERT] Locate the configured product line item; [ASSERT] Observe configuration details on the line item; [ASSERT] Observe line item price; [ACT] Locate order status control; [ACT] Update order status (e.g., from New to Processing); [SAVE] Click Save or Confirm status change; [WAIT] Success notification","[BLADE] Order detail blade shows the configured product as a line item; [DOM] Line item displays the selected configuration option name or section details; [MATH] Line item price matches configured total (base + option surcharge); [TOAST] Success notification after status update; [FORM] Order status field reflects updated status (e.g., Processing)","[CONSOLE] No JS errors in admin order detail blade; [NETWORK] No 4xx/5xx when opening order or updating status; [API] Order update API call returns 200 with updated status","Order detail blade not opening; configured product line item missing configuration details; line item price showing base price only (ignoring option surcharge); order status update failing; 4xx/5xx on order update","none","TC-CA-014","Manual"
"CFG-GA4-002","GA4 add_to_cart Event Must Include Configured Total Value (Base Plus Option Surcharge) — KNOWN BUG VCST-4856","Configurable Products > GA4 Tracking > add_to_cart","High","BL-CROSS-005; BL-PRICE-001","ECL-7.1; ECL-14.1; VCST-4856","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Storefront accessible. User authenticated. @td(CFG_BIKE.name) PDP loaded. Cart empty. dataLayer accessible. NOTE: gtag() format — events at e[1] not e.event.","url={{FRONT_URL}}@td(CFG_BIKE.url), user={{USER_EMAIL}}, password={{USER_PASSWORD}}","[NAV] Navigate to @td(CFG_BIKE.name) PDP; [WAIT] Configure widget visible; [ACT] Select an option in Section with products (note the displayed configured total price); [ACT] Click Add to cart button; [WAIT] Success notification; [KEY] Execute in browser console: JSON.stringify(window.dataLayer.filter(e => e[1] === 'add_to_cart'), null, 2); [VAR] Capture the last add_to_cart event; [ASSERT] Read value field (e[2].value); [ASSERT] Read items[0].price field (e[2].items[0].price); [ACT] Compare GA4 value against the displayed configured total on PDP; [ACT] Remove cart item; [ACT] Return to PDP; select a DIFFERENT option with a different surcharge; [ACT] Click Add to cart; [KEY] Execute same console query; [ASSERT] Compare GA4 value against the new displayed total; [ACT] As control: remove item; return to PDP; select None; click Add to cart; [KEY] Execute same query; [ASSERT] GA4 value should equal base price (no surcharge)","[DATA] add_to_cart e[2].value MUST equal the displayed configured total (base + option surcharge) — NOT the base price alone; [DATA] e[2].items[0].price MUST equal the configured total; [DATA] e[2].items[0].quantity = 1; [DATA] e[2].currency = USD; [MATH] Option A test: value = base + option_A_surcharge; [MATH] Option B test: value = base + option_B_surcharge; [MATH] None test (control): value = base price; [STATE] KNOWN BUG VCST-4856: currently value always equals base price regardless of option selected — this case will FAIL until VCST-4856 is fixed","[NETWORK] GA4 collection endpoint receives add_to_cart; [CONSOLE] No GA4 JS errors; [API] addItem mutation returns 200; [COMPARE] Cart-level view_cart event DOES report correct configured price (bug is PDP-only)","VCST-4856 CONFIRMED: add_to_cart value = base price only (e.g., $350 instead of $395 when Seat selected); add_to_cart event missing from dataLayer; value = 0; price field missing; event fires with wrong currency","Remove cart item after test","VCST-4856; GAP-S36-003; BL-CROSS-005","Manual"
"CFG-3902-001","Create New Configuration Link Not Visible on Fresh PDP (No lineItemId)","Configurable Products > VCST-3902 > Link Visibility","Critical","BL-CAT-006","ECL-7.1; VCST-3902","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Storefront accessible. @td(CFG_BIKE.name) PDP loaded in fresh state (no lineItemId in URL). User may be guest or authenticated.","front_url={{FRONT_URL}}, bike_url=@td(CFG_BIKE.url)","[NAV] Navigate to {{FRONT_URL}}@td(CFG_BIKE.url) (no lineItemId query param); [WAIT] Configure widget and price block visible; [ASSERT] Verify Create new configuration link is NOT visible in the price block; [ASSERT] Verify Add to cart button is visible (outline variant); [ASSERT] Verify no CountInCart badge is displayed","[DOM] Create new configuration link (with cube-transparent icon) is NOT rendered in price block when no lineItemId in URL; [DOM] Add to cart button visible with outline variant; [STATE] No CountInCart badge shown; [STATE] This is the correct fresh-PDP state per VCST-3902 — link only appears after adding to cart","[CONSOLE] No JS errors on page load; [NETWORK] Product detail query returns 200","Create new configuration link visible on fresh PDP (should only appear after add); CountInCart badge shown without lineItemId; button showing Update cart on fresh load","none","VCST-3902","Manual"
"CFG-3902-002","Configuration Resets to Defaults After Clicking Create New Configuration","Configurable Products > VCST-3902 > Config Reset","Critical","BL-CAT-006; BL-PRICE-001","ECL-7.1; VCST-3902","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
User authenticated. @td(CFG_BIKE.name) PDP loaded. A configured item (Seat selected) already added to cart — lineItemId in URL; button shows Update cart.","user={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}, bike_url=@td(CFG_BIKE.url), base_price=$350.00","[NAV] Sign in; navigate to @td(CFG_BIKE.name) PDP; [ACT] Select Seat option; click Add to cart; [WAIT] Button changes to Update cart; lineItemId in URL; [ASSERT] Verify Seat is selected and total=$365.00; [ACT] Click Create new configuration link in price block; [WAIT] Page updates — lineItemId removed from URL; [ASSERT] Verify all section selections reset to defaults (None selected); [ASSERT] Verify total price returns to base price $350.00; [ASSERT] Verify button text reverts to Add to cart (outline variant); [ASSERT] Verify CountInCart badge disappears","[STATE] After clicking Create new configuration: lineItemId removed from URL query; [STATE] All configuration sections reset to default values (None selected for radio sections); [MATH] Total price = base price $350.00 (no option surcharge); [DOM] Button text is Add to cart (outline variant — not Update cart solid); [STATE] CountInCart badge hidden; [STATE] fetchProductConfiguration called to reload fresh defaults","[CONSOLE] No JS errors during reset; [NETWORK] fetchProductConfiguration query fires after lineItemId cleared; [NETWORK] No cart mutations fired during reset (only client-side state change)","Config not resetting (Seat still selected after click); price still showing $365 instead of $350; button still showing Update cart; lineItemId still in URL; CountInCart badge persisting; JS error on reset","none","VCST-3902","Manual"
"CFG-3902-003","Post-Add-to-Cart State — Button Changes and lineItemId Written to URL","Configurable Products > VCST-3902 > Post-Add State","Critical","BL-CAT-006","ECL-7.1; VCST-3902","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
User authenticated. @td(CFG_BIKE.name) PDP loaded in fresh state. Cart empty.","user={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}, bike_url=@td(CFG_BIKE.url)","[NAV] Sign in; navigate to @td(CFG_BIKE.name) PDP; [ASSERT] Button shows Add to cart (outline variant); [ASSERT] No lineItemId in URL; [ACT] Select Seat option; [ACT] Click Add to cart; [WAIT] Cart mutation completes; [ASSERT] Observe button text changes to Update cart (solid variant); [ASSERT] Observe lineItemId query param now present in URL; [ASSERT] Observe CountInCart badge appears showing qty 1; [ASSERT] Observe Create new configuration link now visible in price block; [ACT] Read lineItemId value from URL; [NAV] Navigate to cart; [ASSERT] Verify cart contains one @td(CFG_BIKE.name) line item; [ASSERT] Verify line item ID matches the lineItemId from URL","[STATE] Before add: button=Add to cart (outline); no lineItemId in URL; no CountInCart badge; no Create new config link; [STATE] After add: button=Update cart (solid); lineItemId in URL; CountInCart badge=1; Create new config link visible; [STATE] lineItemId in URL matches actual cart line item ID; [DOM] All state transitions happen without page reload","[CONSOLE] No JS errors during add-to-cart flow; [NETWORK] addItem mutation returns 200 with new line item; [NETWORK] router.replace called (URL updated without navigation); [API] Cart response includes item with matching ID","Button not changing to Update cart; lineItemId not written to URL; CountInCart badge not appearing; Create new config link not appearing; lineItemId mismatch with actual cart item","Remove cart item after test","VCST-3902","Manual"
"CFG-3902-004","Update Cart Button Fires changeCartConfiguredItem (Not addItem)","Configurable Products > VCST-3902 > Update Flow","Critical","BL-PRICE-001","ECL-7.1; VCST-3902","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
User authenticated. Configured product in cart. PDP loaded with lineItemId in URL. Button shows Update cart.","user={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}","[NAV] Sign in; add configured product (Seat) to cart; [ASSERT] Button shows Update cart; lineItemId in URL; [ACT] Change selection from Seat to Engine option; [WAIT] Price updates to $575.00; [ACT] Click Update cart button; [WAIT] Mutation completes; [ASSERT] Observe success — button remains as Update cart; [ASSERT] lineItemId unchanged in URL; [NAV] Navigate to cart; [ASSERT] Line item shows Engine configuration (not Seat); [ASSERT] Price=$575.00; [ASSERT] Only one line item for this product (no duplicate)","[STATE] Update cart fires changeCartConfiguredItem mutation (not addItem); [STATE] lineItemId preserved in URL after update; [DOM] Button stays as Update cart after successful update; [MATH] Cart price updated to $575.00 reflecting Engine option; [STATE] No duplicate line item — existing item updated in-place; [STATE] Configuration marked as saved (dirty tracking reset via markConfigurationAsSaved)","[NETWORK] changeCartConfiguredItem mutation fires (verify in network tab — not addItem); [API] changeCartConfiguredItem returns 200 with updated configurationItems[]; [CONSOLE] No JS errors","addItem firing instead of changeCartConfiguredItem (creating duplicate); lineItemId changing after update; button reverting to Add to cart; old configuration (Seat) still shown in cart; duplicate line item created","Remove cart item after test","VCST-3902","Manual"
