ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
UCPO-001,MCP success — one correlated transaction from request through UCP and XAPI to downstream dependencies,UCP > Observability > Correlation,High,,,"vcst-qa with VirtoCommerce.UCP >= 3.1005.0 (PR vc-module-ucp#6) AND VirtoCommerce.OpenTelemetry >= 3.1001.0-alpha.6-vcst-5641 (PR vc-module-opentelemetry#2) both LIVE per /api/platform/modules; VirtoCommerce.ApplicationInsights installed; UCP:Observability:InputCaptureMode=ErrorsOnly; UCP:Observability:EnableApplicationInsightsCompatibilityBridge=true. App Insights query access for the backend resource (AAD via Connect-AzAccount, or APPINSIGHTS_API_KEY_BACKEND). Query helper: ci/lib/appinsights.ts queryAppInsights(""backend"", kql, timespan).","store: {{STORE_ID}} (or @td(STORE_PRIMARY.id)); product: @td(PROD_DEFAULT.id); MCP endpoint from GET /.well-known/ucp -> ucp.services[""com.virtocommerce.ucp""][0].endpoint","[MCP] POST {MCP endpoint} tools/call name=search_products arguments={store_id:{{STORE_ID}},query:""bolt"",limit:2}.
[DOC] Read the ""Trace ID: <32-hex>"" text part from result.content.
[KQL] KQL: union requests, dependencies | where operation_Id == ""<trace id>"" | project itemType,name,type,operation_ParentId,id,success,duration | order by timestamp asc.","Client receives a successful result (2026-08-12) {OBSERVED}.
Trace contains request ""POST /ucp/mcp"", dependency ""tools/call search_products"" (type=MCP), dependency ""UCP search_products"" (type=UCP), dependency ""XAPI XCatalog UcpSearchProducts"" (type=XAPI), plus the platform dependencies those trigger (SQL / HTTP ES) (2026-08-12) {OBSERVED}.
All rows share one operation_Id, and each child row parent_id equals its parent row id, chaining up to the request (2026-08-12) {OBSERVED}.","Span names are exactly ""UCP {operation}"" / ""XAPI {schema} {operationName}"" / ""VC {component} {operation}"" — assert the literal strings, never a paraphrase {SPEC}.",Rows present but operation_ParentId empty or self-referential (broken nesting); XAPI span missing while SQL rows exist (span dropped); no rows at all (see the sampling note).,None (read-only).,"VCST-5544; PR vc-module-ucp#6. NOTE: adaptive sampling is active on this resource (itemCount observed up to 8, i.e. ~1-in-8 retention) — a single request may leave NO telemetry. Fire >=14 identical requests, or disable sampling, before concluding a signal is absent. (2026-08-12) {OBSERVED}",Draft
UCPO-002,REST parity — same UCP/XAPI/dependency visibility with NO MCP span,UCP > Observability > Correlation,High,,,"vcst-qa with VirtoCommerce.UCP >= 3.1005.0 (PR vc-module-ucp#6) AND VirtoCommerce.OpenTelemetry >= 3.1001.0-alpha.6-vcst-5641 (PR vc-module-opentelemetry#2) both LIVE per /api/platform/modules; VirtoCommerce.ApplicationInsights installed; UCP:Observability:InputCaptureMode=ErrorsOnly; UCP:Observability:EnableApplicationInsightsCompatibilityBridge=true. App Insights query access for the backend resource (AAD via Connect-AzAccount, or APPINSIGHTS_API_KEY_BACKEND). Query helper: ci/lib/appinsights.ts queryAppInsights(""backend"", kql, timespan).","store: {{STORE_ID}} (or @td(STORE_PRIMARY.id)); product: @td(PROD_DEFAULT.id); MCP endpoint from GET /.well-known/ucp -> ucp.services[""com.virtocommerce.ucp""][0].endpoint","[HTTP] POST /ucp/v1/catalog/search {store_id:{{STORE_ID}},query:""bolt"",limit:2}.
[KQL] KQL: dependencies | where type==""UCP"" and customDimensions has '""vc.ucp.transport"":""rest""' | join kind=leftouter (dependencies | where type==""MCP"") on operation_Id.","The UCP span carries tag vc.ucp.transport=rest (2026-08-12) {OBSERVED}.
Its trace contains the same XAPI/VC child spans as the MCP equivalent (2026-08-12) {OBSERVED}.
The trace contains ZERO spans of type MCP / from ActivitySource ""Experimental.ModelContextProtocol"" — verified across all 6 REST-transport operations observed (search_products, get_cart, get_payment_handlers, list_countries, track_order) (2026-08-12) {OBSERVED}.",Compare against UCPO-001: the ONLY structural difference must be the absent tools/call span.,A REST trace containing an MCP span (transport tagging or filter leak); vc.ucp.transport reporting mcp for a REST call.,None (read-only).,"VCST-5544 AC-2. NOTE: adaptive sampling is active on this resource (itemCount observed up to 8, i.e. ~1-in-8 retention) — a single request may leave NO telemetry. Fire >=14 identical requests, or disable sampling, before concluding a signal is absent. (2026-08-12) {OBSERVED}",Draft
UCPO-003,xAPI GraphQL error is NOT masked as a 502 — REST returns HTTP 200 with the original error envelope,UCP > REST > Error contract,Critical,BL-GQL-001,,vcst-qa with VirtoCommerce.UCP >= 3.1005.0 (PR vc-module-ucp#6) AND VirtoCommerce.OpenTelemetry >= 3.1001.0-alpha.6-vcst-5641 (PR vc-module-opentelemetry#2) both LIVE per /api/platform/modules; VirtoCommerce.ApplicationInsights installed; UCP:Observability:InputCaptureMode=ErrorsOnly; UCP:Observability:EnableApplicationInsightsCompatibilityBridge=true.,"store: {{STORE_ID}} (or @td(STORE_PRIMARY.id)); product: @td(PROD_DEFAULT.id); MCP endpoint from GET /.well-known/ucp -> ucp.services[""com.virtocommerce.ucp""][0].endpoint","[HTTP] POST /ucp/v1/catalog/search {store_id:""NO-SUCH-STORE-XYZ"",query:""bolt""}.
[VERIFY] Record the HTTP status and the exact response body.","HTTP status is 200, NOT 502 (2026-08-12) {OBSERVED}.
Body is the original xAPI GraphQL envelope: errors[0].path==[""products""], errors[0].extensions.code==""NULL_REFERENCE"", data.products==null (2026-08-12) {OBSERVED}.
Per BL-GQL-001 the server must never return 5xx for a client-side error, and the message must not match the internal-leak regex (at System., SqlException, StackTrace, Microsoft.Data, connection string, SELECT .. FROM) — the observed message ""Error trying to resolve field 'products'."" does not {BL}.","Pre-change baseline for the same request was HTTP 502 with a 16-byte body ""error code: 502"" and no envelope (2026-08-12, UCP 3.1004.0) {OBSERVED} — this case is the GREEN half of that RED/GREEN pair.",HTTP 502/500 returned; body replaced by a generic error page; errors[] stripped or data key missing; a stack trace or SQL fragment inside errors[0].message (BL-GQL-001 leak clause).,None (read-only).,"VCST-5544 AC-5; BL-GQL-001. Caveat: the pre-change 16-byte body was Cloudflare-shaped, so the old 502 may have been the edge rendering UCP's synthetic 502 — the assertable fact is that the client saw 502 with no envelope.",Draft
UCPO-004,MCP tool failure returns a tools/call isError result (not a JSON-RPC protocol error) and surfaces a TraceId,UCP > MCP > Error contract,Critical,,,vcst-qa with VirtoCommerce.UCP >= 3.1005.0 (PR vc-module-ucp#6) AND VirtoCommerce.OpenTelemetry >= 3.1001.0-alpha.6-vcst-5641 (PR vc-module-opentelemetry#2) both LIVE per /api/platform/modules; VirtoCommerce.ApplicationInsights installed; UCP:Observability:InputCaptureMode=ErrorsOnly; UCP:Observability:EnableApplicationInsightsCompatibilityBridge=true.,"store: {{STORE_ID}} (or @td(STORE_PRIMARY.id)); product: @td(PROD_DEFAULT.id); MCP endpoint from GET /.well-known/ucp -> ucp.services[""com.virtocommerce.ucp""][0].endpoint","[MCP] POST {MCP endpoint} tools/call name=search_products arguments={store_id:""NO-SUCH-STORE-XYZ"",query:""bolt""}.
[MCP] Parse the SSE ""data:"" frame.","HTTP 200 and the JSON-RPC response has NO ""error"" member (2026-08-12) {OBSERVED}.
result.isError==true (2026-08-12) {OBSERVED}.
result.structuredContent carries the original GraphQL envelope with extensions.code==""NULL_REFERENCE"" (2026-08-12) {OBSERVED}.
result.content includes a text part matching /^Trace ID: [0-9a-f]{32}$/ and that value is usable as operation_Id in App Insights (2026-08-12) {OBSERVED}.",The returned TraceId is the join key for UCPO-001/013 — assert it resolves to real rows (subject to the sampling note).,"A JSON-RPC ""error"" member returned instead of isError (old contract); isError absent/false on a failure; raw GraphQL payload absent from structuredContent; no Trace ID text part.",None (read-only).,"VCST-5544 (declared BREAKING change). NOTE: adaptive sampling is active on this resource (itemCount observed up to 8, i.e. ~1-in-8 retention) — a single request may leave NO telemetry. Fire >=14 identical requests, or disable sampling, before concluding a signal is absent. (2026-08-12) {OBSERVED}",Draft
UCPO-005,CLR resolver exception exposes the original exception type and stack trace on the failing XAPI span,UCP > Observability > Exceptions,High,,,"vcst-qa with VirtoCommerce.UCP >= 3.1005.0 (PR vc-module-ucp#6) AND VirtoCommerce.OpenTelemetry >= 3.1001.0-alpha.6-vcst-5641 (PR vc-module-opentelemetry#2) both LIVE per /api/platform/modules; VirtoCommerce.ApplicationInsights installed; UCP:Observability:InputCaptureMode=ErrorsOnly; UCP:Observability:EnableApplicationInsightsCompatibilityBridge=true. App Insights query access for the backend resource (AAD via Connect-AzAccount, or APPINSIGHTS_API_KEY_BACKEND). Query helper: ci/lib/appinsights.ts queryAppInsights(""backend"", kql, timespan). Requires Information/Error logs for the VirtoCommerce.UCP category to reach the telemetry sink.","store: {{STORE_ID}} (or @td(STORE_PRIMARY.id)); product: @td(PROD_DEFAULT.id); MCP endpoint from GET /.well-known/ucp -> ucp.services[""com.virtocommerce.ucp""][0].endpoint","[HTTP] Trigger an unhandled CLR exception in an xAPI resolver — POST /ucp/v1/catalog/search {store_id:""NO-SUCH-STORE-XYZ"",query:""bolt""} yields extensions.code=NULL_REFERENCE, i.e. a NullReferenceException class (2026-08-12) {OBSERVED}.
[KQL] KQL: dependencies | where type==""XAPI"" and success==""False"" | project customDimensions.
[KQL] KQL: exceptions | where operation_Id == ""<trace id>"".
[KQL] KQL: traces | where message has ""XApiGraphQlResolverException"".","EXPECTED per AC-3: the XAPI span carries exception.type / exception.message / exception.stacktrace; an exceptions row exists whose operation_ParentId equals the XAPI span id; a traces row with EventId 2001 XApiGraphQlResolverException carries the original exception plus matching trace_id/span_id {SPEC}.
ACTUAL 2026-08-17 on VirtoCommerce.UCP 3.1005.0-pr-6-6c60: the XAPI span now carries exception.type=System.NullReferenceException, exception.message and exception.stacktrace (1277 chars, resolving to CatalogQueryBuilder.BeforeMediatorSend), and exactly one exceptions row exists whose operation_ParentId equals the XAPI span id — verified on 3 of 3 traces retained by sampling, and again on a second exception path (currency=XXX yields System.InvalidOperationException, same parenting). No duplicate export despite the fix adding a second recording path. The EventId 2001 half of this case remains UNOBSERVED, not failing: log export is gated on OpenTelemetry:Endpoint, which is unset on vcst-qa, so ILogger output reaches only the Console sink (2026-08-17) {OBSERVED} — AC-3 satisfied on the span/exception path.","Discriminate the two candidate root causes before filing: (a) graphql-dotnet converted the NRE into an errors[] entry so UCP's unhandled-exception delegate never fired, or (b) the exception WAS attached to the Activity but the classic-AI compatibility bridge does not translate OTel exception events into exceptions rows.",exceptions table empty for a trace whose XAPI span reports a CLR error code; error code present but no exception identity; no stack frames in details.,None (read-only).,"VCST-5544 AC-3 — PASSING as observed 2026-08-17 on VirtoCommerce.UCP 3.1005.0-pr-6-6c60 (was FAILING on pr-6-78e2, 2026-08-12). Kept Draft: promotion is a separate gated step, and the EventId 2001 assertion is still unobservable on this stand. NOTE: adaptive sampling is active on this resource (itemCount observed up to 8, ~1-in-8 retention; 3 of 10 requests retained on 2026-08-17) — fire >=14 identical requests, or disable sampling, before concluding a signal is absent. Audited: 2026-08-17.",Draft
UCPO-006,Expected GraphQL error without a CLR exception produces NO fabricated exception or stack trace,UCP > Observability > Exceptions,Medium,,,"vcst-qa with VirtoCommerce.UCP >= 3.1005.0 (PR vc-module-ucp#6) AND VirtoCommerce.OpenTelemetry >= 3.1001.0-alpha.6-vcst-5641 (PR vc-module-opentelemetry#2) both LIVE per /api/platform/modules; VirtoCommerce.ApplicationInsights installed; UCP:Observability:InputCaptureMode=ErrorsOnly; UCP:Observability:EnableApplicationInsightsCompatibilityBridge=true. App Insights query access for the backend resource (AAD via Connect-AzAccount, or APPINSIGHTS_API_KEY_BACKEND). Query helper: ci/lib/appinsights.ts queryAppInsights(""backend"", kql, timespan). Needs a request whose xAPI resolver returns a populated errors[] WITHOUT throwing.","store: {{STORE_ID}} (or @td(STORE_PRIMARY.id)); product: @td(PROD_DEFAULT.id); MCP endpoint from GET /.well-known/ucp -> ucp.services[""com.virtocommerce.ucp""][0].endpoint","[VERIFY] Issue a UCP operation that produces a domain/validation GraphQL error rather than a CLR fault. {HYPOTHESIS} Still unresolved on 2026-08-17: every xAPI errors[] reachable through the UCP tool surface is CLR-backed. Rejected as triggers (do not retry these): bogus store_id -> NULL_REFERENCE (NullReferenceException); currency=XXX -> INVALID_OPERATION (InvalidOperationException); bogus cart_id / product id / order_number / checkout_id -> UCP-level rejections that never reach xAPI; limit out of range, inverted price_min/price_max and unknown language -> accepted silently; create_cart with a non-existent product_id -> ignored, cart created successfully. Needs a controlled fixture from the implementing developer.
[KQL] KQL the XAPI span dimensions + the exceptions table for that trace.","The XAPI span has vc.xapi.error.count>0 and reports failure, with vc.xapi.error.codes/.paths populated {SPEC}.
NO exception event on the span, NO exceptions row, NO EventId 2001 log — no synthetic stack trace is fabricated {SPEC}.
SUPPORTING evidence 2026-08-17 on VirtoCommerce.UCP 3.1005.0-pr-6-6c60: the reverse direction holds — expected rejections (product_not_found, cart_not_found, order_not_found, missing_store_id) produce vc.ucp.outcome=rejected with NO exceptions row, no exception.* attributes and stack length 0; for get_product the UCP span is success=False/product_not_found while its child XAPI span is success=True, i.e. xAPI ran fine and nothing was fabricated (2026-08-17) {OBSERVED}. This does not substitute for the literal AC-4 case.","This is the negative twin of UCPO-005: same observable set, opposite expectation.
Once a trigger is confirmed, the pair discriminates AC-3 from AC-4.",A fabricated exception/stack trace attached to a plain GraphQL error; the error silently reclassified as a CLR fault.,None (read-only).,VCST-5544 AC-4 — trigger still not identified on vcst-qa as of 2026-08-17; needs a controlled fixture from the implementing developer. Reverse evidence gathered (see Assertions). Audited: 2026-08-17.,Draft
UCPO-007,ErrorsOnly — a FAILED operation captures allowlisted input sufficient to reproduce the call,UCP > Observability > Input capture,High,,,"vcst-qa with VirtoCommerce.UCP >= 3.1005.0 (PR vc-module-ucp#6) AND VirtoCommerce.OpenTelemetry >= 3.1001.0-alpha.6-vcst-5641 (PR vc-module-opentelemetry#2) both LIVE per /api/platform/modules; VirtoCommerce.ApplicationInsights installed; UCP:Observability:InputCaptureMode=ErrorsOnly; UCP:Observability:EnableApplicationInsightsCompatibilityBridge=true. App Insights query access for the backend resource (AAD via Connect-AzAccount, or APPINSIGHTS_API_KEY_BACKEND). Query helper: ci/lib/appinsights.ts queryAppInsights(""backend"", kql, timespan).","store: {{STORE_ID}} (or @td(STORE_PRIMARY.id)); product: @td(PROD_DEFAULT.id); MCP endpoint from GET /.well-known/ucp -> ucp.services[""com.virtocommerce.ucp""][0].endpoint","[HTTP] POST /ucp/v1/catalog/search {store_id:""NO-SUCH-STORE-XYZ"",query:""bolt""}.
[KQL] KQL: dependencies | where type in (""UCP"",""XAPI"") and success==""False"" | extend cd=tostring(customDimensions) | project cd.","The UCP span carries vc.ucp.input.capture_mode=ErrorsOnly and a non-null vc.ucp.input_json (2026-08-12) {OBSERVED}.
Observed UCP value: {""query"":""bolt"",""store"":{""top_level"":""NO-SUCH-STORE-XYZ"",""requested"":""NO-SUCH-STORE-XYZ"",""source"":""explicit"",""effective"":""NO-SUCH-STORE-XYZ""}}; observed XAPI value: {""store_id"":""NO-SUCH-STORE-XYZ"",""query"":""bolt"",""page_size"":10} (2026-08-12) {OBSERVED}.
Every key is an allowlisted business selector (query, store requested/effective/source, page_size) — never a serialized request DTO (2026-08-12) {OBSERVED}.",The captured values are enough to re-issue the same call by hand — that is the reproducibility bar for this AC.,input_json null on a failure under ErrorsOnly; a full DTO/GraphQL document/variables object dumped; response payload present.,None (read-only).,"VCST-5544 AC-6. NOTE: adaptive sampling is active on this resource (itemCount observed up to 8, i.e. ~1-in-8 retention) — a single request may leave NO telemetry. Fire >=14 identical requests, or disable sampling, before concluding a signal is absent. (2026-08-12) {OBSERVED}",Draft
UCPO-008,ErrorsOnly — a SUCCESSFUL operation captures NO detailed input,UCP > Observability > Input capture,High,,,"vcst-qa with VirtoCommerce.UCP >= 3.1005.0 (PR vc-module-ucp#6) AND VirtoCommerce.OpenTelemetry >= 3.1001.0-alpha.6-vcst-5641 (PR vc-module-opentelemetry#2) both LIVE per /api/platform/modules; VirtoCommerce.ApplicationInsights installed; UCP:Observability:InputCaptureMode=ErrorsOnly; UCP:Observability:EnableApplicationInsightsCompatibilityBridge=true. App Insights query access for the backend resource (AAD via Connect-AzAccount, or APPINSIGHTS_API_KEY_BACKEND). Query helper: ci/lib/appinsights.ts queryAppInsights(""backend"", kql, timespan).","store: {{STORE_ID}} (or @td(STORE_PRIMARY.id)); product: @td(PROD_DEFAULT.id); MCP endpoint from GET /.well-known/ucp -> ucp.services[""com.virtocommerce.ucp""][0].endpoint","[MCP] Run successful operations over both transports: POST /ucp/v1/catalog/search {store_id:{{STORE_ID}},query:""bolt"",limit:2}; GET /ucp/v1/geography/countries; GET /ucp/v1/checkouts/{id}/payment-handlers; MCP tools/call update_cart.
[KQL] KQL: dependencies | where type==""UCP"" | project outcome, capture_mode, has_input.","For every span with vc.ucp.outcome=success, vc.ucp.input_json is ABSENT while vc.ucp.input.capture_mode=ErrorsOnly (2026-08-12 on UCP list_countries, UCP get_payment_handlers, UCP search_products(rest), UCP update_cart(mcp)) {OBSERVED}.
Safe context (vc.store.id, vc.catalog.search.query.length, .hash) and the counters MAY remain (2026-08-12) {OBSERVED}.",On a successful search the raw query text is not stored either — only length + hash were present (2026-08-12) {OBSERVED}.,input_json populated on a success while mode=ErrorsOnly; raw query text present on a successful operation.,None (read-only).,"VCST-5544 AC-7. NOTE: adaptive sampling is active on this resource (itemCount observed up to 8, i.e. ~1-in-8 retention) — a single request may leave NO telemetry. Fire >=14 identical requests, or disable sampling, before concluding a signal is absent. (2026-08-12) {OBSERVED}",Draft
UCPO-009,PII in free text is redacted before capture — email and phone never reach telemetry,UCP > Observability > Data safety,Critical,,,"vcst-qa with VirtoCommerce.UCP >= 3.1005.0 (PR vc-module-ucp#6) AND VirtoCommerce.OpenTelemetry >= 3.1001.0-alpha.6-vcst-5641 (PR vc-module-opentelemetry#2) both LIVE per /api/platform/modules; VirtoCommerce.ApplicationInsights installed; UCP:Observability:InputCaptureMode=ErrorsOnly; UCP:Observability:EnableApplicationInsightsCompatibilityBridge=true. App Insights query access for the backend resource (AAD via Connect-AzAccount, or APPINSIGHTS_API_KEY_BACKEND). Query helper: ci/lib/appinsights.ts queryAppInsights(""backend"", kql, timespan). The request must FAIL, otherwise ErrorsOnly captures no input at all (see UCPO-008).","store: {{STORE_ID}} (or @td(STORE_PRIMARY.id)); product: @td(PROD_DEFAULT.id); MCP endpoint from GET /.well-known/ucp -> ucp.services[""com.virtocommerce.ucp""][0].endpoint","[HTTP] Fire >=14 identical FAILING requests carrying PII in free text: POST /ucp/v1/catalog/search {store_id:""NO-SUCH-STORE-XYZ"",query:""agent-test-pii@example.com +1-555-0142 bolt""} (repetition defeats sampling).
[KQL] KQL: dependencies | where type in (""UCP"",""XAPI"") | extend cd=tostring(customDimensions) | where cd has ""NO-SUCH-STORE-XYZ"" | project cd — then scan the RAW dimensions, not a narrow regex.","vc.catalog.search.query == ""[redacted-email] [redacted-phone] bolt"" (2026-08-12) {OBSERVED}.
vc.ucp.input_json == {""query"":""[redacted-email] [redacted-phone] bolt""} (2026-08-12) {OBSERVED}.
The literal strings ""agent-test-pii@example.com"" and ""555-0142"" appear in ZERO rows out of 36 retained (2026-08-12) {OBSERVED}.
query.length (43) and query.hash are retained so the value stays correlatable without being readable (2026-08-12) {OBSERVED}.","Scan requests, dependencies, exceptions AND traces — a leak in any sink counts.","A raw email/phone/address/token anywhere in customDimensions, message or name; redaction applied to the tag but not to input_json (or vice versa).",None (read-only). The AGENT-TEST- PII values are synthetic.,VCST-5544 AC-8.,Draft
UCPO-010,No serialized request or response body is ever present in telemetry,UCP > Observability > Data safety,High,,,"vcst-qa with VirtoCommerce.UCP >= 3.1005.0 (PR vc-module-ucp#6) AND VirtoCommerce.OpenTelemetry >= 3.1001.0-alpha.6-vcst-5641 (PR vc-module-opentelemetry#2) both LIVE per /api/platform/modules; VirtoCommerce.ApplicationInsights installed; UCP:Observability:InputCaptureMode=ErrorsOnly; UCP:Observability:EnableApplicationInsightsCompatibilityBridge=true. App Insights query access for the backend resource (AAD via Connect-AzAccount, or APPINSIGHTS_API_KEY_BACKEND). Query helper: ci/lib/appinsights.ts queryAppInsights(""backend"", kql, timespan).","store: {{STORE_ID}} (or @td(STORE_PRIMARY.id)); product: @td(PROD_DEFAULT.id); MCP endpoint from GET /.well-known/ucp -> ucp.services[""com.virtocommerce.ucp""][0].endpoint","[VERIFY] Run one successful and one failing operation of each shape (catalog search, cart update, geography, order tracking).
[KQL] KQL the full customDimensions of every UCP/XAPI/VC span in those traces and enumerate the keys.","The complete key set on the failing XAPI span was: _MS.ProcessedByMetricExtractors, AspNetCoreEnvironment, error.type, vc.xapi.variable.names, vc.pagination.limit, vc.catalog.search.query(.hash/.length), vc.catalog.filter.present, vc.store.id, vc.xapi.error.count/.codes/.paths/.messages, vc.xapi.schema(.version), vc.xapi.input_json, graphql.operation.name/.type, vc.dependency.system, vc.xapi.call.index (2026-08-12) {OBSERVED} — no response payload, no complete GraphQL document, no full variables object.
No dimension key matching /body|payload|response|variables|document/ exists on any UCP, XAPI or VC span in those traces (2026-08-12) {OBSERVED}.","vc.xapi.variable.names lists variable NAMES only, never their values {SPEC}.",A products[]/cart payload echoed into a tag; a complete GraphQL query document; a whole variables object; an Authorization header value.,None (read-only).,VCST-5544 AC-8 (arbitrary-payload half).,Draft
