ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
LOYF-001,Route Guard — Enable=false blocks /loyalty-catalog (404),Loyalty > Catalog Browsing,Critical,,ECL-3.1,"[PRE:CLEAR_SESSION]
Loyalty settings for store {{STORE_ID}}: Enable=false (any Mode; any Currency). Settings pre-configured via LOY-019/LOY-022 pattern.",front_url={{FRONT_URL}}; store_id={{STORE_ID}},"[NAV] {{FRONT_URL}}/loyalty-catalog
[WAIT] page load completes","[NAV] URL does NOT stay at /loyalty-catalog — either remains with 404 UI OR redirected to not-found page
[DOM] page shows 'not found' content or 404-equivalent UI; NOT loyalty catalog product grid","[API] no products or category query fired for loyalty catalog namespace
[CONSOLE] no unhandled JS errors",Spinner visible >5s; products grid renders (guard bypass),Restore Enable=true via PUT {{BACK_URL}}/api/loyalty-setting if modified,VCST-5100,Draft
LOYF-002,Route Guard — Currency empty blocks /loyalty-catalog (404),Loyalty > Catalog Browsing,Critical,,ECL-3.1,"[PRE:CLEAR_SESSION]
Loyalty settings: Enable=true; valid Mode='Mixed Cart'; Currency='' (empty string). Configured via API.",front_url={{FRONT_URL}}; store_id={{STORE_ID}},"[NAV] {{FRONT_URL}}/loyalty-catalog
[WAIT] page load completes","[NAV] request ends on 404/not-found — not the loyalty catalog
[DOM] loyalty catalog product grid NOT rendered","[CONSOLE] no unhandled JS errors",Product grid renders despite empty currency,Restore Currency to @td(LOYALTY_SETTINGS.currency_code),VCST-5100,Draft
LOYF-003,Route Guard — Mode empty blocks /loyalty-catalog (404),Loyalty > Catalog Browsing,Critical,,ECL-3.1,"[PRE:CLEAR_SESSION]
Loyalty settings: Enable=true; Mode='' (empty); Currency=@td(LOYALTY_SETTINGS.currency_code). Configured via API.",front_url={{FRONT_URL}}; store_id={{STORE_ID}},"[NAV] {{FRONT_URL}}/loyalty-catalog
[WAIT] page load completes","[NAV] request ends on 404/not-found
[DOM] loyalty catalog product grid NOT rendered","[CONSOLE] no unhandled JS errors",Product grid renders despite empty mode,Restore Mode to 'Mixed Cart' via PUT,VCST-5100,Draft
LOYF-004,Route Guard — Mode='Coupon Redemption' blocks /loyalty-catalog (404),Loyalty > Catalog Browsing,Critical,,ECL-3.1,"[PRE:CLEAR_SESSION]
Loyalty settings: Enable=true; Mode='Coupon Redemption'; Currency=@td(LOYALTY_SETTINGS.currency_code). Configured via API.",front_url={{FRONT_URL}}; store_id={{STORE_ID}},"[NAV] {{FRONT_URL}}/loyalty-catalog
[WAIT] page load completes","[NAV] request ends on 404/not-found (Coupon Redemption mode does NOT open catalog)
[DOM] loyalty catalog product grid NOT rendered","[CONSOLE] no unhandled JS errors",Product grid renders (this mode must NOT open catalog),Restore Mode to 'Mixed Cart',VCST-5100,Draft
LOYF-005,Route Guard — Mode='Payment Method' blocks /loyalty-catalog (404),Loyalty > Catalog Browsing,Critical,,ECL-3.1,"[PRE:CLEAR_SESSION]
Loyalty settings: Enable=true; Mode='Payment Method'; Currency=@td(LOYALTY_SETTINGS.currency_code). Configured via API.",front_url={{FRONT_URL}}; store_id={{STORE_ID}},"[NAV] {{FRONT_URL}}/loyalty-catalog
[WAIT] page load completes","[NAV] request ends on 404/not-found (Payment Method mode does NOT open catalog)
[DOM] loyalty catalog product grid NOT rendered","[CONSOLE] no unhandled JS errors",Product grid renders (this mode must NOT open catalog),Restore Mode to 'Mixed Cart',VCST-5100,Draft
LOYF-006,Route Guard — Mode='Mixed Cart' opens /loyalty-catalog,Loyalty > Catalog Browsing,Critical,,,"[PRE:CLEAR_SESSION]
Loyalty settings: Enable=true; Mode='Mixed Cart'; Currency=@td(LOYALTY_SETTINGS.currency_code). Pre-configured via LOY-019.",front_url={{FRONT_URL}}; store_id={{STORE_ID}},"[NAV] {{FRONT_URL}}/loyalty-catalog
[WAIT] page fully loads","[NAV] URL remains {{FRONT_URL}}/loyalty-catalog
[DOM] loyalty catalog page renders product grid
[DOM] breadcrumb visible containing loyalty catalog label","[API] products query to /graphql fires with currencyCode=@td(LOYALTY_SETTINGS.currency_code)
[CONSOLE] no JS errors",404 page shown; products grid missing; breadcrumb absent,none,VCST-5100,Draft
LOYF-007,Route Guard — Mode='Loyalty Store' opens /loyalty-catalog,Loyalty > Catalog Browsing,Critical,,,"[PRE:CLEAR_SESSION]
Loyalty settings: Enable=true; Mode='Loyalty Store'; Currency=@td(LOYALTY_SETTINGS.currency_code). Configured via API.",front_url={{FRONT_URL}}; store_id={{STORE_ID}},"[NAV] {{FRONT_URL}}/loyalty-catalog
[WAIT] page fully loads","[NAV] URL remains {{FRONT_URL}}/loyalty-catalog
[DOM] loyalty catalog page renders product grid
[DOM] breadcrumb visible","[API] products query fires with currencyCode=@td(LOYALTY_SETTINGS.currency_code)
[CONSOLE] no JS errors",404 page shown; product grid missing,Restore Mode to 'Mixed Cart' after test,VCST-5100,Draft
LOYF-008,Loyalty catalog page — breadcrumb label and page title i18n,Loyalty > Catalog Browsing,High,,,"[PRE:CLEAR_SESSION]
Loyalty settings: Enable=true; Mode='Mixed Cart'; Currency=@td(LOYALTY_SETTINGS.currency_code).",front_url={{FRONT_URL}},"[NAV] {{FRONT_URL}}/loyalty-catalog
[WAIT] page fully loaded","[DOM] VcBreadcrumbs component visible
[DOM] breadcrumb contains label from i18n key 'routes.links.loyalty_catalog' (not empty; not raw i18n key)
[DOM] page <title> or h1 contains text from i18n key 'pages.loyalty_catalog.title' (not empty; not raw key)","[CONSOLE] no i18n missing-key warnings for loyalty_catalog keys
[CONSOLE] no JS errors",Breadcrumb shows raw i18n key; title empty; spinner visible >5s,none,VCST-5100,Draft
LOYF-009,Loyalty catalog renders product grid (Category is-root),Loyalty > Catalog Browsing,Critical,,ECL-7.1,"[PRE:CLEAR_SESSION]
Loyalty settings: Enable=true; Mode='Mixed Cart'; Currency=@td(LOYALTY_SETTINGS.currency_code). Loyalty catalog has products indexed.",front_url={{FRONT_URL}},"[NAV] {{FRONT_URL}}/loyalty-catalog
[WAIT] product grid loads (at least 1 product card visible)","[DOM] product cards visible in grid — at least 1 product rendered
[DOM] each product card displays a price value
[DOM] category root component rendered (not a sub-category view)","[API] POST /graphql searchProducts request fires with currencyCode=@td(LOYALTY_SETTINGS.currency_code) (verify via network tab or HAR)
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx on products query",Spinner visible >10s; product grid empty; prices missing,none,VCST-5100,Draft
LOYF-010,Prices on loyalty catalog listing shown in loyalty currency,Loyalty > Catalog Browsing,Critical,,,"[PRE:CLEAR_SESSION]
Loyalty settings: Enable=true; Mode='Mixed Cart'; Currency=@td(LOYALTY_SETTINGS.currency_code). Default store currency is {{CURRENCY_CODE}} (different from loyalty currency). Products in catalog have loyalty-currency prices.",front_url={{FRONT_URL}}; currency_code={{CURRENCY_CODE}}; loyalty_currency=@td(LOYALTY_SETTINGS.currency_code),"[NAV] {{FRONT_URL}}/loyalty-catalog
[WAIT] product grid loaded with at least 1 product card showing price","[DOM] price label on product cards shows loyalty currency symbol or code (matches @td(LOYALTY_SETTINGS.currency_code)); NOT default store currency ({{CURRENCY_CODE}})
[FORMAT] price format consistent — numeric value with currency indicator","[API] searchProducts GraphQL request in network tab carries currencyCode=@td(LOYALTY_SETTINGS.currency_code) (NOT {{CURRENCY_CODE}})
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx",Prices show default currency; currency symbol absent; network request missing currencyCode override,none,VCST-5100,Draft
