"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"PAY-AN-001","Authorize.Net - Complete Payment Flow [DEPRECATED — superseded by PAY-AN-010]","Authorize.Net","High","BL-PAY-003","ECL-14.6, ECL-9.1","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user
- Cart has at least one item
- Authorize.Net payment processor configured and active
- Authorize.Net test credentials set in environment
- DEPRECATED: This case encoded the old redirect-to-/checkout/payment flow. VCST-5162 (AllowCartPayment=true) changes Authorize.Net to render inline on /cart (same as CyberSource/Skyflow). Superseded by PAY-AN-010 (happy path cart-embedded). Do not execute.","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER={{TEST_CARD_NUMBER}}, TEST_CARD_EXP={{TEST_CARD_EXP}}, TEST_CARD_CVV={{TEST_CARD_CVV}}","[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] Select Authorize.Net as payment method if not pre-selected
[ACT] Click 'Place Order' — this redirects to the Authorize.Net payment form at {{FRONT_URL}}/checkout/payment
[WAIT] Wait for {{FRONT_URL}}/checkout/payment to load with Authorize.Net payment form
[ACT] Fill 'Card Number' with '{{TEST_CARD_NUMBER}}'
[ACT] Fill 'Expiry Date' with '{{TEST_CARD_EXP}}'
[ACT] Fill 'CVV' with '{{TEST_CARD_CVV}}'
[ACT] Fill 'Cardholder Name' with a test name
[ACT] Click 'Place Order' or 'Submit Payment'
[WAIT] Wait for payment authorization response","[NAV] After clicking 'Place Order' from cart user is redirected to {{FRONT_URL}}/checkout/payment
[DOM] Payment form renders correctly on /checkout/payment page
[NAV] After successful payment user navigated to order confirmation page
[STATE] Order confirmation displays order number","[API] createOrderFromCart GraphQL mutation errors[] is empty
[ADMIN] Order appears in admin with Authorize.Net payment method recorded
[NETWORK] Payment request sent to Authorize.Net endpoint; no raw card data in storefront API requests","No redirect to /checkout/payment after clicking Place Order from cart; payment form does not load; order confirmation not reached; mutation returns errors[]","Cancel order via admin","google-analytics; STALE: VCST-5162 AllowCartPayment=true — redirects to /checkout/payment no longer expected; superseded by PAY-AN-010","Deprecated"
"PAY-AN-002","Authorize.Net - Invalid Card Number Validation [DEPRECATED — superseded by PAY-AN-012]","Authorize.Net","High","BL-PAY-003","ECL-9.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user
- Cart has at least one item
- Authorize.Net payment form loaded at {{FRONT_URL}}/checkout/payment (reached by clicking Place Order from cart)
- DEPRECATED: Encoded old /checkout/payment redirect path. VCST-5162: form now inline on /cart. Superseded by PAY-AN-012 (invalid card, cart-embedded). Do not execute.","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/cart; click 'Place Order' to reach Authorize.Net payment form at {{FRONT_URL}}/checkout/payment
[WAIT] Wait for payment form to load
[ACT] Fill 'Card Number' with '@td(CYBERSOURCE_INVALID.number)' (fails Luhn check)
[ACT] Fill 'Expiry Date' with a valid future date; fill 'CVV' with a valid 3-digit value
[ACT] Attempt to submit payment
[ASSERT] Validation error appears on 'Card Number' field
[ASSERT] Form does not submit with invalid card number","[DOM] 'Card Number' field shows validation error indicating invalid card
[STATE] Payment submission blocked for Luhn-failing card number
[NAV] User remains on {{FRONT_URL}}/checkout/payment","[API] No createOrderFromCart GraphQL mutation fired or mutation returns errors[]
[CONSOLE] No unhandled JS exceptions","Invalid card number accepted without error; form submits and reaches payment processor with known-bad card; user navigated away from /checkout/payment unexpectedly","none — no order created","Coverage Gap Analysis; STALE: VCST-5162 — old /checkout/payment path; superseded by PAY-AN-012","Deprecated"
"PAY-AN-003","Authorize.Net - Empty Fields Validation [DEPRECATED — superseded by PAY-AN-013]","Authorize.Net","High","BL-PAY-003","ECL-9.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user
- Cart has at least one item
- Authorize.Net payment form loaded at {{FRONT_URL}}/checkout/payment
- DEPRECATED: Encoded old /checkout/payment redirect path. VCST-5162: form now inline on /cart. Superseded by PAY-AN-013. Do not execute.","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/cart; click 'Place Order' to reach {{FRONT_URL}}/checkout/payment
[WAIT] Wait for Authorize.Net payment form to fully load
[ACT] Leave all payment fields ('Card Number', 'Expiry Date', 'CVV', 'Cardholder Name') empty
[ACT] Click 'Place Order' or payment submit button
[ASSERT] Each empty field shows an individual validation error message
[ASSERT] Form is not submitted until all required fields are filled","[DOM] Per-field validation errors appear for each empty required field
[STATE] Form submission blocked until all fields are valid
[NAV] User remains on {{FRONT_URL}}/checkout/payment","[API] No createOrderFromCart GraphQL mutation fired
[CONSOLE] No JS errors","Single generic error shown instead of per-field errors; form submits with empty fields; only some fields validated on empty submit","none — no order created","Coverage Gap Analysis; STALE: VCST-5162 — old /checkout/payment path; superseded by PAY-AN-013","Deprecated"
"PAY-AN-004","Authorize.Net - Transaction ID on Order Confirmation [DEPRECATED — superseded by PAY-AN-010 + 018 layer]","Authorize.Net","Medium","BL-PAY-003","ECL-14.6","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user
- Cart has at least one item
- Authorize.Net payment processor configured with test credentials
- DEPRECATED: Encoded old /checkout/payment path. VCST-5162: form now inline on /cart. Transaction record shape also changed (VCST-5162 PR#12 backend change #4: Status=short enum, ResponseCode=TransactionResponseCode, Note=full description). Admin-layer assertions moved to 018 suite. Do not execute.","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER={{TEST_CARD_NUMBER}}, TEST_CARD_EXP={{TEST_CARD_EXP}}, TEST_CARD_CVV={{TEST_CARD_CVV}}","[NAV] Navigate to {{FRONT_URL}}/cart; click 'Place Order'; complete Authorize.Net payment form on {{FRONT_URL}}/checkout/payment
[ACT] Fill payment form with {{TEST_CARD_NUMBER}}, {{TEST_CARD_EXP}}, {{TEST_CARD_CVV}}; submit payment
[WAIT] Wait for order confirmation page to load
[ASSERT] Order confirmation page displays order number
[NAV] Navigate to account order history; find the placed order
[ASSERT] Transaction ID or payment reference is visible in order details","[NAV] User reaches order confirmation page after payment
[DOM] Order confirmation shows order number
[DOM] Order details page or confirmation shows transaction ID / payment reference","[API] createOrderFromCart GraphQL mutation errors[] is empty
[ADMIN] Order in admin shows Authorize.Net transaction ID in payment details","No transaction ID visible on confirmation or order details; order confirmation page not reached; order absent from account history","Cancel order via admin","Coverage Gap Analysis; STALE: VCST-5162 — old /checkout/payment path + admin transaction shape changed; superseded by PAY-AN-010/018-suite","Deprecated"
"PAY-AN-010","Authorize.Net - Cart Page Shows Inline Accept.js Form and allowCartPayment Cross-Layer Check","Authorize.Net > Cart Embedded Form","Critical","BL-PAY-004","ECL-14.6","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user; fresh cart with ≥1 item
- Authorize.Net payment processor configured with AllowCartPayment=true (VCST-5162; payment-processing-authorize-net.vue renders inline on /cart via Accept.js)
- No saved AN cards assumed (form renders directly on method select)
- Authorize.Net is USD-only: run this case under a USD-denominated store/cart/org context. If the AN method is absent/rejected under a non-USD currency, that is by design (see reference_authorizenet_usd_only) — mark expected, not a bug.","FRONT_URL={{FRONT_URL}}, BACK_URL={{BACK_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/cart
[WAIT] Wait for payment methods section to render
[ASSERT] Payment method option containing 'Authorize.Net' (displayed as 'Bank card (Authorize.Net)') is visible WITHOUT clicking 'Place order'
[ACT] Select the Authorize.Net payment method if not pre-selected
[WAIT] Wait for Accept.js payment form to render inline on the cart page
[ASSERT] Card number input field is visible inside the inline payment form
[ASSERT] Cardholder name field is visible
[ASSERT] Expiration date field is visible (MM/YY mask)
[ASSERT] CVV/Security code field is visible
[ASSERT] 'Place order' button is present on the cart page
[ASSERT] No redirect to /checkout/payment has occurred — URL remains {{FRONT_URL}}/cart
[ASSERT] 'Place order' button is disabled while all card fields are empty","[DOM] Authorize.Net card number, cardholder name, expiration date, CVV fields rendered inline on /cart without navigation to /checkout/payment
[STATE] URL remains {{FRONT_URL}}/cart after Authorize.Net method selected
[DOM] 'Place order' button present on /cart
[STATE] 'Place order' button disabled while form fields are empty","[API] cart(availablePaymentMethods { code allowCartPayment }) — AuthorizeNetPaymentMethod allowCartPayment=true (CART-PAY-GQL-004 covers this at API layer)
[NETWORK] Accept.js script loaded from js.authorize.net domain (not a raw card input handled on storefront origin)
[NETWORK] On form init with cart context: initializeCartPayment mutation called (cart+payment path) — NOT initializePayment (order path); confirm by checking network log for the mutation name in the GraphQL POST body
[CONSOLE] No JS errors during form render","AN form absent on /cart (AN method absent under NON-USD currency is by design, not a failure — AN is USD-only); 'Place order' causes redirect to /checkout/payment (old flow regression — VCST-5162 regressed); iframe/form not loaded; card fields missing; URL changes away from /cart; 'Place order' enabled with empty fields; initializePayment called instead of initializeCartPayment (wrong initialization path)","[PRE:RESET_CART]","VCST-5162; mirrors PAY-SKY-010 for Skyflow; CART-PAY-GQL-004 (API layer twin); Synced: VCST-5162 / PR #2309 (2026-06-15)","Reviewed"
"PAY-AN-011","Authorize.Net - Method Switch Guard: AN → Manual → Place Order Does Not Charge Card","Authorize.Net > Processor Switch","Critical","BL-PAY-004","ECL-7.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user; fresh cart with ≥1 item (use a separate fresh cart — reuse risks stale payment rows)
- Authorize.Net AND at least one Manual/non-AllowCartPayment payment method both enabled (e.g. Wire Transfer or Purchase Order)
- IMPORTANT: This case validates the useCheckout.ts guard: finalizePayment only runs when paymentMethod.value?.allowCartPayment === true. Switching from AN (allowCartPayment=true) to a manual method (allowCartPayment=false or absent) MUST NOT trigger AN's Accept.js charge.
- Authorize.Net is USD-only: run this case under a USD-denominated store/cart/org context. If the AN method is absent/rejected under a non-USD currency, that is by design (see reference_authorizenet_usd_only) — mark expected, not a bug.","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, an_card=@td(AUTHORIZENET_VISA.number), an_exp=@td(AUTHORIZENET_VISA.expiry), an_cvv=@td(AUTHORIZENET_VISA.cvv)","[NAV] Navigate to {{FRONT_URL}}/cart with fresh cart
[WAIT] Wait for payment methods section to render
[ACT] Select Authorize.Net payment method
[WAIT] Wait for inline Accept.js card form to render
[ACT] Fill the card number field with '@td(AUTHORIZENET_VISA.number)'
[ACT] Fill the expiration date field with '@td(AUTHORIZENET_VISA.expiry)'
[ACT] Fill the CVV/Security code field with '@td(AUTHORIZENET_VISA.cvv)'
[ASSERT] Card fields are filled; Accept.js form appears ready (card number visible/masked)
[ACT] Switch to the manual payment method (e.g. Wire Transfer or Purchase Order) by clicking its option
[WAIT] Wait for the AN card form to unmount/hide and the manual method UI to appear
[ASSERT] AN inline card form is no longer visible — the manual payment method section is now shown
[ASSERT] No payment authorization request is sent to Authorize.Net at this point (check Network tab — no POST to api2.authorize.net or /api/payment)
[ACT] Click 'Place order'
[WAIT] Wait for order creation response
[ASSERT] Order is created successfully with the manual payment method (NOT charged to the AN card)
[ASSERT] Order confirmation page is shown (or order appears in /account/orders with status pending/awaiting payment for manual method)
[ASSERT] No AN transaction appears in the network log during or after 'Place order' with manual method selected","[STATE] After switching from AN to manual method: AN form is unmounted and no longer in the active payment pipeline
[STATE] 'Place order' with manual method selected creates the order WITHOUT triggering Accept.js charge flow
[DOM] Order confirmation shown for manual method order
[STATE] /account/orders shows a new order with manual payment method — NOT paid/charged via AN","[NETWORK] No POST to js.authorize.net, api2.authorize.net, or platform /api/payment during manual-method 'Place order' action
[API] createOrderFromCart — order created with manual payment method; no authorizePayment call to AN processor
[CONSOLE] No JS errors; no 'isActive' guard warning (payment-processing-authorize-net.vue unmount guard — if visible, it confirms the guard fired correctly but note it should be silently suppressed)","AN card charged after switching to manual method (useCheckout.ts allowCartPayment guard failed); stale AN processor fires on non-AN order submission; isActive guard missing — late async init after unmount registers processor and charges card; order created as AN-paid instead of manual-method pending","Cancel test order via admin if created; [PRE:RESET_CART]","VCST-5162 (useCheckout.ts allowCartPayment guard + payment-processing-authorize-net.vue isActive unmount guard); mirrors PAY-SKY-011 method-switch pattern; BL-PAY-004","Reviewed"
"PAY-AN-012","Authorize.Net - Invalid Card Number Rejected by Accept.js Client-Side Validation","Authorize.Net > Validation","High","BL-PAY-001","ECL-1.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user; fresh cart with ≥1 item
- Authorize.Net inline form rendered on /cart (AllowCartPayment=true, VCST-5162)
- NOTE: Uses @td(CYBERSOURCE_INVALID.number) — a Luhn-fail test card number valid for client-side rejection testing regardless of processor
- Authorize.Net is USD-only: run this case under a USD-denominated store/cart/org context. If the AN method is absent/rejected under a non-USD currency, that is by design (see reference_authorizenet_usd_only) — mark expected, not a bug.","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, invalid_card=@td(CYBERSOURCE_INVALID.number)","[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] Select Authorize.Net payment method
[WAIT] Wait for inline Accept.js card form to render
[ACT] Fill the card number field with '@td(CYBERSOURCE_INVALID.number)' (Luhn-invalid number — rejected before any network call)
[ACT] Fill the expiration date with a valid future date (e.g. 12/29 — MM/YY mask)
[ACT] Fill the CVV with '123'
[ACT] Blur the card number field to trigger validation
[ASSERT] An error message is displayed on the card number field (e.g. 'Invalid card number', 'Please enter a valid credit card number')
[ASSERT] 'Place order' button remains disabled while the invalid card number is entered
[ASSERT] No payment request is sent to Authorize.Net (no api2.authorize.net POST in network)
[ACT] Clear the card number field and enter '@td(AUTHORIZENET_VISA.number)' (valid AN Visa)
[ACT] Fill expiry '@td(AUTHORIZENET_VISA.expiry)' and CVV '@td(AUTHORIZENET_VISA.cvv)'
[ASSERT] Error clears; card number field shows valid state
[ASSERT] 'Place order' button becomes enabled once all fields are valid","[DOM] Inline error message on card number field for Luhn-invalid input
[STATE] 'Place order' button disabled with invalid card
[STATE] Error clears and 'Place order' re-enables on valid card entry","[NETWORK] No payment API call during invalid-card state (Accept.js rejects client-side before any POST)
[CONSOLE] No unhandled JS exceptions","Invalid card number accepted without error; 'Place order' enabled with invalid Luhn number; form crashes on blur; error message does not clear when valid card entered; network request sent with invalid card","[PRE:RESET_CART]","VCST-5162; mirrors PAY-SKY-007/PAY-SKY-003 validation pattern; BL-PAY-001","Reviewed"
"PAY-AN-013","Authorize.Net - Empty Required Fields Block Submission","Authorize.Net > Validation","High","BL-PAY-001","ECL-1.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user; fresh cart with ≥1 item
- Authorize.Net inline form rendered on /cart (AllowCartPayment=true, VCST-5162)
- Authorize.Net is USD-only: run this case under a USD-denominated store/cart/org context. If the AN method is absent/rejected under a non-USD currency, that is by design (see reference_authorizenet_usd_only) — mark expected, not a bug.","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] Select Authorize.Net payment method
[WAIT] Wait for inline Accept.js card form to render
[ASSERT] 'Place order' button is disabled while all card fields are empty
[ACT] Attempt to click 'Place order' while all card fields remain empty (button should be disabled; if clickable, observe result)
[ASSERT] No payment request is sent to Authorize.Net (no API call in network log)
[ASSERT] No order is created (no navigation to confirmation)
[ACT] Fill only the card number field with '@td(AUTHORIZENET_VISA.number)' and leave expiry and CVV empty
[ASSERT] 'Place order' button remains disabled — partial field fill is not sufficient
[ACT] Fill all required card fields: number '@td(AUTHORIZENET_VISA.number)', expiry '@td(AUTHORIZENET_VISA.expiry)', CVV '@td(AUTHORIZENET_VISA.cvv)'
[ASSERT] 'Place order' button becomes enabled once all fields are complete
[ASSERT] No premature payment submission occurred during the partial-fill steps","[DOM] 'Place order' button disabled while any required card field is empty
[STATE] No payment API call during empty or partial field states
[STATE] 'Place order' enabled only after all required fields are validly filled","[NETWORK] No POST to Authorize.Net or platform payment endpoint during empty/partial field state
[CONSOLE] No JS errors during empty-field state","'Place order' enabled with empty fields; form submits with empty card data; payment request sent with empty data; button never enables after filling all fields","[PRE:RESET_CART]","VCST-5162; mirrors PAY-SKY-008/PAY-SKY-004 empty-fields pattern; BL-PAY-001","Reviewed"
"PAY-AN-014","Authorize.Net - Successful Cart-Embedded Payment Reaches Order Confirmation","Authorize.Net > Success Flow","Critical","BL-CHK-004","ECL-14.6","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user; fresh cart with ≥1 item
- Authorize.Net inline form rendered on /cart (AllowCartPayment=true, VCST-5162)
- Valid test card available: @td(AUTHORIZENET_VISA.number) — VERIFIED 2026-06-05 (order CO260605-00044); Authorize.Net sandbox; expiry MM/YY mask (e.g., 12/29 — same as Skyflow; a 4-digit year truncates to an expired date)
- IMPORTANT: Authorize.Net sandbox enforces ~3 min duplicate-transaction window for same-amount retries; if a prior test used this card in the same amount, wait before running
- Authorize.Net is USD-only: run this case under a USD-denominated store/cart/org context. If the AN method is absent/rejected under a non-USD currency, that is by design (see reference_authorizenet_usd_only) — mark expected, not a bug.","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, an_card=@td(AUTHORIZENET_VISA.number), an_exp=@td(AUTHORIZENET_VISA.expiry), an_cvv=@td(AUTHORIZENET_VISA.cvv)","[NAV] Navigate to {{FRONT_URL}}/cart
[WAIT] Wait for payment methods section to render
[ACT] Select Authorize.Net payment method
[WAIT] Wait for inline Accept.js card form to render (no redirect to /checkout/payment)
[ASSERT] URL remains {{FRONT_URL}}/cart
[ACT] Fill 'Card number' field with '@td(AUTHORIZENET_VISA.number)' (13-digit Visa test card)
[ACT] Fill 'Expiration date' field with '@td(AUTHORIZENET_VISA.expiry)' (MM/YY mask — e.g., 12/29)
[ACT] Fill 'CVV'/'Security code' field with '@td(AUTHORIZENET_VISA.cvv)'
[ACT] Fill cardholder name if required
[WAIT] Wait for 'Place order' button to become enabled (all fields validly filled)
[ASSERT] 'Place order' button is enabled
[ACT] Click 'Place order'
[WAIT] Wait for payment processing (Accept.js tokenizes card data, platform calls Authorize.Net API)
[ASSERT] User navigates to order confirmation page (not stuck on /cart, not redirected to /checkout/payment)
[ASSERT] Order number is displayed on the confirmation page
[ASSERT] Cart is cleared (no items remaining) — cart badge shows 0 or empty
[NAV] Navigate to {{FRONT_URL}}/account/orders
[ASSERT] New order appears in order history with Authorize.Net payment method and paid/processing status","[NAV] From /cart with inline AN form → order confirmation reached without /checkout/payment redirect
[DOM] Order number visible on confirmation page
[STATE] Cart cleared after successful order creation
[STATE] Order visible in /account/orders with AN payment method","[API] createOrderFromCart mutation succeeds; errors[] empty
[CONSOLE] No JS errors during cart-embedded payment flow; raw PAN '@td(AUTHORIZENET_VISA.number)' absent from all network request payloads (Accept.js tokenization)
[NETWORK] No 5xx responses; no raw card data in POST bodies","Stuck on /cart after 'Place order'; redirected to /checkout/payment (old flow regression); order not created; payment processed but no confirmation; cart not cleared; raw PAN visible in network payloads","Cancel test order via admin; [PRE:RESET_CART]","VCST-5162; mirrors PAY-SKY-009 (Skyflow success flow); @td(AUTHORIZENET_VISA.number) VERIFIED CO260605-00044; BL-CHK-004; expiry mask MM/YY (same as Skyflow)","Reviewed"
"PAY-AN-016","Authorize.Net - GA4 Purchase Event Fires Exactly Once for Cart-Embedded Payment","Authorize.Net > GA4","High","BL-PAY-004","ECL-14.6","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user; fresh cart with ≥1 item
- GA4 dataLayer tracking enabled; Google Analytics connected
- IMPORTANT: GA4 purchase event for AN cart-payment is fired by useCheckout.ts (NOT by payment-processing-authorize-net.vue — the component explicitly skips the event, unlike CyberSource). This case validates the useCheckout.ts purchase event fires exactly once and payment-processing-authorize-net.vue does NOT double-fire.
- NOTE: Authorize.Net sandbox duplicate-transaction window (~3 min) applies — ensure no prior same-amount transaction in the window
- Authorize.Net is USD-only: run this case under a USD-denominated store/cart/org context. If the AN method is absent/rejected under a non-USD currency, that is by design (see reference_authorizenet_usd_only) — mark expected, not a bug.","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, an_card=@td(AUTHORIZENET_VISA.number), an_exp=@td(AUTHORIZENET_VISA.expiry), an_cvv=@td(AUTHORIZENET_VISA.cvv)","[NAV] Navigate to {{FRONT_URL}}/cart with fresh cart and items
[ACT] Open Chrome DevTools Console; run: window._ga4_purchases = []; window.dataLayer.push = new Proxy(window.dataLayer.push, { apply(target, thisArg, args) { if (args[0]?.event === 'purchase') window._ga4_purchases.push(args[0]); return Reflect.apply(target, thisArg, args); } }); to intercept GA4 purchase events
[ACT] Select Authorize.Net payment method
[WAIT] Wait for inline Accept.js card form to render
[ACT] Fill card number '@td(AUTHORIZENET_VISA.number)', expiry '@td(AUTHORIZENET_VISA.expiry)', CVV '@td(AUTHORIZENET_VISA.cvv)'
[WAIT] Wait for 'Place order' to become enabled
[ACT] Click 'Place order'
[WAIT] Wait for order confirmation page
[ASSERT] Order confirmation is displayed
[ACT] In Chrome DevTools Console, run: window._ga4_purchases.length to count intercepted purchase events
[ASSERT] Exactly ONE purchase event was fired (window._ga4_purchases.length === 1)
[ASSERT] The purchase event transaction_id matches the order number shown on the confirmation page
[ASSERT] The purchase event value matches the cart total (from earlier page state)
[ASSERT] No second purchase event is present (payment-processing-authorize-net.vue correctly skips the event — useCheckout.ts is the sole firer)","[DOM] Order confirmation displayed after AN cart-embedded payment
[STATE] Exactly 1 purchase event in GA4 dataLayer (no duplicate from payment-processing-authorize-net.vue component)
[STATE] GA4 purchase event transaction_id matches confirmed order number","[NETWORK] GA4/gtag.js event POST includes exactly one 'purchase' event type for this transaction
[CONSOLE] No unhandled JS errors during payment or dataLayer intercept
[CONSOLE] No second purchase push event from payment-processing-authorize-net.vue (component explicitly skips GA4 — verified in VCST-5162 implementation)","Two or more GA4 purchase events fired (double-fire regression — payment component AND checkout both fire); zero GA4 purchase events fired (useCheckout.ts GA4 guard broken); purchase event transaction_id does not match order number; purchase event value wrong","Cancel test order via admin; [PRE:RESET_CART]","VCST-5162 (payment-processing-authorize-net.vue skips GA4; useCheckout.ts fires purchase event); mirrors GA-032 for Skyflow; GA4 no-double-fire pattern from VCST-5009; BL-PAY-004","Reviewed"
