"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"PAY-UX-001","Payment Form - Field Labels and Placeholders","UX","Medium","BL-PAY-004","ECL-14.6","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user
- Cart has at least one item
- CyberSource payment form visible on {{FRONT_URL}}/cart","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/cart; locate CyberSource payment section
[ACT] Observe all payment field labels without interacting
[ASSERT] Each field has a visible label: 'Card Number', 'Cardholder Name', 'Expiry Date', 'CVV'
[ASSERT] Placeholder text is present and descriptive in each field
[ASSERT] Required fields are marked with asterisk (*) or equivalent required indicator","[DOM] All four payment fields have visible labels
[DOM] Placeholder text present and readable in all fields
[DOM] Required field indicator (* or 'required') present on mandatory fields","[CONSOLE] No rendering errors for payment section labels","Any field missing a label; placeholder text absent or generic (e.g., '...' only); required indicator absent on mandatory fields","none — no order placed","VCST-3387 TC-UX-001","Manual"
"PAY-UX-002","Payment Form - Keyboard Tab Order","UX","Medium","BL-PAY-004","ECL-14.6","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user
- Cart has at least one item
- CyberSource payment form visible on {{FRONT_URL}}/cart
- Keyboard-only navigation mode (no mouse)","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/cart; locate CyberSource payment section
[ACT] Place focus on 'Card Number' field using keyboard (Tab from previous element)
[KEY] Press Tab to advance through payment fields
[ASSERT] Focus moves: Card Number → Cardholder Name → Expiry Date → CVV in logical order
[KEY] Verify Tab moves into iframe fields correctly (focus enters iframe)
[KEY] Verify Tab exits iframe fields correctly (focus leaves iframe to next storefront element)
[ASSERT] No tab trap encountered — Tab always advances focus","[STATE] Tab order follows logical sequence: Card Number → Cardholder Name → Expiry Date → CVV
[STATE] Focus enters and exits iframe fields without becoming trapped
[DOM] Focus indicator visible on each field when focused via keyboard","[CONSOLE] No JS errors from iframe focus handling","Tab order illogical (e.g., skips fields or jumps out of order); tab trap occurs inside iframe (cannot escape with Tab); focus indicator not visible on focused field","none — no order placed","VCST-3387 TC-UX-004","Manual"
"PAY-PERF-001","Payment Form - Load Time Under 2 Seconds","Performance","Medium","BL-PAY-004","ECL-14.6","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user
- Cart has at least one item
- Browser DevTools Performance or Network tab available
- Clear browser cache before test","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}","[NAV] Clear cache; navigate to {{FRONT_URL}}/cart
[ACT] Start timing from page navigation until CyberSource payment form is fully interactive
[WAIT] Observe payment section loading — iframe(s) must fully initialize
[ASSERT] CyberSource payment form is interactive within 2 seconds of page load completing
[ASSERT] All iframe fields accept input without additional waiting
[ACT] Open DevTools Network tab; review iframe resource load times","[STATE] CyberSource payment form fields interactive within 2 seconds of cart page load
[DOM] All payment iframe(s) initialized — fields accept clicks and input
[NETWORK] Iframe resources load without excessive blocking time","[NETWORK] No failed resource loads for cybersource.com iframe scripts
[CONSOLE] No timeout errors for iframe initialization","Payment form remains in loading state beyond 2 seconds; iframe fails to initialize requiring page refresh; form fields unresponsive after iframes load","none — no order placed","VCST-3387 TC-PERF-001","Manual"
"PAY-EDGE-001","Double-Click Place Order Prevention","Edge Cases","High","BL-PAY-003, BL-PAY-005","ECL-1.2, ECL-14.6","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user
- Cart has at least one item
- CyberSource payment form on {{FRONT_URL}}/cart fully filled with valid test card
- DevTools Network tab open and recording","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER=@td(CYBERSOURCE_VISA.number), TEST_CARD_EXP=@td(CYBERSOURCE_VISA.expiry), TEST_CARD_CVV=@td(CYBERSOURCE_VISA.cvv)","[NAV] Navigate to {{FRONT_URL}}/cart; fill CyberSource payment form completely with '@td(CYBERSOURCE_VISA.number)', '@td(CYBERSOURCE_VISA.expiry)', '@td(CYBERSOURCE_VISA.cvv)', '@td(CYBERSOURCE_VISA.cardholder)'
[ACT] Double-click 'Place Order' button as rapidly as possible
[WAIT] Wait for all network requests to settle
[ASSERT] Only ONE createOrderFromCart GraphQL mutation request is sent — not two
[ASSERT] 'Place Order' button becomes disabled/inactive after the first click
[ASSERT] Only one order is created — check order confirmation shows single order number
[NAV] Navigate to account order history and verify only one new order appears","[STATE] 'Place Order' button disabled after first click — subsequent clicks have no effect
[STATE] Only one order created — no duplicate in account order history
[NETWORK] Only one createOrderFromCart mutation request in DevTools Network","[API] createOrderFromCart GraphQL mutation called exactly once
[ADMIN] Single new order in admin — no duplicate orders with same cart contents and timestamp","Button remains active after first click (not disabled); two or more createOrderFromCart mutations sent; duplicate order appears in account history or admin","Cancel order(s) via admin — ensure duplicate orders also cancelled if created","VCST-3387 TC-EDGE-020","Manual"
"PAY-DECLINE-001","Declined Card - Error Message Displayed","Declined Cards","Critical","BL-PAY-005, BL-PAY-003","ECL-9.1, ECL-14.6","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user
- Cart has at least one item
- Payment processor configured with a test card number known to produce a decline response","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/cart
[KEY] For CyberSource: payment form is on cart page. For other processors: click 'Place Order' first to reach {{FRONT_URL}}/checkout/payment
[ACT] Fill payment form using a known-decline test card (obtain from processor test docs or .env)
[ACT] Fill valid expiry date, CVV, and cardholder name
[ACT] Click 'Place Order'
[WAIT] Wait for processor decline response
[ASSERT] Clear error message displayed — e.g., 'Your card was declined' or equivalent
[ASSERT] Payment form fields are NOT cleared (user can correct and retry)
[ASSERT] User remains on payment step — not navigated away
[NAV] Navigate to account order history
[ASSERT] No new order appears in order history","[DOM] Error message displayed with text indicating card decline (not a generic system error)
[STATE] Payment form fields retain entered values after decline — not cleared
[NAV] User remains on payment step after decline
[STATE] No order created — order history unchanged","[API] createOrderFromCart GraphQL mutation errors[] contains decline-related error OR mutation is not called if processor blocks before order creation
[ADMIN] No new order in admin for this session","No error message shown after decline; generic 'something went wrong' message without explanation; form cleared requiring full re-entry; order created despite decline (BL-PAY-005 violation)","none — no order created","Coverage Gap Analysis","Manual"
"PAY-DECLINE-002","Declined Card - Retry with Different Card Succeeds","Declined Cards","Critical","BL-PAY-005, BL-PAY-003","ECL-9.1, ECL-1.2","[PRE:SIGNIN_AS:USER_DEFAULT]
- Logged in as registered user
- Cart has at least one item
- Payment in declined state from PAY-DECLINE-001 (decline error visible, no page reload performed)","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER={{TEST_CARD_NUMBER}}, TEST_CARD_EXP={{TEST_CARD_EXP}}, TEST_CARD_CVV={{TEST_CARD_CVV}}","[KEY] Begin from declined state — error message visible, user on payment step, no page reload
[ACT] Clear 'Card Number' field and enter {{TEST_CARD_NUMBER}} (valid test card)
[ACT] Update 'CVV' field with {{TEST_CARD_CVV}}; update 'Expiry Date' if needed
[ACT] Click 'Place Order' again
[WAIT] Wait for payment processing response
[ASSERT] Payment succeeds with the new card — no error message
[NAV] User navigated to order confirmation page
[ASSERT] Order confirmation shows order number
[NAV] Check account order history
[ASSERT] Exactly one new order — no duplicate from the first declined attempt","[NAV] Order confirmation reached after retry with valid card
[DOM] Order confirmation displays order number
[STATE] Only one order created — no duplicate from failed first attempt
[MATH] Order total matches original cart total","[API] createOrderFromCart GraphQL mutation errors[] is empty on successful retry
[ADMIN] Single new order in admin — no duplicate entry for this session","Retry attempt triggers page reload losing cart state; second valid card also declined; two orders created (one from declined attempt — BL-PAY-005 violation); form not accepting input after decline","Cancel order via admin","Coverage Gap Analysis","Manual"
"PAY-DECLINE-003","Declined Card - Network Timeout Recovery","Declined Cards","High","BL-PAY-003, BL-PAY-005","ECL-9.1, ECL-1.2","[PRE:SIGNIN_AS:USER_DEFAULT]
- Logged in as registered user
- Cart has at least one item
- Payment form fully filled with valid test card
- Browser DevTools Network tab available for throttling/blocking","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER={{TEST_CARD_NUMBER}}, TEST_CARD_EXP={{TEST_CARD_EXP}}, TEST_CARD_CVV={{TEST_CARD_CVV}}","[NAV] Navigate to payment step with valid card details filled in
[ACT] In DevTools Network tab: block or simulate timeout on the payment API endpoint
[ACT] Click 'Place Order'
[WAIT] Wait for timeout error response
[ASSERT] Error message displayed: 'Payment timed out. Please try again.' or equivalent — no internal server error details exposed
[ASSERT] Form remains usable — fields accessible for retry
[ACT] In DevTools: restore network (unblock payment API)
[ACT] Click 'Place Order' again
[WAIT] Wait for payment response
[ASSERT] Retry succeeds — order confirmation reached
[NAV] Check account order history and admin for duplicate orders","[DOM] Timeout error message visible — user-friendly text without server internals exposed
[STATE] Payment form fields remain accessible after timeout error
[NAV] Successful retry after network restored reaches order confirmation
[STATE] Only one order in history and admin — no duplicate from timeout","[API] Only one createOrderFromCart GraphQL mutation per user action — no automatic retries that could cause duplicates
[CONSOLE] No internal server error details leaked to console or UI
[ADMIN] Single order in admin after successful retry","Internal server error message exposed to user; form inaccessible after timeout requiring page refresh; duplicate order created from timeout + retry scenario; timeout produces no user feedback","Cancel order via admin; ensure no duplicate orders","Coverage Gap Analysis","Manual"
"PAY-DECLINE-004","Declined Card - Double-Click Prevention After Error","Declined Cards","High","BL-PAY-003, BL-PAY-005","ECL-1.2, ECL-9.1","[PRE:SIGNIN_AS:USER_DEFAULT]
- Logged in as registered user
- Cart has at least one item
- Payment just returned a decline error — user is on payment step with error message visible
- DevTools Network tab open and recording","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}","[KEY] Begin from declined payment state — error visible, no page reload, form fields intact
[ACT] Without clearing the form: rapidly double-click or triple-click 'Place Order'
[WAIT] Wait for all network activity to settle
[ASSERT] Only ONE payment request is sent per action — not multiple rapid-fire requests
[ASSERT] 'Place Order' button is disabled immediately after first click
[ASSERT] Button re-enables after payment response received (allowing deliberate retry)
[ASSERT] No additional orders created beyond what the single payment request would produce","[STATE] 'Place Order' button disabled immediately after first click even following a decline
[NETWORK] Only one payment/order request per click sequence — no duplicate requests
[STATE] Button re-enables after response (enabling intentional retry)","[API] Only one createOrderFromCart GraphQL mutation per click sequence visible in DevTools
[ADMIN] No duplicate orders created from rapid clicking after decline","Button not disabled after click following decline — multiple payment requests sent; multiple duplicate auth requests in Network tab; button requires page reload to re-enable after decline","none — verify no spurious orders; cancel any created via admin","Coverage Gap Analysis","Manual"
"PAY-DECLINE-005","Declined Card - Cart and Checkout State Preserved","Declined Cards","Critical","BL-PAY-005, BL-PAY-003","ECL-9.1, ECL-14.6","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- Logged in as registered user
- Cart has at least one item with specific quantity
- All checkout steps completed through to payment (address, shipping method selected)
- Payment submitted using a known-decline test card","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/cart; proceed through checkout — enter shipping address, select shipping method, reach payment step
[KEY] Note the cart contents, item quantities, shipping address, and shipping method before payment
[ACT] Submit payment using known-decline test card; wait for decline response
[ASSERT] Error message displayed for decline
[ACT] Observe cart — navigate to cart page or review checkout summary
[ASSERT] Cart still contains all original items with correct quantities
[NAV] Review shipping address in checkout
[ASSERT] Shipping address is preserved — not reset to default or cleared
[NAV] Review shipping method selection
[ASSERT] Shipping method selection preserved — not reset","[STATE] Cart items and quantities unchanged after payment decline
[STATE] Shipping address preserved after payment decline — user need not re-enter
[STATE] Shipping method selection preserved after payment decline
[DOM] Checkout progress indicator shows user still in payment step (not reset to start)","[API] createOrderFromCart GraphQL mutation errors[] confirms no order created
[ADMIN] No new order in admin for this cart session","Cart cleared after decline — items lost requiring re-add; shipping address reset requiring re-entry; shipping method cleared requiring re-selection; user navigated back to checkout start","none — no order created; verify cart state is clean for next test","Coverage Gap Analysis","Manual"
"PAY-GUEST-001","Guest Checkout - CyberSource Payment Completes Without Account","Guest Checkout","High","BL-PAY-003, BL-CHK-005","ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
- User is NOT logged in (anonymous / guest session)
- Guest checkout enabled in store settings
- Cart has at least one item added as guest
- CyberSource payment processor configured and active","FRONT_URL={{FRONT_URL}}, GUEST_EMAIL=guest-{{TIMESTAMP}}@test.example.com, TEST_CARD_NUMBER=@td(CYBERSOURCE_VISA.number), TEST_CARD_EXP=@td(CYBERSOURCE_VISA.expiry), TEST_CARD_CVV=@td(CYBERSOURCE_VISA.cvv)","[NAV] Open a fresh incognito/private browser window; navigate to {{FRONT_URL}}
[ASSERT] User is not logged in — no user name or account icon in header
[ACT] Add at least one product to cart
[NAV] Navigate to {{FRONT_URL}}/cart
[WAIT] Wait for CyberSource payment form to render in the guest cart view
[ACT] Enter guest email GUEST_EMAIL in the guest checkout email field (if prompted)
[ACT] Fill shipping address fields with valid test address data
[ACT] Fill 'Card Number' iframe field with '@td(CYBERSOURCE_VISA.number)'
[ACT] Fill 'Cardholder Name' with 'Guest User'; fill 'Expiry Date' with '@td(CYBERSOURCE_VISA.expiry)'; fill 'CVV' with '@td(CYBERSOURCE_VISA.cvv)'
[ACT] Click 'Place Order'
[WAIT] Wait for order processing response","[DOM] CyberSource payment form renders correctly for unauthenticated / guest session — no authentication wall
[NAV] After successful payment guest user is navigated to order confirmation page
[DOM] Order confirmation page shows order number and ordered items
[STATE] No account registration required to complete payment","[API] createOrderFromCart GraphQL mutation response has no errors[] entries
[NETWORK] Payment token (not raw card number) sent in request payload for guest session
[ADMIN] Order appears in admin Orders list with guest email and correct payment method","CyberSource payment form fails to render for guest users; guest is forced to create an account before payment form appears; order confirmation not reached without registration; raw card data in network payload for guest session","none — guest order; no cleanup required unless test order removal is standard practice","ECL-14.1; BL-PAY-003; BL-CHK-005; STALE-BY-DESIGN: CyberSource Microform is NOT offered to guest sessions (user-confirmed by design 2026-06-05, REG-2026-06-05-1752 dismissed BUG_041_001) — expectation wrong; rewrite to assert guest-available payment methods; do NOT file 'form missing for guest' as a bug","Manual"
