"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"B2C-LIST-001","Create Wishlist/List","B2C Features > Lists","Critical","BL-B2B-002",,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
User logged in, no lists created","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] {{FRONT_URL}}/account/lists
2. [ACT] click 'CREATE LIST' (`[data-test-id=""create-wishlist-button""]`)
3. [ACT] fill the list-name field (`[data-test-id=""wishlist-name-input""]`, placeholder 'Enter name') with 'Summer Essentials'
4. [ACT] click 'Save' (`[data-test-id=""wishlist-settings-save-button""]`)
5. [ASSERT] verify list created
6. [ASSERT] verify list appears in My Lists","[DOM] 'CREATE LIST' button (`[data-test-id=""create-wishlist-button""]`) visible on /account/lists
[DOM] create dialog shows the name field (`[data-test-id=""wishlist-name-input""]`, placeholder 'Enter name') and a description field with a 0/250 character counter
[DOM] 'Save' button (`[data-test-id=""wishlist-settings-save-button""]`) creates the list and returns to /account/lists
[DOM] created list appears as a list card (name link + item-count badge + 'Last modified' date) on /account/lists
[STATE] repeating the flow creates a second, independent list card","[API] mutation errors[] is empty
[CONSOLE] no uncaught JS errors","Create button missing; form missing required fields; list not appearing in My Lists after creation; success message not shown","delete created list","VCST-3928; Blocked: live selector pass on a customer account (USER_DEFAULT) found no Privacy/Shared control in the create dialog (Name + Description + 0/250 counter only) — not observed on a customer account, needs confirmation (possibly org-gated), not treated as refuted (2026-08-05)","Manual"
"B2C-LIST-002","Add Product to List from Product Page","B2C Features > Lists","Critical","BL-B2B-002","ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
User logged in, list exists","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}},sku={{TEST_SKU}}","1. [NAV] Navigate to product detail page
2. [ACT] click 'Add to list' (`[data-test-id=""add-to-list-button""]`)
3. [ASSERT] verify the 'Please select list' modal opens
4. [ACT] check the checkbox for 'Summer Essentials' (`[data-test-id=""wishlist-modal-list-checkbox-{guid}""]`)
5. [ACT] click 'Save' (`[data-test-id=""wishlist-modal-save-button""]`)
6. [ASSERT] verify the PDP control reflects the add","[DOM] 'Add to list' button (`[data-test-id=""add-to-list-button""]`) visible on PDP
[DOM] modal heading reads 'Please select list' with sections 'Already in the lists' / 'Add to other lists', one checkbox per list (`[data-test-id=""wishlist-modal-list-checkbox-{guid}""]`)
[DOM] 'Add new list' quick-create option visible inside the modal
[DOM] 'Save' button (`[data-test-id=""wishlist-modal-save-button""]`) commits the selection and closes the modal
[STATE] PDP control (`[data-test-id=""add-to-list-button""]`) switches to pressed state labeled 'In the list' after add","[API] mutation errors[] is empty
[CONSOLE] no uncaught JS errors","Add to List button missing; list selector does not open; success notification not shown; heart icon not updating state","none","VCST-3928; Verified: live selector pass (2026-08-05)","Automated"
"B2C-LIST-003","Add Product to List from Category Page","B2C Features > Lists","High","BL-B2B-002","ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
User on category page, list exists","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] Navigate to category page
2. [ACT] locate 'Add to list' control (`[data-test-id=""add-to-list-button""]`) on a product card
3. [ACT] click 'Add to list' on the card
4. [ASSERT] verify the 'Please select list' modal opens
5. [ACT] check the checkbox for a list (`[data-test-id=""wishlist-modal-list-checkbox-{guid}""]`) and click 'Save' (`[data-test-id=""wishlist-modal-save-button""]`)
6. [ASSERT] verify product added without leaving the category page","[DOM] 'Add to list' control (`[data-test-id=""add-to-list-button""]`) visible on the product card
[DOM] clicking it opens the same 'Please select list' modal used from PDP (no separate inline selector)
[DOM] modal closes and the category page remains in place after Save (no navigation)
[STATE] card's 'Add to list' control switches to pressed 'In the list' state after add","[API] mutation errors[] is empty
[CONSOLE] no uncaught JS errors","Icon not visible on hover; list selector does not appear; page navigates away unexpectedly; icon state not updated","none","VCST-3928; Verified: live selector pass (2026-08-05) — corrected mechanism: modal, not an inline selector","Automated"
"B2C-LIST-004","View List Contents","B2C Features > Lists","Critical","BL-B2B-002",,"[PRE:SIGNIN_AS:USER_DEFAULT]
User logged in, list has products","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] {{FRONT_URL}}/account/lists
2. [ACT] click on a list card
3. [ASSERT] verify the list-detail page opens with the list name as heading
4. [ASSERT] verify products display in the Product/Properties/Price-per-item table","[DOM] list-detail table shows columns 'Product' / 'Properties' / 'Price per item' for each row
[DOM] each row has a remove control (`[data-test-id=""remove-item-button""]`, glyph '×') and an add-to-cart control beside a quantity spinner
[DOM] header area shows 'Add all to cart', 'Buy now', 'List settings' actions and a 'Save changes' button (disabled until the list is edited)
[DOM] page heading is the list's name","[CONSOLE] no uncaught JS errors","List page not loading; products missing image or price; action buttons (Add to Cart, Remove) missing","none","VCST-3928; Verified: live selector pass (2026-08-05); list-detail item-count/created-date display not directly confirmed (list card confirms 'Last modified' at /account/lists) — still open","Automated"
"B2C-LIST-005","Add to Cart from List","B2C Features > Lists","High","BL-B2B-002","ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
User viewing list with products","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] {{FRONT_URL}}/account/lists and open a list
2. [ACT] click the per-line add-to-cart control beside the quantity spinner for a product
3. [ASSERT] verify the control label flips from 'Add to cart' to 'Update cart'
4. [ACT] click 'Add all to cart' in the list-detail header
5. [ASSERT] verify all list items added to cart","[DOM] each list row has an add-to-cart control beside its quantity spinner, labeled 'Add to cart'
[DOM] 'Add all to cart' button present in the list-detail header
[STATE] per-line control flips to 'Update cart' once that SKU is already in the cart
[STATE] cart badge count updates after add
[DOM] products remain in the list-detail table after adding to cart (no row removed)
[DOM] Out of stock items show warning or are skipped","[API] mutation errors[] is empty
[CONSOLE] no uncaught JS errors","Add to Cart button missing on list items; products removed from list after add; Add All to Cart fails silently","remove item from cart","VCST-3928; Verified: live selector pass (2026-08-05); OOS-skip notification copy for bulk add not yet confirmed (see B2C-LIST-033) — still open","Automated"
"B2C-LIST-006","Remove Product from List","B2C Features > Lists","High","BL-B2B-002",,"[PRE:SIGNIN_AS:USER_DEFAULT]
Product in list","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] open a list-detail page with a product in it
2. [ACT] click the remove control (`[data-test-id=""remove-item-button""]`, glyph '×') on a row
3. [ASSERT] verify the row is removed from the table
4. [ASSERT] verify the list's displayed item count decrements by 1","[DOM] each row has a remove control (`[data-test-id=""remove-item-button""]`, glyph '×')
[DOM] product row no longer present in the list-detail table after removal
[STATE] list item count decrements by 1 after removal","[API] mutation errors[] is empty
[CONSOLE] no uncaught JS errors","Remove button missing; product still visible after removal; no confirmation prompt; list count not updated","none","VCST-3928; Verified: live selector pass (2026-08-05); removal confirmation-dialog copy and success-toast text not yet confirmed — still open","Automated"
"B2C-LIST-007","Rename/Edit List","B2C Features > Lists","Medium","BL-B2B-002",,"[PRE:SIGNIN_AS:USER_DEFAULT]
List exists","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] {{FRONT_URL}}/account/lists
2. [ACT] click the list's kebab menu (`[data-test-id=""wishlist-card-menu-button""]`)
3. [ACT] click 'Edit'
4. [ACT] change the name field (`[data-test-id=""wishlist-name-input""]`) to 'Summer 2026'
5. [ACT] click 'Save' (`[data-test-id=""wishlist-settings-save-button""]`)
6. [ASSERT] verify the list name updated on /account/lists and on the list-detail heading","[DOM] kebab menu (`[data-test-id=""wishlist-card-menu-button""]`) opens exactly 'Edit' / 'Delete' — no Share entry
[DOM] Edit dialog reuses the create dialog's Name (`[data-test-id=""wishlist-name-input""]`) and Description fields
[DOM] list name 'Summer 2026' updates on both the /account/lists card and the list-detail heading
[STATE] products in the list are unaffected by the rename (same row count, same items)","[CONSOLE] no uncaught JS errors","Edit option missing; name change not persisting; list name not updated in all locations","none","VCST-3928; Verified: live selector pass (2026-08-05)","Manual"
"B2C-LIST-008","Delete List","B2C Features > Lists","Medium","BL-B2B-002",,"[PRE:SIGNIN_AS:USER_DEFAULT]
List exists with products","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] open /account/lists
2. [ACT] click the list's kebab menu (`[data-test-id=""wishlist-card-menu-button""]`)
3. [ACT] click 'Delete'
4. [ASSERT] verify a confirmation prompt appears
5. [ACT] confirm deletion
6. [ASSERT] verify the list card no longer appears on /account/lists
7. [ASSERT] verify a list product's PDP still resolves (catalog untouched)","[DOM] kebab menu (`[data-test-id=""wishlist-card-menu-button""]`) exposes 'Delete'
[DOM] confirmation prompt appears before deletion completes
[DOM] list card no longer present on /account/lists after confirming
[STATE] a product that was in the deleted list still resolves on its own PDP (catalog untouched)","[CONSOLE] no uncaught JS errors","Delete option missing; no confirmation prompt; list remains in My Lists after deletion; catalog products incorrectly removed","none","VCST-3928; Verified: live selector pass (2026-08-05); confirmation-dialog exact copy + success-toast text not yet confirmed — still open","Manual"
"B2C-LIST-009","Share List (Public Link)","B2C Features > Lists","High","BL-B2B-002",,"[PRE:SIGNIN_AS:USER_DEFAULT]
List exists, sharing enabled","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] Open list page
2. [ACT] Click Share button
3. [ASSERT] Verify share options display: Public Link, Email
4. [ACT] Click 'Get Public Link'
5. [ACT] Copy generated link
6. [NAV] Open link in incognito or different browser
7. [ASSERT] Verify list accessible without login","[DOM] Share button visible
[DOM] Share modal shows Public Link and Email options
[DOM] Public link generated as shareable URL
[DOM] Opening link shows list in read-only mode
[STATE] Share modal shows list as 'Shared'","[CONSOLE] no uncaught JS errors","Share button missing; public link not generated; shared list not accessible without login; shared link editable by external users","none","VCST-3928; Blocked: live selector pass on a customer account (USER_DEFAULT) found no Share control anywhere in the list UI (kebab menu = Edit/Delete only) — not observed on a customer account, needs confirmation (possibly org-gated or a store-setting toggle), not treated as refuted (2026-08-05)","Manual"
"B2C-LIST-010","Share List via Email","B2C Features > Lists","Medium","BL-B2B-002",,"[PRE:SIGNIN_AS:USER_DEFAULT]
List exists","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] Open list page
2. [ACT] Click Share
3. [ACT] Select Email option
4. [ACT] Enter recipient email: friend@example.com
5. [ACT] Add optional message
6. [ACT] Click Send
7. [ASSERT] Verify email received with correct details","[DOM] Email share option available in share modal
[DOM] Form shows: Recipient email field, optional message field
[EMAIL] Recipient receives invitation email
[EMAIL] Email contains: List name, sender name, item count, view link
[DOM] Clicking link in email opens the list","[CONSOLE] no uncaught JS errors","Email share option missing; email not delivered; email missing list details or view link","none","VCST-3928; Blocked: live selector pass on a customer account (USER_DEFAULT) found no Email-share option anywhere in the list UI (kebab menu = Edit/Delete only, no Share entry) — not observed on a customer account, needs confirmation, not treated as refuted (2026-08-05)","Manual"
"B2C-LIST-011","Mark List as Private/Shared","B2C Features > Lists","Medium","BL-B2B-002",,"[PRE:SIGNIN_AS:USER_DEFAULT]
List exists","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] Open list settings via Edit
2. [ACT] Toggle privacy: Private → Shared
3. [ACT] Save
4. [ASSERT] Verify list marked as Shared
5. [ACT] Toggle back to Private
6. [ASSERT] Verify shared links are now disabled","[STATE] Privacy toggle in list settings
[DOM] Changing to Shared shows 'Shared' badge on list
[DOM] Changing back to Private disables existing share links
[STATE] Badge reflects current privacy status (Private/Shared)","[CONSOLE] no uncaught JS errors","Privacy toggle missing; status badge not updating; old share links remain active after reverting to Private","none","VCST-3928; Blocked: live selector pass on a customer account (USER_DEFAULT) found no Privacy/Shared toggle in the create/edit dialog (Name + Description + 0/250 counter only) — not observed on a customer account, needs confirmation, not treated as refuted (2026-08-05)","Manual"
"B2C-LIST-012","Product Already in List Indicator","B2C Features > Lists","Medium","BL-B2B-002",,"[PRE:SIGNIN_AS:USER_DEFAULT]
Product already added to list","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}},sku={{TEST_SKU}}","1. [NAV] add a product to a list via the modal
2. [NAV] return to the product's PDP
3. [ASSERT] verify the PDP control (`[data-test-id=""add-to-list-button""]`) shows pressed state labeled 'In the list'
4. [ACT] click the pressed 'In the list' control
5. [ASSERT] verify the 'Please select list' modal reopens with the product's list(s) shown
6. [ASSERT] verify the product's row is under 'Already in the lists' with its checkbox pre-checked","[STATE] PDP control (`[data-test-id=""add-to-list-button""]`) is in the pressed `[pressed]` state, labeled 'In the list', when the product is in any list
[DOM] clicking it reopens the 'Please select list' modal (not a separate tooltip) showing which list(s) hold the product under 'Already in the lists'
[DOM] the modal offers unchecking the pre-checked list, or checking another list under 'Add to other lists' — no separate 'remove from list' menu exists outside the modal
[STATE] the pre-checked 'Already in the lists' checkbox with no re-add action means duplicate-add to the same list is structurally prevented","[CONSOLE] no uncaught JS errors","Heart icon not filled for product already in list; tooltip missing; no options shown on clicking filled heart","none","VCST-3928; Audited: 2026-08-05 (live selector pass, playwright-edge, vcst-qa Platform 3.1055.0/theme 2.55.0-pr-2412); Source: OBSERVED — duplicate-add-to-same-list confirmed prevented structurally (pre-checked, no re-add action)","Manual"
"B2C-LIST-013","Move Product Between Lists","B2C Features > Lists","Medium","BL-B2B-002","ECL-7.3","[PRE:SIGNIN_AS:USER_DEFAULT]
Product in list A, list B exists","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] Open list A
2. [ACT] Click menu on product
3. [ACT] Select 'Move to...'
4. [ACT] Select list B
5. [ASSERT] Verify product moved to list B
6. [ASSERT] Verify product no longer in list A","[DOM] Move option available in product context menu
[DOM] List selector shows all available lists
[DOM] Product removed from list A
[DOM] Product added to list B (no duplicate in A)
[DOM] Success message shown","[CONSOLE] no uncaught JS errors","Move option missing; product duplicated in both lists after move; product disappears from both lists","none","VCST-3928; Synced: lifecycle lists/SFL (2026-08-05); Verified: live selector pass attempted (2026-08-05) — no per-row 'move between lists' selector observed on the list-detail table (only remove-item-button + add-to-cart control per row); the add-to-list modal's checkbox add/remove may serve this purpose but was not confirmed as a row-level move affordance — still unblocked, needs targeted verification","Manual"
"B2C-LIST-014","List - Out of Stock Product Handling","B2C Features > Lists","High","BL-B2B-002","ECL-2.2","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
List contains out of stock product","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] Add product to list while in stock
2. [ADMIN] Mark product out of stock via Admin SPA
3. [NAV] Open list
4. [ASSERT] Verify out of stock badge on product
5. [ACT] Attempt to Add to Cart
6. [ASSERT] Verify button is disabled or shows error","[DOM] Out of stock products remain in list
[DOM] Badge shows 'Out of Stock' on affected product
[STATE] Add to Cart button disabled or shows out-of-stock message
[DOM] Option to remove product from list still available","[ADMIN] Product marked out of stock visible in Admin SPA
[CONSOLE] no uncaught JS errors","Out of stock product disappears from list; Add to Cart not disabled for OOS product; no OOS badge shown","none","VCST-3928; Synced: lifecycle lists/SFL (2026-08-05)","Manual"
"B2C-LIST-015","List Analytics - GA4 add_to_wishlist Event","B2C Features > Lists","Medium","BL-B2B-002","ECL-11.1","[PRE:SIGNIN_AS:USER_DEFAULT]
GA4 configured, list exists","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}},sku={{TEST_SKU}}","1. [NAV] Navigate to product page
2. [ACT] Click Add to List and select list
3. [WAIT] Wait for confirmation
4. [ASSERT] Open DevTools > Network tab
5. [ASSERT] Verify GA4 event 'add_to_wishlist' fired
6. [ASSERT] Inspect event parameters","[NETWORK] GA4 add_to_wishlist event fired on add action
[NETWORK] Event parameters: currency (USD), value (product price), items array (item_id, item_name, price)
[DOM] Event visible in GA DebugView","[NETWORK] GA4 event request present in network log
[CONSOLE] no uncaught JS errors","add_to_wishlist event not firing; event parameters missing currency, value, or items array","none","VCST-3928; Synced: lifecycle lists/SFL (2026-08-05)","Manual"
"B2C-LIST-016","Create Shared List","B2C Features > Shared Lists","High","BL-B2B-002","ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
Logged in user who is a member of a B2B organization, on My Lists page","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] Navigate to My Lists (/account/lists)
2. [ACT] Click 'Create New List'
3. [ACT] Enter list name: 'Team Supplies'
4. [ACT] Set visibility to 'Shared' (visible to org members)
5. [ACT] Click 'Create'
6. [ASSERT] Verify list created successfully
7. [ASSERT] Verify list is marked as 'Shared'","[DOM] Create list form includes visibility option: Private vs Shared
[DOM] List created with 'Shared' badge or indicator
[DOM] List appears in My Lists with Shared status
[DOM] Other org members can see this list (validated in B2C-LIST-017)","[API] mutation errors[] is empty
[CONSOLE] no uncaught JS errors","Shared visibility option missing; list created without Shared badge; Shared list not visible to other org members","delete created list","Coverage Gap Analysis; Blocked: live verify needs an org-capable login (ORG_USER at failed-attempt count 3) — sharing/org surfaces unverified on a customer account (2026-08-05)","Draft"
"B2C-LIST-017","Org Member Sees Shared List","B2C Features > Shared Lists","High","BL-B2B-002","ECL-14.3","[PRE:SIGNIN_AS:USER_DEFAULT]
Shared list 'Team Supplies' created by User A; User B is a member of the same organization","url={{FRONT_URL}},user={{USER_EMAIL}},password={{USER_PASSWORD}}","1. [NAV] Log in as User B (different org member from User A)
2. [NAV] Navigate to My Lists (/account/lists)
3. [ASSERT] Look for list 'Team Supplies' created by User A","[DOM] 'Team Supplies' list visible to User B in lists section
[DOM] Shared lists from other org members displayed (e.g., 'Shared with me' or 'Team Lists' section)
[DOM] List shows creator attribution (User A's name)
[DOM] User B can view contents of the shared list","[CONSOLE] no uncaught JS errors","Shared list not visible to org member; list not showing creator name; org member cannot open shared list contents","none","Coverage Gap Analysis; Synced: lifecycle lists/SFL (2026-08-05); Blocked: live verify needs an org-capable login (ORG_USER at failed-attempt count 3) — sharing/org surfaces unverified on a customer account (2026-08-05)","Draft"
