"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"CAT-001","Add New Catalog","Catalog > Common Catalogs","Critical","BL-CAT-001","ECL-8.1","Admin logged in, Catalog module accessible","catalogName={{STORE_ID}}_TestCatalog; adminUrl={{BACK_URL}}","[NAV] Open Catalog module > Add > Click Catalog
[ASSERT] Verify screen displays with required fields
[ACT] Fill Catalog name field (required)
[ACT] Configure Language block if needed
[ACT] Click Create","[STATE] System displays new catalog screen
[STATE] Catalog name field marked as required
[STATE] Language block visible and functional
[STATE] System saves new catalog successfully
[DOM] New catalog appears in catalog list","[API] GET /api/catalog/catalogs — verify new catalog returned
[CONSOLE] No errors on create","Catalog save fails silently; required field validation not shown; duplicate catalog name accepted","delete created catalog via Admin","VP-660, C122780","Katalon"
"CAT-002","Edit Existing Catalog","Catalog > Common Catalogs","High","BL-CAT-001","ECL-8.1","Admin logged in, at least one catalog exists","catalogName=UpdatedCatalog; adminUrl={{BACK_URL}}","[NAV] Right-click on existing catalog > Manage
[ASSERT] Verify edit screen displays
[ACT] Review blocks: Name (required), Language, Property
[ACT] Modify catalog name
[ACT] Change language settings
[ACT] Modify property settings
[ACT] Click Save","[STATE] Edit screen displays with catalog data
[STATE] Name field is required
[STATE] Language block shows current selection
[STATE] Property block displays correctly
[STATE] System saves all changes
[DOM] Updated catalog reflects changes","[API] GET /api/catalog/catalogs/{id} — verify updated fields
[CONSOLE] No errors on save","Save button inactive after edits; name not persisted after save; language block missing","restore original catalog name via Admin","VP-660, C122781","Katalon"
"CAT-003","Delete Catalog - Cancel","Catalog > Common Catalogs","High","BL-CAT-001","","Admin logged in, multiple catalogs exist","adminUrl={{BACK_URL}}","[NAV] Right-click on any catalog > Delete
[ASSERT] Verify confirmation dialog appears
[ACT] Click Cancel","[STATE] Confirmation dialog displays
[STATE] System does not delete catalog
[DOM] Catalog remains in list
[STATE] No data loss","[API] GET /api/catalog/catalogs — verify catalog still exists
[CONSOLE] No errors","Catalog deleted despite Cancel click; dialog not shown; list count changes","none","VP-660, C122782","Katalon"
"CAT-004","Delete Catalog - Confirm","Catalog > Common Catalogs","High","BL-CAT-001","","Admin logged in, test catalog exists","catalogName=TestCatalogToDelete; adminUrl={{BACK_URL}}","[NAV] Right-click on test catalog > Delete
[ASSERT] Verify confirmation dialog
[ACT] Type 'Yes' in confirmation field
[ACT] Click Confirm","[STATE] Confirmation dialog requires typing 'Yes'
[STATE] System deletes catalog after confirmation
[DOM] Catalog removed from list
[STATE] Related data handled appropriately","[API] GET /api/catalog/catalogs — verify catalog absent
[CONSOLE] No errors on delete","Catalog not removed after confirm; 'Yes' field not enforced; related data orphaned","none (catalog was created for deletion)","VP-660, C122782","Katalon"
"CAT-005","Add Catalog with Multiple Languages","Catalog > Common Catalogs","Medium","BL-CAT-001","ECL-8.1","Admin logged in, Catalog module accessible","languages=en-US,de-DE; adminUrl={{BACK_URL}}","[NAV] Open Catalog module > Click Catalog
[ACT] Click Language selector
[ACT] Select default language
[ACT] Add additional languages
[ACT] Click OK > Create","[STATE] Language selector displays available languages
[STATE] Can select one default language
[STATE] Can add multiple additional languages
[STATE] System saves catalog with selected languages
[STATE] All languages available in catalog","[API] GET /api/catalog/catalogs/{id} — verify languages array
[CONSOLE] No errors","Only one language saved; additional languages lost after save; language selector empty","delete created catalog via Admin","VP-660, C122783","Katalon (generic)"
"CAT-006","Add New Language Value to Catalog","Catalog > Common Catalogs","High","BL-CAT-001","ECL-8.1","Admin logged in, at least one catalog exists","langValue=TestLang; adminUrl={{BACK_URL}}","[NAV] Go to Catalog module
[NAV] Right-click on any catalog > Manage
[ACT] Click on Languages widget
[ACT] Click Edit button next to Default language title
[ACT] Enter new language value in input field
[ACT] Click Add
[ACT] Click Save","[STATE] Manage dictionary values screen displays
[STATE] New language value added to list
[STATE] Changes saved successfully
[STATE] New language available for selection as default or additional","[API] GET /api/catalog/catalogs/{id} — verify language value in response
[CONSOLE] No errors","Language value not persisted; duplicate language accepted; dictionary screen does not open","delete added language value via Admin","C180483","Katalon (generic)"
"CAT-007","Delete Language Value from Catalog","Catalog > Common Catalogs","Medium","BL-CAT-001","","Admin logged in, language value added via C180483","adminUrl={{BACK_URL}}","[NAV] Navigate to catalog Languages widget
[ACT] Click Edit button
[ACT] Select language value to delete
[ACT] Click Delete
[ACT] Confirm deletion","[STATE] Language value selection works
[STATE] Delete confirmation appears
[STATE] Selected language deleted from list
[STATE] Changes saved successfully","[API] GET /api/catalog/catalogs/{id} — verify language removed
[CONSOLE] No errors","Language value still in list after delete; no confirmation dialog; other values affected","none","C180484","Katalon (generic)"
"CAT-019","Add New Physical Product","Catalog > Products","Critical","BL-CAT-001; BL-CAT-004","ECL-8.1","Admin logged in, category exists","sku={{TEST_SKU}}; productName=TestPhysicalProduct; adminUrl={{BACK_URL}}","[NAV] Open Catalog module > Click on any category
[ACT] Click Add > Physical product
[ASSERT] Verify product details screen displays
[ACT] Review required fields: SKU, Name
[ACT] Review available blocks: Property, Image, Description, SEO
[ACT] Fill required fields
[ACT] Add optional data (images, description, SEO)
[ACT] Click Save
[ASSERT] Verify product in list","[STATE] Physical product creation screen displays
[STATE] SKU field required
[STATE] Name field required
[STATE] Property, Image, Description, SEO blocks available
[STATE] System saves new product
[DOM] Product appears in product list
[STATE] Product indexed and searchable","[API] GET /api/catalog/products — verify new product returned
[API] POST /api/catalog/search — verify product appears in search index within 60s
[CONSOLE] No indexing errors","Product not indexed within 60s; SKU auto-generation fails; required field bypassed","delete created product via Admin","VP-660, C123091","Katalon"
"CAT-020","Add New Digital Product","Catalog > Products","High","BL-CAT-001","","Admin logged in, catalog exists","productName=TestDigitalProduct; adminUrl={{BACK_URL}}","[NAV] Go to Catalog module > Any catalog
[ACT] Click Add
[ACT] Choose Digital Product from New category item blade
[ASSERT] Verify SKU generated automatically
[ACT] Enter product name
[ACT] Click Create
[ASSERT] Verify product in list","[STATE] New product screen displays
[STATE] Digital Product option available
[STATE] SKU auto-generated
[STATE] Product name field available
[DOM] New digital product added to list
[STATE] Digital product type persisted","[API] GET /api/catalog/products/{id} — verify productType=Digital
[CONSOLE] No errors","SKU not auto-generated; product type not persisted; digital product not distinguished in list","delete created product via Admin","C180504","Katalon (generic)"
"CAT-021","Edit Existing Product","Catalog > Products","High","BL-CAT-001; BL-CAT-004","ECL-8.1","Admin logged in, test product exists","productName=UpdatedProduct; adminUrl={{BACK_URL}}","[NAV] Right-click on product > Manage
[ASSERT] Verify edit screen loads with product data
[ACT] Change product name
[ACT] Update description
[ACT] Modify properties
[ACT] Click Save
[ASSERT] Verify changes persisted","[STATE] Edit screen displays with all product data
[STATE] All fields editable
[STATE] Changes saved successfully
[DOM] Updated product reflects changes
[STATE] No data loss on edit","[API] GET /api/catalog/products/{id} — verify updated name and properties
[CONSOLE] No errors on save","Name revert after save; description lost; save button inactive after edits","restore original product name via Admin","VP-660, C123092","Katalon"
"CAT-022","Delete Product - Cancel","Catalog > Products","High","BL-CAT-001","","Admin logged in, products exist","adminUrl={{BACK_URL}}","[NAV] Right-click on product > Delete
[ASSERT] Verify confirmation dialog
[ACT] Click Cancel","[STATE] Confirmation dialog displays
[STATE] System does not delete product
[DOM] Product remains in list","[API] GET /api/catalog/products — verify product still listed
[CONSOLE] No errors","Product deleted despite Cancel; dialog not shown; list count changes","none","VP-660, C123093","Katalon"
"CAT-023","Delete Product - Confirm","Catalog > Products","High","BL-CAT-001","ECL-5.1","Admin logged in, test product exists","adminUrl={{BACK_URL}}","[NAV] Right-click on test product > Delete
[ASSERT] Verify confirmation dialog
[ACT] Type 'Yes'
[ACT] Click Confirm
[ASSERT] Verify product removed from list","[STATE] Confirmation requires typing 'Yes'
[STATE] System deletes product
[DOM] Product removed from list
[STATE] Related data (inventory, pricing) handled","[API] GET /api/catalog/products — verify product absent
[CONSOLE] No errors on delete","Product not removed; inventory record orphaned; 'Yes' not enforced","none (product was created for deletion)","VP-660, C123093","Katalon"
