ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
CART-100,Cart Merge - Anonymous Then Register,Cart > Merge,High,BL-CART-008,"ECL-7.3, ECL-14.1","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Product available in stock; user is not yet registered; browsing store anonymously. NOTE: Registration requires email verification — auto-login does NOT occur immediately; user must verify email first, then sign in manually.",url={{FRONT_URL}},"[NAV] navigate to {{FRONT_URL}} without signing in (guest session)
[ACT] add Product_1 to cart with qty=2
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ASSERT] verify cart badge shows 2
[ACT] navigate to registration page
[ACT] register a new account with valid credentials
[WAIT] wait for 'verify your email' confirmation screen (NOT auto-login)
[ASSERT] verify storefront shows email verification prompt (cart not yet merged)
[ACT] simulate email verification (open the test email inbox or use admin to confirm the account)
[WAIT] wait for the confirmed action to complete
[ACT] sign in with the newly registered account credentials
[NAV] navigate to {{FRONT_URL}}/cart","[STATE] guest cart items preserved after registration + email verification + manual sign-in
[DOM] Product_1 listed with qty=""2"" in cart
[STATE] cart badge reflects merged item count
[MATH] cart subtotal matches expected value for qty=2
[STATE] verify Product_1 present in cart with qty=2
[STATE] verify cart badge shows correct count","[API] mergeCarts or equivalent mutation response errors[] is empty
[CONSOLE] no JS errors during registration and cart merge
[NETWORK] no 4xx/5xx during merge
[API] addItem mutation response errors[] is empty",guest items lost after registration; cart empty for new account; qty mismatch after merge,Remove items from cart; delete test account if needed,C389651; VCST-2976,Manual
CART-101,Cart Merge - No Duplicate SKUs,Cart > Merge,High,"BL-CART-008, BL-CART-007","ECL-7.3, ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Same Product A exists in both anonymous cart and registered user cart; user currently signed out","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] log in to {{FRONT_URL}} as {{USER_EMAIL}}
[ACT] add Product A to cart with qty=2
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] click the account button in the top header (BL-AUTH-007, data-test-id=""account-button"")
[WAIT] wait for the account menu popup to open
[ACT] click 'Logout' in the account menu popup (data-test-id=""sign-out-button"")
[WAIT] wait for signed-out state confirmed
[NAV] navigate to {{FRONT_URL}} as guest
[ACT] add same Product A to cart with qty=1 as guest
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] sign in with {{USER_EMAIL}}
[NAV] navigate to {{FRONT_URL}}/cart","[STATE] single line item for Product A (no duplicates)
[DOM] quantity shows ""3"" (merged sum)
[MATH] line total = unit price x 3
[MATH] cart subtotal correct for merged quantity = sum of (unit price × quantity) for all included line items (2 decimal places)
[STATE] verify exactly one line item for Product A
[STATE] verify qty=3 (sum of 2+1)
[STATE] verify no duplicate line items","[API] mergeCarts mutation response errors[] is empty
[CONSOLE] no JS errors on sign-in and cart page
[NETWORK] no 4xx/5xx during merge
[API] addItem mutation response errors[] is empty",duplicate line items created for same SKU; qty not summed (shows 1 or 2 instead of 3); two separate entries in cart,Remove items from cart,C398783; VCST-2674,Manual
CART-102,Cart Merge - Currency Mismatch,Cart > Merge,High,"BL-CART-008, BL-CART-004","ECL-4.1, ECL-7.3, ECL-14.4","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
SEED REQUIRED: A registered user account whose default currency is EUR must exist in QA. Set {{EUR_USER_EMAIL}} and {{EUR_USER_PASSWORD}} env vars. Standard {{USER_EMAIL}} uses USD default — this user is insufficient. Verify EUR price list exists for test products.","url={{FRONT_URL}}
user={{EUR_USER_EMAIL}}
password={{EUR_USER_PASSWORD}}","[NAV] navigate to {{FRONT_URL}} as guest with USD currency
[ACT] add products to cart in USD as anonymous user
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ASSERT] verify guest cart shows USD prices
[ACT] sign in as {{USER_EMAIL}} whose default currency is EUR
[WAIT] wait for cart merge and currency switch
[NAV] navigate to {{FRONT_URL}}/cart","[STATE] all products from both carts present after merge
[DOM] prices displayed in customer default currency (EUR) (visible)
[STATE] products without EUR price show warning 'This product is no longer available for purchase' or similar
[MATH] cart totals calculated in single currency = subtotal + shipping + tax − discount (2 decimal places, per BL-CHK-006)
[STATE] verify all products merged into single currency cart
[STATE] verify prices display in customer default currency (EUR)
[STATE] if product unavailable in EUR, verify warning message shown","[API] mergeCarts mutation response errors[] is empty
[CONSOLE] no JS errors during currency merge
[NETWORK] no 4xx/5xx
[API] addItem mutation response errors[] is empty",mixed currencies in merged cart; USD prices shown instead of EUR; products silently dropped without warning; cart totals in wrong currency,Remove items from cart,C398784; VCST-2961,Manual
CART-103,Cart Merge - Persists After Logout and Re-login,Cart > Merge,High,BL-CART-008,"ECL-7.3, ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Anonymous user adds products; user logs in (merge happens); merged cart established","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] navigate to {{FRONT_URL}} as guest
[ACT] add Product B to cart as guest
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] sign in as {{USER_EMAIL}} (triggers merge)
[NAV] navigate to {{FRONT_URL}}/cart
[ASSERT] note merged cart contents (items, quantities, subtotal)
[ACT] click the account button in the top header (BL-AUTH-007, data-test-id=""account-button"")
[WAIT] wait for the account menu popup to open
[ACT] click 'Logout' in the account menu popup (data-test-id=""sign-out-button"")
[WAIT] wait for signed-out state confirmed
[ACT] sign in again with {{USER_EMAIL}}
[NAV] navigate to {{FRONT_URL}}/cart","[STATE] merged cart contents identical after logout/re-login
[DOM] all items present with correct quantities
[MATH] cart subtotal matches pre-logout value = sum of (unit price × quantity) for all included line items (2 decimal places)
[STATE] no duplicate or missing items
[STATE] verify merged cart persists with same items and quantities
[STATE] verify no items lost or duplicated after logout/login cycle","[API] getCart query returns same items after re-login
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx
[API] mergeCarts mutation response errors[] is empty
[API] addItem mutation response errors[] is empty",merged items lost after logout; cart empty on re-login; items duplicated after re-login; subtotal mismatch,Remove items from cart,C398785; VCST-2977,Manual
CART-104,Cart Merge - Different Product Types,Cart > Merge,Medium,"BL-CART-008, BL-CART-007","ECL-7.3, ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
SEED REQUIRED: A configurable product with selectable variant (size or color, not just quantity) must exist in QA catalog and B2B virtual catalog. Set @td(CFG_HAT.slug) env var. Simple product {{TEST_SKU}} also required. Registered user {{USER_EMAIL}} logged in.","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] log in to {{FRONT_URL}} as {{USER_EMAIL}}
[ACT] add a configurable product (with size/color variant selected) to cart
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] click the account button in the top header (BL-AUTH-007, data-test-id=""account-button"")
[WAIT] wait for the account menu popup to open
[ACT] click 'Logout' in the account menu popup (data-test-id=""sign-out-button"")
[WAIT] wait for signed-out state confirmed
[NAV] navigate to {{FRONT_URL}} as guest
[ACT] add a simple product to cart as guest
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] sign in as {{USER_EMAIL}}
[NAV] navigate to {{FRONT_URL}}/cart","[STATE] simple product from guest cart present in merged cart
[STATE] configurable product from user cart present with correct variant attributes
[DOM] variant attributes (size, color) on the merged configurable line item match the options selected before merge (visible)
[STATE] no missing or mismatched products after merge
[STATE] verify both simple and configurable products present
[STATE] verify configurable product retains variant attributes (size, color)
[STATE] verify no missing or mismatched products","[API] mergeCarts mutation response errors[] is empty
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx
[API] addItem mutation response errors[] is empty",configurable product loses variant attributes after merge; simple product missing; product types confused or swapped,Remove items from cart,C398786,Manual
CART-105,Cart Merge - Smart Merge Failure Handling,Cart > Merge,Medium,BL-CART-008,"ECL-7.3, ECL-14.2","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
TOOL-LIMITATION: Network fault injection (interrupting merge mid-request) cannot be executed via MCP browser agent (requires service worker interception or proxy-level throttling). Revert to API-layer negative test: send malformed mergeCarts mutation and verify backend error response. MCP agent: verify storefront graceful error handling on API error response.","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] navigate to {{FRONT_URL}} as guest
[ACT] add products to cart as anonymous user
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] sign in as {{USER_EMAIL}} (normal merge)
[NAV] navigate to {{FRONT_URL}}/cart
[API] send malformed mergeCarts mutation via Postman/curl (missing required userId)","[DOM] cart page accessible and functional after login (even if merge produced no-op result) (visible)
[STATE] no JS unhandled exception displayed to user
[API] malformed merge request returns errors[] with descriptive message (not 500 Internal Server Error)
[CONSOLE] no unhandled JS exceptions during normal sign-in merge flow
[STATE] verify API returns structured error response (not HTTP 500); errors[] array populated","[CONSOLE] no unhandled JS exceptions
[NETWORK] no 500 on merge API response for normal sign-in flow
[API] addItem mutation response errors[] is empty",page crashes on sign-in; cart inaccessible after login; API returns 500 for malformed merge request with no error detail,none (verify cart state),C396997,Manual
CART-106,Cart Merge Selection - Empty Cart + Selected All (ON),Cart > Merge > Selection,Medium,BL-CART-008,ECL-14.1,"[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Default 'Selected for checkout' = ON in store settings; Cart1 (user) is empty; Cart2 (guest) has items with all selected","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] log in to {{FRONT_URL}}
[ASSERT] ensure cart is empty
[ACT] click the account button in the top header (BL-AUTH-007, data-test-id=""account-button"")
[WAIT] wait for the account menu popup to open
[ACT] click 'Logout' in the account menu popup (data-test-id=""sign-out-button"")
[WAIT] wait for signed-out state confirmed
[NAV] navigate to {{FRONT_URL}} as guest
[ACT] add 2-3 products to cart as guest (all auto-selected for checkout)
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] sign in as {{USER_EMAIL}}
[NAV] navigate to {{FRONT_URL}}/cart","[STATE] all guest items merged into user cart
[DOM] all item checkboxes checked (selected for checkout)
[STATE] Proceed to Checkout enabled
[MATH] Order Summary totals include all items = unit price × quantity, consistent with the displayed line/subtotal (2 decimal places)
[STATE] verify all guest items present in merged cart
[STATE] verify all items have 'selected for checkout' state = ON
[STATE] verify Proceed to Checkout button active","[API] getCart returns all items with selectedForCheckout=true
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx
[API] mergeCarts mutation response errors[] is empty
[API] addItem mutation response errors[] is empty",items not selected after merge; Proceed to Checkout disabled; items missing from merged cart,Remove items from cart,C389850,Manual
CART-107,Cart Merge Selection - Both Selected All (ON),Cart > Merge > Selection,Medium,BL-CART-008,ECL-14.1,"[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Default 'Selected for checkout' = ON; Cart1 (user) has items all selected; Cart2 (guest) has items all selected","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] log in to {{FRONT_URL}}
[ACT] add items to cart (all selected)
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] click the account button in the top header (BL-AUTH-007, data-test-id=""account-button"")
[WAIT] wait for the account menu popup to open
[ACT] click 'Logout' in the account menu popup (data-test-id=""sign-out-button"")
[WAIT] wait for signed-out state confirmed
[NAV] add different items to cart as guest (all selected)
[ACT] sign in as {{USER_EMAIL}}
[NAV] navigate to {{FRONT_URL}}/cart","[STATE] items from both carts merged
[DOM] all items checked/selected for checkout
[MATH] Order Summary subtotal = sum of all merged items
[STATE] no items deselected after merge
[STATE] verify items from both carts present
[STATE] verify all items remain selected for checkout
[STATE] verify Order Summary reflects all items","[API] getCart returns all items with selectedForCheckout=true
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx
[API] addItem mutation response errors[] is empty",some items deselected after merge; Order Summary only includes partial items; items missing,Remove items from cart,C389851,Manual
CART-108,Cart Merge Selection - Both Unselected All (ON),Cart > Merge > Selection,Medium,BL-CART-008,ECL-14.1,"[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Precondition: store setting 'Default selected for checkout' = ON (verify in Admin > Stores > Cart Settings). User has items manually unselected via checkbox; guest has items manually unselected. If store setting differs from ON, this case is N/A.","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] log in to {{FRONT_URL}}
[ACT] add items to cart
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] unselect all items in cart (uncheck checkboxes)
[ACT] click the account button in the top header (BL-AUTH-007, data-test-id=""account-button"")
[WAIT] wait for the account menu popup to open
[ACT] click 'Logout' in the account menu popup (data-test-id=""sign-out-button"")
[WAIT] wait for signed-out state confirmed
[ACT] add items to cart as guest
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] unselect all
[ACT] sign in as {{USER_EMAIL}}
[NAV] navigate to {{FRONT_URL}}/cart","[STATE] items from both carts merged
[DOM] selection state consistent with merge logic (either all unselected preserved or reset to default ON) (visible)
[STATE] Order Summary totals reflect only selected items
[STATE] Proceed to Checkout button state matches selection
[STATE] verify items from both carts present
[STATE] verify selection state after merge (check if unselected state preserved or reset to default ON)
[STATE] verify Proceed to Checkout behavior with selection state","[API] getCart returns items with correct selectedForCheckout values
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx
[API] addItem mutation response errors[] is empty",items missing after merge; selection state inconsistent; Order Summary incorrect,Remove items from cart,C389852,Manual
CART-109,Cart Merge Selection - Selected + Unselected (ON),Cart > Merge > Selection,Medium,BL-CART-008,ECL-14.1,"[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Preconditions note: state from CART-108 (same guest+user merge mechanics; CART-108 unselects items in BOTH carts, this case keeps the USER cart items selected and only unselects the GUEST cart — part of the same pairwise selection-state matrix, kept independently executable).
Default 'Selected for checkout' = ON; Cart1 (user) has all items selected; Cart2 (guest) has all items unselected","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] log in to {{FRONT_URL}}
[ACT] add items to cart (keep selected)
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] click the account button in the top header (BL-AUTH-007, data-test-id=""account-button"")
[WAIT] wait for the account menu popup to open
[ACT] click 'Logout' in the account menu popup (data-test-id=""sign-out-button"")
[WAIT] wait for signed-out state confirmed
[ACT] add items to cart as guest
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] unselect all
[ACT] sign in as {{USER_EMAIL}}
[NAV] navigate to {{FRONT_URL}}/cart","[STATE] user cart items selected; guest items selection per merge rules
[MATH] Order Summary subtotal = sum of selected items only
[DOM] checkboxes reflect correct per-item selection state (visible)
[STATE] mixed selection state preserved per item (not forced to a single all-selected or all-unselected value)
[STATE] verify items from both carts present
[STATE] verify user cart items retain selected state
[STATE] verify guest cart items selection state after merge
[STATE] verify Order Summary reflects only selected items","[API] getCart returns correct per-item selectedForCheckout values
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx
[API] addItem mutation response errors[] is empty",all items forced to same selection state; Order Summary wrong; selection states swapped,Remove items from cart,C389853,Manual
CART-110,Cart Merge Selection - Mixed + Mixed (ON),Cart > Merge > Selection,Medium,BL-CART-008,ECL-14.1,"[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Precondition: store setting 'Default selected for checkout' = ON (verify in Admin > Stores > Cart Settings). Cart1 (user) has mix of selected and unselected items; Cart2 (guest) has mix of selected and unselected items. If store setting differs, this case is N/A.","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] log in to {{FRONT_URL}}
[ACT] add 3+ items to cart
[WAIT] wait for the cart mutation to settle (cart badge updates or items[] reflects the new/updated line — addItem async settle)
[ACT] unselect some items (create mixed state)
[ACT] click the account button in the top header (BL-AUTH-007, data-test-id=""account-button"")
[WAIT] wait for the account menu popup to open
[ACT] click 'Logout' in the account menu popup (data-test-id=""sign-out-button"")
[WAIT] wait for signed-out state confirmed
[NAV] add 3+ items to cart as guest
[ACT] unselect some guest items (create mixed state)
[ACT] sign in as {{USER_EMAIL}}
[NAV] navigate to {{FRONT_URL}}/cart","[STATE] items from both carts merged with correct per-item selection
[MATH] Order Summary = sum of only selected items
[DOM] each item checkbox reflects its individual selection state (visible)
[STATE] no blanket select/deselect override on merge
[STATE] verify all items from both carts present
[STATE] verify per-item selection state after merge
[STATE] verify Order Summary reflects only selected items","[API] getCart returns correct per-item selectedForCheckout values
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx
[API] addItem mutation response errors[] is empty",all items forced selected or deselected; per-item state lost; Order Summary miscalculated,Remove items from cart,C389854,Manual
CART-111,Cart Merge Selection - Empty + Unselected All (OFF),Cart > Merge > Selection,Medium,BL-CART-008,ECL-14.1,"[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
ADMIN-CONFIG REQUIRED: Store setting 'Default selected for checkout' must be set to OFF in Admin > Stores > Cart Settings. QA default is ON — this test is BLOCKED unless config is changed for this run. SEED: document config change and restore in Cleanup.","url={{FRONT_URL}}
user={{USER_EMAIL}}
password={{USER_PASSWORD}}","[NAV] log in to {{FRONT_URL}}
[ASSERT] ensure cart is empty
[ACT] click the account button in the top header (BL-AUTH-007, data-test-id=""account-button"")
[WAIT] wait for the account menu popup to open
[ACT] click 'Logout' in the account menu popup (data-test-id=""sign-out-button"")
[WAIT] wait for signed-out state confirmed
[NAV] add items to cart as guest (default unselected per OFF setting)
[ACT] sign in as {{USER_EMAIL}}
[NAV] navigate to {{FRONT_URL}}/cart","[STATE] guest items merged into user cart
[DOM] all items unchecked (unselected for checkout per OFF default) (visible)
[STATE] Proceed to Checkout disabled or shows warning
[MATH] Order Summary shows $0 or no items selected message = unit price × quantity, consistent with the displayed line/subtotal (2 decimal places)
[STATE] verify guest items present in merged cart
[STATE] verify items are unselected (per OFF default)
[STATE] verify Proceed to Checkout blocked or warns about no selected items","[API] getCart returns items with selectedForCheckout=false
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx
[API] mergeCarts mutation response errors[] is empty
[API] addItem mutation response errors[] is empty",items auto-selected despite OFF setting; Proceed to Checkout active with no selection,Remove items from cart; restore store setting to ON,C389916,Manual
