"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"CHK-014","Guest Checkout - Happy Path","Checkout > Guest","Critical","BL-CHK-005","ECL-1.2, ECL-14.1","Store allows anonymous users (anonymousUsersAllowed: true), products available in catalog. BROWSER REQUIRED: playwright-chrome — Firefox MCP cannot interact with headlessui delivery/payment selector dropdowns (div[role=button]) during guest checkout. NOTE: Do NOT use CyberSource payment — cross-origin testflex.cybersource.com iframe is inaccessible to any Playwright MCP browser. Use Manual payment method or another non-iframe processor configured in QA store.","url={{FRONT_URL}}, sku={{TEST_SKU}}","[NAV] Open {{FRONT_URL}} in incognito/private window (not logged in)
[NAV] Navigate to product page for {{TEST_SKU}}
[ACT] click 'Add to Cart'
[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] click 'Checkout' or 'Proceed to Checkout'
[WAIT] Wait for guest checkout email step
[ACT] Fill 'Email' field with guest email address
[ACT] Fill shipping address (First Name, Last Name, Street, City, State, ZIP, Country)
[ACT] select shipping method from available methods (click div[role=button] selector — requires playwright-chrome)
[ACT] select non-CyberSource payment method (Manual or other non-iframe processor available in QA store)
[ACT] click 'Place Order'
[WAIT] Wait for confirmation page
[ASSERT] Verify confirmation page with order number displayed","[NAV] Guest reaches checkout without being redirected to login
[DOM] Email field appears on guest checkout
[DOM] Shipping form accepts all fields
[DOM] Shipping methods listed
[DOM] Payment form functional (non-iframe)
[DOM] Confirmation page shows order number
[STATE] Cart cleared after order placement
[STATE] No account creation required to complete purchase","[API] createOrderFromCart mutation response errors[] is empty
[CONSOLE] No errors during guest checkout flow
[NETWORK] No unauthorized 401 responses blocking checkout
[ADMIN] Guest order appears in {{ADMIN_URL}}/orders","Guest redirected to login page instead of proceeding as guest; confirmation page not reached after payment; headlessui dropdown not clickable (switch to playwright-chrome if on Firefox)","Cancel guest order via {{ADMIN_URL}}/orders","Coverage Gap Analysis","Manual — Rewritten 2026-04-21: reassigned to playwright-chrome; Firefox MCP cannot interact with headlessui delivery/payment selectors (div[role=button]). CyberSource payment replaced with Manual/non-iframe processor."
"CHK-015","Guest Checkout - New Address Entry","Checkout > Guest > Shipping","High","BL-CHK-001","","Guest user at checkout (anonymousUsersAllowed: true), no saved addresses for guest","url={{FRONT_URL}}, sku={{TEST_SKU}}","[NAV] Proceed to checkout as guest (not logged in)
[ASSERT] Verify no pre-populated or saved address shown
[ACT] Fill 'Street' field with valid street address
[ACT] Fill 'City', 'State', 'ZIP', 'Country' with valid values
[ACT] click 'Continue'
[WAIT] Wait for shipping method step
[ASSERT] Verify entered address shown in shipping summary
[ASSERT] Verify shipping methods calculate based on entered address","[DOM] No saved address shown for guest user
[DOM] All address fields accept manual input
[STATE] Validation passes on valid address
[STATE] Address carried through to shipping method and order summary steps
[DOM] Shipping methods listed after address entry","[API] POST address for guest session returns valid response
[CONSOLE] No errors on address submission","Saved addresses from previous sessions shown for anonymous user; shipping methods not loading after address entry","none","Coverage Gap Analysis","Automated"
"CHK-016","Guest Checkout - Track Order","Orders > Guest Tracking","High","BL-ORD-001","","FEATURE NOT IMPLEMENTED: Guest order tracking page does not exist in current storefront. {{FRONT_URL}}/orders/track returns 404. Do not execute.","url={{FRONT_URL}}","[NAV] Note order number from confirmation page
[NAV] Note email used during guest checkout
[NAV] Navigate to order tracking page (e.g. {{FRONT_URL}}/account/orders or dedicated tracking URL)
[ACT] Fill guest email field with order email
[ACT] Fill order number field with order number
[ACT] click 'Track Order' or 'Submit'
[WAIT] Wait for tracking results
[ASSERT] Verify correct order details displayed
[ASSERT] Verify status clearly shown
[ACT] Enter incorrect email with correct order number
[ASSERT] Verify error shown for mismatch","[DOM] Tracking form accessible without login
[DOM] Email and order number fields present
[STATE] Correct combination returns order details and status
[STATE] Incorrect email + order number returns error (not order data)","[API] GET /orders/track?email=...&order=... returns correct order
[CONSOLE] No unhandled errors on tracking page","Tracking page requires login; correct guest credentials return no order; wrong credentials return order data (security issue)","none","Coverage Gap Analysis","N/A — feature not implemented (/orders/track returns 404; guest order tracking page does not exist in current storefront)"
"CHK-017","Guest Checkout - Prompt Registration After Purchase","Checkout > Guest > Post-Purchase","Medium","BL-CHK-005","","DEPENDENCY: Requires CHK-014 to complete successfully first (guest checkout happy path). Guest order just placed, user on confirmation page. BROWSER: playwright-chrome (same as CHK-014). NOTE: Registration requires email verification — do NOT assume auto-login after registration.","url={{FRONT_URL}}, sku={{TEST_SKU}}","[NAV] Complete guest checkout (CHK-014 happy path) and land on order confirmation page
[ASSERT] Verify 'Create Account' prompt or banner present
[ASSERT] Verify prompt references linking order to new account
[ACT] click 'Create Account' from confirmation page
[WAIT] Wait for registration form
[ASSERT] Verify registration form pre-fills guest email
[ACT] Complete registration with valid password
[ACT] submit registration
[WAIT] Wait for email verification prompt (registration does not auto-login)
[ASSERT] Verify prompt to check email for verification link
[NAV] Note: full order-linking verification requires email verification step outside MCP scope; verify prompt is shown and registration does not error","[DOM] Create Account prompt visible on confirmation page
[DOM] Prompt text references order linking
[DOM] Registration form pre-fills guest email
[STATE] Registration form submits without error
[DOM] Email verification prompt displayed after registration (no auto-login)","[API] POST /account/register returns success (no error)
[CONSOLE] No errors during account creation flow","Create Account prompt absent from confirmation; registration form does not pre-fill guest email; registration errors on submit; no email verification prompt shown","none","Coverage Gap Analysis","Manual — Rewritten 2026-04-21: added DEPENDENCY on CHK-014; added email verification step (registration does not auto-login in QA). Order-linking assertion scoped to registration success + verification prompt only."
"CHK-018","Guest Checkout - With Coupon Code","Checkout > Guest > Promotions","High","BL-CHK-002","","SEED REQUIRED: Valid coupon code applicable to guest users must exist in system ({{VALID_COUPON_CODE}}). Provision via Admin > Marketing > Promotions > create promotion with coupon code, applicable to all users including guests. DEPENDENCY: Requires CHK-014 to complete successfully first (guest checkout happy path). BROWSER: playwright-chrome (same as CHK-014).","url={{FRONT_URL}}, sku={{TEST_SKU}}, coupon={{VALID_COUPON_CODE}}","[NAV] Proceed to checkout as guest with items in cart (CHK-014 happy path precondition met)
[ACT] Enter guest email address
[ACT] Fill shipping address
[ACT] select shipping method
[ASSERT] Locate coupon code input field
[ACT] Enter {{VALID_COUPON_CODE}} in coupon field
[ACT] click 'Apply'
[WAIT] Wait for discount to apply
[ASSERT] Verify discount line item appears in order summary
[ASSERT] Verify total reflects discounted amount
[ACT] select non-CyberSource payment method
[ACT] click 'Place Order'
[ASSERT] Verify confirmation page shows discounted total","[DOM] Coupon input field accessible to guest users
[STATE] Valid coupon accepted with success confirmation
[DOM] Discount shown as separate line in order summary
[MATH] Total = subtotal + shipping + tax - coupon discount
[DOM] Confirmation page shows coupon discount line item","[API] createOrderFromCart mutation response errors[] is empty
[API] Order payload contains applied coupon/promotion
[CONSOLE] No errors on coupon application","Coupon field not shown for guests; coupon accepted but discount not reflected in total; discount disappears at confirmation; {{VALID_COUPON_CODE}} rejected (seed not provisioned)","Cancel guest order via {{ADMIN_URL}}/orders","Coverage Gap Analysis","Manual — BLOCKED pending seed: valid coupon code applicable to guests ({{VALID_COUPON_CODE}}). Added DEPENDENCY on CHK-014 and playwright-chrome browser requirement. SEED verdict 2026-04-21."
"CHK-019","Guest Checkout - Field Validation","Checkout > Guest > Validation","High","BL-CHK-001","","Guest user at checkout email and address entry step","url={{FRONT_URL}}","[NAV] Proceed to checkout as guest (not logged in)
[ACT] click 'Continue' without entering email
[ASSERT] Verify 'Email is required' or equivalent error shown
[ACT] Enter invalid email format 'notanemail'
[ASSERT] Verify 'Enter a valid email address' error shown
[ACT] Enter valid email address
[ACT] Leave required address fields (Street, City, ZIP) empty
[ACT] click 'Continue'
[ASSERT] Verify inline error per empty required field
[ACT] Fix each field with valid data
[ASSERT] Verify error clears as each field is corrected
[ACT] click 'Continue' with all valid data
[ASSERT] Verify form advances to next step","[DOM] Email required error on empty submit
[DOM] Email format error on invalid format
[DOM] Per-field inline errors for required address fields
[STATE] Form does not advance with validation errors
[STATE] Individual errors clear when field corrected
[NAV] Form advances after all errors resolved","[CONSOLE] No JS exceptions during validation interactions
[API] No API calls made while client-side validation active","Form advances with invalid email; no per-field errors shown; all errors clear simultaneously instead of per field","none","Coverage Gap Analysis","Automated"
"CHK-020","Guest Checkout - Register After Purchase and Order Linked","Checkout > Guest > Post-Purchase","High","BL-CHK-005","","DEPENDENCY: Requires CHK-014 to complete successfully first (guest checkout happy path). Guest order placed, on confirmation page with Create Account option. BROWSER: playwright-chrome. NOTE: Registration requires email verification — order-linking to account is verifiable only after email verification completes (outside MCP scope for automated runs). Scope assertion to: registration form submitted without error AND verification prompt shown.","url={{FRONT_URL}}, sku={{TEST_SKU}}","[NAV] Complete guest checkout (CHK-014 happy path) successfully
[ASSERT] Verify 'Create Account' prompt on confirmation page
[ACT] click 'Create Account' or 'Register' from confirmation
[ACT] Complete registration form with guest email and new password
[ACT] submit registration form
[WAIT] Wait for response
[ASSERT] Verify registration submitted without error (no 400/500)
[ASSERT] Verify email verification prompt displayed (no auto-login)
[NAV] Note: navigating to {{FRONT_URL}}/account/orders at this point will require sign-in first; full order-linking verification deferred to manual follow-up after email verification","[DOM] Create Account prompt on confirmation
[STATE] Registration form submits without error
[DOM] Email verification prompt displayed (no auto-login)
[CONSOLE] No JS errors during registration form interaction","[API] POST /account/register response returns success (no error body)
[CONSOLE] No errors during registration form submission","Guest order absent from account history after registration; registration fails when using guest email; no email verification prompt; auto-login claimed but email verification required in QA","Delete test account via {{ADMIN_URL}} if created","Coverage Gap Analysis","Manual — Rewritten 2026-04-21: added DEPENDENCY on CHK-014; scoped assertions to registration success + email verification prompt (auto-login not available in QA — email verification required). Order-linking assertion deferred to manual post-verification step."
"CHK-021","Guest Checkout - Disabled When Anonymous Users Not Allowed","Checkout > Guest > Access Control","Critical","BL-CHK-005","","FEATURE NOT APPLICABLE IN QA: QA environment store is always configured with anonymousUsersAllowed: true. The anonymousUsersAllowed=false store variant is not configured in QA. This test requires a separate store instance or admin toggle that is not available in the shared QA environment. Do not execute.","url={{FRONT_URL}}, sku={{TEST_SKU}}","[NAV] Open {{FRONT_URL}} in incognito/private window (not logged in)
[NAV] Navigate to product page for {{TEST_SKU}}
[ACT] click 'Add to Cart'
[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] click 'Checkout' or 'Proceed to Checkout'
[ASSERT] Verify user redirected to sign-in or login page
[ASSERT] Verify prompt to log in or register
[ASSERT] Verify cart contents preserved after redirect","[NAV] Guest redirected to sign-in/sign-up page (not checkout)
[DOM] Login or register prompt displayed
[STATE] Cart contents preserved for authenticated session
[STATE] No guest checkout option shown when disabled","[API] Store settings endpoint reflects anonymousUsersAllowed=false
[CONSOLE] No unexpected errors on redirect","Guest can access checkout without login when anonymousUsersAllowed=false; cart lost on redirect to login","none","Coverage Gap Analysis","N/A — feature not implemented (anonymousUsersAllowed=false store variant not configured in QA environment; QA store always has anonymous users allowed)"
"CHK-029","Checkout Validation - Invalid Email Format","Checkout > Guest > Validation","High","BL-CHK-001","","Guest user at checkout, on email entry step","url={{FRONT_URL}}","[NAV] Proceed to checkout as guest (not logged in)
[ACT] Enter invalid email 'user@' in email field
[ACT] click 'Continue'
[ASSERT] Verify error 'Enter a valid email address' or equivalent
[ACT] Enter 'notanemail' (no @ symbol)
[ASSERT] Verify format validation error still shown
[ACT] Enter 'user@domain' (no TLD)
[ASSERT] Verify error shown
[ACT] Enter valid email 'test@example.com'
[ASSERT] Verify error clears
[ACT] click 'Continue'
[ASSERT] Verify form advances to address step","[DOM] Email format error rendered for each invalid pattern
[STATE] Form does not advance with invalid email
[STATE] Error clears when valid email entered
[DOM] Error message references email validity","[CONSOLE] No JS exceptions during email validation
[API] No API call made with invalid email","Email format not validated; form accepts 'notanemail' without error","none","Coverage Gap Analysis","Automated"
"CHK-066","Guest Checkout - No Saved Addresses Available","Checkout > Guest > Address","High","BL-CHK-005","ECL-4.4, ECL-1.2","Guest checkout enabled; anonymous user at checkout step","url={{FRONT_URL}}","[NAV] navigate to {{FRONT_URL}}/cart as anonymous user with items
[ACT] proceed to checkout
[ASSERT] verify no saved address dropdown or selector is shown
[ASSERT] verify empty address form is displayed for manual entry
[ACT] fill all required address fields manually
[ASSERT] verify address accepted and shipping methods appear","[DOM] no saved address selector visible for guest
[DOM] blank address form rendered
[STATE] manual address entry is the only option for guest","[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx","saved addresses from another user shown; address selector appears for guest; error on address form render","None","Coverage Gap Analysis","Manual"
