ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
WISH-001,createWishlist — Happy Path,GraphQL > Wishlist > Management,Critical,BL-GQL-001; BL-GQL-004,ECL-10.2; ECL-2.1,Runner-native. ORG_USER authenticated (ORG_USER_EMAIL from .env). Creates a wishlist with unique name then deletes it in the final step (inline cleanup).,list_name=AGENT-TEST-WL-001-{{RUN_ID}},"[AUTH role=ORG_USER]
[GQL-OP setup_me]
  query { me { id } }
[GQL-EXEC setup_me]
[GQL-CAPTURE setup_me.data.me.id → USER_ID]
[GQL-OP create_list]
  mutation {
    createWishlist(command: {
      storeId: ""{{STORE_ID}}""
      userId: ""{{USER_ID}}""
      listName: ""AGENT-TEST-WL-001""
    }) {
      id name itemsCount
    }
  }
[GQL-EXEC create_list]
[GQL-CAPTURE create_list.data.createWishlist.id → LIST_ID]
[GQL-OP cleanup_remove]
  mutation { removeWishlist(command: { listId: ""{{LIST_ID}}"" }) }
[GQL-EXEC cleanup_remove]","[ERRORS label=setup_me] errors[] empty
[DATA label=setup_me] data.me.id is non-null
[ERRORS label=create_list] errors[] empty
[DATA label=create_list] data.createWishlist.id is non-empty GUID
[DATA label=create_list] data.createWishlist.name = AGENT-TEST-WL-001
[COUNT label=create_list] data.createWishlist.itemsCount = 0
[ERRORS label=cleanup_remove] errors[] empty",[ROUNDTRIP label=create_list] re-query wishlist(listId: {{LIST_ID}}) before cleanup to verify persistence (runner-manual),errors[] non-empty; createWishlist returns null id; name mismatch; itemsCount != 0 for empty list,none — cleanup mutation inline at end of Steps,VCST-21; xAPI; graphql-schema.md — Mutation.createWishlist WishlistType,Automated
WISH-002,createWishlist — With Description,GraphQL > Wishlist > Management,High,BL-GQL-001; BL-GQL-004,ECL-10.2,Runner-native. ORG_USER authenticated. Note: sharingKey is platform-generated (not user-settable) and requires scope=AnyoneAnonymous — this case focuses on description only.,description=Test wishlist with description,"[AUTH role=ORG_USER]
[GQL-OP setup_me]
  query { me { id } }
[GQL-EXEC setup_me]
[GQL-CAPTURE setup_me.data.me.id → USER_ID]
[GQL-OP create_list]
  mutation {
    createWishlist(command: {
      storeId: ""{{STORE_ID}}""
      userId: ""{{USER_ID}}""
      listName: ""AGENT-TEST-WL-002""
      description: ""Test wishlist with description""
    }) {
      id name description
    }
  }
[GQL-EXEC create_list]
[GQL-CAPTURE create_list.data.createWishlist.id → LIST_ID]
[GQL-OP cleanup_remove]
  mutation { removeWishlist(command: { listId: ""{{LIST_ID}}"" }) }
[GQL-EXEC cleanup_remove]","[ERRORS label=create_list] errors[] empty
[DATA label=create_list] data.createWishlist.id is non-empty GUID
[DATA label=create_list] data.createWishlist.name = AGENT-TEST-WL-002
[DATA label=create_list] data.createWishlist.description = Test wishlist with description
[ERRORS label=cleanup_remove] errors[] empty",[ROUNDTRIP label=create_list] query wishlist(listId) { description } → matches (runner-manual),errors[] non-empty; description missing or truncated; id null,none — inline cleanup,VCST-21; xAPI; graphql-schema.md — Mutation.createWishlist,Automated
WISH-003,changeWishlist — Rename List,GraphQL > Wishlist > Management,High,BL-GQL-001; BL-GQL-004,ECL-10.2,Runner-native. ORG_USER creates a list then renames it via changeWishlist.,new_name=AGENT-TEST-WL-003-RENAMED,"[AUTH role=ORG_USER]
[GQL-OP setup_me]
  query { me { id } }
[GQL-EXEC setup_me]
[GQL-CAPTURE setup_me.data.me.id → USER_ID]
[GQL-OP create_list]
  mutation {
    createWishlist(command: {
      storeId: ""{{STORE_ID}}""
      userId: ""{{USER_ID}}""
      listName: ""AGENT-TEST-WL-003""
    }) { id }
  }
[GQL-EXEC create_list]
[GQL-CAPTURE create_list.data.createWishlist.id → LIST_ID]
[GQL-OP rename]
  mutation {
    changeWishlist(command: {
      listId: ""{{LIST_ID}}""
      listName: ""AGENT-TEST-WL-003-RENAMED""
    }) { id name }
  }
[GQL-EXEC rename]
[GQL-OP verify]
  query { wishlist(listId: ""{{LIST_ID}}"") { id name } }
[GQL-EXEC verify]
[GQL-OP cleanup_remove]
  mutation { removeWishlist(command: { listId: ""{{LIST_ID}}"" }) }
[GQL-EXEC cleanup_remove]","[ERRORS label=rename] errors[] empty
[DATA label=rename] data.changeWishlist.name = AGENT-TEST-WL-003-RENAMED
[ERRORS label=verify] errors[] empty
[DATA label=verify] data.wishlist.name = AGENT-TEST-WL-003-RENAMED
[ERRORS label=cleanup_remove] errors[] empty",[ROUNDTRIP label=verify] confirms rename persisted across mutation boundary,errors[] non-empty; name not updated; changeWishlist returns old name; verify query shows stale data,none — inline cleanup,VCST-21; xAPI; graphql-schema.md — Mutation.changeWishlist,Automated
WISH-004,cloneWishlist — Verify Items Copied,GraphQL > Wishlist > Management,High,BL-GQL-001; BL-GQL-004,ECL-10.2; ECL-2.1,"Runner-native. Captures real product GUID, creates source wishlist with 1 item, then clones it. KNOWN BUG (verified 2026-03-30, RE-VERIFIED 2026-05-21): cloneWishlist injects phantom product 5a78d778-XXXX into every clone, itemsCount=2 instead of 1. Test contract is intentionally relaxed: asserts source preservation + source product in clone; logs clone itemsCount for tracking. TODO-JIRA: No JIRA ticket exists for this bug as of 2026-05-21 — file as P2/P3 when reproduced on regression (xAPI cloneWishlist phantom-product injection). Once filed, replace this note with the VCST-XXXX id and remove relaxed-assertion comments.",—,"[AUTH role=ORG_USER]
[GQL-OP setup_me]
  query { me { id } }
[GQL-EXEC setup_me]
[GQL-CAPTURE setup_me.data.me.id → USER_ID]
[GQL-OP setup_prod]
  query { products(storeId: ""{{STORE_ID}}"" first: 1 filter: ""code:@td(BUYABLE_NO_MIN_QTY.code)"") { items { id } } }
[GQL-EXEC setup_prod]
[GQL-CAPTURE setup_prod.data.products.items.0.id → PRODUCT_ID]
[GQL-OP create_src]
  mutation {
    createWishlist(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" listName: ""AGENT-TEST-WL-004-SRC"" }) { id }
  }
[GQL-EXEC create_src]
[GQL-CAPTURE create_src.data.createWishlist.id → SRC_LIST_ID]
[GQL-OP add_item]
  mutation {
    addWishlistItem(command: { listId: ""{{SRC_LIST_ID}}"" productId: ""{{PRODUCT_ID}}"" quantity: 1 }) { id itemsCount }
  }
[GQL-EXEC add_item]
[GQL-OP clone]
  mutation {
    cloneWishlist(command: {
      storeId: ""{{STORE_ID}}""
      userId: ""{{USER_ID}}""
      listId: ""{{SRC_LIST_ID}}""
      listName: ""AGENT-TEST-WL-004-CLONE""
    }) { id name itemsCount items { productId quantity } }
  }
[GQL-EXEC clone]
[GQL-CAPTURE clone.data.cloneWishlist.id → CLONE_LIST_ID]
[GQL-OP verify_src]
  query { wishlist(listId: ""{{SRC_LIST_ID}}"") { itemsCount items { productId } } }
[GQL-EXEC verify_src]
[GQL-OP cleanup_clone]
  mutation { removeWishlist(command: { listId: ""{{CLONE_LIST_ID}}"" }) }
[GQL-EXEC cleanup_clone]
[GQL-OP cleanup_src]
  mutation { removeWishlist(command: { listId: ""{{SRC_LIST_ID}}"" }) }
[GQL-EXEC cleanup_src]","[ERRORS label=add_item] errors[] empty
[COUNT label=add_item] data.addWishlistItem.itemsCount = 1
[ERRORS label=clone] errors[] empty
[DATA label=clone] data.cloneWishlist.id is non-empty GUID
[DATA label=clone] data.cloneWishlist.name = AGENT-TEST-WL-004-CLONE
[COUNT label=clone] data.cloneWishlist.itemsCount >= 1
[ERRORS label=verify_src] errors[] empty
[COUNT label=verify_src] data.wishlist.itemsCount = 1","[EVIDENCE] data.cloneWishlist.itemsCount: expected 1, KNOWN BUG yields 2 (phantom product 5a78d778 'MAMMOET SHOT GLASS BOSTON SHOT 2.5CL BOX'). Review evidence JSON.
[ROUNDTRIP label=verify_src] source list unchanged after clone",errors[] non-empty; source list destroyed by clone; clone has 0 items; source product missing from clone,none — inline cleanup,VCST-21; xAPI; graphql-schema.md — Mutation.cloneWishlist; KNOWN BUG: phantom-product 5a78d778-XXXX injection (no JIRA ticket as of 2026-05-21 — file when seen on regression); demoted to Semi-Automated to prevent false-green until JIRA filed,Semi-Automated
WISH-005,removeWishlist — Verify Deleted,GraphQL > Wishlist > Management,Critical,BL-GQL-001; BL-GQL-004,ECL-10.2,"Runner-native. Creates wishlist, removes it, verifies subsequent query returns null.",—,"[AUTH role=ORG_USER]
[GQL-OP setup_me]
  query { me { id } }
[GQL-EXEC setup_me]
[GQL-CAPTURE setup_me.data.me.id → USER_ID]
[GQL-OP create_list]
  mutation {
    createWishlist(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" listName: ""AGENT-TEST-WL-005"" }) { id }
  }
[GQL-EXEC create_list]
[GQL-CAPTURE create_list.data.createWishlist.id → LIST_ID]
[GQL-OP remove_list]
  mutation { removeWishlist(command: { listId: ""{{LIST_ID}}"" }) }
[GQL-EXEC remove_list]
[GQL-OP verify_gone]
  query { wishlist(listId: ""{{LIST_ID}}"") { id name } }
[GQL-EXEC verify_gone]","[ERRORS label=remove_list] errors[] empty
[DATA label=remove_list] data.removeWishlist = true
[DATA label=verify_gone] data.wishlist is null","[EVIDENCE] removeWishlist returns Boolean (no sub-selection allowed — {id} on Boolean would be DV-010)
[ROUNDTRIP label=verify_gone] list no longer queryable post-remove",errors[] non-empty on remove; removeWishlist returns false; list still queryable after delete,none — list already deleted,VCST-21; xAPI; graphql-schema.md — Mutation.removeWishlist,Automated
WISH-006,removeWishlist — Non-Existent ID Returns False Or Error,GraphQL > Wishlist > Management,Medium,BL-GQL-001,ECL-10.2; ECL-10.2,"Runner-native. Attempts to remove a zero-GUID wishlist. Server should return structured result (false or error — either is acceptable), no 500 or crash.",zero_guid=00000000-0000-0000-0000-000000000000,"[AUTH role=ORG_USER]
[GQL-OP remove_bogus]
  mutation { removeWishlist(command: { listId: ""00000000-0000-0000-0000-000000000000"" }) }
[GQL-EXEC remove_bogus]","[ERRORS label=remove_bogus] errors[] empty
[DATA label=remove_bogus] data.removeWishlist = false",[EVIDENCE] A non-existent listId must be reported as a failed removal (data.removeWishlist = false) or as a structured not-found in errors[]. Reporting success is neither. No HTTP 500 or stack trace in the response.,HTTP 500; unhandled exception; stack trace leaks in errors[].message; server crash,none,xAPI; graphql-schema.md — Mutation.removeWishlist error contract,Automated
WISH-007,wishlist Query — Get by listId,GraphQL > Wishlist > Queries,Critical,BL-GQL-001; BL-GQL-004,ECL-10.2; ECL-2.1,"Runner-native. Captures real product GUID, creates wishlist + adds 1 item, then queries back to verify all fields resolve.",—,"[AUTH role=ORG_USER]
[GQL-OP setup_me]
  query { me { id } }
[GQL-EXEC setup_me]
[GQL-CAPTURE setup_me.data.me.id → USER_ID]
[GQL-OP setup_prod]
  query { products(storeId: ""{{STORE_ID}}"" first: 1 filter: ""code:@td(BUYABLE_NO_MIN_QTY.code)"") { items { id } } }
[GQL-EXEC setup_prod]
[GQL-CAPTURE setup_prod.data.products.items.0.id → PRODUCT_ID]
[GQL-OP create_list]
  mutation { createWishlist(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" listName: ""AGENT-TEST-WL-007"" }) { id } }
[GQL-EXEC create_list]
[GQL-CAPTURE create_list.data.createWishlist.id → LIST_ID]
[GQL-OP add_item]
  mutation { addWishlistItem(command: { listId: ""{{LIST_ID}}"" productId: ""{{PRODUCT_ID}}"" quantity: 2 }) { id itemsCount } }
[GQL-EXEC add_item]
[GQL-OP query_list]
  query {
    wishlist(listId: ""{{LIST_ID}}"") {
      id name itemsCount
      items { id productId quantity }
    }
  }
[GQL-EXEC query_list]
[GQL-OP cleanup_remove]
  mutation { removeWishlist(command: { listId: ""{{LIST_ID}}"" }) }
[GQL-EXEC cleanup_remove]","[ERRORS label=query_list] errors[] empty
[DATA label=query_list] data.wishlist.id = {{LIST_ID}}
[DATA label=query_list] data.wishlist.name = AGENT-TEST-WL-007
[COUNT label=query_list] data.wishlist.itemsCount = 1
[DATA label=query_list] data.wishlist.items.0.productId is non-null
[COUNT label=query_list] data.wishlist.items.0.quantity = 2",[ROUNDTRIP label=query_list] re-execute same query → identical response,errors[] non-empty; wishlist null; itemsCount mismatch; quantity wrong,none — inline cleanup,VCST-3228; VCST-21; xAPI; graphql-schema.md — Query.wishlist WishlistType,Automated
WISH-008,wishlists Query — List with Pagination,GraphQL > Wishlist > Queries,High,BL-GQL-001; BL-GQL-004,ECL-10.2; ECL-2.1,Runner-native. Queries user's wishlists with first=5 pagination. Asserts structural invariants — totalCount may be 0 if none exist (acceptable).,first=5,"[AUTH role=ORG_USER]
[GQL-OP setup_me]
  query { me { id } }
[GQL-EXEC setup_me]
[GQL-CAPTURE setup_me.data.me.id → USER_ID]
[GQL-OP list_wl]
  query {
    wishlists(storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" first: 5) {
      totalCount
      items { id name itemsCount }
    }
  }
[GQL-EXEC list_wl]","[ERRORS label=list_wl] errors[] empty
[DATA label=list_wl] data.wishlists is non-null
[COUNT label=list_wl] data.wishlists.totalCount >= 0
[DATA label=list_wl] data.wishlists.items is non-null",[ROUNDTRIP label=list_wl] query is deterministic — re-execution returns same totalCount (runner-manual),errors[] non-empty; totalCount negative or missing; items array null,none — read-only,VCST-3228; VCST-21; xAPI; graphql-schema.md — Query.wishlists,Automated
WISH-009,sharedWishlist Query — Public Access via Platform-Generated Key,GraphQL > Wishlist > Queries,High,BL-GQL-001; BL-GQL-004,ECL-10.2,Not runner-automatable — requires navigating storefront UI ({{FRONT_URL}}/account/lists) to obtain platform-generated <SHARING_KEY> UUID. sharingKey is NOT user-settable via API (custom strings silently ignored — only scope=AnyoneAnonymous triggers platform generation). Kept as Manual until runner gains UI-step primitive.,—,"[NAV] {{FRONT_URL}}/account/lists
[ACT] click 'Create New List'
[WAIT] create-list form visible
[ACT] enter a list name
[ACT] set visibility to 'Shared' / 'Public' (the storefront option that triggers platform scope=AnyoneAnonymous)
[ACT] click 'Create'
[WAIT] list created and appears in My Lists
[ACT] open the new list's Share option
[WAIT] share dialog visible with a public link
[ASSERT] public link contains a platform-generated UUID segment
[ACT] copy the UUID segment from the 'Public Link' shown in the share dialog
[NAV] {{BACK_URL}}/ui/graphiql
[GQL] execute query { sharedWishlist(sharingKey: ""<copied UUID>"") { id name items { productId } } } — no Authorization header set
[READ] response payload","[DOM] share dialog exposes a public link containing a UUID segment {DOC}
[DATA] sharedWishlist(sharingKey: <copied UUID>) resolves to the created list's id/name/items with no Authorization header required {DOC}
[ERRORS] errors[] is empty on the anonymous sharedWishlist query {BL}","[API] sharedWishlist query response errors[] is empty
[CONSOLE] no uncaught JS errors during storefront share flow",sharedWishlist returns null for the platform-generated key; errors[] non-empty on the anonymous query; scope resolves to Organization instead of AnyoneAnonymous; authentication required on a query that should be public,Delete the created wishlist via storefront UI (or removeWishlist mutation once authenticated); discard the copied sharing key — none persisted beyond the session,VCST-3772; VCST-21; xAPI; graphql-schema.md — Query.sharedWishlist; Synced: lifecycle lists/SFL (2026-08-05),Manual
WISH-010,addWishlistItem — Single Item,GraphQL > Wishlist > Items,Critical,BL-GQL-001; BL-GQL-004,ECL-10.2; ECL-2.1,"Runner-native. Captures a real product GUID from products query (B2B virtual catalog fc596540...), creates wishlist, adds one item, verifies itemsCount increments and product matches.",—,"[AUTH role=ORG_USER]
[GQL-OP setup_me]
  query { me { id } }
[GQL-EXEC setup_me]
[GQL-CAPTURE setup_me.data.me.id → USER_ID]
[GQL-OP setup_prod]
  query {
    products(storeId: ""{{STORE_ID}}"" first: 1 filter: ""code:@td(BUYABLE_NO_MIN_QTY.code)"") {
      items { id }
    }
  }
[GQL-EXEC setup_prod]
[GQL-CAPTURE setup_prod.data.products.items.0.id → PRODUCT_ID]
[GQL-OP create_list]
  mutation { createWishlist(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" listName: ""AGENT-TEST-WL-010"" }) { id } }
[GQL-EXEC create_list]
[GQL-CAPTURE create_list.data.createWishlist.id → LIST_ID]
[GQL-OP add_item]
  mutation {
    addWishlistItem(command: { listId: ""{{LIST_ID}}"" productId: ""{{PRODUCT_ID}}"" quantity: 1 }) {
      id itemsCount items { id productId quantity }
    }
  }
[GQL-EXEC add_item]
[GQL-OP cleanup_remove]
  mutation { removeWishlist(command: { listId: ""{{LIST_ID}}"" }) }
[GQL-EXEC cleanup_remove]","[ERRORS label=setup_prod] errors[] empty
[DATA label=setup_prod] data.products.items.0.id is non-null
[ERRORS label=add_item] errors[] empty
[COUNT label=add_item] data.addWishlistItem.itemsCount = 1
[DATA label=add_item] data.addWishlistItem.items.0.productId = {{PRODUCT_ID}}
[COUNT label=add_item] data.addWishlistItem.items.0.quantity = 1
[DATA label=add_item] data.addWishlistItem.items.0.id is non-null",[ROUNDTRIP label=add_item] query wishlist(listId) → items[0] matches addWishlistItem response,errors[] non-empty; itemsCount not incremented; items[] empty; productId or quantity mismatch,none — inline cleanup,VCST-21; xAPI; graphql-schema.md — Mutation.addWishlistItem,Automated
