Section,Title,Type,Priority,Estimate,References,Preconditions,Steps,Expected Result
"VCST-4499 BOPIS Map Modal","TC-001: Basic Map Stability (Primary Bug Fix)","Functional","Critical","15m","VCST-4499, PR-2138","- PR #2138 deployed to test environment
- Test URL: https://virtostart-demo-store.govirto.com/cart
- Shopping cart contains at least 2 products
- Multiple pickup locations configured","1. Add products to cart
2. Navigate to cart page
3. Scroll to shipping section
4. Select ""Pickup"" option
5. Click ""Select pickup location""
6. Measure map container dimensions (note height/width)
7. Enter location name in search field
8. Verify map dimensions remain unchanged
9. Verify map does not jump/shift position
10. Clear search field using X button
11. Verify map dimensions remain unchanged
12. Verify map does not jump/shift position
13. Enter address in search field
14. Clear search field manually (backspace)
15. Verify map dimensions remain unchanged
16. Repeat steps 7-15 three times","- Cart page displays correctly with items
- Pickup location selector opens on Pickup selection
- Map modal opens with map displayed
- Map container maintains consistent dimensions throughout all operations
- No visual ""jumping"" or layout shifts occur
- Smooth transitions between states
- Search field accepts input and clears properly
- Consistent behavior across multiple iterations"
"VCST-4499 BOPIS Map Modal","TC-002: Desktop View - Location Selection Flow","Functional","Critical","12m","VCST-4499, PR-2138, VCST-4518","- Desktop browser (1920x1080 or similar)
- PR #2138 deployed
- Test URL accessible
- Cart has products
- Multiple pickup locations available","1. Open pickup location modal
2. Verify desktop layout (map on right, list on left)
3. Click on a location in the list
4. Verify location highlights on map
5. Verify map pans smoothly to selected location
6. Verify info window opens on marker
7. Click different location in list
8. Verify previous highlight clears, new location highlights
9. Verify map animates smoothly to new location
10. Click marker on map directly
11. Verify info window opens
12. Click ""Select"" button in info window
13. Verify PickupLocationCard dialog opens
14. Verify card content (location details, availability, contact info)
15. Click ""Confirm"" button
16. Verify modal closes and pickup location is set in cart","- Modal opens with proper desktop layout
- Location list visible on left, map on right
- Clicking list items highlights markers and pans map smoothly
- Info windows open correctly on markers
- Only one location highlighted at a time
- PickupLocationCard displays with all required information
- Confirmation flow completes successfully
- Selected location appears in cart page
- All interactions smooth without lag
- No race conditions in info window display"
"VCST-4499 BOPIS Map Modal","TC-003: Mobile View - List/Map Toggle","Functional","Critical","10m","VCST-4499, PR-2138","- Mobile device or browser dev tools (375x667)
- iOS Safari or Android Chrome
- PR #2138 deployed
- Cart has products","1. Open pickup location modal on mobile device
2. Verify modal opens showing list view by default
3. Verify List/Map toggle button visible at top
4. Click ""Map"" toggle
5. Verify view switches to map
6. Verify map fills viewport correctly
7. Verify list view is hidden
8. Click ""List"" toggle
9. Verify view switches back to list
10. Verify list fills viewport correctly
11. Verify map view is hidden
12. Switch to Map view
13. Click on a marker
14. Verify info window opens on marker
15. Click ""Select"" in info window
16. Verify PickupLocationCard opens
17. Verify card displays properly on small screen
18. Confirm selection
19. Verify modal closes and location is set","- Mobile layout displays correctly
- Toggle button is visible and accessible
- Views switch instantly without lag
- Only one view visible at a time
- Each view properly sized for mobile viewport
- No horizontal scrolling
- Touch targets appropriately sized (min 44x44px)
- Info windows work on mobile
- PickupLocationCard fits mobile screen
- Selection flow completes successfully"
"VCST-4499 BOPIS Map Modal","TC-004: Search Functionality","Functional","High","10m","VCST-4499, PR-2138","- Pickup location modal accessible
- Multiple locations with different names
- Valid and invalid address test data prepared","1. Open pickup location modal
2. Enter partial location name (e.g., ""Mall"")
3. Verify results filter to matching locations
4. Verify map updates to show only matching markers
5. Verify list updates to show only matching locations
6. Clear search using X button
7. Verify all locations return to display
8. Enter full address
9. Verify map zooms to address area
10. Verify nearby locations highlighted
11. Enter invalid/non-existent address
12. Verify appropriate error or empty state shown
13. Verify geolocation handling (no crash)
14. Clear invalid search
15. Verify returns to normal state
16. Type rapidly in search field
17. Verify search debounces appropriately
18. Verify no excessive API calls","- Search field accepts input correctly
- Results filter accurately based on search term
- Map and list stay synchronized during search
- Partial matches work correctly
- Clear button restores all locations
- Address search zooms map appropriately
- Invalid addresses handled gracefully
- No crashes or errors with invalid input
- Rapid typing debounced properly
- Reasonable number of map updates (no excessive API calls)
- Search results immediate and accurate"
"VCST-4499 BOPIS Map Modal","TC-005: Filter Operations","Functional","High","8m","VCST-4499, PR-2138","- Modal accessible
- Locations with various availability statuses
- Distance data available (if applicable)","1. Open pickup location modal
2. Verify filter section visible and properly styled
3. Apply availability filter (if available)
4. Verify list filters to available locations only
5. Verify unavailable locations greyed out or hidden on map
6. Apply distance filter (if available)
7. Verify locations sorted/filtered by distance
8. Combine multiple filters
9. Verify both filters apply correctly
10. Search while filters active
11. Verify search respects active filters
12. Clear all filters
13. Verify all locations return
14. Verify map shows all locations again","- Filter UI displays correctly and is responsive
- Availability filter works correctly
- Map markers reflect filter state
- Distance filter works correctly
- Multiple filters combine properly
- Search respects active filters
- Clear filters restores all locations
- Map and list remain synchronized throughout
- Filter changes apply immediately"
"VCST-4499 BOPIS Map Modal","TC-006: Map Interaction & Info Windows","Functional","High","12m","VCST-4499, PR-2138","- Google Maps API configured
- Multiple locations with markers
- Modal accessible","1. Open pickup location modal
2. Verify map loads completely (no blank map)
3. Verify markers visible on map
4. Zoom in using controls
5. Verify map zooms smoothly
6. Zoom out using controls
7. Verify map zooms smoothly
8. Pan map by dragging
9. Verify map pans smoothly
10. Click marker A
11. Verify info window A opens
12. Quickly click marker B
13. Verify info window B opens and A closes
14. Verify only one info window visible (no race condition)
15. Rapidly click multiple markers in succession
16. Verify no crashes, single info window always visible
17. Click map background
18. Verify current info window closes
19. Use keyboard to navigate list
20. Verify map updates accordingly with smooth pan animation","- Map renders completely without blank areas
- All markers visible at appropriate zoom level
- Zoom controls work smoothly
- Pan/drag works smoothly
- Info windows open correctly on marker click
- Only one info window visible at a time
- No race conditions when rapidly clicking markers
- Background click closes info window
- Keyboard navigation updates map correctly
- Smooth pan animations with idle callback
- All map interactions responsive and smooth"
"VCST-4499 BOPIS Map Modal","TC-007: Pickup Location Card Component","Functional","High","8m","VCST-4499, PR-2138, VCST-4518","- Modal accessible
- Locations with complete information (name, address, hours, contact)","1. Open pickup location modal
2. Select a location (click marker or list item)
3. Verify PickupLocationCard dialog opens
4. Verify card structure (title, details, availability, actions)
5. Verify location name displays correctly
6. Verify address displays correctly
7. Verify hours of operation display
8. Verify availability information with chip-based presentation
9. Verify contact information (phone, email if available)
10. Verify action buttons (Confirm and Cancel) present
11. Click ""Cancel"" button
12. Verify dialog closes and returns to map modal
13. Verify map position and selection unchanged
14. Select location again
15. Verify card reopens
16. Click ""Confirm"" button
17. Verify card closes, modal closes, location set in cart","- PickupLocationCard opens on location selection
- Card displays all relevant location information clearly
- Title shows location name
- Address formatted correctly
- Hours of operation visible
- Chip-based availability presentation matches design
- Contact info displays if available
- Confirm and Cancel buttons visible and accessible
- Cancel returns to modal without changing state
- Confirm completes selection and closes modal
- Selected location shows in cart
- State management proper on cancel/confirm
- UI matches design specifications"
"VCST-4499 BOPIS Map Modal","TC-008: Scroll Behavior & Modal Controls","Functional","Medium","8m","VCST-4499, PR-2138","- Modal accessible
- Location list with enough items to require scrolling","1. Open pickup location modal
2. Verify modal structure (header, content, footer visible)
3. Scroll location list
4. Verify list scrolls independently of map
5. Verify map remains static (does not scroll)
6. Scroll to bottom of list
7. Verify scroll stops at end (no over-scroll issues)
8. Scroll to top of list
9. Verify scroll stops at top
10. Open location card
11. Verify card opens over modal
12. Attempt to scroll background modal
13. Verify background modal scroll disabled
14. Close card
15. Verify modal scroll re-enabled
16. Open and close modal 5 times rapidly
17. Verify no scroll-related issues","- Modal structure displays correctly
- Location list scrolls independently
- Map does not scroll with list
- Scroll boundaries work correctly (top/bottom)
- No unexpected over-scroll behavior
- PickupLocationCard disables background scroll when open
- Background scroll re-enabled after card closes
- Rapid open/close does not cause scroll issues
- Scroll containers work independently as designed
- No scroll jumps or unexpected behavior"
"VCST-4499 BOPIS Map Modal","TC-009: Responsive Breakpoint Testing","Functional","High","20m","VCST-4499, PR-2138","- Browser dev tools for responsive testing
- Ability to test at multiple screen widths","1. Test at 320px width
2. Verify List/Map toggle, single column layout
3. Test search, location selection at 320px
4. Verify no horizontal scroll, no layout breaks
5. Test at 375px width
6. Verify List/Map toggle, single column layout
7. Test all functionality at 375px
8. Test at 425px width
9. Verify mobile layout appropriate
10. Test at 768px width
11. Verify layout (desktop or enhanced mobile)
12. Test at 1024px width
13. Verify desktop layout (list left, map right)
14. Test at 1440px width
15. Verify desktop layout proper
16. Test at 1920px width
17. Verify desktop layout, no stretching issues
18. Test search functionality at each breakpoint
19. Test location selection at each breakpoint
20. Verify all interactive elements work at all sizes","For each breakpoint:
- Layout matches design specification
- No broken layouts or overlapping elements
- No horizontal scrolling
- All functionality works correctly
- Interactive elements properly sized and accessible
- Text readable and not truncated
- Buttons/controls accessible
- Smooth transitions between breakpoints
- Mobile layouts use toggle (320-767px)
- Desktop layouts show side-by-side (768px+)"
"VCST-4499 BOPIS Map Modal","TC-010: Localization Testing","Functional","Medium","30m","VCST-4499, PR-2138","- Access to change language settings
- Test environment with all languages configured
- Sample locations in system","For each language (de, en, es, fi, fr, it, ja, no, pl, pt, ru, sv, zh):
1. Change language setting
2. Open pickup location modal
3. Verify all UI elements translated
4. Verify search placeholder translated
5. Verify button labels translated
6. Verify filter labels translated
7. Verify location card content appropriate
8. Verify text fits in containers (no overflow)
9. Verify buttons and labels fit properly
10. Test complete selection flow in that language
11. Verify no truncated text anywhere
12. Verify no broken layouts due to text length
13. For RTL languages (if applicable), verify proper RTL display","For all 13 languages:
- All UI elements properly translated
- No missing translations (no translation keys visible)
- Text fits within containers without truncation
- Buttons and labels properly sized
- No layout breaks due to long text
- Complete flow works in each language
- Error messages translated
- RTL languages display correctly (if applicable)
- Character sets display correctly (esp. Japanese, Chinese, Russian)
- Special characters handled properly"
