"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"CAT-021","Reset Filters - Search Results Preserve Search Term","Search > Filters > Reset","High","BL-CAT-004, BL-SEARCH-001","","Search executed with term 'printer'","url={{FRONT_URL}}; query=@td(SEARCH_OFFICE.query)","[NAV] Navigate to {{FRONT_URL}} and search for 'printer'
[WAIT] Wait for search results page
[ACT] Apply one or more filters on search results
[WAIT] Wait for filtered results
[ACT] Click 'Reset filters' button
[WAIT] Wait for filter reset
[ASSERT] Verify search term 'printer' remains in search bar
[ASSERT] Verify URL retains ?q=printer with no filter params
[ASSERT] Verify full search result set is restored","[STATE] Search input still contains 'printer' after filter reset
[NAV] URL contains ?q=printer; filter params removed
[MATH] Full search result count restored (not redirected to homepage or /catalog)
[DOM] No filter chips in chip bar","[NETWORK] no 4xx/5xx on reset request
[CONSOLE] no TypeError or JS errors","Search term cleared from input after reset; redirect away from search results; filter params remain in URL; console TypeError","none","tests/Sprint26-03/VCST-4122-reset-filters-button","Manual"
"SRCH-003","Search - No Results","Search > Edge Cases","Medium","BL-SEARCH-003","","No preconditions — nonsense query","url={{FRONT_URL}}; query=xyzabc123","[NAV] Navigate to {{FRONT_URL}}
[ACT] fill 'Search': 'xyzabc123'
[KEY] press [Enter]
[WAIT] Wait for results page
[ASSERT] Verify empty state / no results UI","[DOM] No results message displayed (not blank page, not error page)
[DOM] Suggestions or alternatives shown if available
[STATE] No JavaScript errors or crashes","[NETWORK] POST /graphql (searchProducts) returns HTTP 200 (not 5xx)
[CONSOLE] no TypeError or JS errors","No-results message absent; page showing 500 error; console TypeError on empty result set","none","regression-qa-theme-26.csv","Automated"
"SRCH-004","Search - Special Characters","Search > Edge Cases","Medium","BL-SEARCH-003","ECL-8.1","No preconditions","url={{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}
[ACT] fill 'Search': 'test & test'; [KEY] press [Enter]; [WAIT]
[ASSERT] Verify no errors; results or empty state shown
[NAV] Navigate back; [ACT] fill 'Search': 'product (new)'; [KEY] press [Enter]; [WAIT]
[ASSERT] Verify no errors
[NAV] Navigate back; [ACT] fill 'Search': 'item #123'; [KEY] press [Enter]; [WAIT]
[ASSERT] Verify no errors","[STATE] Special characters (& ( ) #) handled without errors or crashes
[STATE] Results page or no-results state shown for each query
[DOM] No error page or stack trace displayed","[NETWORK] POST /graphql (searchProducts) returns HTTP 200 for each query
[CONSOLE] no TypeError or JS errors","Any query causing 5xx or JS crash; console TypeError; error page shown instead of results/no-results","none","regression-qa-theme-26.csv","Automated"
"SRCH-006","Search - Filters on Results","Search > Filters","High","BL-SEARCH-001, BL-CAT-002","","Search returns multiple products","url={{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}} and execute a search query that returns 5+ products
[WAIT] Wait for results page
[ACT] Apply a facet filter from the sidebar
[WAIT] Wait for filtered results
[ACT] Apply a price range filter
[WAIT] Wait for combined results
[ASSERT] Verify combined filter/search results are correct","[DOM] Facet filters available in sidebar on search results page
[MATH] Combined filters narrow result set (AND logic)
[MATH] Result count updates after each filter","[NETWORK] POST /graphql (searchProducts) returns HTTP 200 with filters applied
[NETWORK] no 4xx/5xx on filter request
[CONSOLE] no TypeError or JS errors","Sidebar filters absent on search results page; filters not narrowing results; result count unchanged after filter; 4xx on filtered search; console TypeError","none","regression-qa-theme-26.csv","Automated"
"SRCH-009","Organization Search - Find Org","Search > Organization","Medium","BL-SEARCH-001","","Multiple organizations exist; user has org search access","url={{FRONT_URL}}; email=@td(ACME_ADMIN.email); password=@td(ACME_ADMIN.password)","[NAV] Navigate to organization search on {{FRONT_URL}}
[ACT] fill organization name search field with a known org name
[KEY] press [Enter]
[WAIT] Wait for results
[ASSERT] Verify results match the query
[ACT] Click on an organization result
[WAIT] Wait for org detail/profile to load","[DOM] Organization search results match the entered query
[NAV] Clicking on org result navigates to org detail page
[DOM] Org detail page loads without error","[NETWORK] search request returns HTTP 200
[CONSOLE] no TypeError or JS errors","Org search returning no results for known org; org detail page returning 4xx; console TypeError","none","tests/VCST-4357-org-search","Automated"
"SRCH-010","Organization Search - Filters","Search > Organization","Medium","BL-SEARCH-001","","Organizations with different attributes exist; user has org search access","url={{FRONT_URL}}; email=@td(ACME_ADMIN.email); password=@td(ACME_ADMIN.password)","[NAV] Navigate to organization search on {{FRONT_URL}}
[ACT] Search organizations (generic query or browse)
[WAIT] Wait for results
[ACT] Apply industry filter
[WAIT] Wait for filtered results
[ACT] Apply location filter
[WAIT] Wait for combined results
[ASSERT] Verify filtered results contain only matching orgs","[DOM] Organization filter options visible (industry, location)
[STATE] Applying filters narrows org result set
[MATH] Combined filters use AND logic","[NETWORK] filter requests return HTTP 200
[CONSOLE] no TypeError or JS errors","Org filters not available; filters not narrowing results; combined filter returning wrong set; console TypeError","none","tests/VCST-4357-org-search","Automated"
"SRCH-NEW-012","Search Results - Show in Stock Checkbox Default and Toggle","Search > Filters > Checkboxes","High","BL-CAT-002","","Navigate to /search?q=hoodie","url={{FRONT_URL}}/search?q=hoodie","[NAV] Navigate to {{FRONT_URL}}/search?q=hoodie
[WAIT] Wait for results page
[ASSERT] Verify 'Show in stock' checkbox is checked by default
[ASSERT] Verify corresponding chip is present in chip bar
[ACT] Uncheck 'Show in stock'
[WAIT] Wait for results to update
[ASSERT] Verify chip removed from chip bar; result count may change
[ACT] Re-check 'Show in stock'
[WAIT] Wait for results to restore
[ASSERT] Verify chip returns and results restored","[STATE] 'Show in stock' is checked on page load by default
[DOM] Chip for 'Show in stock' present in chip bar by default
[STATE] Unchecking removes chip; result count may change to include out-of-stock
[STATE] Re-checking restores chip and original result set","[NETWORK] no 4xx/5xx on checkbox toggle
[CONSOLE] no TypeError or JS errors","Checkbox not checked by default; chip absent on page load; chip not appearing/disappearing on toggle; console TypeError","none","","Manual"
"SRCH-NEW-013","Search Results - Purchased Before Checkbox","Search > Filters > Checkboxes","Medium","BL-CAT-002","ECL-3.1","User authenticated with prior purchases; navigate to /search?q=hoodie","url={{FRONT_URL}}/search?q=hoodie; email=@td(USER_DEFAULT.email); password=@td(USER_DEFAULT.password)","[NAV] Log in and navigate to {{FRONT_URL}}/search?q=hoodie
[WAIT] Wait for results
[ASSERT] Verify 'Purchased before' is unchecked by default
[ACT] Check 'Purchased before'
[WAIT] Wait for results to filter
[ASSERT] Verify chip appears; results filtered to prior purchases
[ACT] Uncheck 'Purchased before'
[WAIT] Wait for results to restore
[ASSERT] Verify chip removed; full results return","[STATE] 'Purchased before' unchecked by default
[STATE] Checking adds chip and filters to previously purchased products
[STATE] Unchecking removes chip and restores all results","[NETWORK] no 4xx/5xx on checkbox toggle
[CONSOLE] no TypeError or JS errors","'Purchased before' not available for authenticated user; chip not appearing on check; results not filtered to prior purchases; console TypeError","none","","Manual"
"SRCH-NEW-014","Search Results - Sidebar Facet Filter","Search > Filters > Sidebar","High","BL-CAT-002, BL-SEARCH-001","","Navigate to /search?q=hoodie; sidebar shows Color facet","url={{FRONT_URL}}/search?q=hoodie","[NAV] Navigate to {{FRONT_URL}}/search?q=hoodie
[WAIT] Wait for results and sidebar
[ACT] Expand 'Color' facet group in sidebar
[ACT] Select a color value
[WAIT] Wait for chip bar and result count to update
[ASSERT] Verify chip appears for selected color
[ASSERT] Verify product list updates to matching items only
[ACT] Click close (×) on the color chip
[WAIT] Wait for full results to restore
[ASSERT] Verify chip removed; full result count restored","[DOM] Sidebar facets expandable
[DOM] Selecting a facet value creates a chip in chip bar
[MATH] Product list updates to only show matching color items
[STATE] Closing chip removes filter and restores original count","[NETWORK] POST /graphql (searchProducts) returns HTTP 200 with facet filter
[NETWORK] no 4xx/5xx on filter request
[CONSOLE] no TypeError or JS errors","Sidebar facets not expandable; chip not appearing after facet selection; product count not changing; chip close not restoring results; console TypeError","none","SRCH-006","Manual"
"SRCH-NEW-015","Search Results - Reset Filters Preserves Search Term","Search > Filters > Reset","High","BL-CAT-004, BL-SEARCH-001","","Navigate to /search?q=hoodie; apply sidebar facet filter","url={{FRONT_URL}}/search?q=hoodie","[NAV] Navigate to {{FRONT_URL}}/search?q=hoodie
[ACT] Apply a sidebar facet filter
[WAIT] Wait for chip and filter param in URL
[ASSERT] Verify 'Reset filters' button is visible
[ACT] Click 'Reset filters'
[WAIT] Wait for filters to clear
[ASSERT] Verify search term 'hoodie' remains in header input
[ASSERT] Verify URL retains ?q=hoodie with no filter params
[ASSERT] Verify full result set restored","[STATE] Search input still contains 'hoodie' after reset
[NAV] URL contains ?q=hoodie; all filter params removed
[MATH] Full search result count restored after reset
[DOM] No filter chips in chip bar","[NETWORK] no 4xx/5xx on reset request
[CONSOLE] no TypeError or JS errors","Search term cleared after reset; redirect to homepage or /catalog; filter params remain in URL; console TypeError","none","CAT-021","Manual"
