ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
"IMP-001","Security Verification Form — Rendered for Unauthenticated Visitor","LoginOnBehalf > Form Flow > Rendering","High","BL-AUTH-005, BL-AUTH-006","ECL-14.1","[PRE:CLEAR_SESSION]
No active storefront session. Target userId known via @td(IMPERSONATE_TARGET.userId).","front_url={{FRONT_URL}}, target_user_id=@td(IMPERSONATE_TARGET.userId)","[PRE:SIGNOUT]
[NAV] {{FRONT_URL}}/account/impersonate/@td(IMPERSONATE_TARGET.userId)
[WAIT] Page fully renders
[ASSERT] URL remains on /account/impersonate/{userId} — no redirect to /sign-in","[DOM] h1 text = 'Security verification'
[DOM] Subtitle paragraph 'Confirm your identity to continue' visible
[DOM] Description paragraph 'You are logging in on behalf of a customer. The session will be audited.' visible
[DOM] input[type='email'] present and enabled
[DOM] input[type='password'] present and enabled
[DOM] 'Verify and continue' submit button visible
[DOM] 'Cancel' button visible
[NAV] URL remains /account/impersonate/{userId} — no redirect occurred","[NETWORK] GET /account/impersonate/{userId} returns HTTP 200
[CONSOLE] No JS errors on page load","Page redirects to /sign-in instead of rendering form; h1 text missing or different; subtitle or description absent; 'Verify and continue' button absent; 404 on route; console TypeError","[NAV] Navigate to {{FRONT_URL}} to clear page state","VCST-4905, VCST-4725, BL-AUTH-005; Executed PASS 2026-05-11 via qa-frontend-expert (evidence: reports/test-lifecycle/TLC-2026-05-11-2114/execution-evidence/auth-069-PASS-anonymous-form-rendered.png)","Automated"
"IMP-002","Security Verification Form — Cancel Redirects to Home","LoginOnBehalf > Form Flow > Cancel","Medium","BL-AUTH-007","ECL-14.1","[PRE:CLEAR_SESSION]
Unauthenticated user. Security verification form rendered at /account/impersonate/{userId}.","front_url={{FRONT_URL}}, target_user_id=@td(IMPERSONATE_TARGET.userId)","[PRE:SIGNOUT]
[NAV] {{FRONT_URL}}/account/impersonate/@td(IMPERSONATE_TARGET.userId)
[WAIT] Form visible with 'Cancel' button
[ASSERT] Verify 'Cancel' button (variant outline) is visible and enabled
[ACT] Click 'Cancel' button
[WAIT] Navigation completes","[NAV] URL changes to {{FRONT_URL}}/ (home page root) after clicking Cancel
[DOM] Home page content visible (not impersonate form)
[STATE] No authentication occurred — user remains unauthenticated","[NETWORK] No POST /connect/token issued after Cancel click
[CONSOLE] No JS errors","Redirect to /sign-in instead of /; redirect to blank or error page; 404; console TypeError","[NAV] Already on home after Cancel","VCST-4905, VCST-4725, BL-AUTH-007","Automated"
"IMP-003","Security Verification Form — Wrong Password Rejected with Inline Error","LoginOnBehalf > Form Flow > Negative","High","BL-AUTH-005","ECL-14.1","[PRE:CLEAR_SESSION]
Unauthenticated user. Security verification form rendered.","front_url={{FRONT_URL}}, target_user_id=@td(IMPERSONATE_TARGET.userId), operator_email=@td(SUPPORT_AGENT.email)","[PRE:SIGNOUT]
[NAV] {{FRONT_URL}}/account/impersonate/@td(IMPERSONATE_TARGET.userId)
[WAIT] ImpersonateForm rendered
[ACT] Fill email input: @td(SUPPORT_AGENT.email)
[WAIT] Email field populated
[ACT] Fill password input: 'WrongPass999!'
[WAIT] Password field populated
[ACT] Click 'Verify and continue' submit button
[WAIT] Error response (step returns to idle with errors)
[ASSERT] Red VcAlert visible with error message","[DOM] Red VcAlert visible with text matching 'login_failed' translation key: 'Login attempt failed. Check your credentials'
[NAV] URL remains /account/impersonate/{userId} — NOT redirected to /sign-in or home
[DOM] Email input still present and editable
[DOM] Password input still present and editable
[DOM] 'Verify and continue' button re-enabled after error (step=idle)
[STATE] User remains unauthenticated — no session cookie set","[NETWORK] POST /connect/token for credential verification returns 4xx (login_failed)
[CONSOLE] No JS errors","No error displayed — silent failure allowing access; form clears without message; redirect to home; button remains disabled after error; console TypeError","[NAV] Navigate to {{FRONT_URL}} to clear page state","VCST-4905, VCST-4725, BL-AUTH-005; Executed PASS 2026-05-11 via qa-frontend-expert (evidence: reports/test-lifecycle/TLC-2026-05-11-2114/execution-evidence/auth-072-PASS-inline-error-no-redirect.png)","Automated"
"IMP-004","Security Verification Form — Empty Submit Blocked (Button Disabled)","LoginOnBehalf > Form Flow > Negative","Medium","BL-AUTH-005","","[PRE:CLEAR_SESSION]
Unauthenticated user. Security verification form rendered.","front_url={{FRONT_URL}}, target_user_id=@td(IMPERSONATE_TARGET.userId)","[PRE:SIGNOUT]
[NAV] {{FRONT_URL}}/account/impersonate/@td(IMPERSONATE_TARGET.userId)
[WAIT] ImpersonateForm rendered
[ASSERT] 'Verify and continue' button is disabled (both fields empty, meta.valid=false)
[ACT] Fill email input: 'notanemail' (no @ symbol)
[ASSERT] 'Verify and continue' button remains disabled (yup email validation rejects)
[ACT] Clear email input
[ASSERT] 'Verify and continue' button is disabled with both fields empty
[ACT] Fill email input: 'valid@example.com'
[ASSERT] Button is still disabled (password still empty)
[ACT] Fill password input: 'AnyPassword1!'
[WAIT] Password field populated
[ASSERT] 'Verify and continue' button becomes enabled
[ACT] Clear password input
[ASSERT] Button becomes disabled again (password empty)","[DOM] 'Verify and continue' button disabled (:disabled=true) when email empty
[DOM] Button disabled when email is 'notanemail' (invalid format — yup string().email() rejects)
[DOM] Button disabled when password empty
[DOM] Button enabled only when both email is valid format and password is non-empty
[STATE] Form does not submit while meta.valid=false","[NETWORK] No POST /connect/token issued on empty submit or invalid email
[CONSOLE] No JS errors","Submit button enabled with invalid email; form submits with empty fields; button state does not react to field changes; console TypeError","[NAV] Navigate to {{FRONT_URL}} to clear page state","VCST-4905, VCST-4725, BL-AUTH-005","Automated"
"IMP-005","Security Verification Form — Password Field Toggles Visibility","LoginOnBehalf > Form Flow > UI","Low","","","[PRE:CLEAR_SESSION]
Unauthenticated user. Security verification form rendered.","front_url={{FRONT_URL}}, target_user_id=@td(IMPERSONATE_TARGET.userId)","[PRE:SIGNOUT]
[NAV] {{FRONT_URL}}/account/impersonate/@td(IMPERSONATE_TARGET.userId)
[WAIT] Form visible with password field
[ACT] Fill password input: 'SomePass123!'
[WAIT] Password field populated
[ASSERT] Input type is 'password' (dots/masked)
[ACT] Click eye/toggle icon next to password field
[WAIT] Input type changes
[ASSERT] Input type is 'text' (visible)
[ACT] Click eye/toggle icon again
[WAIT] Input type reverts","[DOM] Password field input type='password' initially
[DOM] Toggle icon (eye) visible next to password field
[DOM] After first toggle: input type='text', password visible in plain text
[DOM] After second toggle: input type='password' again","[CONSOLE] No JS errors on toggle","Toggle icon missing; password never masks; toggle crashes the form; console TypeError","[NAV] Navigate to {{FRONT_URL}} to clear page state","VCST-4725","Draft"
"IMP-006","Security Verification Form — Error Clears on Field Edit","LoginOnBehalf > Form Flow > Negative","Low","","","[PRE:CLEAR_SESSION]
Unauthenticated user. ImpersonateForm has shown a login_failed error (step=idle with errors populated).","front_url={{FRONT_URL}}, target_user_id=@td(IMPERSONATE_TARGET.userId), operator_email=@td(SUPPORT_AGENT.email)","[PRE:SIGNOUT]
[NAV] {{FRONT_URL}}/account/impersonate/@td(IMPERSONATE_TARGET.userId)
[WAIT] ImpersonateForm rendered
[ACT] Fill email input: @td(SUPPORT_AGENT.email)
[WAIT] Email field populated
[ACT] Fill password input: 'WrongPass!'
[WAIT] Password field populated
[ACT] Click 'Verify and continue' button
[WAIT] Red VcAlert error appears
[ASSERT] Red VcAlert error message is visible
[ACT] Type any character into the email input (e.g. append 'x')
[ASSERT] Red VcAlert error message disappears immediately (resetState() fired by watcher)
[NAV] {{FRONT_URL}}/account/impersonate/@td(IMPERSONATE_TARGET.userId)
[WAIT] ImpersonateForm rendered
[ACT] Fill email input: @td(SUPPORT_AGENT.email)
[WAIT] Email field populated
[ACT] Fill password input: 'WrongPass!'
[WAIT] Password field populated
[ACT] Click 'Verify and continue' button
[WAIT] Red VcAlert error appears
[ACT] Type any character into the password input
[ASSERT] Red VcAlert error message disappears immediately","[DOM] After wrong-credentials error: editing email field removes error VcAlert instantly
[DOM] After wrong-credentials error: editing password field removes error VcAlert instantly
[STATE] resetState() fires on [email, password] watcher — errors=[] immediately on keystroke","[CONSOLE] No JS errors","Error persists after editing fields; error clears only on re-submit; console TypeError","[NAV] Navigate to {{FRONT_URL}} to clear page state","VCST-4905, VCST-4725","Draft"
"IMP-007","Form Flow — Valid Operator Credentials Impersonate Target","LoginOnBehalf > Form Flow > Happy Path","Critical","BL-AUTH-005, BL-AUTH-006","ECL-14.1","[PRE:CLEAR_SESSION]
Unauthenticated user. SUPPORT_AGENT (USR-001) is assigned a role that includes StorefrontPermissions.CanImpersonate (configured in Admin SPA > Security > Roles > [role] > Permissions). IMPERSONATE_TARGET is an active customer in a different org. State: unauthenticated → form flow → impersonated session.","front_url={{FRONT_URL}}, operator_email=@td(SUPPORT_AGENT.email), operator_password=@td(SUPPORT_AGENT.password), target_user_id=@td(IMPERSONATE_TARGET.userId), target_name=@td(IMPERSONATE_TARGET.name)","[PRE:SIGNOUT]
[NAV] {{FRONT_URL}}/account/impersonate/@td(IMPERSONATE_TARGET.userId)
[WAIT] ImpersonateForm renders
[ASSERT] Verify 'Verify and continue' button is disabled (both fields empty, meta.valid=false)
[ACT] Fill email input: @td(SUPPORT_AGENT.email)
[WAIT] Email field populated
[ACT] Fill password input: @td(SUPPORT_AGENT.password)
[WAIT] Password field populated
[ASSERT] Verify 'Verify and continue' button becomes enabled (meta.valid=true)
[ACT] Click 'Verify and continue' button
[WAIT] Step transitions through verify → impersonate phases (loading state visible)
[ASSERT] Green VcAlert (success color) appears with text 'Verification successful. Switching to customer view…'
[WAIT] Wait up to 3s for broadcast-triggered tab reload
[ASSERT] After reload: storefront header reflects target identity (@td(IMPERSONATE_TARGET.name))
[ASSERT] Impersonation banner is visible on the resulting page","[STATE] Steps transition: idle → verify (loading) → impersonate → success
[DOM] Green success VcAlert shown: 'Verification successful. Switching to customer view…'
[STATE] After broadcast reload: session is TARGET user's session (@td(IMPERSONATE_TARGET.name) — not SUPPORT_AGENT)
[STATE] Impersonation banner visible after reload: operator name + 'logged in as' + target name
[NAV] URL redirects away from /account/impersonate/{userId} after reload","[API] POST /connect/token (verify): returns 200 with access_token for SUPPORT_AGENT @td(SUPPORT_AGENT.email)
[API] POST /connect/token grant_type=impersonate; scope=offline_access; user_id=@td(IMPERSONATE_TARGET.userId) returns HTTP 200 with access_token, refresh_token, expires_in, token_type
[NETWORK] No 4xx/5xx on either /connect/token call
[CONSOLE] No JS errors during transition","Success VcAlert not shown; page does not reload after 3s; storefront session still shows SUPPORT_AGENT identity; impersonation banner absent; token exchange returns 4xx; form submit has no effect; console TypeError","Stop impersonation via banner button; [PRE:CLEAR_SESSION]","VCST-4905, VCST-4725, BL-AUTH-005, BL-AUTH-006; Executed PASS 2026-05-11 v2 — both /connect/token calls returned 200, storefront switched into David's session, header shows 'John Mitchell logged in as David Kim' (evidence: reports/test-lifecycle/TLC-2026-05-11-2114/execution-evidence/auth-070-v2-john-david-PASS-impersonation-success.png)","Reviewed"
"IMP-008","Silent Flow — Authenticated Operator (Role Includes CanImpersonate) Skips Verification Form","LoginOnBehalf > Silent Flow > Happy Path","Critical","BL-AUTH-005, BL-AUTH-006","ECL-14.1","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SUPPORT_AGENT]
SUPPORT_AGENT has StorefrontPermissions.CanImpersonate. IMPERSONATE_TARGET is an active customer in a different org (ORG-002). VERIFIED 2026-05-11 — USR-001 John Mitchell satisfies both conditions on vcst-qa; navigation to /account/impersonate/{David's userId} silently switches into David's session. State: authenticated as SUPPORT_AGENT → silent impersonation → target session.","front_url={{FRONT_URL}}, target_user_id=@td(IMPERSONATE_TARGET.userId), operator_email=@td(SUPPORT_AGENT.email), operator_password=@td(SUPPORT_AGENT.password)","[NAV] {{FRONT_URL}}/sign-in
[ACT] Fill 'Email': @td(SUPPORT_AGENT.email)
[WAIT] Email field populated
[ACT] Fill 'Password': @td(SUPPORT_AGENT.password)
[WAIT] Password field populated
[ACT] Click 'Sign In'
[WAIT] Redirect to account area
[ASSERT] Verify user is authenticated (header shows support user identity)
[NAV] {{FRONT_URL}}/account/impersonate/@td(IMPERSONATE_TARGET.userId)
[WAIT] Silent flow activates
[ASSERT] Verify ImpersonateForm is NOT rendered (no email input; no password input; no 'Verify and continue' button)
[ASSERT] Verify VcLoaderOverlay shown with text 'Switching to customer view…'
[WAIT] Wait up to 3s for broadcast-triggered tab reload
[ASSERT] After reload: storefront header reflects target customer identity
[ASSERT] Impersonation banner is visible","[DOM] ImpersonateForm NOT rendered (form fields absent — silent flow bypasses form)
[DOM] VcLoaderOverlay shown with text 'Switching to customer view…'
[STATE] impersonateAuthenticated(userId) called automatically on mount — no credentials required
[STATE] After broadcast reload: session is target customer's session
[STATE] Impersonation banner visible: operator name + 'logged in as' + target name","[API] POST /connect/token with grant_type=impersonate returns HTTP 200
[NETWORK] No separate credential authorization call before impersonate grant (silent path skips verify step)
[CONSOLE] No JS errors during silent redirect","ImpersonateForm rendered instead of silent flow (CanImpersonate not detected); VcLoaderOverlay not shown; page does not reload after 3s; banner absent; session cleared entirely; console TypeError","Stop impersonation via banner button and [PRE:CLEAR_SESSION]","VCST-4905, VCST-4725, BL-AUTH-005, BL-AUTH-006; Executed PASS 2026-05-11 v2 — John signed in then navigated to /account/impersonate/{David's userId}; form NOT rendered, single /connect/token impersonate call → 200, storefront silently switched into David's session (evidence: reports/test-lifecycle/TLC-2026-05-11-2114/execution-evidence/auth-077-v2-john-canimpersonate-PASS-silent-flow.png)","Automated"
"IMP-009","Silent Flow — Loading Overlay Displayed During Transition","LoginOnBehalf > Silent Flow > UI","Medium","BL-AUTH-006","","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SUPPORT_AGENT]
SUPPORT_AGENT authenticated; the role assigned to SUPPORT_AGENT includes StorefrontPermissions.CanImpersonate (granted via Admin SPA > Security > Roles, NOT directly on the user). IMPERSONATE_TARGET is an active customer.","front_url={{FRONT_URL}}, target_user_id=@td(IMPERSONATE_TARGET.userId)","[NAV] {{FRONT_URL}}/sign-in
[ACT] Fill 'Email': @td(SUPPORT_AGENT.email)
[WAIT] Email field populated
[ACT] Fill 'Password': @td(SUPPORT_AGENT.password)
[WAIT] Password field populated
[ACT] Click 'Sign In'
[WAIT] Authenticated session established
[NAV] {{FRONT_URL}}/account/impersonate/@td(IMPERSONATE_TARGET.userId)
[WAIT] 50ms — check for loading overlay before redirect completes","[DOM] VcLoaderOverlay visible with text 'Switching to customer view...' (or equivalent) before redirect
[DOM] Overlay disappears after redirect completes
[DOM] No blank/white flash persisting >3s","[CONSOLE] No JS errors during overlay display and dismissal","Overlay never shows (instant redirect may be acceptable); overlay shows but never dismisses (stuck loading); error message replaces overlay; console TypeError","Stop impersonation and [PRE:CLEAR_SESSION]","VCST-4905, VCST-4725","Draft"
"IMP-010","Impersonation Banner — Operator Name + 'logged in as' + Target Name Visible","LoginOnBehalf > Banner > Display","High","BL-AUTH-005, BL-AUTH-006","ECL-14.1","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:SUPPORT_AGENT]
Silent impersonation of IMPERSONATE_TARGET completed. State: authenticated as SUPPORT_AGENT → impersonated as IMPERSONATE_TARGET.","front_url={{FRONT_URL}}, operator_name=@td(SUPPORT_AGENT.name), target_name=@td(IMPERSONATE_TARGET.name), target_user_id=@td(IMPERSONATE_TARGET.userId)","[NAV] {{FRONT_URL}}/sign-in
[ACT] Fill 'Email': @td(SUPPORT_AGENT.email)
[WAIT] Email field populated
[ACT] Fill 'Password': @td(SUPPORT_AGENT.password)
[WAIT] Password field populated
[ACT] Click 'Sign In'
[WAIT] Authenticated session established
[NAV] {{FRONT_URL}}/account/impersonate/@td(IMPERSONATE_TARGET.userId)
[WAIT] Redirect completes and home page loads
[ACT] Observe header area near account menu","[DOM] Header contains text element with operator name (@td(SUPPORT_AGENT.name) or full name)
[DOM] Header contains text 'logged in as'
[DOM] Account menu button displays target user name (@td(IMPERSONATE_TARGET.name) or full name)
[DOM] Banner structure: generic[operator name text] + generic['logged in as'] + button[Account menu: target name]","[CONSOLE] No JS errors related to banner rendering","Banner absent after redirect; only target name shown without 'logged in as' label; banner disappears on navigation to another page; operator and target names swapped; console TypeError","Stop impersonation and [PRE:CLEAR_SESSION]","VCST-4905, VCST-4725, BL-AUTH-006","Draft"
