"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"MKT-018","xAPI: Published content queries","Marketing > xAPI Dynamic Content","High",,,"Admin logged in to Backend
xAPI endpoint accessible",,"1. Add published content in admin > Check xAPI query returns data
2. Add Content Items to publishing > Check query
3. Set Is Active = False > Check query returns empty
4. Set Is Active = True > Check query returns data",,,,,"C352334-C352337",
"MKT-019","xAPI: Store/placeholder/content/date changes","Marketing > xAPI Dynamic Content","Medium",,,"Admin logged in to Backend
Published content exists",,"1. Change StoreId > Check xAPI query
2. Change Placeholder > Check query
3. Change Content item > Check query
4. Set Start Date > Check query
5. Set End Date > Check query",,,,,"C352338-C352345",
"MKT-020","xAPI: Publishing conditions (category/product/user groups/tags)","Marketing > xAPI Dynamic Content","Medium",,,"Admin logged in to Backend
Published content exists",,"1. Set Category condition > Check xAPI query
2. Set Product condition > Check query
3. Set User groups condition > Check query
4. Assign tag on category > Set for publish content > Check query",,,,,"C352341-C352346",
"MKT-037","Add coupon with validation","Marketing > Coupons","Critical",,,"Admin logged in to Backend",,"1. Navigate to Marketing > Promotions > Coupon management
2. Click 'Add'
3. Try to create without required fields > Verify validation
4. Fill all fields (code, max uses, max per user)
5. Click 'Create'",,,,,"C184605 C184622",
"MKT-038","Edit coupon (code/max uses/max per user)","Marketing > Coupons","High",,,"Admin logged in to Backend
Coupon exists [MKT-037]",,"1. Edit coupon code > Save
2. Edit 'Maximum uses number' > Save
3. Edit 'Maximum uses per user' > Save",,,,,"C184606 C184624 C184625",
"MKT-039","Delete coupon and search","Marketing > Coupons","High",,,"Admin logged in to Backend
Coupons exist",,"1. Delete via bulk delete > Confirm
2. Search for coupon by code",,,,,"C184626 C184627",
"MKT-040","Import coupons (valid and invalid files)","Marketing > Coupons","Medium",,,"Admin logged in to Backend
CSV files prepared",,"1. Import valid file > Add new coupons > Verify created
2. Import valid file > Update existing coupons > Verify updated
3. Import invalid: missing coupon_code column > Verify error
4. Import invalid: missing max_uses_number column > Verify error
5. Import invalid: wrong delimiter > Verify error
6. Import invalid: text in max_uses_number > Verify error",,,,,"C184628-C184633",
"MKT-041","Personal coupon assignment (organization/user/anonymous)","Marketing > Coupons","High",,,"Admin logged in to Backend and Storefront
Personal coupon exists
Organization with members exists",,"1. Assign coupon to organization > Check via org member > Verify works
2. Assign to organization > Check via anonymous > Verify not applied
3. Assign to organization > Check via non-member > Verify not applied
4. Assign to user > Check via that user > Verify works
5. Assign to user > Check via another user > Verify not applied
6. No assignment > Check via various users > Verify behavior",,,,,"C359150-C359158",
"MKT-042","Coupon applied in storefront","Marketing > Coupon Logic","High",,,"Admin logged in to Backend and Storefront
Coupon with promotion exists",,"1. Add coupon code in storefront cart
2. Verify promotion is applied",,,,,"C184635",
"MKT-043","Coupon expiration and usage limits","Marketing > Coupon Logic","Medium",,,"Admin logged in to Backend and Storefront
Coupon exists",,"1. Set expiration in past > Try on storefront > Verify not applied
2. Set expiration in future > Verify applied
3. Set uses < max uses > Verify applied
4. Set uses >= max uses > Verify not applied
5. Set uses per user > max per user > Verify not applied
6. Set uses per user < max per user > Verify applied",,,,,"C184636-C184641",
