"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"CPN-001","Coupons & Promotions Page — Authenticated Access and Page Load","Coupons & Promotions > Access","Critical","BL-PRICE-001","ECL-4.2, ECL-14.1","User is authenticated as {{USER_EMAIL}}. Store has at least one active public coupon/promotion configured in Admin. Module VirtoCommerce.MarketingExperienceApi deployed.","email={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account/dashboard
[WAIT] Dashboard page loads and sidebar is visible
[ASSERT] sidebar Marketing section is visible
[ACT] click 'Coupons & promotions' link in sidebar under Marketing
[WAIT] page URL changes to /account/coupons
[WAIT] page heading visible","[DOM] page heading reads 'All coupons & promotions' (case-insensitive)
[DOM] sidebar link 'Coupons & promotions' is highlighted/active
[DOM] at least one coupon card is visible on the page
[NAV] URL is {{FRONT_URL}}/account/coupons (or locale-prefixed equivalent)
[FORMAT] page renders without layout broken (no overflow, no missing sections)","[API] POST /graphql request for promotionCoupons returns HTTP 200
[API] GraphQL response errors[] is empty
[CONSOLE] no TypeError or unhandled JS errors during page load
[NETWORK] no 4xx/5xx on /graphql during coupons page load","Page blank after navigation, spinner visible >5s, 4xx/5xx on /graphql, console TypeError, sidebar link missing","none","VCST-4590","Automated"
"CPN-002","Coupons & Promotions Page — Unauthenticated Access Redirects to Sign-In","Coupons & Promotions > Access","Critical","BL-PRICE-001","ECL-4.2","User is NOT authenticated (no active session). Store is accessible.","front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account/coupons
[WAIT] page loads or redirect occurs","[DOM] user is NOT shown the 'All coupons & promotions' page content
[NAV] URL is redirected away from /account/coupons (e.g., to /sign-in or /catalog)
[DOM] sign-in form OR catalog page is visible — not coupons content","[CONSOLE] no unhandled JS errors
[NETWORK] no 5xx on redirect request","Coupons page content visible to unauthenticated user (security failure), 5xx on redirect","none","VCST-4590","Automated"
"CPN-003","Coupon Card — All Fields Displayed Correctly (Name, Description, Code, Label)","Coupons & Promotions > Display","High","BL-PRICE-001","ECL-1.3","User is authenticated. At least one coupon with name, description, and code exists in the system. Confirmed live coupons include @td(COUPON_10PCT.code) (name: '@td(COUPON_10PCT.promo_name)', description: '@td(COUPON_10PCT.description)') and @td(COUPON_WELCOME.code) (name: '@td(COUPON_WELCOME.promo_name)', description: 'For new customer get a 15% discount for all items').","email={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}, coupon_code=@td(COUPON_10PCT.code)","[NAV] {{FRONT_URL}}/account/coupons
[WAIT] 'All coupons & promotions' heading visible
[WAIT] coupon cards visible on page
[SCROLL] scroll through all coupon cards","[DOM] each coupon card displays a coupon name (title text, styled heading)
[DOM] each coupon card with a description shows that description text
[DOM] each coupon card displays a 'Click to copy' button containing the coupon code
[FORMAT] coupon code on button is the code as stored (e.g., '@td(COUPON_10PCT.code)')
[FORMAT] 'Click to copy' label is visible below the code on the button
[DOM] when a coupon has a label value set, the label text is displayed on the card
[DOM] when a coupon label is null, no empty label element is visible (no broken layout)","[API] POST /graphql returns coupons data with HTTP 200, errors[] empty
[CONSOLE] no TypeError during render
[NETWORK] no 4xx/5xx on API requests","Coupon cards blank or partially rendered, code button missing, console TypeError, spinner >5s, label area shows empty block when label=null","none","VCST-4590","Automated"
"CPN-004","Coupon Code — Click to Copy Copies Code to Clipboard","Coupons & Promotions > Copy Functionality","Critical","BL-PRICE-001","ECL-1.3","User is authenticated. At least one coupon with a code is visible on the page. Coupon @td(COUPON_10PCT.code) (promotion: '@td(COUPON_10PCT.promo_name)') is visible on the coupons page.","email={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}, coupon_code=@td(COUPON_10PCT.code)","[NAV] {{FRONT_URL}}/account/coupons
[WAIT] 'All coupons & promotions' heading visible
[WAIT] '@td(COUPON_10PCT.code) Click to copy' button visible
[ACT] click '@td(COUPON_10PCT.code) Click to copy' button
[WAIT] success notification visible","[DOM] toast/notification with text 'Coupon copied successfully' appears
[DOM] notification is dismissible (close button present)
[STATE] clipboard contains the coupon code text '@td(COUPON_10PCT.code)' (verified via evaluate)
[DOM] notification disappears automatically after a few seconds OR can be closed manually","[CONSOLE] no TypeError or clipboard API errors during copy action
[NETWORK] no API call required for copy (client-side clipboard operation)","No notification appears after click, notification text incorrect, console clipboard permission error, spinner visible >3s after click","none","VCST-4590","Automated"
"CPN-005","Copied Coupon Code — Apply to Cart via Coupons Sidebar Yields Correct Discount (E2E)","Coupons & Promotions > End-to-End Flow","Critical","BL-PRICE-001, BL-CART-003","ECL-1.3, ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
User is authenticated. Cart has at least one item ({{TEST_SKU}}). Coupon '@td(COUPON_10PCT.code)' (promotion: '@td(COUPON_10PCT.promo_name)', 10% off) is active, eligible for the cart contents, and appears in the user's pre-listed available coupons sidebar. Coupon endDate is within the regression window. Theme 2.48.0-pr-2269-cd06 or later deployed.","email={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}, coupon_code=@td(COUPON_10PCT.code), test_sku={{TEST_SKU}}","[NAV] {{FRONT_URL}}/account/coupons
[WAIT] 'All coupons & promotions' heading visible
[ACT] click '@td(COUPON_10PCT.code) Click to copy' button
[WAIT] 'Coupon copied successfully' notification appears
[NAV] {{FRONT_URL}}/cart
[WAIT] cart page loaded with at least 1 item
[SCROLL] scroll down past OrderSummary widget to locate 'Discount & coupons' widget (.coupons-section)
[ASSERT] 'Discount & coupons' widget heading visible
[ASSERT] '@td(COUPON_10PCT.promo_name)' preset coupon card is visible in the widget
[WAIT] locate 'Custom code' card at the bottom of the widget
[ACT] click into the 'Enter custom code' input inside the 'Custom code' card
[KEY] Ctrl+V (paste copied code '@td(COUPON_10PCT.code)')
[WAIT] code appears in input
[ACT] click the arrow-right apply button on the 'Custom code' card
[WAIT] card transitions to applied state (green/success border, round-check icon, trash icon visible)
[WAIT] discount reflected in OrderSummary","[DOM] 'Custom code' card shows applied state: success-green border, round-check icon, trash icon
[DOM] Discount line item appears in OrderSummary showing a non-zero amount (e.g., '- $29.80')
[STATE] coupon '@td(COUPON_10PCT.code)' card is in applied state within .coupons-section
[MATH] new cart total = subtotal - coupon_discount + shipping + tax
[FORMAT] discount amount displays with currency symbol and 2 decimal places","[API] POST /graphql (addCoupon mutation) returns HTTP 200
[API] addCoupon response errors[] is empty
[API] cart.coupons contains code '@td(COUPON_10PCT.code)' with isAppliedSuccessfully=true after apply
[CONSOLE] no TypeError during coupon apply
[NETWORK] no 4xx/5xx on /graphql during coupon apply","'Discount & coupons' widget not found on /cart, custom code card absent, applied state not reached (green border missing), trash icon not visible after apply, spinner >5s, errors[] non-empty, discount amount is zero after successful apply","Click trash icon on applied coupon card to remove @td(COUPON_10PCT.code) after test","VCST-4590, Synced: VCST-4896 PR#2269 (2026-04-27)","synced"
"CPN-006","Multiple Coupons Listed — Each Card Has Functional Copy Button","Coupons & Promotions > Display","High","BL-PRICE-001","ECL-1.3","User is authenticated. 14 active public coupons exist per live GraphQL query: @td(COUPON_20PCT.code), @td(COUPON_FIXED5.code), @td(COUPON_FREESHIP.code), @td(COUPON_WINE.code), @td(COUPON_WELCOME.code), @td(COUPON_SHIPPING.code), @td(COUPON_THRESH50.code), @td(COUPON_E2E.code), @td(COUPON_SPECIAL_CHARS.code), @td(COUPON_10PCT.code), @td(COUPON_EXCLUSIVE.code), @td(COUPON_TOP20.code), super, wine.","email={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account/coupons
[WAIT] 'All coupons & promotions' heading visible
[WAIT] multiple coupon cards visible
[ACT] click '@td(COUPON_SHIPPING.code) Click to copy' button (coupon for shipping discount)
[WAIT] 'Coupon copied successfully' notification
[ACT] click 'Close alert' button on notification
[WAIT] notification dismissed
[ACT] click '@td(COUPON_WELCOME.code) Click to copy' button
[WAIT] 'Coupon copied successfully' notification
[ACT] click 'Close alert' button","[DOM] 'Coupon copied successfully' notification appears after each copy action
[DOM] each click on a different coupon button copies that specific coupon's code
[DOM] totalCount = 14 coupons are available (may span multiple pages per pagination feature)
[DOM] all page(s) show coupon cards with functional 'Click to copy' buttons
[FORMAT] each coupon code button displays the code text followed by 'Click to copy' label","[CONSOLE] no TypeError across multiple copy actions
[NETWORK] no API calls triggered per copy action (clipboard is client-side)","Any copy button unresponsive, wrong code copied, notification missing for any card, totalCount mismatch from expected 14","none","VCST-4590","Automated"
"CPN-007","Coupon With No Description — Card Renders Without Empty Space","Coupons & Promotions > Display","Medium","BL-PRICE-001","ECL-1.3","User is authenticated. Live data confirmed: 'Test 100%' (code: super) has null description. 'Wine as a gift' (code: wine) has a description. @td(COUPON_WELCOME.code) has description 'For new customer get a 15% discount for all items'.","email={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account/coupons
[WAIT] 'All coupons & promotions' heading visible
[WAIT] coupon cards visible
[SCROLL] scroll to find the 'Test 100%' card (code: super — null description)
[ASSERT] 'Test 100%' / super card visible
[SCROLL] scroll to 'Register and get 15% for all' card (@td(COUPON_WELCOME.code) — has description)
[ASSERT] @td(COUPON_WELCOME.code) card visible","[DOM] card with null description ('Test 100%' / super) renders without an empty placeholder paragraph or broken layout
[DOM] cards WITH description (@td(COUPON_WELCOME.code): 'For new customer get a 15% discount for all items') show that text correctly
[FORMAT] all coupon cards have consistent height and alignment regardless of whether description is present or null","[CONSOLE] no rendering errors
[NETWORK] no 4xx/5xx","Layout broken (misaligned cards), empty paragraph visible for null-description coupons, console render error","none","VCST-4590","Automated"
"CPN-008","Sidebar Navigation — Coupons & Promotions Active State Highlighted","Coupons & Promotions > Navigation","High","BL-PRICE-001","ECL-4.2","User is authenticated. User is currently on the /account/coupons page.","email={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account/coupons
[WAIT] page heading 'All coupons & promotions' visible
[ASSERT] sidebar is visible
[SCROLL] scroll sidebar to Marketing section","[DOM] 'Coupons & promotions' link in sidebar Marketing section is visually highlighted (active/selected state)
[DOM] no other sidebar link is highlighted at the same time
[DOM] sidebar Marketing section heading is visible and contains 'Coupons & promotions', 'Notifications', and 'Points history' links
[DOM] sidebar Purchasing, Corporate, and User sections are also present and show their respective links","[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx","Sidebar missing, wrong link highlighted, Marketing section heading absent","none","VCST-4590","Automated"
"CPN-009","Shipping Discount Coupon Card — Card Renders with Name, Description, and Copy Button","Coupons & Promotions > Display","Medium","BL-PRICE-001, BL-PRICE-002","ECL-1.3, ECL-6.2","User is authenticated. The '@td(COUPON_SHIPPING.code)' coupon (promotion: '@td(COUPON_SHIPPING.promo_name)') exists and is active, with description='Coupon on discount for shipping' and an endDate within the regression window.","email={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}, coupon_code=@td(COUPON_SHIPPING.code)","[NAV] {{FRONT_URL}}/account/coupons
[WAIT] 'All coupons & promotions' heading visible
[SCROLL] scroll to find the '@td(COUPON_SHIPPING.promo_name)' coupon card
[ASSERT] @td(COUPON_SHIPPING.code) coupon card is visible","[DOM] coupon card title reads '@td(COUPON_SHIPPING.promo_name)'
[DOM] coupon card description reads 'Coupon on discount for shipping'
[DOM] '@td(COUPON_SHIPPING.code) Click to copy' button is present and enabled
[FORMAT] code '@td(COUPON_SHIPPING.code)' is displayed on the button","[CONSOLE] no errors
[NETWORK] no 4xx/5xx during page load","Shipping coupon card missing, description text absent, code button disabled","none","VCST-4590","Automated"
"CPN-010","Direct URL Access — Coupons Page Loads Without Dashboard Navigation","Coupons & Promotions > Navigation","Medium","BL-PRICE-001","ECL-4.2","User is authenticated. User navigates directly to the coupons URL without going through the sidebar link first.","email={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}","[NAV] {{FRONT_URL}}/account/dashboard
[WAIT] dashboard loads
[NAV] {{FRONT_URL}}/account/coupons
[WAIT] page loads","[DOM] 'All coupons & promotions' heading visible
[DOM] coupon cards rendered correctly
[DOM] sidebar 'Coupons & promotions' link is active/highlighted
[NAV] URL is /account/coupons","[API] POST /graphql for coupons data returns HTTP 200, errors[] empty
[CONSOLE] no JS errors
[NETWORK] no 4xx/5xx","Page blank on direct URL access, 404 response, coupons data not loaded","none","VCST-4590","Automated"
