row,ts,session,calls,class,backed_by,phase,question,answer,method,found_via,found_elsewhere,used,held,reusable,re_asked,marker,applied,note,warn
1,2026-09-10T19:30:46.153Z,82e15c99,5,KNOWLEDGE,KB-DERIVED,orient,how does a percentage discount appear on a CustomerOrder in Virto Commerce,"It appears as exactly one order-level entry in CustomerOrder.discounts carrying promotionId, name/promotionName, description, coupon and a money amount (34.899 raw / 34.90 rounded). No percentage rate is stored anywhere on the order.",kb.mjs deliver,placed order CO260910-00001: xAPI order query response + GET /api/order/customerOrders/{id} + Admin order Discounts blade,yes,no,UNANSWERED,,no,NONE,N/A,"The base answered with the /api/order/customerOrders route table, which is true but not an answer to where a discount lands.",
2,2026-09-10T19:30:53.867Z,82e15c99,6,KNOWLEDGE,KB-DERIVED,orient,what fields does the Discount type carry on a CustomerOrder and its line items,"CustomerOrderType carries discounts:[OrderDiscountType], discountAmount, discountTotal(+WithTax); OrderLineItemType carries its own discounts, discountAmount, discountTotal. All present on the live order; the line-item ones were 0/empty.",kb.mjs deliver,live order response confirmed the field list and showed the values,yes,yes,HELD,,no,NONE,N/A,,
3,2026-09-10T19:31:00.679Z,82e15c99,7,KNOWLEDGE,KB-DERIVED,orient,OrderDiscountType fields,"amount, coupon, description, promotionDescription, promotionId, promotionName - exactly as delivered. On the live order amount/description/promotionId/promotionName were populated, coupon null. No percentage field exists.",kb.mjs deliver,,no,yes,HELD,,no,NONE,N/A,,
4,2026-09-10T19:31:00.880Z,82e15c99,7,KNOWLEDGE,KB-DERIVED,orient,how do I create a percentage discount promotion in the marketing module,"Did not need the REST route: an existing dynamic promotion (10% off cart subtotal, condition subtotal >= 200, store B2B-store) was activated through the Admin SPA Marketing blade instead.",kb.mjs deliver,Admin SPA More > Marketing > Promotions blade,yes,no,NOT-USED,,no,NONE,N/A,"Unmoved call count is an artefact: rows 3 and 4 were two kb deliver calls chained inside ONE Bash tool call, so the hook stamped both at call 7. The lookup did happen.",
5,2026-09-10T19:43:39.281Z,82e15c99,80,KNOWLEDGE,KB-DERIVED,reproduce,"does a cart line item or the cart total keep the discount percentage anywhere, or only the money amount","Only the money amount. Neither cart nor order stores the rate: DiscountType and OrderDiscountType have no percent field, while OrderLineItemType does keep taxPercentRate - so the schema keeps a rate for tax and not for discounts.",kb.mjs deliver,"cart + order GraphQL responses and the persisted REST CustomerOrder, all confirming no percent field is populated",yes,yes,HELD,,no,NONE,N/A,,
6,2026-09-10T19:43:47.324Z,82e15c99,81,KNOWLEDGE,KB-DERIVED,reproduce,OrderLineItemType discount fields,"discounts, discountAmount(+WithTax), discountTotal(+WithTax) exist on OrderLineItemType. On this order every one of them was 0/empty even though the cart-level 10% applied.",kb.mjs deliver,,no,yes,HELD,,no,NONE,N/A,,
7,2026-09-10T19:53:18.889Z,82e15c99,132,KNOWLEDGE,KB-DERIVED,verify,DiscountType fields on the cart,"Cart DiscountType: amount(Decimal!), amountWithTax, coupon, description, moneyAmount(MoneyType!), moneyAmountWithTax, promotionId - and NO promotionName, unlike OrderDiscountType. Corrected my assumption that the two types matched.",kb.mjs deliver,,no,yes,HELD,,no,NONE,N/A,Explains the 34.8990 vs 34.90 difference between cart and order: amount is a raw Decimal on the cart and a MoneyType on the order.,
8,2026-09-10T19:58:41.421Z,82e15c99,160,KNOWLEDGE,KB-EXPERIENTIAL,verify,where does a cart-level promotion reward land on the cart and how is it rounded,"Served KB-996BDF08, another agent's single observation: a cart-subtotal reward lands only on CartType.discounts and discountTotal, line items stay at 0. My cart reproduced it exactly, and the same shape carried through to the placed order. Confirmed it.",kb.mjs deliver,"live cart GraphQL response, then the placed order CO260910-00001",yes,yes,HELD,,no,NONE,N/A,,
9,2026-09-10T19:58:49.974Z,82e15c99,161,KNOWLEDGE,KB-DERIVED,verify,how many decimal places does a promotion discount amount have on the cart,The base surfaced only the derived DiscountType table for this wording; the experiential entry KB-D4A064A5 that answers it did not rank. Read it off disk: raw amount at full precision vs rounded discountTotal. Reproduced (34.8990 vs 34.90) and confirmed it.,kb.mjs deliver,"captured/KB-D4A064A5.md read directly, then the live cart and order responses",yes,yes,HELD,,no,NONE,N/A,"Resolver ranking issue, not a content gap: the entry existed and answered the question but lost to derived type tables for this phrasing.",
10,2026-09-10T19:58:50.170Z,82e15c99,161,KNOWLEDGE,KB-DERIVED,verify,when are promotions re-evaluated on a cart,KB-35A09C64 says promotions are re-evaluated on every cart read. I did not test it - I activated the promotion before any cart existed - so I neither confirmed nor disputed it.,kb.mjs deliver,,no,no,NOT-USED,,no,NONE,N/A,"Same batching artefact as row 4: rows 9 and 10 were two kb deliver calls chained inside one Bash tool call, so both carry call count 161.",
