"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"BOPIS-095","Guest BOPIS Checkout — Select Pickup and Complete Order","BOPIS > Guest Checkout","High","BL-BOPIS-001","ECL-14.1","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Guest session (not logged in); Products in cart with BOPIS-eligible items; At least one pickup location configured; guest checkout enabled (createAnonymousOrderEnabled=true)","url={{FRONT_URL}};sku={{TEST_SKU}}","[SETUP] generate guest email for this run: smoke-bopis-095-{current_unix_ms}@test-agent.com — store as $GUEST_EMAIL_095 for use in subsequent steps
[NAV] {{FRONT_URL}}/cart
[ASSERT] user is not authenticated (no account menu visible)
[ACT] click 'Pickup' radio button in delivery options
[ACT] click 'Select pickup location'
[WAIT] pickup location modal opens
[ACT] select a pickup location from the list
[ACT] click 'Select' then 'Confirm'
[WAIT] modal closes; selected pickup location shown in cart
[ACT] click 'Checkout' or 'Proceed to Checkout'
[WAIT] checkout page loads
[ACT] enter guest email address $GUEST_EMAIL_095 in email field
[ACT] fill in required guest contact fields (name, phone if required)
[ACT] click 'Place Order' or 'Submit Order'
[WAIT] order confirmation page loads","[DOM] pickup location name and address shown in cart summary before checkout
[DOM] checkout page does not force account creation before proceeding
[DOM] order confirmation page displays pickup location details (store name, address)
[DOM] order confirmation shows fulfillment type as 'Pickup' (not 'Delivery' or 'Shipping')
[STATE] no shipping address section visible on order confirmation
[FORMAT] confirmation email or on-screen confirmation references pickup location","[CONSOLE] no JS errors during guest checkout flow
[NETWORK] POST /cart/checkout returns 2xx; no 4xx auth errors blocking guest
[API] order created with fulfillment type = pickup; no shipping address attached","Guest blocked at checkout with 'Login required' message; Pickup location details missing from order confirmation; Shipping address section appears on confirmation; Order confirmation shows wrong fulfillment type; guest checkout disabled (BL-CHK-001 — verify createAnonymousOrderEnabled=true in store settings before running)","Navigate to account creation page if needed; otherwise no cleanup required","Coverage Gap Analysis","Draft"
"BOPIS-081","Guest BOPIS Order — Post-Purchase Account Registration","BOPIS > Guest Checkout","High","BL-BOPIS-001","ECL-14.1","Guest user (no active session); a completed BOPIS order exists in the current session with order confirmation page open; the guest email used in that order is known and captured as $GUEST_EMAIL_095; post-purchase registration option is available; createAnonymousOrderEnabled=true","url={{FRONT_URL}};sku={{TEST_SKU}};password={{USER_PASSWORD}}","[SETUP] $GUEST_EMAIL_095 must already be captured from the prior guest BOPIS checkout in this session (the email used during that checkout)
[NAV] {{FRONT_URL}}/cart
[ACT] complete guest BOPIS checkout (select pickup location, enter $GUEST_EMAIL_095 as email, place order)
[WAIT] order confirmation page loads with pickup details
[ASSERT] 'Create an account' or 'Register' link/prompt visible on confirmation page
[ACT] click 'Create an account' link
[WAIT] registration form or page loads with $GUEST_EMAIL_095 pre-filled in email field
[ASSERT] email field pre-filled with $GUEST_EMAIL_095 (not empty)
[ACT] enter password {{USER_PASSWORD}} and any additional required fields
[ACT] submit registration form
[WAIT] account created and user logged in
[NAV] {{FRONT_URL}}/account/orders
[WAIT] order history page loads","[DOM] post-purchase registration prompt visible on order confirmation page
[DOM] registration form pre-fills guest email address ($GUEST_EMAIL_095)
[STATE] after registration, user is authenticated
[DOM] completed BOPIS order appears in order history after registration
[DOM] order in history shows pickup location details, not a shipping address
[STATE] guest order is associated with the newly created account","[CONSOLE] no JS errors during account creation flow
[NETWORK] registration POST returns 2xx; account creation successful
[API] guest order linked to new account in platform — order visible via account orders endpoint","Post-purchase registration prompt missing; Email not pre-filled in registration form; BOPIS order not visible in order history after registration; Order history shows shipping address instead of pickup location; Case cannot run without BOPIS-095 completing first","Delete test account created with $GUEST_EMAIL_095 after case execution; navigate away","Coverage Gap Analysis","Draft"
"BOPIS-082","Change Pickup Location Mid-Checkout — Address Updates on Order Review","BOPIS > Checkout","High","BL-BOPIS-004","ECL-14.2","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Authenticated user; Cart with BOPIS-eligible items; At least two distinct pickup locations configured (Location A and Location B)","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}};sku={{TEST_SKU}}","[NAV] {{FRONT_URL}}/cart
[ACT] select 'Pickup' delivery option
[ACT] click 'Select pickup location'
[WAIT] pickup modal opens
[ACT] select Location A from list
[ACT] click 'Select' then 'Confirm'
[WAIT] Location A shown in cart
[ACT] click 'Checkout' or 'Proceed to Checkout'
[WAIT] checkout/order review page loads
[ASSERT] Location A address shown in pickup details section
[ACT] click 'Change' or 'Edit' pickup location link on checkout page
[WAIT] pickup modal reopens
[ACT] select Location B from list
[ACT] click 'Select' then 'Confirm'
[WAIT] modal closes
[ASSERT] checkout page now shows Location B address","[DOM] Location A address visible on order review before change
[DOM] Location B name and address replaces Location A on order review after change
[STATE] no stale Location A data visible anywhere on checkout page
[STATE] order summary reflects the updated pickup location
[FORMAT] pickup address format matches Location B's configured address (street, city, state, zip)","[CONSOLE] no JS errors when switching locations mid-checkout
[NETWORK] cart update request returns 2xx after location change; response body contains Location B identifier
[API] cart query returns updated fulfillmentCenterId matching Location B after change","Stale Location A address still showing after Location B selected; Checkout page not refreshing pickup details; Network request to update pickup location returns 4xx/5xx; Duplicate or conflicting address entries visible","Clear cart or return to cart page","Coverage Gap Analysis","Draft"
"BOPIS-083","Change From Pickup to Delivery Mid-Checkout — Shipping Form Appears","BOPIS > Checkout","High","BL-BOPIS-004","ECL-14.2","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Authenticated user; Cart with items; Pickup location already selected; Delivery/shipping option available","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}};sku={{TEST_SKU}}","[NAV] {{FRONT_URL}}/cart
[ACT] select 'Pickup' delivery option
[ACT] select any available pickup location and confirm
[WAIT] pickup location shown in cart
[ACT] click 'Checkout' or 'Proceed to Checkout'
[WAIT] checkout page loads showing pickup details
[ASSERT] shipping address section is NOT visible
[ACT] locate delivery method selector on checkout page
[ACT] switch from 'Pickup' to 'Delivery' or 'Ship to Address'
[WAIT] checkout page updates
[ASSERT] shipping address form appears
[ASSERT] pickup location section is no longer shown
[ACT] enter a valid shipping address
[ASSERT] shipping cost line item appears in order summary","[DOM] pickup location section disappears after switching to delivery
[DOM] shipping address form fields rendered and editable after switching to delivery
[STATE] previously selected pickup location is deselected/cleared
[MATH] order total updates to include shipping cost (shipping cost > $0 or free shipping rule shown)
[DOM] 'Shipping' or delivery-related label replaces 'Pickup' label in order summary","[CONSOLE] no JS errors during fulfillment type switch
[NETWORK] cart update request returns 2xx when switching to delivery; cart no longer has fulfillmentCenterId set
[API] cart response shows delivery/shipping fulfillment type, pickup location cleared","Shipping address form does not appear after switching to delivery; Pickup location section still visible after switching; Shipping cost not added to order total; Cart API still shows pickup fulfillment type after switch","Clear cart","Coverage Gap Analysis","Draft"
"BOPIS-084","BOPIS with Product Discount Coupon — Discount Applied to Subtotal","BOPIS > Promotions","Medium","BL-BOPIS-002","ECL-13.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Authenticated user; Cart with BOPIS-eligible product; COUPON_10PCT (COU-001) must be seeded and active — 10% off product coupon","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}};sku={{TEST_SKU}};coupon=@td(COUPON_10PCT.code)","[NAV] {{FRONT_URL}}/cart
[ACT] add product {{TEST_SKU}} to cart
[ACT] select 'Pickup' delivery option
[ACT] select and confirm a pickup location
[WAIT] pickup location confirmed; cart shows $0.00 shipping
[ACT] locate coupon/promo code input field
[ACT] enter coupon code @td(COUPON_10PCT.code)
[ACT] click 'Apply'
[WAIT] coupon applied; discount reflected in cart
[ASSERT] discount line item visible in order summary
[ASSERT] subtotal reduced by the coupon discount amount
[ASSERT] shipping remains $0.00","[MATH] subtotal after discount = original subtotal - discount amount (correct arithmetic; 10% of product price)
[DOM] discount line item labeled with coupon code or @td(COUPON_10PCT.promo_name)
[STATE] coupon accepted without error; no 'coupon not valid for pickup' error shown
[MATH] shipping line = $0.00 (unchanged; pickup has no shipping cost)
[DOM] order total = discounted subtotal + taxes (no shipping added)","[CONSOLE] no JS errors during coupon application
[NETWORK] coupon apply API returns 2xx; response body contains discount amount
[API] cart query confirms @td(COUPON_10PCT.promo_name) promotion applied with correct discount value; fulfillment type still pickup","Coupon rejected with 'not applicable' error for pickup orders; Discount amount not deducted from subtotal; Shipping cost erroneously added after coupon applied; Order total calculation incorrect","Remove coupon; clear cart","Coverage Gap Analysis","Draft"
"BOPIS-085","BOPIS with Free-Shipping Coupon — No Error and $0 Shipping Unchanged","BOPIS > Promotions","Medium","BL-BOPIS-002","ECL-13.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Authenticated user; Cart with BOPIS-eligible product; COUPON_FREESHIP (COU-020) must be seeded and active — free shipping coupon","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}};sku={{TEST_SKU}};coupon=@td(COUPON_FREESHIP.code)","[NAV] {{FRONT_URL}}/cart
[ACT] add product {{TEST_SKU}} to cart
[ACT] select 'Pickup' delivery option
[ACT] select and confirm a pickup location
[WAIT] pickup location confirmed; cart shows $0.00 shipping
[ACT] enter free-shipping coupon code @td(COUPON_FREESHIP.code) in coupon field
[ACT] click 'Apply'
[WAIT] system processes coupon
[ASSERT] no error message displayed
[ASSERT] coupon accepted or silently has no effect on shipping (already $0)
[ASSERT] shipping remains $0.00
[ASSERT] order subtotal is unchanged (free-shipping coupon does not alter product prices)","[STATE] free-shipping coupon does not produce an error or 'invalid coupon' message on a pickup order
[MATH] shipping line = $0.00 both before and after coupon application
[MATH] order subtotal unchanged after applying @td(COUPON_FREESHIP.promo_name) coupon (no product discount)
[DOM] no negative shipping amount or unexpected line items in order summary","[CONSOLE] no JS errors or uncaught exceptions during coupon application
[NETWORK] coupon apply API returns 2xx (not 4xx); no error in response body
[API] cart query confirms $0 shipping; @td(COUPON_FREESHIP.promo_name) recorded but has no monetary effect on pickup","Free-shipping coupon triggers error 'coupon not valid' for pickup; Shipping line shows negative amount; Subtotal incorrectly modified by free-shipping coupon; Coupon system blocks pickup checkout","Remove coupon; clear cart","Coverage Gap Analysis","Draft"
"BOPIS-086","Multiple Items Assigned to Different Pickup Locations in One Order","BOPIS > Multi-Location","Medium","BL-BOPIS-005","ECL-14.3","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Authenticated user; At least two BOPIS-eligible products available — PROD_HEADPHONES (PROD-001) and PROD_LAPTOP (PROD-002) are the seeded fixtures; Platform pickup-location service returns at least 2 active locations for {{STORE_ID}}; Precondition check: verify platform supports per-item pickup location assignment before running (if not supported, mark N/A and document in Failure_Signals)","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}};sku1={{TEST_SKU}};sku2=@td(PROD_LAPTOP.sku)","[SETUP] query pickupLocations(storeId:{{STORE_ID}}, first:2) via xAPI — capture the first two location names into $STORE_A and $STORE_B (shape-only, do not hardcode names)
[NAV] {{FRONT_URL}}/cart
[ACT] add product {{TEST_SKU}} to cart
[ACT] add product @td(PROD_LAPTOP.sku) to cart
[WAIT] both items visible in cart
[ACT] for item 1 ({{TEST_SKU}}): select 'Pickup' and assign to $STORE_A
[WAIT] $STORE_A confirmed for item 1
[ACT] for item 2 (@td(PROD_LAPTOP.sku)): select 'Pickup' and assign to $STORE_B
[WAIT] $STORE_B confirmed for item 2
[ASSERT] cart shows two different pickup locations (one per item; names match $STORE_A and $STORE_B from setup capture)
[ACT] click 'Checkout' or 'Proceed to Checkout'
[WAIT] order review/checkout page loads
[ASSERT] checkout shows both pickup locations with their respective items
[ACT] complete checkout and place order
[WAIT] order confirmation page loads","[DOM] cart displays distinct pickup location for each item ($STORE_A for item 1, $STORE_B for item 2)
[DOM] checkout order review section lists both pickup locations with associated line items
[DOM] order confirmation page shows per-item pickup details ($STORE_A → item 1, $STORE_B → item 2)
[STATE] no conflicting or merged pickup location entry (each item retains its assigned location)","[CONSOLE] no JS errors when assigning multiple pickup locations
[NETWORK] cart update requests for each item return 2xx; no conflict errors
[API] order created with two fulfillment groups — each with correct store and item assignment","Platform does not support per-item pickup assignment (mark test as N/A and document platform capability gap); Only one pickup location shown for both items; @td(PROD_LAPTOP.sku) item pickup location overrides item 1 assignment; Order confirmation collapses both items into single pickup entry","Clear cart after test","Coverage Gap Analysis","Draft"
"BOPIS-089","BOPIS Checkout Order Total Formula (BL-CHK-006)","BOPIS > Checkout > Order Total","Critical","BL-CHK-006,BL-BOPIS-002","ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Authenticated user; Cart with at least one BOPIS-eligible product; Pickup location confirmed; Tax-applicable store configuration; COUPON_10PCT (COU-001) seeded and active for discount component verification","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}};sku={{TEST_SKU}};coupon=@td(COUPON_10PCT.code)","[NAV] {{FRONT_URL}}/cart
[ACT] add product {{TEST_SKU}} to cart (quantity 2)
[WAIT] cart loads with line item
[ACT] note line item subtotal = unit_price × qty
[ACT] select 'Pickup' delivery option
[ACT] select and confirm a pickup location
[WAIT] cart shows $0.00 shipping
[ACT] apply coupon @td(COUPON_10PCT.code)
[WAIT] discount applied; note discount_amount from cart
[ACT] note displayed values: subtotal, discount, tax, total from cart order summary
[ACT] manually calculate expected total: (subtotal - discount_amount) + tax_amount + $0.00 shipping
[ASSERT] displayed grand total matches manual calculation (tolerance: $0.00 — exact match required)
[ACT] click 'Proceed to Checkout'
[WAIT] checkout page loads
[ASSERT] checkout page shows same subtotal, discount, tax, and total as cart page
[ACT] enter billing address and complete order placement
[WAIT] order confirmation page loads
[ASSERT] order confirmation total matches cart total (BL-CHK-006: checkout total = confirmation total)
[ADMIN] navigate to Admin > Orders > find the order
[ASSERT] Admin order total matches confirmation page total","[MATH] grand total = (subtotal - discount) + tax + $0.00 shipping — verified at 3 checkpoints: cart page, checkout page, order confirmation
[MATH] all three totals match exactly (no rounding drift between pages)
[STATE] pickup shipping = $0.00 confirmed at all stages
[ADMIN] Admin order total consistent with storefront confirmation","[CONSOLE] no JS errors during checkout flow
[NETWORK] cart query taxTotal and subTotal fields match displayed values
[API] placed order total in xAPI order response matches confirmation page total
[ADMIN] Admin order blade shows identical total to confirmation page","Total mismatch between cart and checkout page; Total mismatch between checkout and confirmation; Admin shows different total (BL-CHK-006 violation); Unexplained $0.01+ discrepancy at any stage; Shipping not $0 for pickup order","Cancel order via admin if needed; remove coupon; clear cart","BL-CHK-006,BL-BOPIS-002,Coverage Gap Analysis","Manual"
"BOPIS-090","Cart-Level Pickup Toggle: $0 Shipping, No Shipping Address, Single Pickup Shipment (BL-BOPIS-002, BL-BOPIS-006)","BOPIS > Checkout > Pickup Toggle","Critical","BL-BOPIS-002,BL-BOPIS-006,BL-CHK-006","ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
Authenticated user; Cart with 2+ BOPIS-eligible products; At least one pickup location configured; Storefront v2.48.0 — cart-level Pickup/Shipping toggle under 'Shipping Details' (per-line mixed-mode not available in this version)","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}};sku={{TEST_SKU}}","[NAV] {{FRONT_URL}}/cart
[ACT] add product {{TEST_SKU}} to cart (quantity 2, or add a second BOPIS-eligible product)
[WAIT] cart loads with line items visible
[ACT] locate 'Shipping Details' section on cart page
[ACT] select 'Pickup' from the cart-level Pickup/Shipping toggle under 'Shipping Details'
[WAIT] toggle switches to Pickup; pickup store selector appears
[ACT] click 'Select pickup location'
[WAIT] pickup location modal opens
[ACT] select any available pickup store from the list
[ACT] click 'Select' then 'Confirm'
[WAIT] modal closes; selected pickup store name shown in cart under 'Shipping Details'
[ASSERT] shipping cost line = $0.00 (BL-BOPIS-002)
[ACT] click 'Proceed to Checkout' or equivalent
[WAIT] checkout page loads
[ASSERT] shipping address section is NOT displayed (BL-BOPIS-006: pure-BOPIS checkout skips shipping address)
[ASSERT] pickup location name and address visible in checkout order summary
[ASSERT] billing address section IS visible and required
[ACT] note displayed values: subtotal, tax, shipping ($0), grand total
[ACT] verify: grand total = subtotal + tax + $0 shipping (BL-CHK-006)
[ACT] complete billing address and place order
[WAIT] order confirmation page loads
[ASSERT] order confirmation shows pickup location name and address — no shipping address section
[ADMIN] navigate to Admin > Orders; locate the placed order
[ASSERT] Admin order detail shows pickup fulfillment with selected store; no shipping address on record","[DOM] cart-level Pickup toggle visible under 'Shipping Details'; switches all items to pickup mode
[STATE] shipping cost = $0.00 after selecting Pickup (BL-BOPIS-002)
[DOM] checkout page: shipping address form NOT shown for pure-BOPIS cart (BL-BOPIS-006)
[DOM] checkout page: billing address form IS shown and required
[DOM] pickup store name and address visible in checkout order summary
[MATH] grand total = subtotal + tax + $0.00 shipping — verified at checkout page (BL-CHK-006)
[DOM] order confirmation shows pickup store details; no shipping address section
[ADMIN] Admin order: single shipment record with fulfillmentCenterId set; no shipping address","[CONSOLE] no JS errors during Pickup toggle selection or checkout flow
[NETWORK] browser_network_requests: cart update on Pickup toggle selection returns 2xx; GA4 dataLayer contains ep.shipping_tier=Pickup after toggle
[API] cart xAPI query returns single shipments[] entry with fulfillmentCenterId populated and shippingAddress null
[ADMIN] Admin order blade confirms fulfillmentType = Pickup; shippingAddress absent","Pickup toggle absent from 'Shipping Details' section; Shipping cost not $0 after selecting Pickup (BL-BOPIS-002 violation); Shipping address form shown on checkout for pure-BOPIS cart (BL-BOPIS-006 violation); Billing address form missing from checkout; Order total includes non-zero shipping for pickup (BL-CHK-006 violation); GA4 ep.shipping_tier not emitting 'Pickup'; Cart xAPI returns zero shipments or shipment without fulfillmentCenterId; Admin order shows shipping address for pickup order","Cancel order via Admin if created; clear cart","BL-BOPIS-002,BL-BOPIS-006,BL-CHK-006","Manual"
"BOPIS-088","Completed BOPIS Order Appears Correctly in Order History","BOPIS > Order History","Medium","BL-BOPIS-006","ECL-14.1","[PRE:SIGNIN_AS:USER_DEFAULT]
Authenticated user who has previously completed at least one BOPIS pickup order; Order is in 'Processing' or 'Completed' status","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] {{FRONT_URL}}
[ACT] log in with credentials {{USER_EMAIL}} / {{USER_PASSWORD}}
[WAIT] authenticated; account menu visible
[NAV] {{FRONT_URL}}/account/orders
[WAIT] order history page loads with list of past orders
[ACT] locate the most recent BOPIS/pickup order in the list
[ASSERT] order list entry indicates fulfillment type 'Pickup' (icon, label, or tag)
[ACT] click on the BOPIS order to open order details
[WAIT] order detail page loads
[ASSERT] pickup location name and address shown in order details
[ASSERT] no 'Shipping Address' or delivery address section displayed
[ASSERT] fulfillment type label reads 'Pickup' or equivalent
[ASSERT] no shipping carrier or tracking number section visible","[DOM] order history list entry shows pickup indicator (label, icon, or 'Pickup' tag)
[DOM] order detail page contains pickup location name and full address
[STATE] no shipping address section rendered on BOPIS order detail page
[STATE] no shipping carrier / tracking number section visible
[FORMAT] fulfillment type label text matches 'Pickup', 'Store Pickup', or equivalent configured label
[DOM] store hours or contact info may be shown alongside pickup location (if platform supports it)","[CONSOLE] no JS errors loading order detail page
[NETWORK] order detail API returns 2xx; response includes fulfillment type and pickup location fields
[API] order query returns fulfillmentType = 'Pickup' and fulfillmentCenter details; shippingAddress field is null or absent","Shipping address section visible on BOPIS order detail; Fulfillment type shows 'Delivery' or 'Shipping' instead of 'Pickup'; Pickup location name/address missing from order details; Tracking number section incorrectly shown","Log out if needed","Coverage Gap Analysis","Draft"
