ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
CHK-010,Order History - View Orders,Orders > History,High,BL-ORD-001,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
User has at least one previous order, user logged in","url={{FRONT_URL}}, user={{USER_EMAIL}}, password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders
[WAIT] Wait for orders list to load","[DOM] Orders list rendered with at least one row
[DOM] Order number, date, status, total shown per row
[STATE] Orders sorted descending by date (most recent first)
[DOM] Link to order detail available per row","[API] GET /account/orders returns list with correct fields
[CONSOLE] No errors loading order history",Orders list empty when orders exist; orders not sorted correctly,none,VCST-4499,Automated
CHK-011,Order History - View Details,Orders > Detail,High,BL-ORD-001,,"[PRE:SIGNIN_AS:USER_DEFAULT]
At least one order exists in user's history, user logged in","url={{FRONT_URL}}, user={{USER_EMAIL}}, password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders
[ACT] click on an existing order to view detail
[WAIT] Wait for order detail page to load","[DOM] Line items with name, quantity, unit price rendered
[DOM] Shipping address section rendered
[DOM] Payment method shown (no full card numbers)
[DOM] Status label visible
[DOM] Subtotal, shipping, tax, grand total shown","[API] GET /account/orders/{orderId} returns full order detail
[CONSOLE] No 404 or 500 errors on detail page",Order detail page shows no line items; clicking order link results in error page,none,VCST-4499,Automated
CHK-012,Order - Pickup Details Display,Orders > Detail > Pickup,High,BL-ORD-001,,"[PRE:SIGNIN_AS:USER_DEFAULT]
{{BOPIS_PICKUP_ORDER}} env var set; user logged in as {{USER_EMAIL}}","url={{FRONT_URL}}, user={{USER_EMAIL}}, password={{USER_PASSWORD}}, bopis_order_id={{BOPIS_PICKUP_ORDER}}","[NAV] Navigate to {{FRONT_URL}}/account/orders
[ACT] Locate the order identified by {{BOPIS_PICKUP_ORDER}} and click to view detail
[WAIT] Wait for the order detail page to load","[DOM] Pickup location name and address rendered
[DOM] Store hours section present if configured
[DOM] Pickup instructions text visible
[STATE] No delivery shipping address section shown for pickup order","[API] GET /account/orders/{orderId} returns fulfillmentType = pickup
[CONSOLE] No rendering errors for pickup order type",Pickup location details missing; delivery address shown instead of pickup info,none,VCST-4499,Draft
CHK-013,Order - Delivery Details Display,Orders > Detail > Delivery,High,BL-ORD-001,,"[PRE:SIGNIN_AS:USER_DEFAULT]
@td(SHIPPED_ORDER.number) env var set; user logged in as {{USER_EMAIL}}","url={{FRONT_URL}}, user={{USER_EMAIL}}, password={{USER_PASSWORD}}, shipped_order=@td(SHIPPED_ORDER.number)","[NAV] Navigate to {{FRONT_URL}}/account/orders
[ACT] Locate the order identified by @td(SHIPPED_ORDER.number) and click to view detail
[WAIT] Wait for the order detail page to load
[COND: order has tracking] Verify tracking number shown
[COND: order has tracking] Verify tracking link is a clickable anchor","[DOM] Shipping address rendered correctly
[DOM] Carrier name shown if shipment populated","[API] GET /account/orders/{orderId} returns shipmentDetails with carrier and tracking
[CONSOLE] No errors rendering tracking info",Shipping address not shown; tracking link absent when tracking number is populated,none,"VCST-4499; Dropped 2 tracking assertions — the storefront renders no tracking number/link at all (order-details.vue, verified 2026-07-25); they were hedged 'if present' and so unfalsifiable. Shipping-address + carrier assertions retained.",Draft
CHK-022,Order Status - New,Orders > Status,Critical,BL-ORD-001,,"[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
User logged in, order just placed through storefront","url={{FRONT_URL}}, user={{USER_EMAIL}}, password={{USER_PASSWORD}}","[NAV] Complete checkout and place order via storefront
[NAV] Navigate to {{FRONT_URL}}/account/orders
[ACT] click on newly placed order
[WAIT] Wait for the resulting view to settle","[DOM] Status label = 'New' on order list row
[DOM] Status label = 'New' on order detail page
[STATE] Status visible immediately after order placement without page reload","[API] GET /account/orders/{orderId} returns status = New
[CONSOLE] No errors loading order status",Status not shown after order placement; status shows wrong value (e.g. Pending instead of New),Cancel order via {{ADMIN_URL}}/orders,Coverage Gap Analysis,Draft
CHK-023,Order Status - Processing (Admin-Driven),Orders > Status,High,BL-ORD-001,,"[PRE:SIGNIN_AS:USER_DEFAULT]
Order in New status exists (place via CHK-022 or use fresh New order); admin access available","url={{FRONT_URL}}, admin={{ADMIN_URL}}, admin_user={{ADMIN_EMAIL}}, admin_pass={{ADMIN_PASSWORD}}, user={{USER_EMAIL}}, password={{USER_PASSWORD}}","[NAV] Place a new order via storefront or use any existing New order; note the order number
[NAV] Navigate to {{ADMIN_URL}}/orders and locate the target order by order number
[ACT] Update order status to 'Processing' in admin; save
[WAIT] Wait for admin save to confirm (no error toast)
[NAV] Navigate to {{FRONT_URL}}/account/orders in storefront
[ACT] Open the same order detail page
[COND: timeline feature present] Verify New → Processing transition appears in timeline","[DOM] Status = 'Processing' on order detail page after admin update
[STATE] Status update reflected on storefront without requiring re-login
[COND: timeline present] Order history shows New → Processing transition","[API] GET /account/orders/{orderId} returns status = Processing after admin update
[ADMIN] Admin order detail confirms status = Processing
[CONSOLE] No JS errors on status refresh in storefront",Storefront still shows 'New' after admin sets Processing; admin save throws error,Revert order to New via admin if needed for other tests,Coverage Gap Analysis,Draft
CHK-024,Order Status - Shipped with Tracking Number,Orders > Status,High,BL-ORD-001,,"[PRE:SIGNIN_AS:USER_DEFAULT]
Order in New or Processing status exists (fresh order or @td(PROCESSING_ORDER.number) env var); admin access available","url={{FRONT_URL}}, admin={{ADMIN_URL}}, admin_user={{ADMIN_EMAIL}}, admin_pass={{ADMIN_PASSWORD}}, user={{USER_EMAIL}}, password={{USER_PASSWORD}}, tracking_number=@td(SAMPLE_TRACKING_NUMBER.value)","[NAV] Navigate to {{ADMIN_URL}}/orders and find a Processing or New order; note order number
[ACT] Update order status to 'Shipped' in admin
[ACT] Enter @td(SAMPLE_TRACKING_NUMBER.value) (any non-empty alphanumeric string) as tracking number; enter carrier name
[WAIT] Wait for admin save to confirm with no error
[NAV] Navigate to {{FRONT_URL}}/account/orders in storefront
[ACT] Open the same order detail","[DOM] Status = 'Shipped' on order detail
[DOM] Tracking number matches value entered in admin
[DOM] Carrier name visible
[DOM] Tracking number rendered as anchor (href present)","[API] GET /account/orders/{orderId} returns status = Shipped with shipmentDetails.trackingNumber populated
[ADMIN] Shipment details saved correctly in admin
[CONSOLE] No errors rendering tracking section",Tracking number not shown in storefront after admin update; tracking displayed as plain text not a link,none — intentional test action; leave order in Shipped state,"Coverage Gap Analysis; PARKED — storefront has no shipment-tracking UI: order-details.vue renders no tracking number/link and locales/en.json has no tracking string, while trackingNumber+trackingUrl DO exist in the xAPI schema (verified 2026-07-25 vs vc-frontend@dev). Kept as the acceptance test for a future ""surface tracking on order detail"" story. Left at Draft deliberately (Draft is not regression-eligible) — do NOT promote or run until that story ships.",Draft
CHK-025,Order Status - Completed,Orders > Status,High,BL-ORD-001,,"[PRE:SIGNIN_AS:USER_DEFAULT]
@td(COMPLETED_ORDER.number) env var set OR admin access available to promote a Shipped order to Completed; user logged in as {{USER_EMAIL}}","url={{FRONT_URL}}, admin={{ADMIN_URL}}, admin_user={{ADMIN_EMAIL}}, admin_pass={{ADMIN_PASSWORD}}, user={{USER_EMAIL}}, password={{USER_PASSWORD}}, completed_order=@td(COMPLETED_ORDER.number)","[NAV] If @td(COMPLETED_ORDER.number) is set: navigate directly to that order detail. Otherwise: navigate to {{ADMIN_URL}}/orders, find a Shipped order, update to Completed and save
[NAV] Navigate to {{FRONT_URL}}/account/orders in storefront
[ACT] Open the Completed order detail page
[COND: buyer-cancel feature enabled] Verify 'Cancel Order' button is absent or disabled for Completed orders","[DOM] Status = 'Completed' on order detail
[COND: buyer-cancel enabled] Cancel order button absent or disabled for completed orders","[API] GET /account/orders/{orderId} returns status = Completed
[ADMIN] Status confirmed as Completed in admin
[CONSOLE] No errors on completed order detail page",Completed status not reflected in storefront; Cancel option still active for completed orders when feature is enabled,none,Coverage Gap Analysis,Draft
CHK-039,Reorder - Add to Cart,Orders > Reorder,High,BL-ORD-001,,"[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
@td(COMPLETED_ORDER.number) env var set; user logged in as {{USER_EMAIL}}","url={{FRONT_URL}}, user={{USER_EMAIL}}, password={{USER_PASSWORD}}, completed_order=@td(COMPLETED_ORDER.number)","[NAV] Navigate to {{FRONT_URL}}/account/orders
[ACT] Locate order @td(COMPLETED_ORDER.number) (or any completed order visible) and click to view detail
[WAIT] Wait for order detail page to load
[COND: reorder feature enabled] Verify 'Reorder' button visible on order detail page
[COND: reorder feature enabled] [ACT] click 'Reorder all'
[WAIT] Wait for items to be added to cart
[ASSERT] Verify success notification or cart count badge update confirms items added
[ASSERT] Verify cart count badge updates
[NAV] Navigate to {{FRONT_URL}}/cart","[COND: reorder feature enabled] 'Reorder' button visible on completed order detail
[STATE] Success notification or cart badge update shown after clicking Reorder
[DOM] Cart count updates after Reorder
[DOM] Cart contains all line items from the reordered order with matching quantities
[STATE] Existing cart items not replaced (items added)","[API] addItemsToCart or equivalent mutation returns success
[CONSOLE] No errors during reorder action; [API] mutation response errors[] is empty",Reorder button absent when feature is enabled; items not added to cart; cart count not updated after reorder,Remove reordered items from cart,REQUIRES-COMPLETED-ORDER: Reorder button is gated by order status=Completed; resolve {{COMPLETED_ORDER}} via live-discover or seed (Coverage Gap Analysis),Draft
CHK-040,Reorder - Current Prices,Orders > Reorder > Pricing,High,"BL-ORD-001, BL-CHK-002",ECL-4.1,"[PRE:SIGNIN_AS:USER_DEFAULT]
[PRE:RESET_CART]
@td(COMPLETED_ORDER.number) env var set (an older order); user logged in as {{USER_EMAIL}}; reorder feature enabled","url={{FRONT_URL}}, user={{USER_EMAIL}}, password={{USER_PASSWORD}}, completed_order=@td(COMPLETED_ORDER.number)","[NAV] Navigate to {{FRONT_URL}}/account/orders
[ACT] Locate order @td(COMPLETED_ORDER.number) and open its detail; note the original unit prices recorded on the order
[COND: reorder feature enabled] [ACT] click 'Reorder all'
[WAIT] Wait for items added to cart
[NAV] Navigate to {{FRONT_URL}}/cart","[STATE] No system error thrown when cart prices differ from historical order prices
[MATH] Cart total uses current catalog prices (verify one item price against live PDP price if discrepancy observed)
[DOM] Cart functional and can proceed to checkout","[API] addItemsToCart mutation succeeds; no price-mismatch error returned
[API] Product price API returns current prices for reordered SKUs
[CONSOLE] No errors on price calculation",System error thrown when prices differ; cart shows historical order prices instead of current; cart total uses stale prices,Remove items from cart,REQUIRES-COMPLETED-ORDER: Reorder button is gated by order status=Completed; resolve {{COMPLETED_ORDER}} via live-discover or seed (Coverage Gap Analysis),Draft
