"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"PRICE-009","Change price on Backend > Price updated on Storefront","Pricing > Price Logic","High","BL-PRICE-001","ECL-7.1","Admin logged in to Backend
Product has price assigned
Storefront accessible","product_sku={{TEST_SKU}}; new_price=199.99","[NAV] Navigate to {{BACK_URL}} Catalog > Products
[ACT] Open product with price ({{TEST_SKU}})
[ACT] Open 'Price' widget
[ACT] Change price value to 199.99
[ACT] Click 'Save'
[ACT] Rebuild search index
[NAV] Navigate to {{FRONT_URL}}
[ACT] Open same product page
[ASSERT] Verify displayed price matches 199.99","[STATE] Price is updated on storefront to match backend change
[DOM] Product detail page shows new price $199.99
[MATH] No rounding or currency conversion errors","[API] GraphQL xAPI products query — confirm prices[].actual.amount = 199.99
[NETWORK] Search index rebuild completes (HTTP 200)","Storefront shows stale price; index rebuild fails; price mismatch between Admin and storefront","restore original prices","C183312","None"
"PRICE-010","Remove price on Backend > Price updated to 0 and Unavailable label","Pricing > Price Logic","High","BL-PRICE-001","ECL-7.1","Admin logged in to Backend
Product has price assigned
Storefront accessible","product_sku={{TEST_SKU}}","[NAV] Navigate to {{BACK_URL}} Catalog > Products
[ACT] Open product with price ({{TEST_SKU}})
[ACT] Open 'Price' widget
[ACT] Delete all prices
[ACT] Click 'Save'
[ACT] Rebuild search index
[NAV] Navigate to {{FRONT_URL}}
[ACT] Open same product page
[ASSERT] Verify price and availability label","[STATE] Price is updated to 0
[DOM] 'Unavailable' label is shown on product page
[STATE] Product cannot be added to cart — Add to Cart button disabled or absent","[API] GraphQL xAPI products query — confirm prices[] is empty or price = 0
[CONSOLE] No JS errors when viewing unavailable product","Unavailable label not shown; product still addable to cart; index rebuild fails","restore original prices","C251761","None"
"PRICE-011","Price with highest priority shown on Storefront","Pricing > Price Logic","High","BL-PRICE-004","ECL-7.1","Admin logged in to Backend and Storefront
Two price lists assigned to same product with different prices","pricelist_1_price=50.00; pricelist_2_price=80.00; product_sku={{TEST_SKU}}","[NAV] Navigate to {{BACK_URL}} Pricing > Price Lists
[ACT] Set priority of price list #1 higher than #2
[ACT] Rebuild index
[NAV] Navigate to {{FRONT_URL}} and open product ({{TEST_SKU}})
[ASSERT] Verify product price = price from pricelist #1 ($50.00)
[NAV] Return to {{BACK_URL}}
[ACT] Set priority of price list #2 higher than #1
[ACT] Rebuild index
[NAV] Navigate to {{FRONT_URL}} and reload product page
[ASSERT] Verify product price = price from pricelist #2 ($80.00)","[STATE] Step 1: Product price = price from pricelist #1 ($50.00)
[STATE] Step 2: Product price = price from pricelist #2 ($80.00)","[API] GraphQL xAPI products query — confirm prices[].pricelistId matches winning priority list","Wrong pricelist price shown; price not changing after priority switch; stale cache","restore original prices","C183310","None"
"PRICE-012","Delete price > Next price by priority shown on Storefront","Pricing > Price Logic","High","BL-PRICE-004","ECL-7.1","Admin logged in to Backend and Storefront
Three prices with different priorities for same product
Price with higher priority displayed on Storefront","product_sku={{TEST_SKU}}","[NAV] Navigate to {{BACK_URL}} and open product ({{TEST_SKU}}) with three tiered-priority prices
[ACT] Delete price with highest priority
[ACT] Save changes
[ACT] Rebuild search index
[NAV] Navigate to {{FRONT_URL}} and open product page
[ASSERT] Verify product price changed to next-highest-priority price","[STATE] Product price has changed
[STATE] Product price = price that holds highest priority among two remaining","[API] GraphQL xAPI products query — confirm prices[].pricelistId is second-priority list after deletion","Deleted price still showing; wrong fallback price shown; index rebuild fails","restore original prices","C183311","None"
"PRICE-013","Price changed when switching currency on Storefront","Pricing > Price Logic","High","BL-PRICE-001","","Admin logged in to Backend
Two price lists with different currencies (USD, EUR) for same product
Price lists assigned to catalog containing product
Currency on storefront = USD
Storefront accessible","product_sku={{TEST_SKU}}; usd_price=100.00; eur_price=90.00","[NAV] Navigate to {{FRONT_URL}} and open product ({{TEST_SKU}})
[ASSERT] Verify price = USD price ($100.00)
[ACT] Switch currency to EUR
[NAV] Navigate to product ({{TEST_SKU}}) again
[ASSERT] Verify price = EUR price (€90.00)","[STATE] Step 1: Product price = price in USD price list ($100.00)
[STATE] Step 2: Product price = price in EUR price list (€90.00)","[API] GraphQL xAPI products query with currencyCode=EUR — confirm prices[].actual currency code and amount","Currency switch not applied; wrong price shown for EUR; currency symbol not updated","none","C183323","None"
"PRICE-014","No price for currency > Currency autoconverted","Pricing > Price Logic","Medium","BL-PRICE-001","","Admin logged in to Backend and Storefront
Product has price in primary currency
No prices for product in other currency
Exchange rate set for other currencies","primary_currency=USD; primary_price=100.00; exchange_rate_currency=EUR; exchange_rate=0.92","[NAV] Navigate to {{BACK_URL}} Settings > Stores
[ASSERT] Verify exchange rate is set for EUR
[NAV] Navigate to {{FRONT_URL}}
[ACT] Switch to currency without price list (EUR)
[NAV] Navigate to product page
[ASSERT] Verify price = primary_price × exchange_rate","[MATH] Product price = 100.00 × 0.92 = €92.00
[FORMAT] Price displayed in EUR with correct currency symbol","[API] GraphQL xAPI products query with currencyCode=EUR — confirm converted price","Autoconversion not applied; price shows 0 or primary currency symbol; exchange rate not configured","none","C183344","None"
"PRICE-015","Add product with price lists in different currencies to cart > Check price","Pricing > Price Logic","Medium","BL-PRICE-001","ECL-7.1","Admin logged in to Backend and Storefront
Product has two price lists in USD and EUR
Default currency in store is USD","product_sku={{TEST_SKU}}; usd_price=120.00; eur_price=110.00","[NAV] Navigate to {{FRONT_URL}}
[ACT] Add Product1 ({{TEST_SKU}}) to cart in USD
[NAV] Navigate to {{BACK_URL}} Catalog > Product1 > Price widget
[ACT] Change price for USD price list to 120.00
[ACT] Rebuild index
[NAV] Navigate to {{FRONT_URL}} > Cart; refresh page
[ASSERT] Verify line-item price = $120.00 and currencyCode = USD
[ACT] Switch currency in Store to EUR in Admin settings
[NAV] Navigate to {{FRONT_URL}}; add Product1 to cart
[NAV] Navigate to {{BACK_URL}} Catalog > Product1 > Price widget
[ACT] Change price for EUR price list to 110.00
[ACT] Rebuild index
[NAV] Navigate to {{FRONT_URL}} > Cart; refresh page
[ASSERT] Verify line-item price = €110.00 and currencyCode = EUR","[STATE] Step 1: line-item price = $120.00; currencyCode = USD
[STATE] Step 2: line-item price = €110.00; currencyCode = EUR","[API] GraphQL xAPI cart query — inspect items[].placedPrice.amount and items[].placedPrice.currency","Cart shows wrong currency; line price not updated after index rebuild; currency mismatch in cart response","restore original prices","C358947","None"
"PRICE-016","Pricelist assigned to store","Pricing > Price Logic","High","BL-PRICE-004","","Admin logged in to Backend
Store1 exists in system
Virtual catalog1 exists and assigned to store1
Storefront accessible","store_id={{STORE_ID}}; product_sku={{TEST_SKU}}; expected_price=75.00","[NAV] Navigate to {{BACK_URL}} Pricing > Price Lists
[ACT] Create or open price list
[ACT] Go to Assignments widget
[ACT] Create assignment to {{STORE_ID}}
[ACT] Set price for product ({{TEST_SKU}}) = 75.00
[ACT] Rebuild index
[NAV] Navigate to {{FRONT_URL}}
[ACT] Navigate to product ({{TEST_SKU}})
[ASSERT] Verify correct price displayed","[STATE] Product shows $75.00 on storefront for store {{STORE_ID}}
[DOM] Price visible on product detail page","[API] GraphQL xAPI products query with storeId={{STORE_ID}} — confirm prices[].actual.amount = 75.00","Wrong price shown; price not showing for correct store; assignment not taking effect","delete created price list via Admin","C317549","None"
"PRICE-017","Pricelist > Assign to store > Assign to catalog","Pricing > Price Logic","High","BL-PRICE-004","","Admin logged in to Backend
Pricelist assigned to store [PRICE-016]
Catalog assignment available","store_price=75.00; catalog_price=50.00; product_sku={{TEST_SKU}}","[NAV] Navigate to {{BACK_URL}} and open price list assignment from PRICE-016
[ACT] Add catalog assignment to same price list
[ACT] Set different price for catalog assignment = 50.00
[ACT] Save changes
[ACT] Rebuild index
[NAV] Navigate to {{FRONT_URL}}
[ASSERT] Verify which price is displayed (catalog assignment takes precedence)","[STATE] Product shows catalog assignment price ($50.00)
[DOM] Catalog price ($50.00) shown — not store price ($75.00)
[STATE] Catalog assignment has higher precedence than store assignment","[API] GraphQL xAPI products query — confirm prices[].actual.amount = 50.00 and pricelistId matches catalog assignment","Store price shown instead of catalog price; assignment precedence not respected","restore original prices","C317550","None"
"PRICE-018","Pricelist > Assign to catalog > Assign to store","Pricing > Price Logic","Medium","BL-PRICE-004","","Admin logged in to Backend
Pricelist assigned to catalog [PRICE-017]","catalog_price=50.00; store_price=60.00; product_sku={{TEST_SKU}}","[ASSERT] Verify catalog assignment exists from PRICE-017
[ACT] Add store assignment to same price list with price = 60.00
[ACT] Save changes
[ACT] Rebuild index
[NAV] Navigate to {{FRONT_URL}}
[ASSERT] Verify which price is displayed (verify assignment precedence)","[STATE] Product shows catalog assignment price ($50.00) — catalog precedence over store confirmed","[API] GraphQL xAPI products query — confirm prices[].actual.amount reflects catalog assignment price","Store price shown instead of catalog price; precedence order not maintained","restore original prices","C317551","None"
