ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
FRR-001,User Registration - Personal Account,Full Regression > Authentication > Registration,Critical,,,  "Browser open, QA environment: {{FRONT_URL}}, cleared cache/cookies","email=testuser-{{timestamp}}@example.com, password=TestP@ss123!, front_url={{FRONT_URL}}","1. Navigate to storefront homepage
2. Click 'Sign Up' in header
3. Select 'Personal' account type
4. Fill required fields: First Name, Last Name, Email: testuser-{timestamp}@example.com, Password: TestP@ss123!
5. Accept terms and conditions
6. Click 'Create Account' button
7. Verify confirmation page displays","- Registration form submits successfully
- Confirmation page displays success message
- User can sign in with new credentials
- Account visible in Admin panel under Customers
- Profile displays correct personal information","[ADMIN] new user appears in Customers list
[CONSOLE] no JS errors during registration","Spinner visible >5s, 4xx/5xx on network tab, console TypeError, page redirect to /error",none,C410417,Automated
FRR-002,User Registration - Organization Account,Full Regression > Authentication > Registration,Critical,,,  "Browser open, QA environment accessible","front_url={{FRONT_URL}}","1. Navigate to registration page
2. Select 'Organization' account type
3. Fill required fields: Company Name, Admin name, Email, Password
4. Accept terms and conditions
5. Click 'Create Account'
6. Log in with new credentials
7. Verify organization context","- Organization account created successfully
- Company appears in Organizations list in Admin
- User assigned as organization administrator
- Organization name visible in storefront header
- B2B features accessible: Company Members, Quick Order","[ADMIN] organization appears in Organizations list
[CONSOLE] no JS errors","Spinner visible >5s, 4xx/5xx on network tab, console TypeError",none,C410418,Automated
FRR-003,Sign In - Personal User,Full Regression > Authentication > Sign In,Critical,BL-AUTH-006,,  "Valid personal user account: {{USER_EMAIL}} from .env","email={{USER_EMAIL}}, password={{USER_PASSWORD}}, front_url={{FRONT_URL}}","1. Navigate to {{FRONT_URL}}
2. Click 'Sign In' in header
3. Enter email: {{USER_EMAIL}} and password: {{USER_PASSWORD}}
4. Click 'Sign In' button
5. Verify successful authentication","- User authenticated successfully
- User name displayed in header
- Cart icon accessible
- Account menu shows Logout option
- No error messages displayed","[CONSOLE] no JS errors on sign-in
[NETWORK] no 4xx/5xx on auth requests","Spinner visible >5s, 4xx/5xx on /connect/token, console TypeError, redirect to /error",Sign out after test,C410420,Automated
FRR-004,Sign In - Organization User,Full Regression > Authentication > Sign In,Critical,BL-B2B-001,,  "Valid organization user account exists","email={{ORG_USER_EMAIL}}, password={{ORG_USER_PASSWORD}}, front_url={{FRONT_URL}}","1. Navigate to sign-in page
2. Enter organization user email and password
3. Click 'Sign In'
4. Verify organization context active
5. Check B2B features available","- User logged in with organization context
- Organization name visible in header
- B2B features accessible: Quick Order, Company Members, Quotes
- Pricing reflects organization contracts if configured
- Cart specific to organization (BL-B2B-001)","[API] xAPI cart query returns org-scoped cart
[CONSOLE] no JS errors","Spinner visible >5s, 4xx/5xx on auth, console TypeError",Sign out after test,C410421,Automated
FRR-005,Forgot Password - Reset Flow,Full Regression > Authentication > Password,High,BL-AUTH-003,,  "Valid user account exists","email={{USER_EMAIL}}, front_url={{FRONT_URL}}","1. Navigate to sign-in page
2. Click 'Forgot Password?' link
3. Enter registered email address
4. Click 'Send Reset Link'
5. Check email for password reset link
6. Click reset link and enter new password
7. Log in with new password
8. Verify old password no longer works","- Reset link email received within 2 minutes
- Password reset form accepts strong passwords
- Password reset completes with confirmation message
- Can sign in with new password; old password rejected
- Reset link expires after use (BL-AUTH-003)","[EMAIL] reset email received within 2 minutes
[CONSOLE] no JS errors","Spinner visible >5s, email not received after 5 min, console TypeError",Restore original password if changed,C410440,Manual
FRR-006,Sign Out and Session Revocation,Full Regression > Authentication > Sign Out,High,BL-AUTH-001; BL-AUTH-007,,  "User logged in","email={{USER_EMAIL}}, front_url={{FRONT_URL}}","1. Click user name / avatar in top header to open account-menu popup (BL-AUTH-007 — no /sign-out page, no header-level logout icon)
2. Click Logout button inside popup (data-testid=""main-layout.top-header.account-menu.sign-out-button"")
3. Verify sign-out completed (redirect to home or /sign-in)
4. Attempt to access {{FRONT_URL}}/account/orders directly","- User signed out successfully
- Account menu no longer shows user name
- Attempting account pages redirects to sign-in
- Session token revoked (protected API calls return 401)","[NETWORK] /account/orders redirects to sign-in (not 200)
[CONSOLE] no JS errors","Session still active after sign-out, 4xx/5xx errors, console TypeError",none,C410423,Automated
FRR-007,Account Lockout After Failed Login Attempts,Full Regression > Authentication > Security,Critical,BL-AUTH-003,,  "Valid user account exists","email={{USER_EMAIL}}, front_url={{FRONT_URL}}","1. Navigate to sign-in page
2. Enter correct email with wrong password 5 times in succession
3. Attempt 6th login with correct credentials
4. Verify lockout behavior","- Account locked after N consecutive failures (platform default: 5)
- Even correct credentials rejected during lockout with generic message
- Lockout message does not reveal whether account exists
- Successful login prior to threshold resets failure counter (BL-AUTH-003)","[CONSOLE] no JS errors
[NETWORK] no 5xx on repeated login attempts","Account not locked after 5 failures, 500 error on login attempt, console TypeError",Wait for lockout expiry OR use dedicated test account,FR-AUTH-003,Manual
FRR-008,Catalog Browsing - Category Navigation,Full Regression > Catalog > Navigation,Critical,BL-CAT-004,,  "User logged in","front_url={{FRONT_URL}}","1. Navigate to main catalog from header menu
2. Hover over main category
3. Verify subcategories display
4. Click on subcategory
5. Verify category page loads
6. Check breadcrumbs and product listing","- Main categories load in header/menu
- Subcategories display on hover/click
- Category page loads with correct products
- Breadcrumbs show correct hierarchy
- Product count displayed
- Facets/filters display in sidebar
- Products show image, name, price, Add to Cart","[CONSOLE] no JS errors on category nav
[NETWORK] no 4xx/5xx on catalog API calls","Category menu blank, 404 on category page, console TypeError, spinner >5s",none,C410460,Automated
FRR-009,Catalog - Faceted Filters (Multi-Filter Apply),Full Regression > Catalog > Filters,Critical,BL-SRCH-001,,  "User on category page with filterable products","front_url={{FRONT_URL}}","1. Navigate to category page
2. Verify facets display (Brand, Price, Size, Color)
3. Select Brand filter
4. Verify results update and count changes
5. Apply Price range filter
6. Verify chip badges show active filters
7. Click X on one chip to remove it
8. Verify no-results case with conflicting filters","- Facets display available values
- Applying filter updates product listing immediately
- Product count updates after each filter
- Multiple filters work together (AND logic)
- Chip badges display for active filters
- Removing chip updates results
- Facet counts match filtered results (BL-SRCH-001)
- Empty state shows 'No products match' message","[NETWORK] no 4xx/5xx on filter requests
[CONSOLE] no JS errors","Facets not loading, product count not updating, console TypeError, spinner >5s",Remove applied filters,C410470,Automated
FRR-010,Catalog - Sort Products,Full Regression > Catalog > Sorting,High,,ECL-3.2,  "User on category page with multiple products","front_url={{FRONT_URL}}","1. Navigate to category page
2. Select 'Price: Low to High' in sort dropdown
3. Verify products sorted ascending
4. Select 'Price: High to Low'
5. Verify descending sort
6. Apply a filter and verify sort persists","- Sort options available: Price (Low-High, High-Low), Name (A-Z, Z-A), Newest
- Sorting applies immediately
- Sort order maintained after filter applied (ECL-3.2)
- Pagination resets to page 1 on sort change","[CONSOLE] no JS errors on sort change
[NETWORK] no 4xx/5xx","Sort not persisting with filter, console TypeError, spinner >5s",none,C410475,Automated
