"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"WDM-001","Dark Mode Toggle — Watermelon theme activates dark variant on toggle","Dark Mode Activation","Critical","BL-B2B-006","","Storefront accessible; Watermelon theme preset configured for store or org; user signed in","front_url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_password={{ORG_USER_PASSWORD}}","[NAV] {{FRONT_URL}}
[WAIT] homepage fully loaded with Watermelon light theme visible
[ACT] locate theme/dark mode toggle control in header or footer
[ACT] click dark mode toggle to enable dark mode
[WAIT] page re-renders with dark color palette applied","[DOM] page background changes from light (#ffffff region) to dark (#040303)
[DOM] body text color updates to light (#ebe5e5)
[DOM] header background updates to dark (#141010 top / #332829 bottom)
[DOM] dark mode toggle shows active/enabled state
[STATE] dark mode state is active (not reverted after 2s)","[CONSOLE] no uncaught JS errors or CSS variable warnings during toggle
[NETWORK] no 4xx/5xx requests triggered by toggle action","Toggle unresponsive after click; body background remains white after 2s; JS error on toggle; no visual color change","none","VCST-4718","Manual"
"WDM-002","Dark Mode — OS Preference Respected (prefers-color-scheme: dark)","Dark Mode Activation","High","BL-B2B-006","","Watermelon theme active for store; browser/OS set to dark color scheme preference","front_url={{FRONT_URL}}","[ACT] set OS or browser to dark color scheme (DevTools emulation: prefers-color-scheme: dark)
[NAV] {{FRONT_URL}}
[WAIT] homepage fully loaded","[DOM] dark mode applied automatically without manual toggle click
[DOM] body background is dark (#040303)
[STATE] dark mode toggle (if present) reflects the auto-detected dark state","[CONSOLE] no errors during auto dark mode detection","Page ignores OS preference and loads light theme; CSS media query not applied; toggle shows wrong state","none","VCST-4718","Manual"
"WDM-003","Dark Mode Persistence — Dark state survives page refresh","Dark Mode Activation","High","BL-B2B-006","","Watermelon dark mode enabled via toggle; user on homepage","front_url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_password={{ORG_USER_PASSWORD}}","[NAV] {{FRONT_URL}}
[ACT] enable dark mode toggle
[WAIT] dark theme applied
[KEY] F5 (or browser refresh)
[WAIT] page fully reloaded","[DOM] dark mode remains active after refresh (body bg #040303)
[STATE] dark mode toggle still shows enabled state
[DOM] no flash of light theme before dark mode re-applies","[CONSOLE] no errors on reload","Dark mode resets to light after refresh; FOUC of light theme before dark settles; toggle shows disabled after refresh","none","VCST-4718","Manual"
"WDM-004","Dark Mode Persistence — Dark state survives navigation across pages","Dark Mode Activation","High","BL-B2B-006","","Watermelon dark mode enabled; user on homepage","front_url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_password={{ORG_USER_PASSWORD}}","[NAV] {{FRONT_URL}}
[ACT] enable dark mode toggle
[WAIT] dark theme applied
[NAV] {{FRONT_URL}}/catalog (or any category page)
[WAIT] catalog page loaded
[NAV] {{FRONT_URL}}/search?q=test
[WAIT] search page loaded","[STATE] dark mode remains active on catalog page
[STATE] dark mode remains active on search results page
[DOM] body bg is consistently #040303 across all page navigations","[CONSOLE] no CSS errors during navigation","Dark mode drops on SPA route change; light flash between pages","none","VCST-4718","Manual"
"WDM-005","Dark Mode Persistence — Deep link opens in dark mode","Dark Mode Activation","Medium","BL-B2B-006","","User has previously enabled dark mode (persisted in localStorage or cookie)","front_url={{FRONT_URL}}","[ACT] ensure dark mode preference is stored (enable toggle, close tab)
[NAV] open a new tab directly to {{FRONT_URL}}/catalog (deep link, not homepage)
[WAIT] catalog page fully loaded","[DOM] dark mode applied immediately on deep-linked page (#040303 background)
[STATE] no light-mode flash before dark mode loads
[DOM] dark mode toggle shows correct enabled state","[CONSOLE] no errors","Deep link opens in light mode ignoring stored preference; FOUC of light before dark","none","VCST-4718","Manual"
"WDM-006","Color Token — Body background and text colors match spec","Color Token Verification","Critical","BL-B2B-006","","Watermelon dark mode active on storefront; browser DevTools available","front_url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_password={{ORG_USER_PASSWORD}}","[NAV] {{FRONT_URL}}
[ACT] enable dark mode toggle
[WAIT] dark theme applied
[ACT] open browser DevTools > Elements panel
[ACT] inspect CSS custom properties on :root or body element","[FORMAT] CSS variable for body background resolves to #040303
[FORMAT] CSS variable for body text color resolves to #ebe5e5
[DOM] no bright white (#ffffff) background regions visible in page body","[CONSOLE] no CSS variable resolution errors","Body background is white or wrong dark color; text color too dark to read on dark background","none","VCST-4718","Manual"
"WDM-007","Color Token — Header top bar colors match spec","Color Token Verification","Critical","BL-B2B-006","","Watermelon dark mode active","front_url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_password={{ORG_USER_PASSWORD}}","[NAV] {{FRONT_URL}}
[ACT] enable dark mode toggle
[WAIT] dark theme applied
[ACT] open DevTools > Elements
[ACT] inspect header top bar element computed styles","[FORMAT] header top bar background resolves to #141010
[FORMAT] header top bar text color resolves to #d4c9c9
[FORMAT] header top bar link color resolves to #f4a6a5
[DOM] header top bar is visible and all text legible","[CONSOLE] no CSS errors","Header remains light; wrong dark color applied; link colors not updated","none","VCST-4718","Manual"
"WDM-008","Color Token — Header bottom bar colors match spec","Color Token Verification","Critical","BL-B2B-006","","Watermelon dark mode active","front_url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_password={{ORG_USER_PASSWORD}}","[NAV] {{FRONT_URL}}
[ACT] enable dark mode toggle
[WAIT] dark theme applied
[ACT] inspect header bottom bar computed styles in DevTools","[FORMAT] header bottom bar background resolves to #332829
[FORMAT] header bottom bar text color resolves to #ebe5e5
[DOM] navigation items in header bottom are legible","[CONSOLE] no CSS errors","Header bottom bar has wrong or light background; text invisible on dark background","none","VCST-4718","Manual"
"WDM-009","Color Token — Footer colors match spec","Color Token Verification","High","BL-B2B-006","","Watermelon dark mode active","front_url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_password={{ORG_USER_PASSWORD}}","[NAV] {{FRONT_URL}}
[SCROLL] scroll to page footer
[ACT] inspect footer top and footer bottom computed styles in DevTools","[FORMAT] footer top background resolves to #141010
[FORMAT] footer top text color resolves to #ebe5e5
[FORMAT] footer bottom background resolves to #332829
[FORMAT] footer bottom text color resolves to #d4c9c9
[DOM] footer content is legible and fully visible","[CONSOLE] no CSS errors","Footer retains light background; wrong colors applied; footer text illegible","none","VCST-4718","Manual"
"WDM-010","Color Token — Link colors match spec (default and hover)","Color Token Verification","High","BL-B2B-006","","Watermelon dark mode active; page with visible links open","front_url={{FRONT_URL}}, org_user={{ORG_USER_EMAIL}}, org_password={{ORG_USER_PASSWORD}}","[NAV] {{FRONT_URL}}
[ACT] enable dark mode toggle
[WAIT] dark theme applied
[ACT] identify a body-level hyperlink (e.g. in a content area or breadcrumb)
[ACT] inspect computed color via DevTools
[ACT] hover over the link
[ACT] inspect computed color on hover","[FORMAT] link default color resolves to #f4a6a5
[FORMAT] link hover color resolves to #f8c5c5
[DOM] links are visually distinct from surrounding text","[CONSOLE] no CSS errors","Links retain default blue browser color; hover color same as default (no hover state change)","none","VCST-4718","Manual"
