"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"LAYOUT-CLS-001","CLS on home page (observer installed pre-paint)","CLS > Initial render","P2","BL-UI-001","ECL-1.2","Storefront reachable. The runner installs the CLS observer via addInitScript, so unlike the MCP-driven predecessor this DOES capture pre-paint shifts.","{{FRONT_URL}}","[VIEWPORT] 1280x900
[THROTTLE] fast3g
[NAV] {{FRONT_URL}}/
[WAIT] networkidle
[REFLOW]
[PROBE:CLS]","[CLS] <= 0.1","console errors and 4xx/5xx are captured automatically into the FAIL trace","Hero .slider-block images without width/height or aspect-ratio; webfont swap reflowing .vc-typography; product grid resolving late","none (context is destroyed after the case)","business-logic.md#bl-ui-001; replaces 048b LAYOUT-CLS-001","Automated"
"LAYOUT-CLS-002","CLS on catalog listing","CLS > Initial render","P2","BL-UI-001","ECL-1.2","Catalog has at least one indexed product.","{{FRONT_URL}}/catalog","[VIEWPORT] 1280x900
[THROTTLE] fast3g
[NAV] {{FRONT_URL}}/catalog
[WAIT] .vc-product-card >= 4
[WAIT] networkidle
[REFLOW]
[PROBE:CLS]","[CLS] <= 0.1","auto-captured","Product-card images resolving after grid layout; facet rail widening on load","none","business-logic.md#bl-ui-001; replaces 048b LAYOUT-CLS-002","Automated"
"LAYOUT-IMG-001","Home images reserve space before load (CLS root cause)","CLS > Reserved space","P1","BL-UI-001","ECL-1.2","Root-causes the CLS number: every image must carry width+height attrs, a CSS aspect-ratio, or an explicitly sized box.","{{FRONT_URL}}","[VIEWPORT] 1280x900
[NAV] {{FRONT_URL}}/
[WAIT] networkidle
[PROBE:IMGDIMS] img","[IMGDIMS] missingDims == 0","auto-captured","Hero slides and content-block images with aspect-ratio:auto and no width/height attributes","none","business-logic.md#bl-ui-001; root cause behind 048b LAYOUT-CLS-001/002/003 + VCCAROUSEL-001","Automated"
"LAYOUT-IMG-002","Catalog product-card images reserve space","CLS > Reserved space","P1","BL-UI-001","ECL-1.2","Catalog renders product cards.","{{FRONT_URL}}/catalog","[VIEWPORT] 1280x900
[NAV] {{FRONT_URL}}/catalog
[WAIT] .vc-product-card >= 4
[PROBE:IMGDIMS] .vc-product-card img","[IMGDIMS] missingDims == 0","auto-captured","Card images collapse to zero height until bytes arrive, shifting the grid","none","business-logic.md#bl-ui-001","Automated"
"LAYOUT-SPC-001","Spacing grid — catalog product cards","Spacing > Grid compliance","P2","BL-UI-002","ECL-1.5","Grid is the DERIVED design-system scale (npm run tokens:sync), not a 4px multiple. 10px/6px/14px are valid Tailwind steps and must PASS.","{{FRONT_URL}}/catalog","[VIEWPORT] 1280x900
[NAV] {{FRONT_URL}}/catalog
[WAIT] .vc-product-card >= 4
[PROBE:SPACING] .vc-product-card, .vc-product-card .vc-product-title, .vc-product-card .vc-product-price","[SPACING] offGrid == 0","auto-captured","Values on no scale step at all (13px, 27px, 41px) — NOT 10px/6px/18px, which are legitimate","none","business-logic.md#bl-ui-002; replaces 048b LAYOUT-SPC-001","Automated"
"LAYOUT-COMP-VCBUTTON-001","Spacing grid — VcButton across header and main","Components > VcButton","P2","BL-UI-002","ECL-1.5","Regression guard for the false-positive that removed 048b: vc-button uses padding[2.5]=10px and padding[3.5]=14px BY DESIGN. This case must PASS on an unchanged build.","{{FRONT_URL}}","[VIEWPORT] 1280x900
[NAV] {{FRONT_URL}}/
[WAIT] header
[PROBE:SPACING] header button, main button","[SPACING] offGrid == 0","auto-captured","A genuinely off-scale value; if this fails with 10px/6px the token sync has drifted — run npm run tokens:check","none","business-logic.md#bl-ui-002; critical-ui-scope.md VcButton; replaces 048b LAYOUT-COMP-VCBUTTON-001","Automated"
"LAYOUT-OVF-001","No horizontal scroll on home at 375px","Overflow > Mobile","P1","BL-UI-004","ECL-1.6","Viewport is a declared step, so this can never be measured at the wrong width.","{{FRONT_URL}}","[VIEWPORT] 375x812
[NAV] {{FRONT_URL}}/
[WAIT] networkidle
[PROBE:OVERFLOW]","[OVERFLOW] documentScrolls == false","auto-captured","Header chrome or a content block wider than the viewport at 375px","none","business-logic.md#bl-ui-004; replaces 048b LAYOUT-OVF-001","Automated"
"LAYOUT-VPS-001","No horizontal scroll in the lg-to-xl fluid band (1024-1280)","Overflow > Viewport sweep","P1","BL-UI-004","ECL-1.6","048b reported documentScrolls=true at 1023/1024/1050/1100 on a Builder.io content block, recovering by 1150. Sampled at 1050 — inside the reported band, which the old fixed 375/768/1024/1280/1920 viewport set never touched.","{{FRONT_URL}}","[VIEWPORT] 1050x900
[NAV] {{FRONT_URL}}/
[WAIT] networkidle
[PROBE:OVERFLOW]","[OVERFLOW] documentScrolls == false","auto-captured","A fixed-width block (Builder.io content) exceeding the fluid container between lg and xl","none","business-logic.md#bl-ui-004; replaces 048b LAYOUT-VPS-001","Automated"
"LAYOUT-ALN-001","Product-card row height parity","Alignment > Grid row","P2","BL-UI-005","ECL-1.7","Cards in one row must share height within 1px.","{{FRONT_URL}}/catalog","[VIEWPORT] 1280x900
[NAV] {{FRONT_URL}}/catalog
[WAIT] .vc-product-card >= 4
[PROBE:ALIGN] .vc-product-card:nth-child(-n+4)","[ALIGN] heightDrift <= 1","auto-captured","One card taller than its row neighbours, breaking the grid","none","business-logic.md#bl-ui-005; replaces 048b LAYOUT-ALN-001","Automated"
"LAYOUT-TGT-001","Touch targets on catalog meet the WCAG AA floor at 375px","Touch targets > Mobile","P1","BL-UI-006","ECL-1.8","Two tiers: below 24x24 (AA, SC 2.5.8) FAILs. Between 24 and 44 (AAA, SC 2.5.5) WARNs, because the UI kit ships 26/32/38px controls by design.","{{FRONT_URL}}/catalog","[VIEWPORT] 375x812
[NAV] {{FRONT_URL}}/catalog
[WAIT] .vc-product-card >= 2
[PROBE:TOUCH] main","[TOUCH] belowAA == 0
[TOUCH] belowAAA == 0
[TOUCH] tooClose == 0","auto-captured","A control under 24x24 is a real defect; 26-38px controls are the design-system tier and only WARN","none","business-logic.md#bl-ui-006; replaces 048b LAYOUT-TGT-001","Automated"
