ID,Title,Section,Type,Priority,Estimate,Preconditions,Steps,Expected Result,References,Automation Status
WL-GQL-001,Basic whiteLabelingSettings query with all required parameters,GraphQL > whiteLabelingSettings,Functional,Critical,3m,"GraphQL endpoint accessible at ${BACK_URL}/graphql; Test organization exists with ID: test-org-001; Store ID: B2B-store","1. Navigate to GraphQL playground at ${BACK_URL}/graphql
2. Execute query with organizationId and storeId
3. Verify response structure and data types","Query executes successfully without errors; Response returns data.whiteLabelingSettings object; All fields returned with correct data types; No GraphQL errors in response",VCST-4637 Virto Commerce xAPI docs,Not Automated
WL-GQL-002,Query with organizationId having full branding configured,GraphQL > whiteLabelingSettings,Functional,Critical,4m,"Organization branded-org-001 exists with complete configuration: custom logo, favicon, theme preset Coffee, footer and main menu link lists configured","1. Navigate to GraphQL playground
2. Execute query for branded-org-001
3. Verify all branding fields populated","logoUrl returns valid URL; favicons array contains multiple sizes; themePresetName returns Coffee; footerLinks array contains 3 parent links; mainMenuLinks array contains 4 parent links with priority; All URLs are valid format",VCST-4637 C384971 C384972,Not Automated
WL-GQL-003,Query with organizationId having NO branding configured,GraphQL > whiteLabelingSettings,Functional,High,3m,"Organization no-branding-org exists with no white labeling configuration; MainMenuLinkListName and FooterLinkListName are NULL","1. Navigate to GraphQL playground
2. Execute query for no-branding-org
3. Verify fallback behavior","Query executes successfully; organizationId matches input; logoUrl is null or returns store-level default; themePresetName returns default; footerLinks is empty array or null; mainMenuLinks is empty array or null; No errors",VCST-4637 C384975,Not Automated
WL-GQL-004,Query with invalid/non-existent organizationId,GraphQL > whiteLabelingSettings,Negative,High,2m,"GraphQL endpoint accessible; organizationId non-existent-org-999 does NOT exist in system","1. Navigate to GraphQL playground
2. Execute query with non-existent organizationId
3. Verify error handling","Query executes without crashing backend; Returns null or empty/default branding values or GraphQL error; Error message does NOT leak sensitive information; HTTP status 200",VCST-4637,Not Automated
WL-GQL-005,Query with missing required storeId parameter,GraphQL > whiteLabelingSettings,Negative,High,2m,GraphQL endpoint accessible,"1. Navigate to GraphQL playground
2. Execute query WITHOUT storeId parameter
3. Verify validation error","Query fails with GraphQL validation error; Error message indicates required argument storeId is missing; Error type: GRAPHQL_VALIDATION_FAILED; HTTP status 200",VCST-4637,Not Automated
WL-GQL-006,Query with missing required organizationId parameter,GraphQL > whiteLabelingSettings,Negative,High,2m,GraphQL endpoint accessible,"1. Navigate to GraphQL playground
2. Execute query WITHOUT organizationId parameter
3. Verify validation error","Query fails with GraphQL validation error; Error message indicates required argument organizationId is missing; Error type: GRAPHQL_VALIDATION_FAILED; HTTP status 200",VCST-4637,Not Automated
WL-GQL-007,Query with optional cultureName parameter,GraphQL > whiteLabelingSettings,Functional,High,4m,"Organization multilang-org exists; Link list configured with localized content for EN and PL cultures","1. Execute query with cultureName = en-US
2. Note English link titles
3. Execute same query with cultureName = pl-PL
4. Compare link titles","Query with cultureName = en-US returns English link titles; Query with cultureName = pl-PL returns Polish link titles; URLs remain the same; Link structure and priority unchanged",VCST-4637 C385322,Not Automated
WL-GQL-008,Query without cultureName parameter (default behavior),GraphQL > whiteLabelingSettings,Functional,Medium,3m,"Organization with localized content exists; System default culture is en-US","1. Execute query WITHOUT cultureName parameter
2. Verify default culture used","Query executes successfully; Link titles returned in default system culture (en-US); Behavior matches query with explicit cultureName = en-US; No errors or warnings",VCST-4637,Not Automated
WL-GQL-009,Query with optional userId parameter,GraphQL > whiteLabelingSettings,Functional,Medium,3m,"User account exists with userId: user-123; User belongs to organization test-org-001","1. Execute query with userId parameter
2. Verify userId field in response","Query executes successfully; Response includes userId field set to user-123; organizationId matches input; Branding data returned normally; userId parameter does not affect branding resolution",VCST-4637,Not Automated
WL-GQL-010,Verify logoUrl returns valid URL format,GraphQL > whiteLabelingSettings,Functional,High,3m,Organization branded-org-001 exists with custom logo uploaded,"1. Execute query requesting logoUrl
2. Verify URL format and accessibility","logoUrl returned as string (not null); URL format is valid; URL points to image resource (PNG SVG or JPG); No broken links or 404 errors",C384971,Not Automated
