ID,Title,Section,Type,Priority,Estimate,Preconditions,Steps,Expected Result,References,Automation Status
FRR-001,User Registration - Personal Account,Full Regression > Authentication > Registration,Functional,Critical,5m,"Browser open, QA environment: FRONT_URL, cleared cache/cookies","1. Navigate to storefront homepage
2. Click 'Sign Up' in header
3. Select 'Personal' account type
4. Fill required fields: First Name, Last Name, Email: testuser-{timestamp}@example.com, Password: TestP@ss123!
5. Accept terms and conditions
6. Click 'Create Account' button
7. Verify confirmation page displays","- Registration form submits successfully
- Confirmation page displays success message
- User can sign in with new credentials
- Account visible in Admin panel under Customers
- Profile displays correct personal information",C410417,Automated
FRR-002,User Registration - Organization Account,Full Regression > Authentication > Registration,Functional,Critical,7m,"Browser open, QA environment accessible","1. Navigate to registration page
2. Select 'Organization' account type
3. Fill required fields: Company Name, Admin name, Email, Password
4. Accept terms and conditions
5. Click 'Create Account'
6. Log in with new credentials
7. Verify organization context","- Organization account created successfully
- Company appears in Organizations list in Admin
- User assigned as organization administrator
- Organization name visible in storefront header
- B2B features accessible: Company Members, Quick Order",C410418,Automated
FRR-003,Sign In - Personal User,Full Regression > Authentication > Sign In,Functional,Critical,3m,"Valid personal user account: USER_EMAIL from .env","1. Navigate to FRONT_URL
2. Click 'Sign In' in header
3. Enter email: USER_EMAIL and password: USER_PASSWORD
4. Click 'Sign In' button
5. Verify successful authentication","- User authenticated successfully
- User name displayed in header
- Cart icon accessible
- Account menu shows Logout option
- No error messages displayed",C410420,Automated
FRR-004,Sign In - Organization User,Full Regression > Authentication > Sign In,Functional,Critical,4m,"Valid organization user account exists","1. Navigate to sign-in page
2. Enter organization user email and password
3. Click 'Sign In'
4. Verify organization context active
5. Check B2B features available","- User logged in with organization context
- Organization name visible in header
- B2B features accessible: Quick Order, Company Members, Quotes
- Pricing reflects organization contracts if configured
- Cart specific to organization (BL-B2B-001)",C410421,Automated
FRR-005,Forgot Password - Reset Flow,Full Regression > Authentication > Password,Functional,High,8m,"Valid user account exists","1. Navigate to sign-in page
2. Click 'Forgot Password?' link
3. Enter registered email address
4. Click 'Send Reset Link'
5. Check email for password reset link
6. Click reset link and enter new password
7. Log in with new password
8. Verify old password no longer works","- Reset link email received within 2 minutes
- Password reset form accepts strong passwords
- Password reset completes with confirmation message
- Can sign in with new password; old password rejected
- Reset link expires after use (BL-AUTH-003)",C410440,Manual
FRR-006,Sign Out and Session Revocation,Full Regression > Authentication > Sign Out,Functional,High,2m,"User logged in","1. Click user name/account menu in header
2. Click 'Sign Out'
3. Verify sign-out completed
4. Attempt to access /account/orders directly","- User signed out successfully
- Account menu no longer shows user name
- Attempting account pages redirects to sign-in
- Session token revoked (protected API calls return 401)",C410423,Automated
FRR-007,Account Lockout After Failed Login Attempts,Full Regression > Authentication > Security,Security,Critical,10m,"Valid user account exists","1. Navigate to sign-in page
2. Enter correct email with wrong password 5 times in succession
3. Attempt 6th login with correct credentials
4. Verify lockout behavior","- Account locked after N consecutive failures (platform default: 5)
- Even correct credentials rejected during lockout with generic message
- Lockout message does not reveal whether account exists
- Successful login prior to threshold resets failure counter (BL-AUTH-003)",FR-AUTH-003,Manual
FRR-008,Catalog Browsing - Category Navigation,Full Regression > Catalog > Navigation,Functional,Critical,5m,"User logged in","1. Navigate to main catalog from header menu
2. Hover over main category
3. Verify subcategories display
4. Click on subcategory
5. Verify category page loads
6. Check breadcrumbs and product listing","- Main categories load in header/menu
- Subcategories display on hover/click
- Category page loads with correct products
- Breadcrumbs show correct hierarchy
- Product count displayed
- Facets/filters display in sidebar
- Products show image, name, price, Add to Cart",C410460,Automated
FRR-009,Catalog - Faceted Filters (Multi-Filter Apply),Full Regression > Catalog > Filters,Functional,Critical,7m,"User on category page with filterable products","1. Navigate to category page
2. Verify facets display (Brand, Price, Size, Color)
3. Select Brand filter
4. Verify results update and count changes
5. Apply Price range filter
6. Verify chip badges show active filters
7. Click X on one chip to remove it
8. Verify no-results case with conflicting filters","- Facets display available values
- Applying filter updates product listing immediately
- Product count updates after each filter
- Multiple filters work together (AND logic)
- Chip badges display for active filters
- Removing chip updates results
- Facet counts match filtered results (BL-SRCH-001)
- Empty state shows 'No products match' message",C410470,Automated
FRR-010,Catalog - Sort Products,Full Regression > Catalog > Sorting,Functional,High,4m,"User on category page with multiple products","1. Navigate to category page
2. Select 'Price: Low to High' in sort dropdown
3. Verify products sorted ascending
4. Select 'Price: High to Low'
5. Verify descending sort
6. Apply a filter and verify sort persists","- Sort options available: Price (Low-High, High-Low), Name (A-Z, Z-A), Newest
- Sorting applies immediately
- Sort order maintained after filter applied (ECL-3.2)
- Pagination resets to page 1 on sort change",C410475,Automated
