"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"SA-001","Select Shipping Address â€” Full Happy-Path Journey (B2B org user)","Checkout > Cart > Shipping Address > [JOURNEY]","Critical","BL-CHK-003; BL-CHK-005; BL-PRICE-002","ECL-3.2","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:TECHFLOW_ADMIN]
[PRE:RESET_CART]
1. User is authenticated as B2B org member with org that has â‰¥2 active addresses seeded across â‰¥2 countries.
2. Cart contains â‰¥1 item.
3. Cart shipping section shows a current shipping address.","orgUser: @td(TECHFLOW_ADMIN.email) / @td(TECHFLOW_ADMIN.password)
org_id: @td(TECHFLOW_ORG_ADDRESSES.org_id)
target_address: @td(TECHFLOW_ADDR_US_NEW_YORK.line1), @td(TECHFLOW_ADDR_US_NEW_YORK.city)
FRONT_URL: {{FRONT_URL}}","--- SCREEN: Cart ---
[NAV] Navigate to {{FRONT_URL}}/cart
[WAIT] Cart page loads; shipping section is visible
[ASSERT] Shipping section shows current address (any org address)
[ACT] Click the pencil/edit icon (data-test-id=""select-address-button"") in the shipping section
[WAIT] ""Select address"" dialog appears

--- SCREEN: Popup: Select address ---
[ASSERT] Dialog heading reads ""Select address""
[ASSERT] Three facet dropdowns are visible: Country, State/Province, City
[ASSERT] Search field is visible and empty
[ASSERT] Address table displays â‰¥1 row with columns: Address, Description, Country, Active
[ACT] Locate the row matching @td(TECHFLOW_ADDR_US_NEW_YORK.city) in the Address column
[ACT] Click the ""Select"" button on that row
[WAIT] Row becomes the active row (""Select"" button disappears from that row)
[ACT] Click the ""OK"" button
[WAIT] Dialog closes

--- SCREEN: Cart (order summary) ---
[WAIT] Cart shipping section updates (allow up to 5s for recalculation)
[ASSERT] Shipping section now shows @td(TECHFLOW_ADDR_US_NEW_YORK.city) in the address display
[ASSERT] No JS errors in browser console","[DOM] Dialog title == ""Select address""
[DOM] After OK: shipping section city text contains @td(TECHFLOW_ADDR_US_NEW_YORK.city)
[STATE] Active row in table: ""Select"" button absent from selected row after click
[STATE] Dialog is closed after OK click
[FORMAT] Shipping address line format: street, city, state, country visible","[API] After address change, network request to update cart/shipment resolves 2xx
[CONSOLE] No JS errors at any screen boundary
[NETWORK] No 4xx/5xx on cart update request","1. Dialog does not open (pencil icon unresponsive)
2. Address table is empty despite seeded org addresses
3. ""OK"" click does not close dialog
4. Cart shipping section does not update after OK
5. Console shows JS error on dialog open or close","Navigate to {{FRONT_URL}}/cart; verify cart still shows a shipping address (any valid org address)","Source: VCST-4710 / PR #129; BL-CHK-003; BL-CHK-005; BL-PRICE-002","Manual"
"SA-002","Popup Opens and Displays Correct Structure","Checkout > Cart > Shipping Address > Open","Critical","BL-CHK-003",,"[PRE:SIGNIN_AS:TECHFLOW_ADMIN]
1. Authenticated B2B org user.
2. Cart has â‰¥1 item with shipping section visible.","orgUser: @td(TECHFLOW_ADMIN.email) / @td(TECHFLOW_ADMIN.password)
FRONT_URL: {{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}/cart
[WAIT] Cart page fully loaded
[ACT] Click pencil icon (data-test-id=""select-address-button"") in shipping section
[WAIT] Dialog appears","[DOM] Dialog modal is present in accessibility tree with role=""dialog""
[DOM] Heading text == ""Select address""
[DOM] Three buttons labeled Country, State/Province, City are visible (facet dropdowns)
[DOM] Search input field is present (ARIA label contains ""Search"")
[DOM] Address table has â‰¥4 column headers: Address, Description, Country, Active
[DOM] ""Add new"" button is present
[DOM] ""OK"" button is present
[DOM] ""Close"" (X) button is present","[CONSOLE] No JS errors on open","1. Dialog does not appear
2. Facet buttons missing
3. Address table missing columns
4. Console error on dialog open","[ACT] Click Close (X) button to dismiss dialog","Source: VCST-4710 / PR #129","Manual"
"SA-003","Country Facet Filters Address List","Checkout > Cart > Shipping Address > Facets","Critical","BL-CHK-003","ECL-3.2","[PRE:SIGNIN_AS:TECHFLOW_ADMIN]
1. Authenticated B2B org user.
2. Org has addresses in â‰¥2 distinct countries (US and CA seeded).","orgUser: @td(TECHFLOW_ADMIN.email) / @td(TECHFLOW_ADMIN.password)
org_id: @td(TECHFLOW_ORG_ADDRESSES.org_id)
FRONT_URL: {{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] Click pencil icon (data-test-id=""select-address-button"")
[WAIT] Dialog open; note total row count before filtering
[ACT] Click the ""Country"" facet dropdown
[WAIT] Country options list appears
[ACT] Select the checkbox for ""United States of America"" (or displayed country name)
[WAIT] Address table refreshes","[DOM] Country dropdown shows available countries with item counts in parentheses
[MATH] Row count after filtering < row count before filtering (if org has multi-country addresses)
[DOM] All visible rows have Country column value matching the selected country
[STATE] Country facet button shows active/selected indicator
[DOM] State/Province and City facets remain visible","[API] Filter interaction triggers no 5xx
[CONSOLE] No JS errors during filter application","1. Dropdown does not open
2. Selecting country has no effect on table rows
3. Row count does not decrease for multi-country org
4. Non-matching country rows remain visible","[ACT] Click Country facet again; deselect the checkbox to clear filter","Source: VCST-4710 / PR #129; ECL-3.2","Manual"
"SA-004","State/Province Facet Cascades from Country Selection","Checkout > Cart > Shipping Address > Facets","High","BL-CHK-003","ECL-3.2","[PRE:SIGNIN_AS:TECHFLOW_ADMIN]
1. Authenticated B2B org user.
2. Country facet already active with a selection.","orgUser: @td(TECHFLOW_ADMIN.email) / @td(TECHFLOW_ADMIN.password)
org_id: @td(TECHFLOW_ORG_ADDRESSES.org_id)
FRONT_URL: {{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] Open popup; select ""United States of America"" in Country facet
[WAIT] Table filtered to US addresses
[ACT] Click ""State/Province"" facet dropdown
[WAIT] State/Province options appear
[ACT] Select a state that exists in the seeded data (e.g., ""New York"")
[WAIT] Table refreshes","[DOM] State/Province dropdown only shows states present in the currently filtered (US) result set
[MATH] Row count after state selection â‰¤ row count after country-only filter
[DOM] All visible rows have a city/state matching the selected state
[STATE] Both Country and State/Province facets show active indicators","[CONSOLE] No JS errors on cascade","1. State/Province dropdown shows states from other countries
2. Table does not narrow further after state selection
3. State facet shows options not present in any US address","[ACT] Clear both facets","Source: VCST-4710 / PR #129; ECL-3.2","Manual"
"SA-005","City Facet Further Narrows Results (Third-Level Cascade)","Checkout > Cart > Shipping Address > Facets","High","BL-CHK-003","ECL-3.2","[PRE:SIGNIN_AS:TECHFLOW_ADMIN]
1. Country + State facets already applied. City facet available.","orgUser: @td(TECHFLOW_ADMIN.email) / @td(TECHFLOW_ADMIN.password)
org_id: @td(TECHFLOW_ORG_ADDRESSES.org_id)
target_city: @td(TECHFLOW_ADDR_US_NEW_YORK.city)
FRONT_URL: {{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] Open popup; apply Country=US, State=New York
[ACT] Click ""City"" facet; select @td(TECHFLOW_ADDR_US_NEW_YORK.city)
[WAIT] Table refreshes","[DOM] Only rows with city == @td(TECHFLOW_ADDR_US_NEW_YORK.city) are shown
[MATH] Row count â‰¤ state-filtered row count
[STATE] All three facets show active indicators","[CONSOLE] No JS errors","1. City facet not available when country+state selected
2. City selection shows rows from other cities
3. Zero rows shown despite seeded data for this city","[ACT] Clear all facets","Source: VCST-4710 / PR #129; ECL-3.2","Manual"
"SA-006","Clearing a Facet Restores Previous Result Set","Checkout > Cart > Shipping Address > Facets","High","BL-CHK-003","ECL-3.2","[PRE:SIGNIN_AS:TECHFLOW_ADMIN]
1. At least one facet is active with filtered results.","orgUser: @td(TECHFLOW_ADMIN.email) / @td(TECHFLOW_ADMIN.password)
org_id: @td(TECHFLOW_ORG_ADDRESSES.org_id)
FRONT_URL: {{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] Open popup; apply Country facet (e.g., US); note filtered row count = N1
[ACT] Apply State facet; note row count = N2 (N2 â‰¤ N1)
[ACT] Click State facet; deselect current state checkbox
[WAIT] Table refreshes","[MATH] Row count after clearing State == N1 (back to country-only filter)
[STATE] State/Province facet indicator no longer shows active/selected state
[STATE] Country facet indicator still shows active","[CONSOLE] No JS errors on clear","1. Clearing state leaves row count at N2 (does not restore)
2. Clearing state also clears country selection unexpectedly
3. Table shows wrong rows after partial clear","[ACT] Clear remaining facets","Source: VCST-4710 / PR #129; ECL-3.2","Manual"
"SA-007","Free-Text Search Returns Matching Addresses","Checkout > Cart > Shipping Address > Search","Critical","BL-CHK-003","ECL-3.2","[PRE:SIGNIN_AS:TECHFLOW_ADMIN]
[PRE:RESET_CART]
1. Authenticated B2B org user with seeded org addresses. No facets active.","orgUser: @td(TECHFLOW_ADMIN.email) / @td(TECHFLOW_ADMIN.password)
search_term: @td(TECHFLOW_ADDR_US_NEW_YORK.city)
FRONT_URL: {{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] Open popup
[ACT] Type @td(TECHFLOW_ADDR_US_NEW_YORK.city) into the search field
[WAIT] Results update (allow up to 3s)","[DOM] All displayed rows contain the search term in Address or Description column
[MATH] Row count â‰¥ 1 (seeded addresses for this city exist)
[DOM] Search field retains typed text","[CONSOLE] No JS errors on search input","1. Search field does not accept input
2. Results do not update after typing
3. Results show addresses that do not match the search term
4. Zero results for a known-existing city name","[ACT] Clear search field","Source: VCST-4710 / PR #129; ECL-3.2","Manual"
"SA-008","Search + Facet Combination â€” Intersection Logic","Checkout > Cart > Shipping Address > Search","High","BL-CHK-003","ECL-3.2","[PRE:SIGNIN_AS:TECHFLOW_ADMIN]
[PRE:RESET_CART]
1. Authenticated B2B org user. Multiple addresses across countries and cities.","orgUser: @td(TECHFLOW_ADMIN.email) / @td(TECHFLOW_ADMIN.password)
org_id: @td(TECHFLOW_ORG_ADDRESSES.org_id)
FRONT_URL: {{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] Open popup; apply Country=Canada facet
[WAIT] Results filtered to CA addresses
[ACT] Type @td(TECHFLOW_ADDR_CA_TORONTO.city) into search field
[WAIT] Results update","[DOM] Rows match BOTH the Country=Canada filter AND the search term (intersection, not union)
[MATH] Row count â‰¤ CA-only filtered count
[DOM] No rows from US or GB are shown despite search term possibly matching their address text","[CONSOLE] No JS errors","1. Search overrides facet â€” shows all matching rows ignoring country filter
2. Zero results when both criteria have valid matches (AND logic broken)
3. Results contain non-CA addresses","[ACT] Clear search field and facets","Source: VCST-4710 / PR #129; ECL-3.2","Manual"
"SA-009","Search No-Results State â€” Empty State Message","Checkout > Cart > Shipping Address > Search","High","BL-CHK-003","ECL-3.1; ECL-3.2","[PRE:SIGNIN_AS:TECHFLOW_ADMIN]
1. Authenticated B2B org user.","orgUser: @td(TECHFLOW_ADMIN.email) / @td(TECHFLOW_ADMIN.password)
no_match_term: @td(ADDR_NO_MATCH_TERM.value)
FRONT_URL: {{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] Open popup
[ACT] Type @td(ADDR_NO_MATCH_TERM.value) (a string guaranteed not to match any org address) into search field
[WAIT] Results update","[DOM] Address table shows zero data rows
[DOM] An empty-state message or indicator is displayed (e.g., ""No addresses found"" or equivalent)
[DOM] ""OK"" button remains present but selecting it without a row selection is handled gracefully
[STATE] Search field still shows the entered text","[CONSOLE] No JS errors on empty result","1. Table disappears entirely instead of showing empty state
2. Error message (not empty-state message) appears
3. Application crashes or freezes on zero results","[ACT] Clear search field to restore full list","Source: VCST-4710 / PR #129; ECL-3.1; ECL-3.2","Manual"
"SA-010","BVA â€” Single-Character Search Term","Checkout > Cart > Shipping Address > Search","Medium","BL-CHK-003","ECL-3.2","[PRE:SIGNIN_AS:TECHFLOW_ADMIN]
1. Authenticated B2B org user with seeded addresses.","orgUser: @td(TECHFLOW_ADMIN.email) / @td(TECHFLOW_ADMIN.password)
single_char: @td(ADDR_SINGLE_CHAR_TERM.value)
FRONT_URL: {{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}/cart
[ACT] Open popup
[ACT] Type @td(ADDR_SINGLE_CHAR_TERM.value) (single character, e.g., ""N"") into search field
[WAIT] Results update (up to 3s)","[DOM] Either: (a) results are returned for addresses containing the character, OR (b) search requires minimum 2+ chars and shows a hint â€” one of these two states is shown (document which)
[DOM] No crash, no blank page
[STATE] Search field accepts single character input","[CONSOLE] No JS errors on 1-char input","1. Application crashes on 1-char input
2. Infinite loading spinner on 1-char input
3. All addresses shown with no filtering (search silently ignored)","[ACT] Clear search field","Source: VCST-4710 / PR #129; ECL-3.2; BVA boundary","Manual"
