"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"CFG-E2E-001","E2E: Create Bike Product with Single Optional Radio Section in Admin and Verify on Storefront","Configurable Products > E2E Scenario 1","Critical","BL-CAT-006; BL-PRICE-001","ECL-7.1; ECL-14.1","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ORG_USER_DEFAULT]
Admin logged in at {{BACK_URL}} with {{ADMIN_EMAIL}} / {{ADMIN_PASSWORD}}. Catalog module accessible. Storefront accessible at {{FRONT_URL}}.","admin={{ADMIN_EMAIL}}; admin_pass={{ADMIN_PASSWORD}}; base_price=$200.00; basic_seat_total=$215.00; premium_seat_total=$245.00; racing_seat_total=$295.00; product_name=Test Config Bike [YYYYMMDD]; sku=BIKE-CFG-[YYYYMMDD]","[NAV] Navigate to {{BACK_URL}} and log in as admin; [ACT] Go to Catalog > Products > Add new product; [ACT] Name: Test Config Bike [YYYYMMDD]; SKU: BIKE-CFG-[YYYYMMDD]; Set base List Price: $200.00; inventory: 20; [ACT] Navigate to configurable/configuration tab; [ACT] Add section: name=Choose Upgrade; type=Radio; set as Optional; [ACT] Add 4 options: None $0 qty20; Basic Seat $15 qty10; Premium Seat $45 qty5; Racing Seat $95 qty2; [ACT] Publish and save; [NAV] Navigate to {{FRONT_URL}} and open PDP for Test Config Bike [YYYYMMDD]; [WAIT] Wait for Configure the parameters widget; [ASSERT] Verify section Choose Upgrade shows all 4 options as radio buttons; [ASSERT] None is default at $200.00; [ACT] Select Basic Seat; [ASSERT] price=$215.00; [ACT] Select Premium Seat; [ASSERT] price=$245.00; [ACT] Select Racing Seat; [ASSERT] price=$295.00; [ACT] Return to None; [ASSERT] price=$200.00","[ADMIN] Product created with 4 options under one optional radio section; [DOM] Widget shows Choose Upgrade section; [DOM] All 4 options present as radio buttons; [MATH] None=$200.00; Basic Seat=$215.00; Premium Seat=$245.00; Racing Seat=$295.00; [STATE] Default selection is None at $200.00","[API] Product creation returns 201; [ADMIN] Admin product detail shows all 4 options; [CONSOLE] No storefront errors after product publish","Widget not appearing after publish; price math incorrect; default not None; options missing on storefront; admin product save failing","Delete Test Config Bike [YYYYMMDD] from catalog after all E2E Scenario 1 tests complete","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-E2E-002","E2E: Optional Section Allows Add-to-Cart Without Upgrade Selected","Configurable Products > E2E Scenario 1","Critical","BL-CAT-006","ECL-7.1; ECL-14.1","[PRE:SIGNIN_AS:ORG_USER_DEFAULT]
[PRE:RESET_CART]
CFG-E2E-001 completed. Product Test Config Bike [YYYYMMDD] published at {{FRONT_URL}}.","user={{USER_EMAIL}}; password={{USER_PASSWORD}}; base_price=$200.00; product_name=Test Config Bike [YYYYMMDD]","[NAV] Navigate to PDP for Test Config Bike [YYYYMMDD] on {{FRONT_URL}}; [ASSERT] Confirm None selected by default in Choose Upgrade; [ACT] Click Add to cart; [ASSERT] Verify cart adds item with no validation error; [NAV] Open cart; [ASSERT] verify item at $200.00; [ASSERT] Verify configuration shown as None or no option","[STATE] Optional section allows add-to-cart with None selected; [STATE] No blocking validation error; [MATH] Cart shows product at $200.00","[API] Add to cart POST returns 200; [CONSOLE] No validation errors","Validation error blocking None-selected add-to-cart; wrong price in cart; add-to-cart silently failing","Remove item from cart after test","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-E2E-003","E2E: Selected Upgrade Option Reflected in Cart Line Item","Configurable Products > E2E Scenario 1","Critical","BL-CAT-006; BL-CART-007","ECL-7.1; ECL-14.1","[PRE:SIGNIN_AS:ORG_USER_DEFAULT]
[PRE:RESET_CART]
CFG-E2E-001 completed. Product Test Config Bike [YYYYMMDD] published at {{FRONT_URL}}.","user={{USER_EMAIL}}; password={{USER_PASSWORD}}; racing_seat_total=$295.00; product_name=Test Config Bike [YYYYMMDD]","[NAV] Navigate to PDP for Test Config Bike [YYYYMMDD] on {{FRONT_URL}}; [ACT] Select Racing Seat in Choose Upgrade section; [ASSERT] Verify price=$295.00; [ACT] Click Add to cart; [NAV] Navigate to cart; [ASSERT] Verify item at $295.00; [ASSERT] Verify configuration shows Racing Seat","[DOM] Cart shows product at $295.00 ($200 base + $95 Racing Seat); [DOM] Configuration label Racing Seat visible in cart line item","[API] Add to cart POST returns 200 with option detail; [CONSOLE] No errors; [NETWORK] Cart response includes option identifier","Racing Seat configuration missing from cart; wrong price ($200 base instead of $295); configuration detail not persisted in cart","Remove item from cart after test","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-E2E-004","E2E: Create Laptop with Two Required Sections and Verify Multi-Section Price Math","Configurable Products > E2E Scenario 2","Critical","BL-CAT-006; BL-PRICE-001","ECL-7.1; ECL-14.1","[PRE:SIGNIN_AS:ORG_USER_DEFAULT]
Admin logged in at {{BACK_URL}}. Storefront accessible at {{FRONT_URL}}.","admin={{ADMIN_EMAIL}}; admin_pass={{ADMIN_PASSWORD}}; base_price=$999.00; product_name=Test Config Laptop [YYYYMMDD]; sku=LAPTOP-CFG-[YYYYMMDD]; ram16_storage512_total=$1174.00; ram32_storage512_total=$1324.00; ram32_storage1tb_total=$1399.00","[NAV] Go to {{BACK_URL}} > Catalog > Products > Add new product; [ACT] Name: Test Config Laptop [YYYYMMDD]; SKU: LAPTOP-CFG-[YYYYMMDD]; base price: $999.00; inventory: 50; [ACT] Add section: RAM; Radio; Required. Options: 8GB $0 qty50; 16GB $100 qty30; 32GB $250 qty10; [ACT] Add section: Storage; Radio; Required. Options: 256GB SSD $0 qty50; 512GB SSD $75 qty25; 1TB SSD $150 qty15; [ACT] Publish and save; [NAV] Open PDP for Test Config Laptop [YYYYMMDD]; [ASSERT] Verify both RAM and Storage sections visible and marked Required; [ACT] Select RAM=16GB; [ASSERT] verify price=$1,099.00 ($999+$100); [ACT] Select Storage=512GB SSD; [ASSERT] verify price=$1,174.00 ($999+$100+$75); [ACT] Change RAM=32GB; [ASSERT] verify price=$1,324.00 ($999+$250+$75); [ACT] Change Storage=1TB SSD; [ASSERT] verify price=$1,399.00 ($999+$250+$150)","[ADMIN] Both required sections created with all options; [DOM] RAM and Storage sections visible on storefront marked Required; [MATH] 16GB+512GB=$1,174.00; [MATH] 32GB+512GB=$1,324.00; [MATH] 32GB+1TB=$1,399.00; [MATH] formula: base $999 + RAM option price + Storage option price","[API] Product creation returns 201; [ADMIN] Admin shows both sections with all options; [CONSOLE] No errors on PDP","Price math incorrect for any combination; Required sections not marked as required on storefront; sections missing after product publish; admin save failing","Delete Test Config Laptop [YYYYMMDD] from catalog after all E2E Scenario 2 tests complete","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-E2E-005","E2E: Required Sections Block Add-to-Cart When Unselected","Configurable Products > E2E Scenario 2","Critical","BL-CAT-006","ECL-7.1; ECL-14.1","[PRE:SIGNIN_AS:ORG_USER_DEFAULT]
[PRE:RESET_CART]
CFG-E2E-004 completed. Product Test Config Laptop [YYYYMMDD] published at {{FRONT_URL}}.","user={{USER_EMAIL}}; password={{USER_PASSWORD}}; product_name=Test Config Laptop [YYYYMMDD]","[NAV] Open PDP for Test Config Laptop [YYYYMMDD]; [ACT] Do not select any option in RAM or Storage; click Add to cart; [ASSERT] Verify validation error shown; item NOT added; [ACT] Select RAM=8GB only; click Add to cart; [ASSERT] Verify still blocked (Storage unselected); [ACT] Select Storage=256GB SSD; click Add to cart; [ASSERT] Verify item added to cart successfully","[STATE] With no selections: validation error shown; item not added; [STATE] With only RAM selected: still blocked (Storage required); [STATE] With both sections selected: item added successfully; [DOM] Validation messages reference required sections","[API] Add to cart blocked returns 4xx or client-side validation prevents POST; [CONSOLE] No unhandled errors; only expected validation messages","Add to cart succeeds with required sections unselected; validation message not shown; blocking only when both sections empty but not one","Remove cart item after test if added","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-E2E-006","E2E: Price Math for All 9 Multi-Section Combinations Is Correct","Configurable Products > E2E Scenario 2","High","BL-CAT-006","ECL-7.1","[PRE:SIGNIN_AS:ORG_USER_DEFAULT]
CFG-E2E-004 completed. Product Test Config Laptop [YYYYMMDD] visible at {{FRONT_URL}}. Prices: RAM 8GB=$0; 16GB=$100; 32GB=$250. Storage 256GB=$0; 512GB=$75; 1TB=$150.","base=$999.00; all 9 combo totals: 8GB+256GB=$999; 8GB+512GB=$1074; 8GB+1TB=$1149; 16GB+256GB=$1099; 16GB+512GB=$1174; 16GB+1TB=$1249; 32GB+256GB=$1249; 32GB+512GB=$1324; 32GB+1TB=$1399","[NAV] Open PDP for Test Config Laptop [YYYYMMDD]; test all 9 RAM x Storage combinations: [ACT] 8GB+256GB SSD; [ASSERT] $999.00; [ACT] 8GB+512GB SSD; [ASSERT] $1,074.00; [ACT] 8GB+1TB SSD; [ASSERT] $1,149.00; [ACT] 16GB+256GB SSD; [ASSERT] $1,099.00; [ACT] 16GB+512GB SSD; [ASSERT] $1,174.00; [ACT] 16GB+1TB SSD; [ASSERT] $1,249.00; [ACT] 32GB+256GB SSD; [ASSERT] $1,249.00; [ACT] 32GB+512GB SSD; [ASSERT] $1,324.00; [ACT] 32GB+1TB SSD; [ASSERT] $1,399.00","[MATH] All 9 combinations show the correct calculated price; [MATH] Formula: base $999 + RAM option price + Storage option price; [STATE] No combination shows an incorrect total","[CONSOLE] No calculation errors; [NETWORK] Price updates without page reload for each selection","Any of the 9 combinations showing incorrect total; price not updating when changing either section independently","none","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-E2E-007","E2E: Multi-Section Configuration Preserved in Cart","Configurable Products > E2E Scenario 2","High","BL-CAT-006; BL-CART-007","ECL-7.1; ECL-14.1","[PRE:SIGNIN_AS:ORG_USER_DEFAULT]
[PRE:RESET_CART]
CFG-E2E-004 completed. Product visible at {{FRONT_URL}}.","user={{USER_EMAIL}}; password={{USER_PASSWORD}}; ram32_storage1tb_total=$1399.00; product_name=Test Config Laptop [YYYYMMDD]","[NAV] Open PDP for Test Config Laptop [YYYYMMDD]; [ACT] Select RAM=32GB and Storage=1TB SSD; [ASSERT] Verify price=$1,399.00; [ACT] Click Add to cart; [NAV] Navigate to cart; [ASSERT] Verify laptop price=$1,399.00; [ASSERT] Verify both selections shown: RAM=32GB and Storage=1TB SSD","[MATH] Cart price=$1,399.00; [DOM] Both options (32GB RAM + 1TB SSD) visible as configuration details in cart line item","[API] Add to cart POST returns 200; cart item contains both option references; [CONSOLE] No errors","One or both options missing from cart line item; wrong price; cart showing base $999 instead of $1,399","Remove item from cart after test","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-E2E-008","E2E: Sale Price and Strikethrough List Price on Configurable Product","Configurable Products > E2E Scenario 3","High","BL-CAT-006","ECL-7.1; ECL-14.1","[PRE:SIGNIN_AS:ORG_USER_DEFAULT]
Admin logged in at {{BACK_URL}}. Storefront accessible at {{FRONT_URL}}.","admin={{ADMIN_EMAIL}}; admin_pass={{ADMIN_PASSWORD}}; product_name=Test Config Sale Bike [YYYYMMDD]; sku=BIKE-SALE-CFG-[YYYYMMDD]; base_list=$300.00; base_sale=$250.00; standard_sale_total=$290.00; dropbar_sale_total=$330.00","[NAV] Create product: Test Config Sale Bike [YYYYMMDD]; SKU: BIKE-SALE-CFG-[YYYYMMDD]; Base list: $300.00; base sale: $250.00; inventory: 30; [ACT] Add section: Handlebars; Radio; Optional. Options: Standard list=$50 sale=$40 qty30; Drop Bar list=$100 sale=$80 qty20; None list=$0 sale=$0 qty30; [ACT] Publish and save; [NAV] Open PDP for Test Config Sale Bike [YYYYMMDD]; [ASSERT] Verify base: list $300 struck through; sale $250 shown prominently; [ACT] Select Standard Handlebars; [ASSERT] verify sale=$290 ($250+$40); list=$350 struck through; [ACT] Select Drop Bar; [ASSERT] verify sale=$330 ($250+$80); list=$400 struck through","[FORMAT] List price shown with strikethrough; sale price shown as active price; [MATH] Standard: sale=$290; list=$350 struck through; [MATH] Drop Bar: sale=$330; list=$400 struck through; [STATE] Price math uses sale prices (not list prices) for active total","[CONSOLE] No errors; [NETWORK] GraphQL response contains both salePrice and listPrice fields","List price used for total calculation instead of sale price; strikethrough not applied; total showing list price math","Delete Test Config Sale Bike [YYYYMMDD] after test","TP_CONFIGURABLE_PRODUCTS_001 VCST-4586","Manual"
"CFG-E2E-009","E2E: Out-of-Stock Option Disabled and Required Section Blocks Purchase When All Options OOS","Configurable Products > E2E Scenario 4","High","BL-CAT-006","ECL-7.1","[PRE:SIGNIN_AS:ORG_USER_DEFAULT]
[PRE:RESET_CART]
Admin logged in at {{BACK_URL}}. Storefront accessible at {{FRONT_URL}}.","admin={{ADMIN_EMAIL}}; admin_pass={{ADMIN_PASSWORD}}; product_name=Test Config OOS Bike [YYYYMMDD]; sku=BIKE-OOS-CFG-[YYYYMMDD]; base=$500.00; silver_total=$525.00","[NAV] Create product: Test Config OOS Bike [YYYYMMDD]; SKU: BIKE-OOS-CFG-[YYYYMMDD]; base $500; inventory 50; [ACT] Add section: Frame Color; Radio; Required. Options: Red $0 qty10; Blue $0 qty5; Limited Edition Black $50 qty0 (OOS); Silver $25 qty8; [ACT] Publish and save; [NAV] Open PDP; [ASSERT] Verify all 4 options shown; [ASSERT] Red Blue Silver are selectable; [ASSERT] Limited Edition Black is disabled/greyed out and cannot be selected; [ACT] Select Silver; [ASSERT] price=$525.00 ($500+$25); [ACT] Click Add to Cart; [ASSERT] verify success","[DOM] Out-of-stock option (Limited Edition Black qty=0) visible but not selectable; [STATE] In-stock options (Red Blue Silver) remain fully selectable; [STATE] Selecting Silver and adding to cart succeeds; [MATH] Silver total=$525.00","[CONSOLE] No errors; [NETWORK] No add-to-cart call fires for OOS option click","OOS option selectable; in-stock options also disabled; no visual differentiation for OOS option; add-to-cart failing for in-stock Silver option","Delete Test Config OOS Bike [YYYYMMDD] after all E2E Scenario 4 tests","TP_CONFIGURABLE_PRODUCTS_001","Manual"
"CFG-E2E-010","E2E: Full Purchase Flow with Configurable Product — Admin Create to Order History","Configurable Products > E2E Scenario 5","Critical","BL-CAT-006; BL-PRICE-001; BL-CART-007","ECL-7.1; ECL-14.1","[PRE:SIGNIN_AS:ORG_USER_DEFAULT]
[PRE:RESET_CART]
Admin logged in at {{BACK_URL}}. Registered customer account exists at {{FRONT_URL}} with {{USER_EMAIL}} / {{USER_PASSWORD}}. Checkout and payment configured in QA environment.","admin={{ADMIN_EMAIL}}; admin_pass={{ADMIN_PASSWORD}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}; product_name=Test Config Checkout Bike [YYYYMMDD]; sku=BIKE-CHK-CFG-[YYYYMMDD]; base=$150.00; sport_wheels_total=$200.00","[NAV] Create product: Test Config Checkout Bike [YYYYMMDD]; SKU: BIKE-CHK-CFG-[YYYYMMDD]; base $150; inventory 25; [ACT] Add section: Wheels; Radio; Required. Options: Standard Wheels $0 qty25; Sport Wheels $50 qty10; [ACT] Publish and save; [NAV] Sign in at {{FRONT_URL}} as {{USER_EMAIL}}; [NAV] Open PDP for Test Config Checkout Bike [YYYYMMDD]; [ACT] Select Sport Wheels; [ASSERT] price=$200.00; [ACT] Click Add to cart; [NAV] Navigate to cart; [ASSERT] item at $200.00 with Sport Wheels; [ACT] Proceed to checkout; [ASSERT] Sport Wheels shown at $200.00 in order summary; [ACT] Complete checkout with test payment; [ASSERT] Order confirmation with order number; [NAV] Navigate to Account > Order History; [ACT] Open the order; [ASSERT] Test Config Checkout Bike [YYYYMMDD] with Sport Wheels at $200.00","[STATE] Full purchase flow works end-to-end for configurable product; [DOM] Sport Wheels selection preserved from PDP through cart checkout and order history; [MATH] Order total=$200.00 (base $150 + Sport Wheels $50); [ADMIN] Admin order history shows configured option","[API] Order creation POST returns 201; [ADMIN] Admin order detail shows Sport Wheels configuration; [CONSOLE] No errors across entire flow","Sport Wheels missing at any stage; price wrong at checkout or in order history; order failing to place; configuration lost between cart and checkout","none","TP_CONFIGURABLE_PRODUCTS_001","Manual"
