"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"SRCH-001","Search - Basic Query","Search > Basic","High","BL-SRCH-001","ECL-14.2","Catalog has searchable products","url={{FRONT_URL}}; query=@td(SEARCH_ELECTRONICS.query)","[NAV] Navigate to {{FRONT_URL}}
[ACT] Click search bar
[ACT] fill 'Search': 'laptop'
[KEY] press [Enter]
[WAIT] Wait for results page to load
[ASSERT] Verify results page displays products","[NAV] Browser navigates to search results page (e.g., /search?q=laptop)
[DOM] Matching products displayed in grid
[DOM] Result count visible
[STATE] Search input retains 'laptop'","[NETWORK] POST /graphql (searchProducts) returns HTTP 200
[CONSOLE] no TypeError or JS errors","Spinner >5s; 0 products returned unexpectedly; results page not loading; 4xx on searchProducts; console TypeError","none","regression-qa-theme-26.csv","Automated"
"SRCH-002","Search - Suggestions Dropdown","Search > Suggestions","Medium","BL-SRCH-002","ECL-14.2","Search configured with suggestions enabled","url={{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}
[ACT] Click search bar
[ACT] fill 'Search': 'lap' (partial query)
[WAIT] Wait for suggestions dropdown
[ASSERT] Verify dropdown appears with suggestions","[DOM] Suggestions dropdown appears below search input
[DOM] Suggestion items match partial query 'lap'
[STATE] Clicking a suggestion populates input and executes search","[NETWORK] POST /graphql (searchProducts) returns HTTP 200 for suggestion query
[CONSOLE] no TypeError or JS errors","Suggestions dropdown not appearing; suggestions unrelated to query; clicking suggestion not executing search; console TypeError","none","regression-qa-theme-26.csv","Automated"
"SRCH-005","Search - Within Category","Search > Scoped","Medium","BL-SRCH-001","","Inside a specific category page","url={{FRONT_URL}}","[NAV] Navigate to a specific category page on {{FRONT_URL}}
[ACT] Use the search bar while on the category page
[ACT] fill 'Search': 'product'; [KEY] press [Enter]
[WAIT] Wait for scoped results
[ASSERT] Verify results are scoped to current category","[DOM] Search results scoped to the current category context
[DOM] Clear indication of search scope (e.g., within category label)
[STATE] Products from outside the category not in results","[NETWORK] POST /graphql (searchProducts) returns HTTP 200 with category scope
[CONSOLE] no TypeError or JS errors","Results not scoped to category; products from all categories shown; no scope indicator; console TypeError","none","regression-qa-theme-26.csv","Automated"
"SRCH-007","Search - Sorting Results — Sort Dropdown Built from API sortings","Search > Sorting","Medium","BL-CAT-005, BL-SRCH-001","","Search returns multiple products with varying prices; storefront is on vc-frontend theme 2.52+ (sortings field in SearchProducts response)","url={{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}} and execute a search returning multiple products
[WAIT] Wait for results page with sort dropdown visible
[ASSERT] Snapshot the sort dropdown and capture all visible option labels and codes (live-discover: read from rendered dropdown DOM, do not assume any fixed label list)
[ASSERT] Verify the dropdown contains an option whose code is 'price-ascending' (or equivalent low-to-high label per current store config)
[ACT] Click the combobox to open the sort dropdown (VcSelect: click the combobox to open, then click the option by accessible name — do NOT use native select-option)
[ASSERT] Capture the ID of the first product card before changing sort → {first_id_before}
[ACT] Click the price-ascending option by its live-discovered label
[WAIT] Wait for results to reorder; verify ?sort=price-ascending appears in URL
[ASSERT] Verify combobox accessible name = price-ascending option label (selection reflected in control)
[ASSERT] Capture first product card ID → {first_id_asc}
[ACT] Click the combobox to open the sort dropdown again
[ACT] Click the price-descending option by its live-discovered label
[WAIT] Wait for results to reorder; verify ?sort=price-descending appears in URL
[ASSERT] Verify combobox accessible name = price-descending option label
[ASSERT] Capture first product card ID → {first_id_desc}
[ASSERT] Verify {first_id_asc} != {first_id_desc} (ascending and descending produce different first items — sort direction has observable effect)
[ACT] Click the combobox and select the default sort option (isDefault=true, identified from snapshot above)
[WAIT] Wait for results to reorder
[ASSERT] Verify URL has no ?sort param (clean URL) after selecting the default option","[DOM] Sort dropdown combobox visible on search results page
[DOM] Dropdown options are built from API sortings (at least 2 options present; no hardcoded sort labels assumed — options and default are store-configurable)
[STATE] Combobox accessible name reflects the selected option after each selection
[STATE] {first_id_asc} != {first_id_desc} — price-ascending and price-descending produce different first items (server-authoritative sort-direction oracle; do NOT assert monotonic price order — indexed price diverges from pack/variation-resolved price.actual)
[STATE] Selecting the store-default option (isDefault=true) results in a clean URL with no ?sort param
[NAV] URL contains ?sort=<code> for non-default selections; URL has no ?sort for the default selection","[NETWORK] no 4xx/5xx on sort change
[NETWORK] POST /graphql (SearchProducts) includes sort parameter matching selected code
[CONSOLE] no TypeError or JS errors","Sort dropdown combobox accessible name not updating on selection; native select-option action failing (VcSelect is not a native select); {first_id_asc} == {first_id_desc} (sort direction not applied); URL not updating with sort code; default sort leaving ?sort in URL; console TypeError","none","VCST-5177; regression-qa-theme-26.csv; Corrected: VcSelect combobox + no-monotonic-price oracle (2026-06-26)","Automated"
"SRCH-008","Search - History","Search > History","Low","BL-SRCH-002","","Previous searches performed in this session","url={{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}} (ensure prior searches exist in session)
[ACT] Click search bar
[ASSERT] Verify recent search history is displayed
[ACT] Click on a history item
[WAIT] Wait for search to execute
[ASSERT] Verify search executes with that term","[DOM] Search history items displayed when search bar focused
[STATE] Clicking a history item executes the search
[STATE] History can be cleared on request","[NETWORK] POST /graphql (searchProducts) returns HTTP 200 on history item click
[CONSOLE] no TypeError or JS errors","History not showing prior searches; history item click not executing search; console TypeError","none","regression-qa-theme-26.csv","Automated"
"SRCH-NEW-001","Search Bar - Click Opens Dropdown Empty State","Search > Dropdown","Critical","","","Storefront open at homepage; search input has no text","url={{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}
[ASSERT] Locate the search input labeled 'Search' in main navigation
[ACT] Click the search input
[WAIT] Wait for dropdown to appear","[DOM] Dropdown opens below the search input
[DOM] 'Hints' section visible with 1+ prior search terms as clickable buttons
[DOM] Each hint shows a search icon and query text
[DOM] 'Start typing to search' text or prompt visible
[DOM] 'Check all products' link visible pointing to /catalog
[STATE] No product results in dropdown yet (empty query)","[NETWORK] no failed API calls triggered on input focus
[CONSOLE] no TypeError or JS errors","Dropdown not opening on click; Hints section absent; 'Check all products' link missing; console TypeError on focus","none","E2E-SEARCH-005","Automated"
"SRCH-NEW-002","Search Bar - Autocomplete Shows Product Previews While Typing","Search > Autocomplete","Critical","","ECL-14.2","Storefront open; products matching 'hoodie' exist in catalog","url={{FRONT_URL}}; query=@td(SEARCH_CLOTHING.query)","[NAV] Navigate to {{FRONT_URL}}
[ACT] Click the search input
[WAIT] Wait for dropdown to open
[ACT] fill 'Search': 'hoodie' (type one character at a time)
[WAIT] Wait for dropdown to update after each character
[ASSERT] Observe final dropdown state with all 6 characters typed","[DOM] 'Products' section appears in dropdown
[DOM] Each product entry shows thumbnail image, product name (clickable link), and price
[DOM] At least 1 product preview is shown, with preview count equal to min(total matching products for the query, autocomplete cap) — not an assumed fixed count
[DOM] 'Hints' section remains visible above Products section
[DOM] Clear (X) button appears in input when text is present","[NETWORK] POST /graphql (searchProducts) fires with keyword: 'hoodie'; capture response totalCount to cross-check preview count = min(totalCount, autocomplete cap)
[CONSOLE] no TypeError or JS errors","Autocomplete products not appearing after typing; preview count does not equal min(total matches, autocomplete cap); Hints section disappearing; no GraphQL call fired; console TypeError","N/A","E2E-SEARCH-005, SRCH-002","Automated"
"SRCH-NEW-003","Search Bar - Hints Section Shows Prior Searches on Focus","Search > Hints","High","","","Storefront accessible","url={{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}
[ACT] Click the search input
[WAIT] Wait for dropdown to open
[ACT] fill 'Search': 'laptop'
[KEY] press [Enter]
[WAIT] Wait for search results page to load
[NAV] Navigate to {{FRONT_URL}}
[ACT] Click the search input
[WAIT] Wait for dropdown to open
[ACT] fill 'Search': 'hoodie'
[KEY] press [Enter]
[WAIT] Wait for search results page to load
[NAV] Navigate to {{FRONT_URL}}
[ACT] Click the search input
[WAIT] Wait for dropdown to open
[ASSERT] Observe 'Hints' section label and hint items
[ASSERT] Verify each hint is a button with search icon and query text
[ACT] Click the hint button labeled 'laptop'
[WAIT] Wait for navigation","[DOM] Section labeled exactly 'Hints'
[DOM] Each hint is a button with a search icon and query text
[NAV] Clicking 'laptop' hint populates input with 'laptop' and navigates to /search?q=laptop
[DOM] Search results for 'laptop' displayed","[NETWORK] POST /graphql (searchProducts) returns HTTP 200 for 'laptop'
[CONSOLE] no TypeError or JS errors","Hints section absent when prior searches exist; hint buttons not clickable; clicking hint not navigating; console TypeError","N/A","E2E-SEARCH-003, SRCH-008","Automated"
"SRCH-NEW-004","Search Bar - Clear Button Resets Input to Empty","Search > Input Controls","High","","","Storefront open at any page","url={{FRONT_URL}}","[NAV] Navigate to {{FRONT_URL}}
[ACT] Click the search input
[WAIT] Wait for dropdown to open
[ACT] fill 'Search': 'hoodie'
[WAIT] Wait for clear (X) button to appear
[ASSERT] Verify clear button is visible and input contains 'hoodie'
[ACT] Click the clear (X) button
[WAIT] Wait for input to clear
[ASSERT] Verify input is empty and dropdown returns to Hints state","[STATE] After typing: clear (X) button visible; input contains 'hoodie'
[STATE] After clicking clear: input is empty
[STATE] Dropdown returns to 'Hints' state (prior searches) after clearing
[DOM] Clear button disappears when input is empty
[STATE] User stays on same page (no navigation)","[CONSOLE] no TypeError or JS errors","Clear button not appearing after typing; clear button not emptying input; dropdown not reverting to Hints state; navigation triggered by clear; console TypeError","none","","Automated"
"SRCH-NEW-005","Search Bar - Clicking Autocomplete Product Navigates to PDP","Search > Autocomplete","Critical","","","Storefront open at homepage; at least 1 product matches @td(SEARCH_CLOTHING.query) in the active store/catalog","url={{FRONT_URL}}; query=@td(SEARCH_CLOTHING.query)","[NAV] Navigate to {{FRONT_URL}}
[ACT] Click the search input
[WAIT] Wait for dropdown to open
[ACT] fill 'Search': @td(SEARCH_CLOTHING.query)
[WAIT] Wait for autocomplete product results in dropdown
[ASSERT] Verify at least 1 product entry visible in dropdown 'Products' section
[SETUP] browser_snapshot the dropdown 'Products' section; capture first product entry's name → {picked_pdp_name}; capture its href → {picked_pdp_url}
[LOG] write {picked_pdp_name, picked_pdp_url} to evidence
[ACT] Click the first product entry in the dropdown
[WAIT] Wait for PDP to load","[NAV] Browser navigates to {picked_pdp_url}
[DOM] PDP page heading text contains {picked_pdp_name}
[STATE] Search dropdown closes after product click
[DOM] PDP renders product image, price, and primary action (qty stepper or Add-to-Cart) — no broken placeholders","[NETWORK] GET product PDP returns HTTP 200
[CONSOLE] no TypeError or JS errors","PDP not loading after clicking autocomplete result; PDP heading does not contain captured name; dropdown not closing; console TypeError","none","E2E-SEARCH-005; live-discovery.md Recipe 2","Automated"
