ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
SIL-001,Back office sign-in is recorded as a successful Password attempt,Platform > Sign-in Log > Recording,Critical,,,Sign-in log available on {{BACK_URL}} (Security > Sign-in log); recording enabled (Settings > Platform > Sign In Log > Record sign-in attempts = On),admin={{ADMIN_EMAIL}}; password={{ADMIN_PASSWORD}},"[HTTP] POST {{BACK_URL}}/api/platform/security/login with userName={{ADMIN_EMAIL}} and the correct password
[WAIT] poll POST {{BACK_URL}}/api/platform/security/sign-in-log/search until the expected row appears, up to 90s (the writer is buffered — a single immediate read is not evidence of absence)","[STATUS] login response status is 200 with succeeded=true {OBSERVED}
[BODY] a record exists for the user with signInType=""Password"", succeeded=true and failureReason empty {OBSERVED}
[BODY] the record carries createdDate, ipAddress, host and userAgent {OBSERVED}",[API] POST /api/platform/security/sign-in-log/search returns the record within the poll window,no record after 90s; succeeded=false on a correct password; signInType other than Password,none,VCST-5898,Draft
SIL-002,Wrong password is recorded as InvalidPassword,Platform > Sign-in Log > Recording,Critical,,ECL-4.2,state from SIL-001,admin={{ADMIN_EMAIL}}; password=deliberately-wrong,"[HTTP] POST {{BACK_URL}}/api/platform/security/login with userName={{ADMIN_EMAIL}} and a deliberately wrong password
[WAIT] poll POST {{BACK_URL}}/api/platform/security/sign-in-log/search until the expected row appears, up to 90s (the writer is buffered — a single immediate read is not evidence of absence)","[BODY] a record exists for the user with succeeded=false and failureReason=""InvalidPassword"" {OBSERVED}
[BODY] the record carries no password value in any field {OBSERVED}",[API] the failed attempt is queryable through the search endpoint with succeeded=false,failure not recorded; failureReason empty or set to a different value,none,VCST-5898,Draft
SIL-003,Attempt against an unknown user name is recorded with the name as typed and no user id,Platform > Sign-in Log > Recording,Critical,,ECL-4.2,state from SIL-001,unknown_user=AGENT-TEST-sil003-no-such-user@example.com (never created — the point of the case),"[HTTP] POST {{BACK_URL}}/api/platform/security/login with an unknown userName
[WAIT] poll POST {{BACK_URL}}/api/platform/security/sign-in-log/search until the expected row appears, up to 90s (the writer is buffered — a single immediate read is not evidence of absence)","[BODY] a record exists with failureReason=""UserNotFound"" {OBSERVED}
[BODY] userId is null — the account does not exist, so there is nothing to attribute the row to {OBSERVED}
[BODY] userName is preserved exactly as it was typed {OBSERVED}
[BODY] storeId, memberId and organizationId are empty on this row {SPEC}",[API] the row is findable by keyword on the typed user name,row missing; userName normalised or truncated; a user id invented for an account that does not exist,none,VCST-5898,Draft
SIL-004,Locked-out account records LockedOut rather than InvalidPassword,Platform > Sign-in Log > Recording,High,BL-AUTH-003,ECL-4.2,Sign-in log available on {{BACK_URL}} (Security > Sign-in log); recording enabled (Settings > Platform > Sign In Log > Record sign-in attempts = On),test_user=AGENT-TEST-sil004-lockout@example.com (created by this case); password={{DEFAULT_TEST_PASSWORD}},"[HTTP] POST {{BACK_URL}}/api/platform/security/users/create for AGENT-TEST-sil004-lockout@example.com
[WAIT] the account to be created
[ACT] submit wrong-password sign-ins until the account locks (lockout threshold of the environment)
[WAIT] poll POST {{BACK_URL}}/api/platform/security/sign-in-log/search until the expected row appears, up to 90s (the writer is buffered — a single immediate read is not evidence of absence)","[BODY] the first failures are recorded with failureReason=""InvalidPassword"" {OBSERVED}
[BODY] once the account is locked, subsequent attempts are recorded with failureReason=""LockedOut"" {OBSERVED}
[BODY] the transition happens once — there is no attempt recorded with both reasons {OBSERVED}",[API] the account shows as locked through GET /api/platform/security/users/{userName},every attempt recorded as InvalidPassword after the lock; no LockedOut row at all,delete the throwaway account,VCST-5898,Draft
SIL-005,Sign-out is recorded as a Logout entry,Platform > Sign-in Log > Recording,High,,,state from SIL-001 (an authenticated back-office session),admin={{ADMIN_EMAIL}},"[HTTP] GET {{BACK_URL}}/api/platform/security/logout with the session cookie from the sign-in
[WAIT] poll POST {{BACK_URL}}/api/platform/security/sign-in-log/search until the expected row appears, up to 90s (the writer is buffered — a single immediate read is not evidence of absence)","[BODY] a record exists for the user with signInType=""Logout"" and succeeded=true {OBSERVED}
[BODY] its createdDate is later than the sign-in record it closes {OBSERVED}",[API] the Logout row is returned by the type filter for Sign out,sign-out not recorded; recorded as Password instead of Logout,none,VCST-5898,Draft
SIL-006,Token endpoint password grant is recorded,Platform > Sign-in Log > Recording,Critical,,,Sign-in log available on {{BACK_URL}} (Security > Sign-in log); recording enabled (Settings > Platform > Sign In Log > Record sign-in attempts = On),admin={{ADMIN_EMAIL}}; password={{ADMIN_PASSWORD}},"[HTTP] POST {{BACK_URL}}/connect/token grant_type=password username={{ADMIN_EMAIL}} password={{ADMIN_PASSWORD}} scope=offline_access
[WAIT] poll POST {{BACK_URL}}/api/platform/security/sign-in-log/search until the expected row appears, up to 90s (the writer is buffered — a single immediate read is not evidence of absence)","[STATUS] token response status is 200 and carries an access_token {OBSERVED}
[BODY] a record exists with signInType=""Password"", succeeded=true {OBSERVED}","[API] the record is returned by a search restricted to signInTypes=[""Password""]",token issued but nothing recorded; the row attributed to the wrong user,none,VCST-5898,Draft
SIL-007,An ordinary refresh writes no record,Platform > Sign-in Log > Recording,High,,,state from SIL-006 (a refresh_token issued to a non-impersonated session),refresh_token=live-discover from the SIL-006 token response,"[ACT] capture the current UTC time as T0
[HTTP] POST {{BACK_URL}}/connect/token grant_type=refresh_token with the refresh token of the ordinary session
[WAIT] 60s — longer than the writer flush interval, so a row would have landed if one were written
[HTTP] POST {{BACK_URL}}/api/platform/security/sign-in-log/search with keyword set to the refreshing account and startDate=T0","[STATUS] refresh response status is 200 {OBSERVED}
[BODY] the search returns no rows for that account after T0 — token rotation is deliberately not recorded {SPEC}
[BODY] the scope is the account plus a time window, so a sign-in by another suite running in parallel cannot satisfy or break this assertion {SPEC}",[API] the account-scoped window is what makes this assertion safe on a shared stand,"the count grows after an ordinary refresh, which would flood the log on every rotation",none,VCST-5898,Draft
SIL-008,One record per attempt — no duplicates and no gaps,Platform > Sign-in Log > Recording,Critical,,,Sign-in log available on {{BACK_URL}} (Security > Sign-in log); recording enabled (Settings > Platform > Sign In Log > Record sign-in attempts = On),test_user=AGENT-TEST-sil008-count@example.com (created by this case); password={{DEFAULT_TEST_PASSWORD}},"[HTTP] POST {{BACK_URL}}/api/platform/security/users/create for AGENT-TEST-sil008-count@example.com
[WAIT] the account to be created
[ACT] sign in once successfully as that account
[ACT] sign out
[ACT] submit three wrong-password attempts for the same account
[WAIT] poll POST {{BACK_URL}}/api/platform/security/sign-in-log/search until the expected row appears, up to 90s (the writer is buffered — a single immediate read is not evidence of absence)
[HTTP] POST {{BACK_URL}}/api/platform/security/sign-in-log/search with keyword set to AGENT-TEST-sil008-count","[BODY] the number of records equals the number of attempts performed, exactly {OBSERVED}
[BODY] no two records share the same createdDate and type for a single attempt {OBSERVED}
[BODY] the records appear in the order the attempts were made {OBSERVED}",[API] the count is read after the poll window so a mid-flush read cannot be mistaken for a missing row,fewer records than attempts (loss); more records than attempts (duplication),delete the throwaway account,VCST-5898,Draft
SIL-010,Login on behalf records the customer with the operator who started the session,Platform > Sign-in Log > Login on Behalf,Critical,,,Sign-in log available on {{BACK_URL}} (Security > Sign-in log); recording enabled (Settings > Platform > Sign In Log > Record sign-in attempts = On); the operator holds platform:security:loginOnBehalf,operator={{ADMIN_EMAIL}}; customer={{USER_EMAIL}}; customer_id=live-discover via POST /api/platform/security/users/search,"[HTTP] POST {{BACK_URL}}/connect/token grant_type=password username={{ADMIN_EMAIL}} password={{ADMIN_PASSWORD}} scope=offline_access
[HTTP] POST {{BACK_URL}}/connect/token grant_type=impersonate user_id=<customer id> with the operator access token as Bearer
[WAIT] poll POST {{BACK_URL}}/api/platform/security/sign-in-log/search until the expected row appears, up to 90s (the writer is buffered — a single immediate read is not evidence of absence)","[STATUS] impersonate response status is 200 and carries an access_token for the customer {OBSERVED}
[BODY] a record exists with signInType=""Impersonation"" and succeeded=true {OBSERVED}
[BODY] userName is the CUSTOMER and operatorUserName is the OPERATOR — the two are not interchangeable {SPEC}
[BODY] operatorUserId is populated {OBSERVED}",[API] the record is returned by the type filter for On behalf,the grant fails; user and operator inverted; the attempt not recorded at all,revert the impersonation,VCST-5898,Draft
SIL-011,Reverting to the operator records an ImpersonationRevert for the customer being left,Platform > Sign-in Log > Login on Behalf,Critical,BL-AUTH-011,,state from SIL-010 (an active impersonated session),operator={{ADMIN_EMAIL}}; customer={{USER_EMAIL}},"[HTTP] POST {{BACK_URL}}/connect/token grant_type=impersonate with NO user_id, using the impersonated access token as Bearer
[WAIT] poll POST {{BACK_URL}}/api/platform/security/sign-in-log/search until the expected row appears, up to 90s (the writer is buffered — a single immediate read is not evidence of absence)","[STATUS] response status is 200 and returns a token for the operator {OBSERVED}
[BODY] a record exists with signInType=""ImpersonationRevert"" {OBSERVED}
[BODY] userName is the customer being LEFT and operatorUserName is the real operator {SPEC}","[API] the revert row is returned by the type filter for On behalf revert, not by the On behalf filter",no revert row; user and operator inverted on the revert row,none,VCST-5898,Draft
